rank,full_name,url,owner,license,stars,forks,open_issues,closed_issues,open_prs,closed_prs,merged_prs,date_of_last_commit,number_of_releases,total_contributors,recent_contributors,avg_commits_per_month,activity_score,engagement_to_effort,fork_to_star,PR_Merge_Rate,Commit_Momentum,Open_Issues_per_Contributor,Releases_per_Star,pr_merge_velocity,contributor_growth_trend,opened_issues,issues_top_solver,issues_fastest_solved_label,issue_resolution_speed,repo_buggy_lvl
1,microsoft/ML-For-Beginners,https://github.com/microsoft/ML-For-Beginners,microsoft,MIT License,71978,15536,9,0,4,0,0,2025-02-14 08:01:49+00:00,0,129,4,2.0,0.20882098061573548,557.968992248062,0.21584373002861987,,8.0,2.25,0.0,16.429111111111112,-0.005122513446597798,3,,,,0.0
2,apache/superset,https://github.com/apache/superset,apache,Apache License 2.0,65876,14899,890,1,75,116,95,2025-04-23 17:29:35+00:00,224,424,150,151.0,0.5689885026488204,155.3679245283019,0.2261673447082397,45.023696682464454,22650.0,5.933333333333334,0.003400327888760702,49.63711111111111,0.0,1,,deploy:helm,0.6280555555555556,0.0
3,keras-team/keras,https://github.com/keras-team/keras,keras-team,Apache License 2.0,62914,19573,308,0,15,52,47,2025-04-23 20:28:01+00:00,76,407,89,65.5,0.3915553618767019,154.57985257985257,0.31110722573671995,47.474747474747474,5829.5,3.460674157303371,0.0012079982197920971,4.219555555555555,-0.001920942542474174,4,,,,0.0
4,scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,scikit-learn,"BSD 3-Clause ""New"" or ""Revised"" License",61833,25770,2164,1,43,94,82,2025-04-23 13:22:58+00:00,45,410,134,90.5,0.4976411623351827,150.81219512195122,0.4167677453786813,46.590909090909086,12127.0,16.149253731343283,0.0007277667265052642,406.7558333333333,0.0,4,longyuxi,bug,0.4963888888888889,6.0
5,pandas-dev/pandas,https://github.com/pandas-dev/pandas,pandas-dev,"BSD 3-Clause ""New"" or ""Revised"" License",45228,18441,3709,2,28,67,41,2025-04-23 21:47:17+00:00,109,413,148,82.83333333333333,0.4660144927241854,109.51089588377724,0.4077341469885911,37.96296296296296,12259.333333333332,25.06081081081081,0.002410011497302556,11.544888888888888,0.00012806283616494503,2,reteps,enhancement,13.297916666666667,6.0
6,jakevdp/PythonDataScienceHandbook,https://github.com/jakevdp/PythonDataScienceHandbook,jakevdp,MIT License,44353,18278,217,2,0,0,0,2023-05-05 23:20:45+00:00,0,15,0,0.0,0.12324043457723194,2956.866666666667,0.4121029017202895,,0.0,0.0,0.0,28.179055555555557,0.0,5,afzalasar7,,0.29583333333333334,0.0
7,apache/airflow,https://github.com/apache/airflow,apache,Apache License 2.0,39774,14916,1285,1,98,989,793,2025-04-24 06:05:53+00:00,95,414,110,585.5,0.7708591777045267,96.07246376811594,0.3750188565394479,44.50056116722783,64405.0,11.681818181818182,0.0023884949967315334,79.95477777777778,0.0,2,gtsiatsios,kind:bug,2.2491666666666665,0.0
8,streamlit/streamlit,https://github.com/streamlit/streamlit,streamlit,Apache License 2.0,38989,3406,1141,0,36,148,136,2025-04-24 00:03:54+00:00,97,249,38,126.66666666666669,0.2706314455078865,156.58232931726909,0.08735797276154812,47.88732394366197,4813.333333333334,30.026315789473685,0.002487881197260766,9.504888888888889,0.0,4,,,,0.0
9,GokuMohandas/Made-With-ML,https://github.com/GokuMohandas/Made-With-ML,GokuMohandas,MIT License,38444,6092,22,0,0,0,0,2023-12-07 19:37:37+00:00,0,1,0,0.0,0.10682152880046682,38444.0,0.1584642597024243,,0.0,0.0,0.0,0.011166666666666667,0.0,6,,,,0.0
10,gradio-app/gradio,https://github.com/gradio-app/gradio,gradio-app,Apache License 2.0,37628,2865,480,0,5,85,76,2025-04-23 18:49:40+00:00,3310,392,85,82.16666666666667,0.32745050715435586,95.98979591836735,0.07614010842989263,47.20496894409938,6984.166666666667,5.647058823529412,0.08796640799404698,53.07147222222222,0.000384188508494835,9,,,,27.0
11,ray-project/ray,https://github.com/ray-project/ray,ray-project,Apache License 2.0,36717,6242,4498,0,133,461,355,2025-04-24 04:57:37+00:00,103,410,122,346.0,0.5775859042368224,89.55365853658536,0.17000299588746356,43.504901960784316,42212.0,36.868852459016395,0.0028052400795271944,10.730333333333332,0.0,4,,,,12.0
12,explosion/spaCy,https://github.com/explosion/spaCy,explosion,MIT License,31452,4496,206,1,5,0,0,2025-04-11 18:56:52+00:00,127,390,4,2.6666666666666665,0.09648801101742954,80.64615384615385,0.14294798422993768,,10.666666666666666,51.5,0.004037899020730001,304.43477777777775,-0.0060189532997524135,6,igormorgado,,35.11055555555556,0.0
13,AMAI-GmbH/AI-Expert-Roadmap,https://github.com/AMAI-GmbH/AI-Expert-Roadmap,AMAI-GmbH,MIT License,29778,2520,22,2,0,0,0,2022-02-10 12:36:44+00:00,0,9,0,0.0,0.08274194892883938,3308.6666666666665,0.0846262341325811,,0.0,0.0,0.0,47.03383333333333,0.0,5,milad13949,,757.8977777777778,0.0
14,Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Lightning-AI,Apache License 2.0,29351,3482,982,0,11,26,24,2025-04-23 09:28:36+00:00,164,441,48,21.5,0.1924339803332834,66.55555555555556,0.118633095976287,48.0,1032.0,20.458333333333332,0.005587543865626384,3.9653055555555556,-0.007982583454281567,5,,,,9.0
15,microsoft/Data-Science-For-Beginners,https://github.com/microsoft/Data-Science-For-Beginners,microsoft,MIT License,29312,6111,56,0,0,0,0,2025-02-13 17:12:03+00:00,0,101,1,0.3333333333333333,0.08358393894143445,290.2178217821782,0.20848116812227074,,0.3333333333333333,56.0,0.0,26.497,0.0004695637326047982,3,,,,0.0
16,donnemartin/data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,donnemartin,Other,28124,7968,39,0,0,0,0,2019-02-11 10:51:45+00:00,0,12,0,0.0,0.0781461001972825,2343.6666666666665,0.2833167401507609,,0.0,0.0,0.0,112.01336111111111,0.0,2,,,,0.0
17,eugeneyan/applied-ml,https://github.com/eugeneyan/applied-ml,eugeneyan,MIT License,27900,3744,2,2,0,0,0,2024-05-02 14:44:23+00:00,0,47,0,0.0,0.07752368779349246,593.6170212765958,0.13419354838709677,,0.0,0.0,0.0,0.03780555555555555,-0.002177068214804064,0,eugeneyan,,2091.3770833333333,0.0
18,CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,CamDavidsonPilon,MIT License,27316,7922,205,0,0,0,0,2023-02-14 00:18:43+00:00,0,136,0,0.0,0.07590096974075412,200.85294117647058,0.2900131790891785,,0.0,0.0,0.0,27.62783333333333,0.0,4,,,,0.0
19,academic/awesome-datascience,https://github.com/academic/awesome-datascience,academic,MIT License,26192,6047,1,1,1,2,0,2025-03-06 23:36:58+00:00,11,233,9,6.5,0.0934459802157336,112.41201716738198,0.23087202199144777,0.0,58.5,0.1111111111111111,0.000419975565058033,2.7734722222222223,8.537522410996376e-05,0,hmert,,171.66416666666666,0.0
20,d2l-ai/d2l-en,https://github.com/d2l-ai/d2l-en,d2l-ai,Other,25643,4604,157,2,2,0,0,2024-03-16 22:46:02+00:00,15,297,0,0.0,0.07125232709994721,86.34006734006734,0.17954217525250557,,0.0,0.0,0.000584954958468198,2.151527777777778,0.0,4,AnirudhDagar,,820.9894444444444,0.0
21,datasciencemasters/go,https://github.com/datasciencemasters/go,datasciencemasters,The Unlicense,25379,6160,40,1,0,0,0,2023-04-18 03:23:28+00:00,0,38,0,0.0,0.07051876962405179,667.8684210526316,0.24272035935222033,,0.0,0.0,0.0,467.78133333333335,0.0,7,Robbbo-T,,450.00166666666667,0.0
22,eriklindernoren/ML-From-Scratch,https://github.com/eriklindernoren/ML-From-Scratch,eriklindernoren,MIT License,24441,4643,57,0,1,0,0,2019-10-18 21:42:16+00:00,0,6,0,0.0,0.06791241768318097,4073.5,0.1899676772636144,,0.0,0.0,0.0,238.57369444444447,0.0,5,,,,0.0
23,ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ashishpatel26,,23043,5579,53,1,0,0,0,2024-07-26 13:06:49+00:00,0,3,0,0.0,0.06402789741309846,7681.0,0.24211257214772383,,0.0,0.0,0.0,1144.344365079365,-0.0027320071715188255,7,wolfykulfi,,0.004722222222222222,0.0
24,fastai/fastbook,https://github.com/fastai/fastbook,fastai,Other,22960,8837,164,1,1,0,0,2024-07-07 23:01:05+00:00,2,125,0,0.0,0.0637972713884798,183.68,0.3848867595818815,,0.0,0.0,8.710801393728223e-05,16.404916666666665,-0.0029881328438487154,6,PanGan21,,0.8783333333333333,0.0
25,plotly/dash,https://github.com/plotly/dash,plotly,MIT License,22337,2136,545,2,2,23,23,2025-04-23 18:30:50+00:00,81,147,16,79.16666666666667,0.13236409288372952,151.95238095238096,0.09562609123875185,50.0,1266.6666666666667,34.0625,0.003626270313829073,1140.6254444444444,-0.0008537522410996323,2,T4rk1n,regression,59.12722222222222,6.0
26,matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,matplotlib,,21095,7838,1653,2,26,80,70,2025-04-23 07:32:10+00:00,92,421,87,178.83333333333334,0.3236789591294498,50.10688836104513,0.3715572410523821,46.666666666666664,15558.5,19.0,0.004361223038634747,127.4758611111111,0.0,4,jklymak,status: duplicate,1.6493055555555556,0.0
27,recommenders-team/recommenders,https://github.com/recommenders-team/recommenders,recommenders-team,MIT License,20112,3189,172,0,4,2,2,2025-01-19 03:16:46+00:00,14,103,2,3.0,0.0616196267973487,195.2621359223301,0.15856205250596658,50.0,6.0,86.0,0.0006961018297533811,0.16305555555555556,-0.021002305131050968,1,,,,3.0
