repo_full_name,issue_id,number,title,body,user_login,user_id,state,locked,comments_count,created_at,updated_at,closed_at,labels,reactions_total,reactions_plus1,reactions_minus1,reactions_laugh,reactions_hooray,reactions_confused,reactions_heart
AMAI-GmbH/AI-Expert-Roadmap,2783719335,90,Alpha,,KUR44s,194690696,open,False,0,2025-01-13T11:37:46+00:00,2025-01-13T11:37:46+00:00,,,0,0,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,2608770012,88,Added validation strategies for models,"These 10 strategies form a comprehensive framework to ensure models are reliable, ethical, and ready for real-world deployment. Incorporating them into the AI/ML/DL development lifecycle will reduce incidents and ensure quality assurance across the board.",maitreepatel1110,132289240,open,False,0,2024-10-23T14:12:47+00:00,2024-10-23T14:12:47+00:00,,,0,0,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,2499064069,87,Suggestion to Add an NLP (Natural Language Processing) Roadmap,"To whom it may concern,

Thank you for maintaining this excellent AI Expert Roadmap! I have found it extremely valuable in guiding my learning journey. 

I would like to suggest the addition of a dedicated roadmap for Natural Language Processing (NLP). Given the growing importance of NLP in AI, a specialized roadmap would greatly benefit those of us looking to deepen our expertise in this area. It could include key topics such as language models, text preprocessing, sentiment analysis, named entity recognition, machine translation, transformers, large language models, and more.

This would be a great enhancement to the current roadmap, helping learners navigate the complex landscape of NLP more effectively.

Thank you for considering this suggestion!

Best regards",BobakTech,112493505,open,False,0,2024-08-31T22:01:19+00:00,2024-08-31T22:01:19+00:00,,,4,4,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,2134377761,86,Ai,,codeboy222,133746521,open,False,0,2024-02-14T13:38:41+00:00,2024-03-14T04:20:21+00:00,,,0,0,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,2098935525,85,Save,,Tragbizeey,150423720,open,False,0,2024-01-24T19:27:20+00:00,2024-01-24T19:27:20+00:00,,,0,0,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,2060913262,84,"Open ""Randomness, random variable and random sample"" links in a new tab",Cells where multiple links are present are not opening in a new tab. Added target manually by editing the xml.,foolish-engineer,3996068,open,False,0,2023-12-31T02:20:15+00:00,2023-12-31T02:20:15+00:00,,,0,0,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,2030270259,83,Added the source link for reinforcement learning and ensemble learning,,Devparihar5,54232149,open,False,0,2023-12-07T09:21:55+00:00,2023-12-07T09:21:55+00:00,,,0,0,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,2001050651,82,درست کردن حساب بانکی برای مایکروسافت ,,milad13949,149260226,closed,False,0,2023-11-19T21:43:42+00:00,2023-11-19T21:44:08+00:00,2023-11-19T21:44:08+00:00,,0,0,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,1792144415,81,Linear algebra videos,"Hello, I would like to suggest adding a link to the Linear Algebra item on this YouTube playlist: https://www.youtube.com/playlist?list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab""",ghost,10137,open,False,1,2023-07-06T19:56:06+00:00,2023-12-15T18:41:51+00:00,,,1,1,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,1749649268,80,Is this still relevant in 2023 ,Thanks for ur reply!,Ayaan-Sharif,95083469,closed,False,3,2023-06-09T10:46:34+00:00,2023-08-11T14:33:52+00:00,2023-08-11T14:33:52+00:00,,1,1,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,1724551577,79,AI-Roadmap,,sai6345,36520085,open,False,0,2023-05-24T18:41:39+00:00,2023-05-24T18:41:39+00:00,,,0,0,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,1671696835,78,AI ROAD MAP,,FELIX-CORDER,127182550,open,False,0,2023-04-17T17:58:04+00:00,2023-04-17T17:58:04+00:00,,,0,0,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,1599975733,77,Added a reinforcement learning roadmap (Basics of reinforcement learning track),"Hey there! I think it would be great if Reinforcement Learning (RL) was included in the AI developer roadmap. RL is a powerful tool that allows agents to learn optimal behavior through interaction with their environment. It's becoming more and more popular in solving real-world problems like game playing, robotics, and autonomous driving.

[issue#76](https://github.com/AMAI-GmbH/AI-Expert-Roadmap/issues/76)

Feel free to point out the changes i should make if needed ",Siddhu2502,93031748,closed,False,1,2023-02-26T08:46:00+00:00,2023-12-16T16:11:17+00:00,2023-12-16T16:11:17+00:00,,0,0,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,1599933228,76,Need the extension of roadmap to Reinforcement Learning ,"Including RL in the AI developer roadmap would be a great idea. It would help us to stay up to date with the latest trends in the field and equip us with the necessary skills to build intelligent systems that can learn and adapt in complex environments.



",Siddhu2502,93031748,open,False,2,2023-02-26T05:05:53+00:00,2023-02-26T08:55:50+00:00,,,0,0,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,1584792653,75,"Symbolic AI, Neuro Symbolic Reasoning and Knowledge Engineering subfields are missing","Hi AMAI Team,

I wanted to start by commending you on the great work you have produced. However, it appears m to me that certain aspects and technologies crucial to important AI subfields like Symbolic/Neuro-Symbolic AI and Knowledge Engineering have been missed. These areas of study are becoming increasingly important in the development of AI systems, as they focus on creating knowledge-based systems that can reason and learn from symbolic representations of information.

Symbolic AI involves the use of logical and linguistic structures, such as description logics and NLP techniques, to represent knowledge and manipulate it to solve problems. Unlike recent AI approaches that rely on statistical methods and machine learning, incorporating symbolic AI techniques enables AI systems to reason logically and make inferences based on the rules and relationships within the knowledge base.

In the case of Neuro-Symbolic AI, symbolic reasoning and neural network-based learning are integrated at multiple levels, including the use of embeddings and graphs techniques to combine neural networks with rule-based systems, incorporating symbolic reasoning into deep learning models, and using neural networks to learn the structure of symbolic knowledge. The aim is to create AI systems that can reason about complex, abstract concepts and learn from experience in an efficient and interpretable manner. Moreover, this direction can provide answers for more explainable AI systems and act as a bridge between big AI subfields.

Knowledge Engineering, on the other hand, is focused on creating and managing knowledge in AI systems. This involves developing methods to represent knowledge in machine-readable forms such as RDF, OWL ontologies, and knowledge graphs (Semantic Web Stack), as well as using or creating tools and techniques to manage, maintain, and update this knowledge over time, such as RDF stores, SPARQL endpoints, and graph databases. By applying knowledge engineering principles, AI systems can better leverage the knowledge they have acquired and make more informed decisions.

While the work you have presented is undoubtedly impressive, incorporating principles and technologies from these subfields into your roadmap would help ensure a more complete picture for AI systems that can capture, learn, adapt  and reason. I hope this feedback proves useful for your future endeavors.

Regards,
Samir""",SamRepository,36329990,open,False,1,2023-02-14T20:37:06+00:00,2023-03-07T14:09:16+00:00,,,0,0,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,1583994912,74,Ai ,,moussams13,19312273,open,False,0,2023-02-14T11:29:44+00:00,2023-02-14T11:29:44+00:00,,,0,0,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,1579229343,73,Roadmap ai,,Smashingflare,124126761,closed,False,1,2023-02-10T08:19:20+00:00,2023-02-13T08:28:52+00:00,2023-02-13T08:28:52+00:00,,0,0,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,1430975445,72,Ai roadmap,,Albatrozx11,97524402,closed,False,0,2022-11-01T07:01:36+00:00,2022-11-02T20:46:55+00:00,2022-11-02T20:46:55+00:00,,0,0,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,1428363138,71,Will the ML engineer roadmap be  included in the future?,,jackkkkklee,47933502,open,False,0,2022-10-29T17:07:41+00:00,2022-10-29T17:07:41+00:00,,,1,1,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,1306330223,69,Wow it's v,,rashmi032,84926767,closed,False,0,2022-07-15T17:56:53+00:00,2022-07-18T07:40:27+00:00,2022-07-18T07:40:14+00:00,,0,0,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,1206601815,66,Recommendation Books,"Hello! They could recommend some books that see the theoretical part. For now, I would be interested in knowing something related to the part of ¨Data Scientist (Statistics and visualitation)¨ and ¨Fundamentals (Exploratory Data Analysis /
Data Munging / - Wranglin)¨. Thanks in advance!",italosalgado14,55506775,open,False,0,2022-04-18T03:03:05+00:00,2022-04-18T03:03:05+00:00,,,1,1,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,1205990399,65,الذكاء الاصطناعي :,,SnowdenSa,40884268,closed,False,0,2022-04-16T02:50:39+00:00,2022-04-29T05:29:30+00:00,2022-04-29T05:29:30+00:00,,1,1,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,1202047380,64,Instead of Python is there a possible way to do that with R,I have a doubt that is there a way to do machine learning and data science with R programming language instead of Python ,D-ENCODER,86153190,closed,False,0,2022-04-12T15:53:00+00:00,2022-04-30T14:25:18+00:00,2022-04-30T14:25:18+00:00,,0,0,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,1165192313,63,Ai,,cerebrummmm,101336311,closed,False,0,2022-03-10T12:59:15+00:00,2022-04-29T05:28:13+00:00,2022-04-29T05:28:13+00:00,,0,0,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,1140723670,62,Grindr,,Domreus12,96803653,closed,False,1,2022-02-17T00:23:22+00:00,2022-02-17T08:19:46+00:00,2022-02-17T08:19:46+00:00,,0,0,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,1140435296,61,A.I,,Kingop05,99833442,closed,False,0,2022-02-16T18:57:28+00:00,2022-02-17T08:19:45+00:00,2022-02-17T08:19:45+00:00,,0,0,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,1140242480,60,Amogus,,namtacs,95915765,closed,False,0,2022-02-16T15:57:23+00:00,2022-02-17T08:19:45+00:00,2022-02-17T08:19:45+00:00,,0,0,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,1140242366,59,Amogus,,namtacs,95915765,closed,False,0,2022-02-16T15:57:19+00:00,2022-02-17T08:19:45+00:00,2022-02-17T08:19:45+00:00,,0,0,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,1140241978,58,Amogus,,namtacs,95915765,closed,False,0,2022-02-16T15:56:59+00:00,2022-02-17T08:19:45+00:00,2022-02-17T08:19:45+00:00,,0,0,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,1140241907,57,Amogus,,namtacs,95915765,closed,False,0,2022-02-16T15:56:54+00:00,2022-02-17T08:19:45+00:00,2022-02-17T08:19:44+00:00,,0,0,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,1140241748,56,Amogus,,namtacs,95915765,closed,False,0,2022-02-16T15:56:47+00:00,2022-02-17T08:19:44+00:00,2022-02-17T08:19:44+00:00,,0,0,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,1140241645,55,Amogus,,namtacs,95915765,closed,False,0,2022-02-16T15:56:42+00:00,2022-02-17T08:19:44+00:00,2022-02-17T08:19:44+00:00,,0,0,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,1140241128,54,Amogus,,namtacs,95915765,closed,False,0,2022-02-16T15:56:17+00:00,2022-02-17T08:19:44+00:00,2022-02-17T08:19:44+00:00,,0,0,0,0,0,0,0
AMAI-GmbH/AI-Expert-Roadmap,1140241024,53,Amogus,,namtacs,95915765,closed,False,0,2022-02-16T15:56:12+00:00,2022-02-17T08:19:44+00:00,2022-02-17T08:19:44+00:00,,0,0,0,0,0,0,0
