repo_full_name,pr_id,number,title,body,user_login,user_id,state,draft,created_at,updated_at,closed_at,merged_at,merge_commit_sha,mergeable_state,additions,deletions,changed_files,commits_count,review_comments_count,comments_count,requested_reviewers,requested_teams,labels
AMAI-GmbH/AI-Expert-Roadmap,513461446,4,Added note to interactive version,,rlirli,57397330,closed,False,2020-10-31T16:34:16+00:00,2020-12-29T07:54:04+00:00,2020-10-31T20:27:18+00:00,2020-10-31T20:27:18+00:00,72cff0b951599dcb7d821ae008038654813d3d45,unknown,140,122,4,4,1,0,,,
AMAI-GmbH/AI-Expert-Roadmap,513910273,6,Added link to Khan Academy for Linear Algebra,"Added link to Khan Academy as a good resource for Linear Algebra, Matrix Transformations and fundamentals",IndrajeetDevale,36271301,closed,False,2020-11-02T09:06:25+00:00,2020-11-06T03:32:19+00:00,2020-11-02T09:39:14+00:00,2020-11-02T09:39:14+00:00,739402c06015d247b2260f3582e4552dc16940f4,unknown,8,6,2,1,0,0,,,
AMAI-GmbH/AI-Expert-Roadmap,514096082,8,Typo,"just a typo @JStumpp 

",spekulatius,8433587,closed,False,2020-11-02T14:27:32+00:00,2020-11-06T03:30:11+00:00,2020-11-02T14:32:28+00:00,2020-11-02T14:32:28+00:00,38ff460e7ce55cb6dbfc3c95a8b30cbf6db9e218,unknown,1,1,1,1,0,2,,,
AMAI-GmbH/AI-Expert-Roadmap,518511152,13,fix: misplaced wiki link of MLE & KDE,,etbox,16815152,closed,False,2020-11-10T14:03:14+00:00,2020-11-10T14:31:02+00:00,2020-11-10T14:30:57+00:00,2020-11-10T14:30:57+00:00,e63bfdb8f4d20be2a967539ae807074e4e8c9c09,unknown,5,5,2,1,0,1,,,
AMAI-GmbH/AI-Expert-Roadmap,521049681,14,"Revise ""Deep Learning"" Section","- revise and extend the ""Deep Learning"" section
- minor adjustments in contribution guidelines",Leonard-Plotkin,9323730,closed,False,2020-11-14T19:26:20+00:00,2020-11-14T20:11:11+00:00,2020-11-14T20:11:11+00:00,2020-11-14T20:11:11+00:00,acbcb5a0eaf49c93ef22e249be4add262bb5a467,unknown,356,59,3,2,0,0,JStumpp,,
AMAI-GmbH/AI-Expert-Roadmap,521052637,15,"Disable ""Blob storage website CI"" action on pull requests",- action requires credentials which are not passed to PRs,Leonard-Plotkin,9323730,closed,False,2020-11-14T19:54:14+00:00,2020-11-14T20:11:41+00:00,2020-11-14T20:11:41+00:00,2020-11-14T20:11:41+00:00,c3fc763913551733640e5b2191e82a3c293de6f5,unknown,0,2,1,1,0,0,JStumpp,,
AMAI-GmbH/AI-Expert-Roadmap,529550959,18,Fixed Issues from ErdosEuge and Hellisotherpeople,,rlirli,57397330,closed,False,2020-11-30T13:29:36+00:00,2020-12-02T02:52:19+00:00,2020-11-30T21:02:42+00:00,2020-11-30T21:02:42+00:00,3c2a8e03145c04c747ac86a57ea1630eafeff5c7,unknown,1051,814,13,10,0,1,,,
AMAI-GmbH/AI-Expert-Roadmap,532143079,19,Fixing typo in the word 'resources',,jamesmilliman,8591478,closed,False,2020-12-03T21:56:01+00:00,2020-12-11T20:58:55+00:00,2020-12-11T20:58:55+00:00,2020-12-11T20:58:55+00:00,6f6835e672e0de9671afbb2a349da88e091c1316,unknown,4,4,2,1,0,0,,,
AMAI-GmbH/AI-Expert-Roadmap,547683623,24,Bumped year to 2021,,rlirli,57397330,closed,False,2021-01-01T22:19:03+00:00,2021-01-12T17:20:04+00:00,2021-01-12T17:20:04+00:00,2021-01-12T17:20:04+00:00,d0b1ea10dc2ffd34d36f12c29098f411ebdfb992,unknown,19,19,5,2,0,0,,,
AMAI-GmbH/AI-Expert-Roadmap,557544096,26,Fixed dead link to Denoising article,,rlirli,57397330,closed,False,2021-01-19T16:15:05+00:00,2021-01-25T20:46:04+00:00,2021-01-19T22:57:34+00:00,2021-01-19T22:57:34+00:00,f40afb42c280b496872b1db2aa99cc5e883e9963,unknown,4,4,2,2,0,1,,,
