repo_full_name,issue_id,number,title,body,user_login,user_id,state,locked,comments_count,created_at,updated_at,closed_at,labels,reactions_total,reactions_plus1,reactions_minus1,reactions_laugh,reactions_hooray,reactions_confused,reactions_heart
Avaiga/taipy,3055091869,2611,[OTHER] <add dynamic components on demand>,"### 📌 What would you like to share or ask?

I'm a Taipy newbie. I checked the documentation and learned how to dynamically create new components: https://docs.taipy.io/en/develop/userman/gui/pages/partial/. However, this approach iterates over the `state.links` data structure every time. In my use case, this data structure is usually very large, and I don’t want to create components iteratively. Instead, I’d like to create one component per click. Are there any official recommendations for this?

Additionally, I'd like to ask if there are any sample applications similar to a to-do list. For each task, there should be an independent component, allowing me to operate these components individually to start and track the execution status of each task in real time.

### 📜 Code of Conduct

- [x] I have checked the [existing issues](https://github.com/Avaiga/taipy/issues?q=is%3Aissue+) to avoid duplicates.
- [ ] I am willing to work on this issue (optional)",Ysllllll,34794046,open,False,1,2025-05-11T16:48:03+00:00,2025-05-12T08:20:54+00:00,,,0,0,0,0,0,0,0
Avaiga/taipy,3052352402,2610,[🐛 BUG] Text disappears in certain condition,"### 🔍 What went wrong?

It seems that having a multiline string with `""""""` and a line break before the text will make the text disappear.

### ✅ Expected Behavior

It should not disappear.

### 🔄 Steps to Reproduce

Run:
```python
import taipy.gui.builder as tgb
from taipy.gui import Gui

selected_tutorial = ""Test""

with tgb.Page() as page:
    tgb.text(
        """"""
Finding a rate: {selected_tutorial}"""""",
    )

Gui(page).run()

```

The page will show nothing.

The page 

### 💡 Possible Solution (Optional)

_No response_

### 🖼️ Screenshots (Optional)

_No response_

### 💻 Runtime Environment

_No response_

### 🌐 Browser (if applicable)

_No response_

### 🖥️ Operating System

_No response_

### 📦 Taipy Version

4.0.3

### 📋 Additional Context (Optional)

```bash

```

### 📜 Code of Conduct

- [x] I have checked the [existing issues](https://github.com/Avaiga/taipy/issues?q=is%3Aissue+) to avoid duplicates.
- [ ] I am willing to work on this issue (optional)

### ✅ Acceptance Criteria

- [ ] A reproducible unit test is added.
- [ ] Code coverage is **at least 90%**.
- [ ] The bug reporter validated the fix.
- [ ] Relevant **documentation updates** or an issue created in
",FlorianJacta,98709993,open,False,0,2025-05-09T14:29:13+00:00,2025-05-09T14:29:47+00:00,,🖰 GUI;💥Malfunction;🟧 Priority: High,0,0,0,0,0,0,0
Avaiga/taipy,3050649437,2609,[✨ FEATURE] Improve table stylekit,"### 🔍 Feature Description

In the following image, the first row is selected and I'm hovering over the second row. The background color is (almost?) the same:

![Image](https://github.com/user-attachments/assets/2f04e3ad-ba05-41a6-ac97-2da1946f3aa7)

It would be good to be more visually obvious when a row is selected vs. hovered.

Example code:

```python
import taipy.gui.builder as tgb
from taipy import Gui

data = {""a"": [1, 2, 3, 4, 5], ""b"": [5, 4, 3, 2, 1]}

selected = [0]


def num_on_action(state, var_name, payload):
    index = payload.get(""index"")
    if index in state.selected:
        state.selected = list(set(state.selected) - {index})
    else:
        state.selected = state.selected + [index]


with tgb.Page() as page:
    tgb.toggle(theme=True)

    tgb.table(""{data}"", selected=""{selected}"", on_action=num_on_action)

    tgb.table(""{data}"", selected=""{selected}"", on_action=num_on_action, class_name=""rows-similar rows-bordered"")


if __name__ == ""__main__"":
    gui = Gui(page=page)
    gui.run(run_browser=False, use_reloader=True)
```

Play around with:
1. Changing the theme
2. Selected different rows
3. Hovering over different rows

I quickly get very confused with the colors. It's much better on the table with ""rows-similar"" though.

### 💡 Proposed Solution

Overhaul the stylekit for taipy tables. Consider interaction with:
1. Theme
2. ""rows-similar"" stylekit class
3. ""selected"" rows (Mui-selected)
4. Hovering on selected/unselected rows

Consider adding:
1. Different background color for table header row

### 📜 Code of Conduct

- [x] I have checked the [existing issues](https://github.com/Avaiga/taipy/issues?q=is%3Aissue+) to avoid duplicates.
- [ ] I am willing to work on this issue (optional)

### ✅ Acceptance Criteria

- [ ] A working demo or example code (if applicable) is provided.
- [ ] Integration tests demonstrate the new functionality.
- [ ] Any new code is covered by unit tests.
- [ ] Code coverage remains at least 90%.
- [ ] Related documentation updates and release notes are created.",arcanaxion,48582724,open,False,0,2025-05-09T03:35:08+00:00,2025-05-09T03:35:19+00:00,,,0,0,0,0,0,0,0
Avaiga/taipy,3050617924,2608,"[✨ FEATURE] Table ""selected"" property doesn't respect sort","### 🔍 Feature Description

We may want to highlight a certain row (using ""selected""), even when the table is sorted.

Example:

```python
import taipy.gui.builder as tgb
from taipy import Gui

data = {""a"": [1, 2, 3, 4, 5], ""b"": [5, 4, 3, 2, 1]}
selected = [0]


with tgb.Page() as page:
    tgb.table(""{data}"", selected=""{selected}"")


if __name__ == ""__main__"":
    Gui(page=page).run()
```

Currently, ""selected"" doesn't update with the table sort. The first row (index 0) remains selected/highlighted regardless of the sort:

https://github.com/user-attachments/assets/03b95dff-e943-4514-99db-1da0da139923

### 💡 Proposed Solution

Perhaps a new property to indicate if the indices in `selected` are ""static"" (the current behaviour) or if they should be ""dynamic"" and adjust to the table sort.

Alternatively, if sorting triggers a callback (e.g. #2307) then the developer can update `selected` themselves, although it would be more tedious.

### 📜 Code of Conduct

- [x] I have checked the [existing issues](https://github.com/Avaiga/taipy/issues?q=is%3Aissue+) to avoid duplicates.
- [ ] I am willing to work on this issue (optional)

### ✅ Acceptance Criteria

- [ ] A working demo or example code (if applicable) is provided.
- [ ] Integration tests demonstrate the new functionality.
- [ ] Any new code is covered by unit tests.
- [ ] Code coverage remains at least 90%.
- [ ] Related documentation updates and release notes are created.",arcanaxion,48582724,open,False,0,2025-05-09T03:08:31+00:00,2025-05-09T03:09:30+00:00,,,0,0,0,0,0,0,0
Avaiga/taipy,3050575448,2607,[✨ FEATURE] Allow resetting sort for taipy tables,"### 🔍 Feature Description

After clicking a column to sort, I can only toggle between asc and desc sort. It would be good to have 3rd state which is the unsorted // reset state.

Example:

```python
import taipy.gui.builder as tgb
from taipy import Gui

data = {""Sentence"": ""Eddie ate dynamite, good bye Eddie"".split("" "")}

with tgb.Page() as page:
    tgb.table(""{data}"")

if __name__ == ""__main__"":
    Gui(page=page).run()
```

After clicking the column to sort, I'm unable to reset the sort unless I refresh the page:

![Image](https://github.com/user-attachments/assets/651330df-9ef9-4f4c-b958-99ec786bf5c9)

### 💡 Proposed Solution

Clicking the col header to sort could toggle from `unsorted -> asc -> desc -> unsorted`

### 📜 Code of Conduct

- [x] I have checked the [existing issues](https://github.com/Avaiga/taipy/issues?q=is%3Aissue+) to avoid duplicates.
- [ ] I am willing to work on this issue (optional)

### ✅ Acceptance Criteria

- [ ] A working demo or example code (if applicable) is provided.
- [ ] Integration tests demonstrate the new functionality.
- [ ] Any new code is covered by unit tests.
- [ ] Code coverage remains at least 90%.
- [ ] Related documentation updates and release notes are created.",arcanaxion,48582724,open,False,0,2025-05-09T02:41:15+00:00,2025-05-09T02:41:28+00:00,,,0,0,0,0,0,0,0
Avaiga/taipy,3050556411,2606,[🐛 BUG] Unable to sort first column of table when using list of list of values,"### 🔍 What went wrong?

Example:

```python
import taipy.gui.builder as tgb
from taipy import Gui

data = [[1, 5], [2, 4], [3, 3], [4, 2], [5, 1]]  # sorting on the first column doesn't work when data is list of lovs

with tgb.Page() as page:
    tgb.table(""{data}"")

if __name__ == ""__main__"":
    gui = Gui(page=page)
    gui.run(run_browser=False, use_reloader=True)
```

Upon clicking the first column header to sort, the sort arrow indicator is updated but no sort is applied. The following is printed to console:

```
/home/app/.venv/lib/python3.10/site-packages/taipy/gui/data/pandas_data_accessor.py:403: TaipyGuiWarning: Cannot sort _TpD_tpec_TpExPr_data_TPMDL_1 on columns 0.
  _warn(f""Cannot sort {var_name} on columns {order_by}."")
```

The icon indicates a descending sort, but the table is unchanged:

![Image](https://github.com/user-attachments/assets/2f2a80d0-0121-499b-8eb9-e871921bba77)

### 📦 Taipy Version

develop

### 📋 Additional Context (Optional)

```bash

```

### 📜 Code of Conduct

- [x] I have checked the [existing issues](https://github.com/Avaiga/taipy/issues?q=is%3Aissue+) to avoid duplicates.
- [ ] I am willing to work on this issue (optional)

### ✅ Acceptance Criteria

- [ ] A reproducible unit test is added.
- [ ] Code coverage is **at least 90%**.
- [ ] The bug reporter validated the fix.
- [ ] Relevant **documentation updates** or an issue created in",arcanaxion,48582724,open,False,0,2025-05-09T02:28:33+00:00,2025-05-09T02:28:44+00:00,,,0,0,0,0,0,0,0
Avaiga/taipy,3045695302,2605,Enterprise 666 prepare migration feature,"## What type of PR is this? (Check all that apply)

- [ ] 🛠 Refactor
- [x] ✨ Feature
- [ ] 🐛 Bug Fix
- [ ] ⚡ Optimization
- [ ] 📝 Documentation Update

## Description
Expose task_config scope and hidden scenario API to retrieve existing data nodes referenced by a scenario.

These are made to be used in taipy-enterprise feature to migrate scenarios.
",jrobinAV,88036007,closed,False,0,2025-05-07T11:46:41+00:00,2025-05-09T11:56:41+00:00,2025-05-09T11:56:37+00:00,Core;🟨 Priority: Medium;Enterprise,0,0,0,0,0,0,0
Avaiga/taipy,3045661167,2604,#enterprise-666 prepare migration feature into release/4.1,"## What type of PR is this? (Check all that apply)

- [ ] 🛠 Refactor
- [x] ✨ Feature
- [ ] 🐛 Bug Fix
- [ ] ⚡ Optimization
- [ ] 📝 Documentation Update

## Description
- Expose the scope of a TaskConfig as the minimum scope of its DataNodeConfigs. (similar to the task scope.)
- Expose a new hidden method from Scenario class `_get_existing_data_nodes(self, additional:bool=False)` used to retrieve data nodes referenced in a scenario that exist in the repository. Indeed, during the migration process (to be implemented on another PR), there is a temporary state where a scenario references some data nodes that no longer exist.
",jrobinAV,88036007,closed,False,1,2025-05-07T11:32:24+00:00,2025-05-09T07:18:06+00:00,2025-05-09T07:18:02+00:00,Core;🟥 Priority: Critical;Enterprise,0,0,0,0,0,0,0
Avaiga/taipy,3045626261,2603,[Refactor] Add separator property to CSV DataNode,"### 📌 Description

 Add a separator property to CSV DataNode. CSVs have sometimes other separators like ;. It would be great to have Taipy handle these, too.

### 📜 Code of Conduct

- [x] I have checked the [existing issues](https://github.com/Avaiga/taipy/issues?q=is%3Aissue+) to avoid duplicates.
- [ ] I am willing to work on this issue (optional)

### ✅ Acceptance Criteria

- [ ] The refactored code maintains existing functionality without breaking changes.
- [ ] Any new code is covered by unit tests.
- [ ] Code coverage remains at least 90%.
- [ ] Performance improvements are documented, if applicable.
",FlorianJacta,98709993,open,False,0,2025-05-07T11:17:59+00:00,2025-05-09T13:00:13+00:00,,Core;📈 Improvement;🆘 Help wanted;🟨 Priority: Medium,0,0,0,0,0,0,0
Avaiga/taipy,3045327537,2602,2597 fix parent ids to release/4.1,"## What type of PR is this? (Check all that apply)

- [ ] 🛠 Refactor
- [ ] ✨ Feature
- [x] 🐛 Bug Fix
- [ ] ⚡ Optimization
- [ ] 📝 Documentation Update

## Issue
- Related Issue #2597
- Closes #2597
",jrobinAV,88036007,closed,False,1,2025-05-07T09:24:18+00:00,2025-05-07T11:25:16+00:00,2025-05-07T11:25:11+00:00,Core;🟥 Priority: Critical;💥Malfunction;Core: Repository,0,0,0,0,0,0,0
