repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
Avaiga/taipy,arcanaxion,48582724,2022-04-07T14:06:36+00:00,User,,
Avaiga/taipy,khaitruong922,56820749,2022-04-07T16:13:30+00:00,User,"Ho Chi Minh City, Vietnam.",
Avaiga/taipy,AlbVu,101818209,2022-04-08T01:17:09+00:00,User,,
Avaiga/taipy,toan-quach,93168955,2022-04-08T02:02:04+00:00,User,,
Avaiga/taipy,gmarabout,26060559,2022-04-08T16:31:15+00:00,User,"Montpellier, France",Liberscale
Avaiga/taipy,gerileka,56592646,2022-04-12T12:25:18+00:00,User,"Paris, France",
Avaiga/taipy,oo00spy00oo,7278061,2022-04-13T02:27:10+00:00,User,Ho Chi Minh,
Avaiga/taipy,TheoDemessance,49204997,2022-05-02T13:26:03+00:00,User,Paris,
Avaiga/taipy,k-l-e-e,105344676,2022-05-11T07:07:58+00:00,User,,
Avaiga/taipy,vlkong,11539089,2022-05-23T18:32:49+00:00,User,,IBM
Avaiga/taipy,ed-rhilbert,74606040,2022-06-12T15:18:05+00:00,User,France,EURODECISION
Avaiga/taipy,RemiLequette,107453589,2022-06-14T04:11:25+00:00,User,,
Avaiga/taipy,mekikis,2537460,2022-06-14T10:05:39+00:00,User,,
Avaiga/taipy,eshyun,3203073,2022-06-18T13:35:12+00:00,User,,
Avaiga/taipy,chip-felton-montage,38846106,2022-06-21T09:25:41+00:00,User,,@MontageProfessionalServices
Avaiga/taipy,joaoandre-avaiga,88906996,2022-06-23T21:36:05+00:00,User,,
Avaiga/taipy,pavlosidelov,3640173,2022-06-24T14:39:26+00:00,User,Ukraine,SDK.Finance
Avaiga/taipy,Sanhajio,17402163,2022-07-13T09:54:14+00:00,User,,
Avaiga/taipy,paul-tharun,55498156,2022-07-19T10:08:21+00:00,User,,
Avaiga/taipy,100mi,63118329,2022-07-19T11:37:49+00:00,User,,
Avaiga/taipy,trgiangdo,37588363,2022-08-05T00:54:39+00:00,User,Vietnam,@Avaiga
Avaiga/taipy,Pwaldi,4159537,2022-09-08T07:35:30+00:00,User,Hamburg,@moia-dev 
Avaiga/taipy,quantcn,77888988,2022-09-20T23:28:57+00:00,User,,
Avaiga/taipy,skadio,6173109,2022-09-21T00:30:29+00:00,User,,
Avaiga/taipy,sboomi,47070729,2022-09-26T11:04:37+00:00,User,France,
Avaiga/taipy,florian-vuillemot,16242135,2022-09-29T10:06:35+00:00,User,France,@Avaiga 
Avaiga/taipy,tiemoko7dembele,56826753,2022-09-29T13:08:27+00:00,User,"Paris, France",CACD2
Avaiga/taipy,delnoa,98879096,2022-09-30T10:07:39+00:00,User,,Avaiga
Avaiga/taipy,MLiorzou,114737121,2022-09-30T10:13:48+00:00,User,,
Avaiga/taipy,MCPE-PC,20432839,2022-10-01T06:17:18+00:00,User,"Gwangjin-gu, Seoul, Republic of Korea",@NURI-GS @JaehyeonIT @ko-KR
Avaiga/taipy,JAECHON-YU,42856326,2022-10-01T06:26:11+00:00,User,,
Avaiga/taipy,zeelsheladiya,46935793,2022-10-07T15:41:28+00:00,User,Canada,
Avaiga/taipy,thomastu,11164430,2022-10-07T22:12:36+00:00,User,"Oakland, CA",
Avaiga/taipy,dkapitan,4090894,2022-11-03T04:50:44+00:00,User,"Rotterdam, the Netherlands","Freelancer and educator in data science & AI @anthology-of-data-science, Fellow @eaisi"
Avaiga/taipy,AlexFleischerParis,56655172,2022-11-05T20:38:42+00:00,User,Paris,IBM
Avaiga/taipy,nicolasbonifas,29922130,2022-11-05T23:51:58+00:00,User,,
Avaiga/taipy,amaldesilva2,34256180,2022-11-06T04:43:48+00:00,User,,
Avaiga/taipy,andychun,582108,2022-11-06T07:23:59+00:00,User,,
Avaiga/taipy,gfantasio,9504797,2022-11-06T14:26:40+00:00,User,,
Avaiga/taipy,oussedik,63304394,2022-11-06T20:25:29+00:00,User,,
Avaiga/taipy,derekwkchan,23491179,2022-11-07T02:18:18+00:00,User,,
Avaiga/taipy,tangshw,49898925,2022-11-07T08:29:33+00:00,User,,
Avaiga/taipy,jon-bown,21086708,2022-11-08T22:19:49+00:00,User,"Salt Lake City, Utah","University of Utah, UT Austin"
Avaiga/taipy,italanchan,10571926,2022-11-09T06:37:31+00:00,User,,
Avaiga/taipy,Dion-DESOLATE1,16632474,2022-11-20T01:12:40+00:00,User,,
Avaiga/taipy,mindflayer,527325,2022-11-28T12:38:04+00:00,User,Valencia,@satellogic
Avaiga/taipy,mshell99,56317815,2022-11-29T15:25:36+00:00,User,,
Avaiga/taipy,strike978,48102757,2022-12-01T03:09:31+00:00,User,,
Avaiga/taipy,fbarscevicius,6650007,2022-12-04T16:53:34+00:00,User,"Sao Paulo, Brazil",
Avaiga/taipy,sinievanderben,47860858,2022-12-06T14:05:46+00:00,User,,
