repo_full_name,pr_id,number,title,body,user_login,user_id,state,draft,created_at,updated_at,closed_at,merged_at,merge_commit_sha,mergeable_state,additions,deletions,changed_files,commits_count,review_comments_count,comments_count,requested_reviewers,requested_teams,labels
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,4028462,1,Added instructions to Chapter 1 for consideration,"If you feel that it's a nice addition, I can try and update all the chapters with the same info
",bigsnarfdude,2282364,closed,False,2013-02-07T02:07:58+00:00,2014-06-22T15:37:40+00:00,2013-02-07T12:51:13+00:00,2013-02-07T12:51:13+00:00,944b5065e53b7986045fdfc3ccd2afeca312336c,unknown,19,0,2,4,0,2,,,
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,4062489,2,Updated the README and Screenshot for Chapter 2,"Thanks
",bigsnarfdude,2282364,closed,False,2013-02-08T19:33:07+00:00,2014-07-03T19:37:34+00:00,2013-02-08T19:34:35+00:00,2013-02-08T19:34:35+00:00,5727c0cba565d852f20406a1252f31d815e9a6ef,unknown,20,1,4,2,0,1,,,
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,4062685,3,I updated the title of Heading for the screenshot from Chapter 1 to Chapter 2,"I missed this one on updating. I need a consistency checker for VIM...
",bigsnarfdude,2282364,closed,False,2013-02-08T19:42:39+00:00,2014-06-18T14:42:36+00:00,2013-02-08T19:44:49+00:00,2013-02-08T19:44:49+00:00,255c875f465c6dc0a0e6060a48328f7aeb7d6bd7,unknown,1,1,1,1,0,0,,,
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,4228649,4,Fixes,"A typo and a file that shouldn't be there.
",larsmans,335383,closed,False,2013-02-20T11:14:27+00:00,2014-06-21T20:22:35+00:00,2013-02-20T12:56:21+00:00,2013-02-20T12:56:21+00:00,8405c5a28a06373a9ab299d01435926031b13e4b,unknown,4,3,4,2,0,1,,,
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,4284564,6,Minor editorial tweaks to Chap 1,"Spelling corrections, deleted a stray word here or there, very minor
sentence restructuring in a few places.
",pmagwene,1003418,closed,False,2013-02-22T22:29:22+00:00,2014-06-24T09:39:57+00:00,2013-02-23T15:35:42+00:00,2013-02-23T15:35:42+00:00,5f607e1813758591dc25e13ab0f2c941de75a9ac,unknown,15,15,2,2,0,1,,,
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,4293077,7,Stress that Bayesian statistics is about information,"The word ""information"" occurs only once in chapter 1, while I believe that notion to be critical to understanding how belief comes about in a Bayesian framework. Without it, Bayesian statistics might as well be a religion.
",larsmans,335383,closed,False,2013-02-24T10:54:07+00:00,2014-07-03T20:18:04+00:00,2013-02-24T15:30:17+00:00,2013-02-24T15:30:16+00:00,5b78209622d29ed6c7bd721d3356e2ffcb89dc93,unknown,2,2,1,1,0,1,,,
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,4294469,9,\case deprecated use \begin\end{case},"Hi ! 

I'm working on nbconvert pdf export. 
I got the warning/error that \case was deprecated, to replace with \begin/\end{case}

Just in case you wish to check that the html is unchanged : [nbviewer link](http://nbviewer.ipython.org/urls/raw.github.com/Carreau/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers/fix-case/Chapter1_Introduction/Chapter1_Introduction.ipynb)

With this patch I was able to compile [this pdf](http://elacave.lmdb.eu/~carreau/Chapter1_Introduction.pdf) from the first chapter.... This is still work in progress :-)
",Carreau,335567,closed,False,2013-02-24T18:20:24+00:00,2014-07-03T20:17:33+00:00,2013-02-24T18:27:30+00:00,2013-02-24T18:27:30+00:00,3c9a040c4daeeed1ebc9df39ade56af44db869a2,unknown,2,2,1,1,0,4,,,
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,4306032,10,fork => clone,"By ""forking"" I think you mean ""cloning"" in GIT. Forking has especially a
different meaning on Github, and I don't think that's what we are
referring to here.
",JensRantil,730342,closed,False,2013-02-25T16:11:56+00:00,2014-06-22T07:27:01+00:00,2013-02-25T16:16:49+00:00,2013-02-25T16:16:49+00:00,696aa4bda0a3920483a41076b614f2db25b723f5,unknown,4,2,1,1,0,1,,,
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,4462783,14,Minor typographical corrections to Chapter 1,,crmccreary,357355,closed,False,2013-03-06T02:52:05+00:00,2014-07-03T20:06:56+00:00,2013-04-17T22:22:45+00:00,,8534a44bb7eefa04e6edb51820e16e8ed3f59120,dirty,133,152,1,1,0,0,,,
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,4562990,15,Fixed some typos,"I didn't like the wording in some parts.

There are more substantial changes that would want to make but don't want to mess up the voice of the document.

Namely:

1) Highlight MCMC is just a means of performing  Bayesian Inference. There are other algorithms for doing it that are beyond the scope of the book.

2) MCMC roughly moves towards regions of high probability, but the goal is not to find the Maximum A-Posterior point. MH moves are designed so as to make sure our samples are still from the target distribution.

3) The mixture models example will have an exponential number of peaks, but because they are all isomorphic to each other, sampling around any of them is not a big deal.

I am including this here more to clarify how much detail do you believe is appropriate for this book.
",zaxtax,8529,closed,False,2013-03-12T06:51:15+00:00,2014-07-03T19:21:20+00:00,2013-03-12T12:38:41+00:00,2013-03-12T12:38:41+00:00,74f59c0fab5ce4c508060e8e42c921696c41100a,unknown,2,2,1,1,0,3,,,
