repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,sunhwan,94840,2013-01-14T15:46:28+00:00,User,"Los Angeles, CA",
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,mou,74853,2013-01-14T15:46:28+00:00,User,,
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,PMeinshausen,2926062,2013-01-14T15:46:28+00:00,User,Mumbai,
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,bobuk,1919,2013-01-14T15:46:28+00:00,User,"Kyiv, Ukraine",Oranges Team
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,darius,6712,2013-01-14T15:46:28+00:00,User,"Austin, TX","open to contracts, not perm"
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,milkypostman,38066,2013-01-14T15:46:28+00:00,User,"Madison, WI",
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,pedroteixeira,14740,2013-01-14T15:46:28+00:00,User,"Houston ,Texas",
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,johnmyleswhite,22064,2013-01-14T15:46:28+00:00,User,"New York, NY",Meta
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,pvgladkov,1284012,2013-01-14T15:46:28+00:00,User,London,
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,puuj,58322,2013-01-14T15:46:28+00:00,User,,
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,AndrewWalker,473297,2013-01-14T15:46:28+00:00,User,"Melbourne, Australia",
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,lfranchi,67976,2013-01-14T15:46:28+00:00,User,"Mammoth Lakes, CA",Pilot.com
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,desaisid,2499771,2013-01-14T15:46:28+00:00,User,,
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,gwho,280335,2013-01-14T15:46:28+00:00,User,,
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,rittme,201125,2013-01-14T15:46:28+00:00,User,Singapore,@stripe
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,fonnesbeck,81476,2013-01-14T15:46:28+00:00,User,,PyMC Labs
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,akhilpai,3229313,2013-01-14T15:46:28+00:00,User,,
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,commandodev,87764,2013-01-14T15:46:28+00:00,User,UK,Mission Ctrl
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,denimboy,89675,2013-01-14T15:46:28+00:00,User,San Francisco,Craigslist
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,reyjrar,99365,2013-01-14T15:46:28+00:00,User,"Richmond, CA",
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,AnthonyNystrom,448872,2013-01-14T15:46:28+00:00,User,USA,
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,hbuschme,122398,2013-01-14T15:46:28+00:00,User,"Bielefeld, Germany",Bielefeld University
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,ds604,122734,2013-01-14T15:46:28+00:00,User,"Brooklyn, NY",
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,vascokk,172945,2013-01-14T15:46:28+00:00,User,Ireland,
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,dopplershift,221526,2013-01-14T15:46:28+00:00,User,"Loveland, Colorado, USA",UCAR/@Unidata
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,yassersouri,289031,2013-01-14T15:46:28+00:00,User,Vancouver,Microsoft
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,tcamolesi,413134,2013-01-14T15:46:28+00:00,User,,
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,jonathansick,349384,2013-01-14T15:46:28+00:00,User,"Ontario, Canada",J.Sick Codes Inc.
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,jconnolly,355600,2013-01-14T15:46:28+00:00,User,"New York, NY",
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,rweald,371806,2013-01-14T15:46:28+00:00,User,"Bend, OR",
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,tshauck,421839,2013-01-14T15:46:28+00:00,User,Seattle,WHERE TRUE Technologies
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,wkvong,433451,2013-01-14T15:46:28+00:00,User,New York City,New York University
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,fdeheeger,473756,2013-01-14T15:46:28+00:00,User,,
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,Quantisan,484035,2013-01-14T15:46:28+00:00,User,Tokyo,@Motiva-AI
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,andypetrella,663344,2013-01-14T15:46:28+00:00,User,Liège Belgium,
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,ebellm,733983,2013-01-14T15:46:28+00:00,User,,
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,jiangfeng1124,795114,2013-01-14T15:46:28+00:00,User,,AWS AI Lab; MIT-CSAIL
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,CamDavidsonPilon,884032,2013-01-14T15:46:28+00:00,User,"Waterloo, Canada",@Pioreactor
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,gjreda,921995,2013-01-14T15:46:28+00:00,User,"Chicago, IL",@instacart
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,pflans,923620,2013-01-14T15:46:28+00:00,User,Utah,
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,dgryski,970862,2013-01-14T15:46:28+00:00,User,"Vancouver, Canada",
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,mathisonian,1074773,2013-01-14T15:46:28+00:00,User,Brooklyn,@uwdata
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,lmwang9527,1192156,2013-01-14T15:46:28+00:00,User,,
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,fridiculous,1227514,2013-01-14T15:46:28+00:00,User,,
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,artemkonenko,1409599,2013-01-14T15:46:28+00:00,User,"Ottobrunn, Deutschland",
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,alysbrooks,1570381,2013-01-14T15:46:28+00:00,User,"Wisconsin, U.S.",
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,gravesee,1675613,2013-01-14T15:46:28+00:00,User,"Minneapolis, MN",LexisNexis Risk Solutions
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,jheusser,1693496,2013-01-14T15:46:28+00:00,User,,
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,mlgill,1757241,2013-01-14T15:46:28+00:00,User,"New York, NY",@NVIDIA
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,jsouza,2300711,2013-01-14T15:46:28+00:00,User,Lisbon,Unbabel 
