repo_full_name,pr_id,number,title,body,user_login,user_id,state,draft,created_at,updated_at,closed_at,merged_at,merge_commit_sha,mergeable_state,additions,deletions,changed_files,commits_count,review_comments_count,comments_count,requested_reviewers,requested_teams,labels
FavioVazquez/ds-cheatsheets,240660508,1,Update README.md,Corrected the unsupervised learning URL,reedx8,29593134,closed,False,2018-12-23T01:21:36+00:00,2018-12-23T03:15:50+00:00,2018-12-23T03:15:50+00:00,2018-12-23T03:15:50+00:00,36fb50c82eaa1aa32e946a596625b7669154ac82,unknown,1,1,1,1,0,1,,,
FavioVazquez/ds-cheatsheets,240673099,2,Ignore .DS_Store,"Thank you for great cheatsheets collection!

`.DS_Store` is a file that stores custom attributes of its containing folder, such as the position of icons or the choice of a background image. It shouldn't be in repository.",orsinium,9638362,closed,False,2018-12-23T09:24:21+00:00,2018-12-23T10:35:29+00:00,2018-12-23T10:35:29+00:00,2018-12-23T10:35:29+00:00,605a447a445af6c81d62763327ffb7cc87d56edf,unknown,1,0,32,1,0,1,,,
FavioVazquez/ds-cheatsheets,240682046,3,Data Transformation with Dplyr,"Hello Favio,

Thank you for creating this list!

I've noticed that the image for Data Transformation with Dplyr is the same as the one of Data Import with readr, this PR fixes the url to the correct image.",euljr,6294868,closed,False,2018-12-23T13:28:19+00:00,2018-12-23T17:43:45+00:00,2018-12-23T17:43:45+00:00,2018-12-23T17:43:45+00:00,7a68a0e0e99650182b4bd39f205bdf3acd16441d,unknown,1,1,1,1,0,1,,,
FavioVazquez/ds-cheatsheets,240706205,5,Removed duplicate Keras (Python) pdf under Deep Learning / R category…,"…. Now, it is shown under only Python.

Related to issue #4 ",zgrkpnr,10296457,closed,False,2018-12-23T23:57:17+00:00,2018-12-24T23:17:42+00:00,2018-12-24T23:17:42+00:00,2018-12-24T23:17:42+00:00,491d8d0f346f370f4728cfda89c489b7722e6a20,unknown,0,3,1,1,0,0,,,
FavioVazquez/ds-cheatsheets,244150149,9,Added Business Science + RStudio submodules and updated Readme,"Business Science submodule: 
- Added the Business Science repo as a submodule referencing the master branch
- Retained the existing img folder for screenshots on README
- Updated README links of PDF's to point towards the PDF's in the Business Science repo.

RStudio submodule
- Added RStudio's cheatsheet repo as a submodule referencing the master branch
- Updated PDF links in README pointing to PDF's in RStudio's repo
- Updated png links in README pointing to the pngs folder in the RStudio repo

This is in line with the discussion in issue #8, and should hopefully enable the latest cheatsheets to be referenced via README or via fetching the latest commit in the submodules. 

One disadvantage is that RStudio's cheatsheet repo is a relatively large download.",shrysr,11930484,closed,False,2019-01-11T21:09:58+00:00,2019-01-12T22:57:56+00:00,2019-01-12T22:57:56+00:00,2019-01-12T22:57:56+00:00,774a5aa2fb1b98dd7e94c356bd69875d1f06acff,unknown,71,61,79,5,0,0,,,
FavioVazquez/ds-cheatsheets,244793337,10,Create suggestions_sayak.md,,sayakpaul,22957388,closed,False,2019-01-15T13:26:18+00:00,2019-01-16T03:43:12+00:00,2019-01-16T03:43:12+00:00,,8cbf8c01be6540e68e0b3516e0e43421c83cb5ff,unknown,1,0,1,1,0,1,,,
FavioVazquez/ds-cheatsheets,245981010,13,"Added Cheatsheets for Emacs, Git, BASH","- Added cheatsheets for Emacs, GIT and BASH under General.
- Updated README to include screenshots and PDF's. 
",shrysr,11930484,closed,False,2019-01-18T21:42:25+00:00,2019-01-25T22:15:17+00:00,2019-01-25T22:15:17+00:00,2019-01-25T22:15:17+00:00,6e9084269c4e165dbf0022901b3a67eaf3080c95,unknown,24,0,13,5,0,1,,,
FavioVazquez/ds-cheatsheets,247026389,14,Add probability cheatsheet by Joe Blitzstein and William Chen,,sayakpaul,22957388,closed,False,2019-01-23T16:10:36+00:00,2019-01-26T05:57:21+00:00,2019-01-26T05:57:21+00:00,,7d31600c79ae5b731147476b9a2de8192d4d21ef,unknown,0,0,1,2,0,2,,,
FavioVazquez/ds-cheatsheets,247870409,15,Add the Probability Cheatsheet by Joe Blitzstein and William Chen,,sayakpaul,22957388,closed,False,2019-01-26T05:56:30+00:00,2019-03-02T19:11:37+00:00,2019-02-28T16:04:32+00:00,2019-02-28T16:04:32+00:00,d0b2ebf3cf3a3af74997bf5337775684c5ef2dd2,unknown,13,1,12,6,0,4,,,
FavioVazquez/ds-cheatsheets,261712701,17,DVC Cheat Sheet,Added Cheat Sheet for DVC (Data Version Control),cwallaceh,4714229,closed,False,2019-03-15T22:07:27+00:00,2019-04-02T20:00:22+00:00,2019-04-02T20:00:22+00:00,2019-04-02T20:00:22+00:00,29179e03add6b0cac383bf65cca01e8069a6672b,unknown,4,0,3,2,0,1,,,
FavioVazquez/ds-cheatsheets,264659957,18,Added python regex (Dataquest ) and BSU's regression and clustering cheatsheets,"As suggested in #16 : Added the PDF and PNG, and updated Readme to reflect. 

Additionally :  
- Added Business Science University (BSU) Clustering and segmentation cheatsheet to Machine Learning > Unsupervised.
- Added BSU's Regression cheatsheet to Machine Learning > Supervised.",shrysr,11930484,closed,False,2019-03-26T19:17:22+00:00,2019-04-02T20:01:16+00:00,2019-04-02T20:01:16+00:00,2019-04-02T20:01:16+00:00,91024364b76f085ae430f4a21fc54c3de2c355b0,unknown,14,4,7,4,0,0,,,
