repo_full_name,issue_id,number,title,body,user_login,user_id,state,locked,comments_count,created_at,updated_at,closed_at,labels,reactions_total,reactions_plus1,reactions_minus1,reactions_laugh,reactions_hooray,reactions_confused,reactions_heart
GokuMohandas/Made-With-ML,2951350799,274,ModuleNotFoundError: No module named 'pkg_resources._vendor',"Although I did install all the packages as instructed in [Setup ](https://madewithml.com/courses/mlops/setup/). But when I do run the cell code in [Distributed Data Processing](https://madewithml.com/courses/mlops/distributed-data/), I get the following error.

```python
# Data ingestion
ds = ray.data.read_csv(DATASET_LOC)
ds = ds.random_shuffle(seed=1234)
ds.take(1)
```

```shell
---------------------------------------------------------------------------
RayTaskError(ModuleNotFoundError)         Traceback (most recent call last)
Cell In[40], line 2
      1 # Data ingestion
----> 2 ds = ray.data.read_csv(DATASET_LOC)
      3 ds = ds.random_shuffle(seed=1234)
      4 ds.take(1)

File d:\madewithml\venv\lib\site-packages\ray\data\read_api.py:1208, in read_csv(paths, filesystem, parallelism, ray_remote_args, arrow_open_stream_args, meta_provider, partition_filter, partitioning, ignore_missing_paths, **arrow_csv_args)
   1206 if meta_provider is None:
   1207     meta_provider = get_generic_metadata_provider(CSVDatasource._FILE_EXTENSION)
-> 1208 return read_datasource(
   1209     CSVDatasource(),
   1210     parallelism=parallelism,
   1211     paths=paths,
   1212     filesystem=filesystem,
   1213     ray_remote_args=ray_remote_args,
   1214     open_stream_args=arrow_open_stream_args,
   1215     meta_provider=meta_provider,
   1216     partition_filter=partition_filter,
   1217     partitioning=partitioning,
   1218     ignore_missing_paths=ignore_missing_paths,
   1219     **arrow_csv_args,
   1220 )

File d:\madewithml\venv\lib\site-packages\ray\_private\auto_init_hook.py:24, in wrap_auto_init.<locals>.auto_init_wrapper(*args, **kwargs)
     21 @wraps(fn)
     22 def auto_init_wrapper(*args, **kwargs):
     23     auto_init_ray()
---> 24     return fn(*args, **kwargs)

File d:\madewithml\venv\lib\site-packages\ray\data\read_api.py:371, in read_datasource(datasource, parallelism, ray_remote_args, **read_args)
    363     scheduling_strategy = NodeAffinitySchedulingStrategy(
    364         ray.get_runtime_context().get_node_id(),
    365         soft=False,
    366     )
    367     get_reader = cached_remote_fn(
    368         _get_reader, retry_exceptions=False, num_cpus=0
    369     ).options(scheduling_strategy=scheduling_strategy)
--> 371     (requested_parallelism, min_safe_parallelism, inmemory_size, reader,) = ray.get(
    372         get_reader.remote(
    373             datasource,
    374             ctx,
    375             cur_pg,
    376             parallelism,
    377             local_uri,
    378             _wrap_arrow_serialization_workaround(read_args),
    379         )
    380     )
    382 # TODO(hchen/chengsu): Remove the duplicated get_read_tasks call here after
    383 # removing LazyBlockList code path.
    384 read_tasks = reader.get_read_tasks(requested_parallelism)

File d:\madewithml\venv\lib\site-packages\ray\_private\auto_init_hook.py:24, in wrap_auto_init.<locals>.auto_init_wrapper(*args, **kwargs)
     21 @wraps(fn)
     22 def auto_init_wrapper(*args, **kwargs):
     23     auto_init_ray()
---> 24     return fn(*args, **kwargs)

File d:\madewithml\venv\lib\site-packages\ray\_private\client_mode_hook.py:103, in client_mode_hook.<locals>.wrapper(*args, **kwargs)
    101     if func.__name__ != ""init"" or is_client_mode_enabled_by_default:
    102         return getattr(ray, func.__name__)(*args, **kwargs)
--> 103 return func(*args, **kwargs)

File d:\madewithml\venv\lib\site-packages\ray\_private\worker.py:2547, in get(object_refs, timeout)
   2545     worker.core_worker.dump_object_store_memory_usage()
   2546 if isinstance(value, RayTaskError):
-> 2547     raise value.as_instanceof_cause()
   2548 else:
   2549     raise value

RayTaskError(ModuleNotFoundError): ray::_get_reader() (pid=17388, ip=127.0.0.1)
  File ""python\ray\_raylet.pyx"", line 1616, in ray._raylet.execute_task
  File ""d:\madewithml\venv\lib\site-packages\ray\data\read_api.py"", line 2348, in _get_reader
    reader = ds.create_reader(**kwargs)
  File ""d:\madewithml\venv\lib\site-packages\ray\data\datasource\file_based_datasource.py"", line 256, in create_reader
    return _FileBasedDatasourceReader(self, **kwargs)
  File ""d:\madewithml\venv\lib\site-packages\ray\data\datasource\file_based_datasource.py"", line 476, in __init__
    _check_pyarrow_version()
  File ""d:\madewithml\venv\lib\site-packages\ray\data\_internal\util.py"", line 78, in _check_pyarrow_version
    from pkg_resources._vendor.packaging.version import parse as parse_version
ModuleNotFoundError: No module named 'pkg_resources._vendor'
```
",hoangziet,108646783,open,False,1,2025-03-27T03:07:07+00:00,2025-04-02T07:35:56+00:00,,,0,0,0,0,0,0,0
GokuMohandas/Made-With-ML,2801614505,273,Fix course link in README.md,Fix course link in README.md,kudosscience,45144290,open,False,0,2025-01-21T11:51:37+00:00,2025-01-21T11:51:37+00:00,,,0,0,0,0,0,0,0
GokuMohandas/Made-With-ML,2579428088,271,TypeError in Ray TorchTrainer with StreamSplitDataIterator,"### What happened + What you expected to happen

## **Description:**

I encountered a TypeError when running TorchTrainer in a Ray Tune experiment. The error occurs due to an issue with StreamSplitDataIterator, which does not have a defined len() method. This issue causes the trial to fail and the training process to stop.
 
 ## Error Traceback:
 
 ```
---------------------------------------------------------------------------
RayTaskError(TypeError)                   Traceback (most recent call last)
RayTaskError(TypeError): ray::_Inner.train() (pid=545925, ip=127.0.1.1, actor_id=8df214bd0f57efa0f244450001000000, repr=TorchTrainer)
  File ""/home/ali/Desktop/projects/AIUpdateHub/venv/lib/python3.10/site-packages/ray/tune/trainable/trainable.py"", line 331, in train
    raise skipped from exception_cause(skipped)
  File ""/home/ali/Desktop/projects/AIUpdateHub/venv/lib/python3.10/site-packages/ray/train/_internal/utils.py"", line 57, in check_for_failure
    ray.get(object_ref)
ray.exceptions.RayTaskError(TypeError): ray::_RayTrainWorker__execute.get_next() (pid=546125, ip=127.0.1.1, actor_id=2c8fbaded7de91dfce4cb83501000000, repr=<ray.train._internal.worker_group.RayTrainWorker object at 0x7099dcd57c70>)
  File ""/home/ali/Desktop/projects/AIUpdateHub/venv/lib/python3.10/site-packages/ray/train/_internal/worker_group.py"", line 33, in __execute
    raise skipped from exception_cause(skipped)
  File ""/home/ali/Desktop/projects/AIUpdateHub/venv/lib/python3.10/site-packages/ray/train/_internal/utils.py"", line 176, in discard_return_wrapper
    train_func(*args, **kwargs)
  File ""/tmp/ipykernel_542780/2278135304.py"", line 29, in train_loop_per_worker
TypeError: object of type 'StreamSplitDataIterator' has no len()

 ```

## **Expected Behavior:**
I expected the training loop to handle the `StreamSplitDataIterator` properly without raising the `TypeError`.


## **Actual Behavior:**
The `TypeError` prevents the training process from completing, as it attempts to calculate the length of an object that lacks a `__len__` method.



## **Detailed Traceback**

```
2024-10-10 16:42:48,349	DEBUG resource_updater.py:258 -- Checking Ray cluster resources.
2024-10-10 16:42:48,673	DEBUG tune_controller.py:1240 -- Future TRAIN FAILED for trial TorchTrainer_ccdf1_00000: ray::_Inner.train() (pid=545925, ip=127.0.1.1, actor_id=8df214bd0f57efa0f244450001000000, repr=TorchTrainer)
  File ""/home/ali/Desktop/projects/AIUpdateHub/venv/lib/python3.10/site-packages/ray/tune/trainable/trainable.py"", line 331, in train
    raise skipped from exception_cause(skipped)
  File ""/home/ali/Desktop/projects/AIUpdateHub/venv/lib/python3.10/site-packages/ray/train/_internal/utils.py"", line 57, in check_for_failure
    ray.get(object_ref)
ray.exceptions.RayTaskError(TypeError): ray::_RayTrainWorker__execute.get_next() (pid=546125, ip=127.0.1.1, actor_id=2c8fbaded7de91dfce4cb83501000000, repr=<ray.train._internal.worker_group.RayTrainWorker object at 0x7099dcd57c70>)
  File ""/home/ali/Desktop/projects/AIUpdateHub/venv/lib/python3.10/site-packages/ray/train/_internal/worker_group.py"", line 33, in __execute
    raise skipped from exception_cause(skipped)
  File ""/home/ali/Desktop/projects/AIUpdateHub/venv/lib/python3.10/site-packages/ray/train/_internal/utils.py"", line 176, in discard_return_wrapper
    train_func(*args, **kwargs)
  File ""/tmp/ipykernel_542780/2278135304.py"", line 29, in train_loop_per_worker
TypeError: object of type 'StreamSplitDataIterator' has no len()
2024-10-10 16:42:48,674	ERROR tune_controller.py:1331 -- Trial task failed for trial TorchTrainer_ccdf1_00000
Traceback (most recent call last):
  File ""/home/ali/Desktop/projects/AIUpdateHub/venv/lib/python3.10/site-packages/ray/air/execution/_internal/event_manager.py"", line 110, in resolve_future
    result = ray.get(future)
  File ""/home/ali/Desktop/projects/AIUpdateHub/venv/lib/python3.10/site-packages/ray/_private/auto_init_hook.py"", line 21, in auto_init_wrapper
    return fn(*args, **kwargs)
  File ""/home/ali/Desktop/projects/AIUpdateHub/venv/lib/python3.10/site-packages/ray/_private/client_mode_hook.py"", line 103, in wrapper
    return func(*args, **kwargs)
  File ""/home/ali/Desktop/projects/AIUpdateHub/venv/lib/python3.10/site-packages/ray/_private/worker.py"", line 2691, in get
    values, debugger_breakpoint = worker.get_objects(object_refs, timeout=timeout)
  File ""/home/ali/Desktop/projects/AIUpdateHub/venv/lib/python3.10/site-packages/ray/_private/worker.py"", line 871, in get_objects
    raise value.as_instanceof_cause()
ray.exceptions.RayTaskError(TypeError): ray::_Inner.train() (pid=545925, ip=127.0.1.1, actor_id=8df214bd0f57efa0f244450001000000, repr=TorchTrainer)
  File ""/home/ali/Desktop/projects/AIUpdateHub/venv/lib/python3.10/site-packages/ray/tune/trainable/trainable.py"", line 331, in train
    raise skipped from exception_cause(skipped)
  File ""/home/ali/Desktop/projects/AIUpdateHub/venv/lib/python3.10/site-packages/ray/train/_internal/utils.py"", line 57, in check_for_failure
    ray.get(object_ref)
ray.exceptions.RayTaskError(TypeError): ray::_RayTrainWorker__execute.get_next() (pid=546125, ip=127.0.1.1, actor_id=2c8fbaded7de91dfce4cb83501000000, repr=<ray.train._internal.worker_group.RayTrainWorker object at 0x7099dcd57c70>)
  File ""/home/ali/Desktop/projects/AIUpdateHub/venv/lib/python3.10/site-packages/ray/train/_internal/worker_group.py"", line 33, in __execute
    raise skipped from exception_cause(skipped)
  File ""/home/ali/Desktop/projects/AIUpdateHub/venv/lib/python3.10/site-packages/ray/train/_internal/utils.py"", line 176, in discard_return_wrapper
    train_func(*args, **kwargs)
  File ""/tmp/ipykernel_542780/2278135304.py"", line 29, in train_loop_per_worker
TypeError: object of type 'StreamSplitDataIterator' has no len()
2024-10-10 16:42:48,843	DEBUG tune_controller.py:1367 -- Requesting to STOP actor for trial TorchTrainer_ccdf1_00000
2024-10-10 16:42:48,845	DEBUG tune_controller.py:735 -- Setting status for trial TorchTrainer_ccdf1_00000 from RUNNING to ERROR
2024-10-10 16:42:48,845	DEBUG tune_controller.py:1396 -- Terminating actor for trial TorchTrainer_ccdf1_00000: <TrackedActor 55643445138953405172927010354651748243>
2024-10-10 16:42:48,852	DEBUG experiment_state.py:122 -- Experiment state snapshotting took 0.00 seconds. Adjusting snapshotting period to 10.00 seconds.
2024-10-10 16:42:48,941	DEBUG experiment_state.py:122 -- Experiment state snapshotting took 0.08 seconds. Adjusting snapshotting period to 10.00 seconds.
2024-10-10 16:42:48,942	INFO tune.py:1009 -- Wrote the latest version of all result files and experiment state to '/home/ali/Desktop/projects/AIUpdateHub/efs/llm' in 0.0838s.
2024-10-10 16:42:48,949	DEBUG tune_controller.py:784 -- CLEANING UP all trials
2024-10-10 16:42:48,952	DEBUG tune_controller.py:800 -- Waiting for actor manager to clean up final state [dedup]
== Status ==
Current time: 2024-10-10 16:42:48 (running for 00:00:50.81)
Using FIFO scheduling algorithm.
Logical resource usage: 2.0/4 CPUs, 0/0 GPUs
Result logdir: /tmp/ray/session_2024-10-10_16-36-38_318744_542780/artifacts/2024-10-10_16-41-57/llm/driver_artifacts
Number of trials: 1/1 (1 ERROR)
Number of errored trials: 1
+--------------------------+--------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Trial name               |   # failures | error file                                                                                                                                                     |
|--------------------------+--------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------|
| TorchTrainer_ccdf1_00000 |            1 | /tmp/ray/session_2024-10-10_16-36-38_318744_542780/artifacts/2024-10-10_16-41-57/llm/driver_artifacts/TorchTrainer_ccdf1_00000_0_2024-10-10_16-41-58/error.txt |
+--------------------------+--------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------+

== Status ==
Current time: 2024-10-10 16:42:48 (running for 00:00:50.90)
Using FIFO scheduling algorithm.
Logical resource usage: 2.0/4 CPUs, 0/0 GPUs
Result logdir: /tmp/ray/session_2024-10-10_16-36-38_318744_542780/artifacts/2024-10-10_16-41-57/llm/driver_artifacts
Number of trials: 1/1 (1 ERROR)
Number of errored trials: 1
+--------------------------+--------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Trial name               |   # failures | error file                                                                                                                                                     |
|--------------------------+--------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------|
| TorchTrainer_ccdf1_00000 |            1 | /tmp/ray/session_2024-10-10_16-36-38_318744_542780/artifacts/2024-10-10_16-41-57/llm/driver_artifacts/TorchTrainer_ccdf1_00000_0_2024-10-10_16-41-58/error.txt |
+--------------------------+--------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------+

2024-10-10 16:42:49,091	DEBUG tune_controller.py:1149 -- Actor STOPPED: <TrackedActor 55643445138953405172927010354651748243>
2024-10-10 16:42:49,094	DEBUG tune_controller.py:805 -- Force cleanup of remaining actors
2024-10-10 16:42:49,099	ERROR tune.py:1037 -- Trials did not complete: [TorchTrainer_ccdf1_00000]
2024-10-10 16:42:49,103	INFO tune.py:1041 -- Total run time: 51.81 seconds (50.81 seconds for the tuning loop).
---------------------------------------------------------------------------
RayTaskError(TypeError)                   Traceback (most recent call last)
RayTaskError(TypeError): ray::_Inner.train() (pid=545925, ip=127.0.1.1, actor_id=8df214bd0f57efa0f244450001000000, repr=TorchTrainer)
  File ""/home/ali/Desktop/projects/AIUpdateHub/venv/lib/python3.10/site-packages/ray/tune/trainable/trainable.py"", line 331, in train
    raise skipped from exception_cause(skipped)
  File ""/home/ali/Desktop/projects/AIUpdateHub/venv/lib/python3.10/site-packages/ray/train/_internal/utils.py"", line 57, in check_for_failure
    ray.get(object_ref)
ray.exceptions.RayTaskError(TypeError): ray::_RayTrainWorker__execute.get_next() (pid=546125, ip=127.0.1.1, actor_id=2c8fbaded7de91dfce4cb83501000000, repr=<ray.train._internal.worker_group.RayTrainWorker object at 0x7099dcd57c70>)
  File ""/home/ali/Desktop/projects/AIUpdateHub/venv/lib/python3.10/site-packages/ray/train/_internal/worker_group.py"", line 33, in __execute
    raise skipped from exception_cause(skipped)
  File ""/home/ali/Desktop/projects/AIUpdateHub/venv/lib/python3.10/site-packages/ray/train/_internal/utils.py"", line 176, in discard_return_wrapper
    train_func(*args, **kwargs)
  File ""/tmp/ipykernel_542780/2278135304.py"", line 29, in train_loop_per_worker
TypeError: object of type 'StreamSplitDataIterator' has no len()

The above exception was the direct cause of the following exception:

TrainingFailedError                       Traceback (most recent call last)
File <timed exec>:2

File ~/Desktop/projects/AIUpdateHub/venv/lib/python3.10/site-packages/ray/train/base_trainer.py:638, in BaseTrainer.fit(self)
    634 result = result_grid[0]
    635 if result.error:
    636     # Raise trainable errors to the user with a message to restore
    637     # or configure FailureConfig in a new run.
--> 638     raise TrainingFailedError(
    639         ""\n"".join([restore_msg, TrainingFailedError._FAILURE_CONFIG_MSG])
    640     ) from result.error
    641 return result

TrainingFailedError: The Ray Train run failed. Please inspect the previous error messages for a cause. After fixing the issue (assuming that the error is not caused by your own application logic, but rather an error such as OOM), you can restart the run from scratch or continue this run.
To continue this run, you can use: trainer = TorchTrainer.restore(""/home/ali/Desktop/projects/AIUpdateHub/efs/llm"").
To start a new run that will retry on training failures, set train.RunConfig(failure_config=train.FailureConfig(max_failures)) in the Trainer's run_config with max_failures > 0, or max_failures = -1 for unlimited retries
``` 
    
    
    

### Versions / Dependencies

## **Environment**:

**Ray version:** 2.37.0
**Python version:** 3.10
**OS:** Ubuntu
**Hardware:** CPU-based training on local laptop

### Reproduction script

## **Related codes**

----------- **Trainer** -----------------
```
trainer = TorchTrainer(
    train_loop_per_worker=train_loop_per_worker,
    train_loop_config=train_loop_config,
    scaling_config=scaling_config,
    run_config=run_config,
    datasets={""train"": train_ds, ""val"": val_ds},
    dataset_config=dataset_config,
    metadata={""class_to_index"": preprocessor.class_to_index}
)
```

 ------------------------ **train_step**  -------------------------
```
def train_step(ds, batch_size, model, num_classes, loss_fn, optimizer):
    """"""Train step.""""""
    model.train()  # Set model to training mode
    cumulative_loss = 0.0  # Initialize cumulative loss
    #ds_generator = ds.iter_torch_batches(batch_size=batch_size, collate_fn=collate_fn)  # Batch-wise generator
    ds_generator = ds.iter_batches(batch_size=batch_size, batch_format=""torch"", collate_fn=collate_fn)
    # Loop over batches
    for i, batch in enumerate(ds_generator):
        optimizer.zero_grad()  # Reset gradients before each batch
        z = model(batch)  # Forward pass
        
        # Ensure that targets are one-hot encoded properly
        targets = F.one_hot(batch[""targets""], num_classes=num_classes).float()
        
        # Calculate loss
        loss = loss_fn(z, targets)
        
        # Backpropagation
        loss.backward()  # Backward pass
        optimizer.step()  # Update model weights
        
        # Calculate cumulative loss
        cumulative_loss += loss.detach().item()
    
    # Return the average loss over all batches
    return cumulative_loss / (i + 1)

```

----------------- **train_loop_per_worker** -------------------------
```
# Set up logging
logging.basicConfig(level=logging.INFO)  # You can set this to DEBUG for more detail
logger = logging.getLogger(__name__)

# Training loop
def train_loop_per_worker(config):
    # Hyperparameters
    dropout_p = config[""dropout_p""]
    lr = config[""lr""]
    lr_factor = config[""lr_factor""]
    lr_patience = config[""lr_patience""]
    num_epochs = config[""num_epochs""]
    batch_size = config[""batch_size""]
    num_classes = config[""num_classes""]

    # Get datasets
    set_seeds()
    logger.info(""Loading dataset shards..."")
    train_ds = train.get_dataset_shard(""train"")
    val_ds = train.get_dataset_shard(""val"")
    logger.info(f""Dataset shards loaded. Training data size: {len(train_ds)}, Validation data size: {len(val_ds)}"")

    # Model
    llm = BertModel.from_pretrained(""allenai/scibert_scivocab_uncased"", return_dict=False)
    model = FinetunedLLM(llm=llm, dropout_p=dropout_p, embedding_dim=llm.config.hidden_size, num_classes=num_classes)
    model = train.torch.prepare_model(model)
    logger.info(""Model initialized."")

    # Training components
    loss_fn = nn.BCEWithLogitsLoss()
    optimizer = torch.optim.Adam(model.parameters(), lr=lr)
    scheduler = torch.optim.lr_scheduler.ReduceLROnPlateau(optimizer, mode=""min"", factor=lr_factor, patience=lr_patience)
    logger.info(""Optimizer and scheduler initialized."")

    # Training
    num_workers = train.get_context().get_world_size()
    batch_size_per_worker = batch_size // num_workers
    logger.info(f""Training started with {num_workers} workers and batch size per worker: {batch_size_per_worker}"")

    for epoch in range(num_epochs):
        logger.info(f""Epoch {epoch + 1}/{num_epochs}"")
        train_loss = train_step(train_ds, batch_size_per_worker, model, num_classes, loss_fn, optimizer)
        logger.info(f""Training loss for epoch {epoch + 1}: {train_loss}"")

        val_loss, _, _ = eval_step(val_ds, batch_size_per_worker, model, num_classes, loss_fn)
        logger.info(f""Validation loss for epoch {epoch + 1}: {val_loss}"")
        scheduler.step(val_loss)

        # Checkpoint
        with tempfile.TemporaryDirectory() as dp:
            if isinstance(model, torch.nn.parallel.DistributedDataParallel):  # CPU case
                model.module.save(dp=dp)
            else:
                model.save(dp=dp)
            metrics = dict(epoch=epoch, lr=optimizer.param_groups[0][""lr""], train_loss=train_loss, val_loss=val_loss)
            checkpoint = Checkpoint.from_directory(dp)
            train.report(metrics, checkpoint=checkpoint)
            logger.info(f""Epoch {epoch + 1} completed and checkpoint saved."")
```

--------- **load_data** ----------

```
def load_data(dataset_loc: str, num_samples: int = None) -> Dataset:
    """"""Load data from source into a Ray Dataset.

    Args:
        dataset_loc (str): Location of the dataset.
        num_samples (int, optional): The number of samples to load. Defaults to None.

    Returns:
        Dataset: Our dataset represented by a Ray Dataset.
    """"""
    ds = ray.data.read_csv(dataset_loc)
    ds = ds.random_shuffle(seed=1234)
    ds = ray.data.from_items(ds.take(num_samples)) if num_samples else ds
    return ds
    ```

### Issue Severity

High: It blocks me from completing my task.",AliHaiderAhmad001,102966515,open,False,0,2024-10-10T17:25:33+00:00,2024-10-10T17:25:33+00:00,,,0,0,0,0,0,0,0
GokuMohandas/Made-With-ML,2545905359,270,The Ray link is not updated,"In the [Setup](https://madewithml.com/courses/mlops/setup/) section, the Ray link provided is (https://github.com/project-ray/ray) and it is not found. I think the link will be (https://github.com/ray-project/ray).  Could anyone correct this typo?

![ray_error](https://github.com/user-attachments/assets/a2412d95-22a8-4d86-b5ba-d21af9ac70d7)",JaiSuryaPrabu,106684947,open,False,0,2024-09-24T16:54:21+00:00,2024-09-24T16:54:21+00:00,,,0,0,0,0,0,0,0
GokuMohandas/Made-With-ML,2471783583,264,Create nextjs.yml,,jekabspl,53561329,open,False,0,2024-08-18T04:34:14+00:00,2024-08-18T04:34:14+00:00,,,0,0,0,0,0,0,0
GokuMohandas/Made-With-ML,2440946249,263,Getting TypeError: RayTaskError.as_instanceof_cause.<locals>.cls.__init__() takes 2 positional arguments but 4 were given ,"After running below code

```
# Trainer
trainer = TorchTrainer(
    train_loop_per_worker=train_loop_per_worker,
    train_loop_config=train_loop_config,
    scaling_config=scaling_config,
    run_config=run_config,
    datasets={""train"": train_ds, ""val"": val_ds},
    dataset_config=dataset_config,
    metadata={""class_to_index"": preprocessor.class_to_index}
)

%%time
# Train
results = trainer.fit()
```
Setuptools version - `69.5.1`
Ray version - `2.7.0` also tried `2.7.1` & `2.7.2`

getting below error - 

> -------------------------------------------------------------------------
> TypeError                                 Traceback (most recent call last)
> File <timed exec>:2
> 
> File /opt/anaconda3/envs/madewithml/lib/python3.10/site-packages/ray/train/base_trainer.py:653, in BaseTrainer.fit(self)
>     647 restore_msg = TrainingFailedError._RESTORE_MSG.format(
>     648     trainer_cls_name=self.__class__.__name__,
>     649     path=str(experiment_local_path),
>     650 )
>     652 try:
> --> 653     result_grid = tuner.fit()
>     654 except TuneError as e:
>     655     # Catch any `TuneError`s raised by the `Tuner.fit` call.
>     656     # Unwrap the `TuneError` if needed.
>     657     parent_error = e.__cause__ or e
> 
> File /opt/anaconda3/envs/madewithml/lib/python3.10/site-packages/ray/tune/tuner.py:372, in Tuner.fit(self)
>     370 if not self._is_ray_client:
>     371     try:
> --> 372         return self._local_tuner.fit()
>     373     except TuneError as e:
>     374         raise TuneError(
>     375             _TUNER_FAILED_MSG.format(
>     376                 path=self._local_tuner.get_experiment_checkpoint_dir()
>     377             )
>     378         ) from e
> 
> File /opt/anaconda3/envs/madewithml/lib/python3.10/site-packages/ray/tune/impl/tuner_internal.py:585, in TunerInternal.fit(self)
>     581     analysis = self._fit_resume(trainable, param_space)
>     583 self._experiment_analysis = analysis
> --> 585 return ResultGrid(self._experiment_analysis)
> 
> File /opt/anaconda3/envs/madewithml/lib/python3.10/site-packages/ray/tune/result_grid.py:83, in ResultGrid.__init__(self, experiment_analysis)
>      78 def __init__(
>      79     self,
>      80     experiment_analysis: ExperimentAnalysis,
>      81 ):
>      82     self._experiment_analysis = experiment_analysis
> ---> 83     self._results = [
>      84         self._trial_to_result(trial) for trial in self._experiment_analysis.trials
>      85     ]
> 
> File /opt/anaconda3/envs/madewithml/lib/python3.10/site-packages/ray/tune/result_grid.py:84, in <listcomp>(.0)
>      78 def __init__(
>      79     self,
>      80     experiment_analysis: ExperimentAnalysis,
>      81 ):
>      82     self._experiment_analysis = experiment_analysis
>      83     self._results = [
> ---> 84         self._trial_to_result(trial) for trial in self._experiment_analysis.trials
>      85     ]
> 
> File /opt/anaconda3/envs/madewithml/lib/python3.10/site-packages/ray/tune/result_grid.py:317, in ResultGrid._trial_to_result(self, trial)
>     309 else:
>     310     metrics_df = self._experiment_analysis.trial_dataframes.get(
>     311         trial.local_path
>     312     )
>     314 result = Result(
>     315     checkpoint=checkpoint,
>     316     metrics=trial.last_result.copy(),
> --> 317     error=self._populate_exception(trial),
>     318     _local_path=trial.local_path,
>     319     _remote_path=trial.remote_path,
>     320     _storage_filesystem=(
>     321         self._experiment_analysis._fs
>     322         if isinstance(self._experiment_analysis, ExperimentAnalysis)
>     323         else None
>     324     ),
>     325     metrics_dataframe=metrics_df,
>     326     best_checkpoints=best_checkpoints,
>     327 )
>     328 return result
> 
> File /opt/anaconda3/envs/madewithml/lib/python3.10/site-packages/ray/tune/result_grid.py:262, in ResultGrid._populate_exception(trial)
>     260 if trial.pickled_error_file and os.path.exists(trial.pickled_error_file):
>     261     with open(trial.pickled_error_file, ""rb"") as f:
> --> 262         e = cloudpickle.load(f)
>     263         return e
>     264 elif trial.error_file and os.path.exists(trial.error_file):
> 
> TypeError: RayTaskError.as_instanceof_cause.<locals>.cls.__init__() takes 2 positional arguments but 4 were given
",NikhilK-crypto,58160895,open,False,2,2024-07-31T20:59:47+00:00,2024-11-13T23:38:23+00:00,,,0,0,0,0,0,0,0
GokuMohandas/Made-With-ML,2434604372,262,docs: fixed course link in README.md,Fixed the course link in README's set up,vladlearns,48068368,open,False,1,2024-07-29T06:54:17+00:00,2024-07-29T06:54:43+00:00,,,0,0,0,0,0,0,0
GokuMohandas/Made-With-ML,2406815753,261,Reporting a typo! ,"in the 
(Evaluating Machine Learning Models) webpage. 

We can also use model-specific approaches to interpretability we we did in our [embeddings lesson](https://madewithml.com/courses/foundations/embeddings/#interpretability) to identify the most influential n-grams in our text. ===>>
We can also use model-specific approaches to interpretability we did in our [embeddings lesson](https://madewithml.com/courses/foundations/embeddings/#interpretability) to identify the most influential n-grams in our text. 

there is an extra (we) in this text",mohammad-gh009,75425392,closed,False,1,2024-07-13T09:19:51+00:00,2025-04-28T22:40:53+00:00,2025-04-28T22:40:53+00:00,,0,0,0,0,0,0,0
GokuMohandas/Made-With-ML,2392899326,260,add GTM container,,saihaj,44710980,closed,False,1,2024-07-05T16:46:37+00:00,2024-07-05T18:11:41+00:00,2024-07-05T18:11:39+00:00,,0,0,0,0,0,0,0
GokuMohandas/Made-With-ML,2387032908,259,"Anyscale Web UI updated, problem at Setup","The any scale web UI seems to have changed compared to the demo. I was at the setup and wanted to ask how to set the compute config to ""madewithml-cluster-compute"" - is this just a name or has more config built in?

And also, how do I specify the post build commands?

<img width=""145"" alt=""Screenshot 2024-07-02 at 12 49 03"" src=""https://github.com/GokuMohandas/Made-With-ML/assets/27727185/56ff3b8d-7d52-4757-be56-a63bf3db9eb5"">


Thanks in advance",jmayank23,27727185,open,False,1,2024-07-02T19:50:00+00:00,2024-11-06T00:48:39+00:00,,,0,0,0,0,0,0,0
