repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
GokuMohandas/Made-With-ML,raghuch,14867819,2018-11-21T11:50:55+00:00,User,"Bangalore, India",
GokuMohandas/Made-With-ML,vishalbelsare,1388100,2018-11-30T14:34:05+00:00,User,,
GokuMohandas/Made-With-ML,paulananth,35537014,2018-12-01T00:48:08+00:00,User,,
GokuMohandas/Made-With-ML,shubhampachori12110095,10264153,2018-12-02T11:13:30+00:00,User,Somewhere in India,
GokuMohandas/Made-With-ML,seraphliu,637200,2018-12-03T17:35:55+00:00,User,,
GokuMohandas/Made-With-ML,eogns282,23149509,2018-12-04T11:42:16+00:00,User,"Seoul, Korea",KAIST
GokuMohandas/Made-With-ML,ramkashyap-s,2968129,2018-12-10T05:03:45+00:00,User,,
GokuMohandas/Made-With-ML,sharavsambuu,148336,2018-12-11T02:46:08+00:00,User,"Murun, Khuvsgul, Mongolia",
GokuMohandas/Made-With-ML,rnetonet,1286199,2018-12-11T02:49:12+00:00,User,Brazil,
GokuMohandas/Made-With-ML,saruberoz,721619,2018-12-11T03:00:59+00:00,User,"Los Angeles, CA",@parkeeapp @pandatech-io @casfer-io @mlabsasia 
GokuMohandas/Made-With-ML,simonschoelly,4509501,2018-12-11T03:03:03+00:00,User,"Zurich, Switzerland",
GokuMohandas/Made-With-ML,Spartee,13009163,2018-12-11T03:10:27+00:00,User,San Francisco,@arcadeai
GokuMohandas/Made-With-ML,madeinhaste,7352530,2018-12-11T03:12:01+00:00,User,London,
GokuMohandas/Made-With-ML,robsalasco,2642107,2018-12-11T03:13:57+00:00,User,"Santiago, Chile",
GokuMohandas/Made-With-ML,Impossible,451153,2018-12-11T03:14:10+00:00,User,"Oakland, CA",Unity Technologies
GokuMohandas/Made-With-ML,whitesmell,1411087,2018-12-11T03:16:50+00:00,User,us,
GokuMohandas/Made-With-ML,azgo14,1381350,2018-12-11T03:16:52+00:00,User,,
GokuMohandas/Made-With-ML,TheShadow29,10602903,2018-12-11T03:17:20+00:00,User,"Sunnyvale, CA, USA",Meta
GokuMohandas/Made-With-ML,jacob-hudson,7270089,2018-12-11T03:17:30+00:00,User,"Chicago, IL / London, UK / in Europe a ton",Vortexa
GokuMohandas/Made-With-ML,valer-cara,2016345,2018-12-11T03:17:48+00:00,User,Cluj-Napoca,@ConsenSys
GokuMohandas/Made-With-ML,rradz,1081055,2018-12-11T03:18:21+00:00,User,"Poznań, Poland",
GokuMohandas/Made-With-ML,chrislight101,17207264,2018-12-11T03:18:27+00:00,User,,
GokuMohandas/Made-With-ML,xuesj,434386,2018-12-11T03:20:34+00:00,User,Shenzhen,Freelancer
GokuMohandas/Made-With-ML,domesticmouse,30503,2018-12-11T03:22:41+00:00,User,"Sydney, Australia",@flutter 
GokuMohandas/Made-With-ML,amontalenti,40263,2018-12-11T03:22:48+00:00,User,,
GokuMohandas/Made-With-ML,rinesh,1094335,2018-12-11T03:24:38+00:00,User,,
GokuMohandas/Made-With-ML,liamonce,43364815,2018-12-11T03:24:55+00:00,User,,
GokuMohandas/Made-With-ML,maroonblazer,406603,2018-12-11T03:25:43+00:00,User,"Seattle, WA",
GokuMohandas/Made-With-ML,NickSpag,27874984,2018-12-11T03:25:46+00:00,User,San Francisco,Zammo AI
GokuMohandas/Made-With-ML,px5354,9645525,2018-12-11T03:26:48+00:00,User,,
GokuMohandas/Made-With-ML,tacitus,46237,2018-12-11T03:27:57+00:00,User,"Wellington, NZ",
GokuMohandas/Made-With-ML,aldidoanta,4391973,2018-12-11T03:28:31+00:00,User,"Jakarta, Indonesia",
GokuMohandas/Made-With-ML,fluttergust,1329521,2018-12-11T03:30:11+00:00,User,,
GokuMohandas/Made-With-ML,gmtcrary,3671250,2018-12-11T03:31:05+00:00,User,"Portland, OR","WARN Industries, Inc."
GokuMohandas/Made-With-ML,shenbomo,8744649,2018-12-11T03:31:07+00:00,User,,
GokuMohandas/Made-With-ML,hunglethanh9,16532074,2018-12-11T03:31:11+00:00,User,"Hanoi,Vietnam",FPT University
GokuMohandas/Made-With-ML,samrawal,10272887,2018-12-11T03:32:55+00:00,User,"Phoenix, AZ",Mayo Clinic
GokuMohandas/Made-With-ML,ryanmcgary,357870,2018-12-11T03:33:06+00:00,User,,
GokuMohandas/Made-With-ML,phamquiluan,24642166,2018-12-11T03:33:34+00:00,User,"Virginia, United States",Amazon Web Services
GokuMohandas/Made-With-ML,rcdexta,900028,2018-12-11T03:34:28+00:00,User,Seattle,@summationai
GokuMohandas/Made-With-ML,akoukoullis,1777388,2018-12-11T03:34:51+00:00,User,,
GokuMohandas/Made-With-ML,calvinfo,487539,2018-12-11T03:35:02+00:00,User,San Francisco,"Matrices, Segment"
GokuMohandas/Made-With-ML,AustinGrant,6761013,2018-12-11T03:35:23+00:00,User,,
GokuMohandas/Made-With-ML,skillachie,515926,2018-12-11T03:36:04+00:00,User,,
GokuMohandas/Made-With-ML,CaDs,446632,2018-12-11T03:36:10+00:00,User,"Tokyo, Japan",
GokuMohandas/Made-With-ML,ramiyer,237528,2018-12-11T03:36:42+00:00,User,,
GokuMohandas/Made-With-ML,supermanvista,17447062,2018-12-11T03:37:11+00:00,User,,
GokuMohandas/Made-With-ML,tpun,77042,2018-12-11T03:39:06+00:00,User,,
GokuMohandas/Made-With-ML,amirshim,237719,2018-12-11T03:39:12+00:00,User,NYC,
GokuMohandas/Made-With-ML,bluesand,2063204,2018-12-11T03:40:28+00:00,User,,
