repo_full_name,pr_id,number,title,body,user_login,user_id,state,draft,created_at,updated_at,closed_at,merged_at,merge_commit_sha,mergeable_state,additions,deletions,changed_files,commits_count,review_comments_count,comments_count,requested_reviewers,requested_teams,labels
Lightning-AI/pytorch-lightning,267127810,6,"Add src, docs and other important folders","I don't think the `update.sh` should be in this repository. Maybe it should only be with you.

Also, please let me know if the things mentioned in requirements.txt are compulsory requirements? ",shreyasbapat,24257914,closed,False,2019-04-03T16:42:33+00:00,2019-04-03T16:58:41+00:00,2019-04-03T16:53:12+00:00,2019-04-03T16:53:12+00:00,18eaa59c28c7e5d6a57bb24bb02198f446cdaacb,unknown,250,105,35,2,0,2,,,
Lightning-AI/pytorch-lightning,267134393,8,Some more fixes,"Addresses #7 

I will start adding CI and other services. Meanwhile, we would want to have our code upto PEP8 standards! ",shreyasbapat,24257914,closed,False,2019-04-03T17:03:03+00:00,2019-04-03T18:45:00+00:00,2019-04-03T18:29:11+00:00,2019-04-03T18:29:11+00:00,ea2f50f1a468662372053d18f8745e8628073e40,unknown,43,10,8,2,0,2,,,
Lightning-AI/pytorch-lightning,267955845,9,Fix some link bugs in the README.md,"Hi there, this is a fantastic repo :+1: ! 

I have fixed the link bugs in the README file. I would love to contribute to this project, and if there is anything that I could help, please let me know! Thanks!",Derek-Wds,26081991,closed,False,2019-04-05T20:31:31+00:00,2019-04-07T06:55:33+00:00,2019-04-07T06:55:33+00:00,2019-04-07T06:55:33+00:00,8eca3ffa417bb979714cf22f13aabd245d2ebc7b,unknown,3,3,1,1,0,0,,,
Lightning-AI/pytorch-lightning,297150952,11,trainer: module fix.,This fixes the is_function_implemented functionality.,cinjon,615351,closed,False,2019-07-12T17:01:19+00:00,2019-07-12T19:28:48+00:00,2019-07-12T19:28:48+00:00,2019-07-12T19:28:48+00:00,c1b21fb1e4bb62439b91d510c871157a994e1327,unknown,23,18,1,1,0,0,,,
Lightning-AI/pytorch-lightning,297151266,12,root_module: fix comma splits.,Quick fix on root module and splitting the gpu.,cinjon,615351,closed,False,2019-07-12T17:02:19+00:00,2019-07-12T17:13:58+00:00,2019-07-12T17:13:58+00:00,2019-07-12T17:13:57+00:00,56ac885f0355e26698c69717d1854594d64ae4c1,unknown,1,1,1,1,0,1,,,
Lightning-AI/pytorch-lightning,298128798,13,add a hook for on_tng_metrics so that users get access to the grad_no…,…rm and mem_map dicts.,cinjon,615351,closed,False,2019-07-16T16:54:08+00:00,2019-07-16T16:59:17+00:00,2019-07-16T16:59:17+00:00,2019-07-16T16:59:17+00:00,80192752b7564cfb304f99a9af74158660983ac9,unknown,9,5,2,1,0,0,,,
Lightning-AI/pytorch-lightning,300564163,15,Support any lr_scheduler.,"As discussed in #14 ,
this PR remove the `lr_scheduler_milestones` arguments in `Trainer`.

Now any learning rate scheduler is supported through `Trainer` method `configure_optimizers(self)`.
The return signature now expect a tuple of 2 lists, a list of at least 1 optimizer and a list of schedulers (can be empty).

Limitation:
Each schedulers is `step()` at the beginning of every epoch by the base `Trainer`.
However some scheduler is expected to `step()` at every batch, such as [CyclicalLR](https://pytorch.org/docs/stable/optim.html#torch.optim.lr_scheduler.CyclicLR)",lkhphuc,12573521,closed,False,2019-07-24T05:24:14+00:00,2019-07-29T08:16:42+00:00,2019-07-28T13:48:48+00:00,2019-07-28T13:48:47+00:00,c7dab0d7856f7035d5c4bdd0b37e550d49428599,unknown,25,45,10,5,0,5,,,
Lightning-AI/pytorch-lightning,300941852,16,Tests,,williamFalcon,3640001,closed,False,2019-07-25T00:41:04+00:00,2019-07-25T00:41:13+00:00,2019-07-25T00:41:13+00:00,2019-07-25T00:41:13+00:00,c263badbb563ea3f4e8dad3ab898e416527f7b45,unknown,1182,298,21,222,0,0,,,
Lightning-AI/pytorch-lightning,300941996,17,added coverage badge,,williamFalcon,3640001,closed,False,2019-07-25T00:41:51+00:00,2019-07-25T00:41:58+00:00,2019-07-25T00:41:58+00:00,2019-07-25T00:41:58+00:00,2d3ab895a50f5e5afd51f4c1fec43815b4984fc7,unknown,23,1,2,1,0,0,,,
Lightning-AI/pytorch-lightning,300943708,18,removed dep,,williamFalcon,3640001,closed,False,2019-07-25T00:54:36+00:00,2019-07-25T02:05:24+00:00,2019-07-25T00:54:43+00:00,2019-07-25T00:54:43+00:00,097a9d26179fec9e4c82de9aefdf63b90db82bc4,unknown,0,1,1,1,0,0,,,
