repo_full_name,pr_id,number,title,body,user_login,user_id,state,draft,created_at,updated_at,closed_at,merged_at,merge_commit_sha,mergeable_state,additions,deletions,changed_files,commits_count,review_comments_count,comments_count,requested_reviewers,requested_teams,labels
PrefectHQ/prefect,198489188,31,Add circleci config,,jlowin,153965,closed,False,2018-06-30T18:42:35+00:00,2018-06-30T18:51:52+00:00,2018-06-30T18:51:26+00:00,2018-06-30T18:51:26+00:00,5350a86c771098a8010f1ab321239a1da617ecdd,dirty,14,0,1,1,0,1,,,
PrefectHQ/prefect,198490179,32,Add formatting check in CI as well as fix invalid syntax,,jlowin,153965,closed,False,2018-06-30T19:07:44+00:00,2018-06-30T19:39:45+00:00,2018-06-30T19:32:10+00:00,2018-06-30T19:32:10+00:00,1a6bc1c78c0ae312dfaaa8087ae16ec3c577eff6,dirty,31,3,2,5,0,1,,,
PrefectHQ/prefect,198491867,33,Miscellaneous cleanup related to GitHub move,,jlowin,153965,closed,False,2018-06-30T19:56:59+00:00,2018-06-30T20:03:06+00:00,2018-06-30T19:59:39+00:00,2018-06-30T19:59:39+00:00,e8bf6a56f8fd741d4de36498b93fdcf1599d0897,dirty,5,24,3,4,0,0,,,
PrefectHQ/prefect,198535575,34,Remove gitlabci config,,jlowin,153965,closed,False,2018-07-01T18:07:52+00:00,2018-07-01T18:08:57+00:00,2018-07-01T18:08:55+00:00,2018-07-01T18:08:55+00:00,57f09b25b404315c2d3a930b5d05c3e7ce00e5fa,dirty,0,23,1,1,0,0,,,
PrefectHQ/prefect,198535920,35,pre_commit is no longer required,,jlowin,153965,closed,False,2018-07-01T18:16:26+00:00,2018-07-01T23:00:00+00:00,2018-07-01T22:59:56+00:00,2018-07-01T22:59:56+00:00,7669dc1257d927a31d56bc339da68be0a2812583,dirty,0,1,1,1,0,0,,,
PrefectHQ/prefect,198547281,36,Add unit test to check that prefect version is updated in both places it appears,"Prefect's version is defined as a string in setup.py and also as `prefect.__version__`. In order to avoid a situation in which one would be updated but the other isn't, we add a unit test to make sure they're the same.",jlowin,153965,closed,False,2018-07-01T22:55:17+00:00,2018-07-03T13:39:02+00:00,2018-07-03T13:38:55+00:00,2018-07-03T13:38:55+00:00,6df314c44622eb1fca386692a116d8b6726769b3,dirty,17,0,1,1,0,0,,,
PrefectHQ/prefect,198713487,37,Updated README to correct repo URL and removed precommit comments,Was set to _prefect_ however we do not have that name yet.,joshmeek,40716964,closed,False,2018-07-02T15:24:36+00:00,2018-07-02T18:43:35+00:00,2018-07-02T18:43:17+00:00,2018-07-02T18:43:17+00:00,70db9f24fe85c762539d18ce21ff3608616603e1,dirty,2,14,1,3,0,0,,,
PrefectHQ/prefect,198968351,40,Change to semantic versioning,,joshmeek,40716964,closed,False,2018-07-03T13:44:37+00:00,2018-07-03T13:49:11+00:00,2018-07-03T13:46:30+00:00,,b5bae0688bc226e565acc253bcec72c7a9b31d36,dirty,1,1,1,2,0,1,jlowin,,
PrefectHQ/prefect,198968859,41,#38: Changed prefect versioning to follow semantic versioning style ,"e.g. instead of 0.2, we switched to 0.2.0",joshmeek,40716964,closed,False,2018-07-03T13:46:05+00:00,2018-07-03T13:50:48+00:00,2018-07-03T13:49:48+00:00,2018-07-03T13:49:48+00:00,044f96a94c056e64ed1e5f66659009dd09c4905b,dirty,2,2,2,1,0,0,,,enhancement
PrefectHQ/prefect,199097267,47,Update task/group with better defaults and fix contexts,Closes #46 ,jlowin,153965,closed,False,2018-07-03T22:22:19+00:00,2018-07-04T03:22:21+00:00,2018-07-03T22:23:43+00:00,2018-07-03T22:23:43+00:00,85359a5cdfc8254904f34f2fdc80a14215de1e9a,dirty,69,21,4,1,0,0,,,
PrefectHQ/prefect,200256454,49,Rename PrefectContext to Context,"The `Context` is a very useful object, and I'm using it to solve some issues in other libraries. Propose renaming the class a more general `Context` instead of `PrefectContext`.",jlowin,153965,closed,False,2018-07-10T00:53:48+00:00,2018-07-10T00:59:23+00:00,2018-07-10T00:58:35+00:00,2018-07-10T00:58:35+00:00,cf3c26411b5bfca25ebe517d76301509eae23235,dirty,4,6,1,2,0,1,,,
PrefectHQ/prefect,200451819,51,Run unit tests in python 3.4-3.7,"Currently we are only testing on 3.4 (the minimum we support). @joshmeek found an unusual regression in a library that only caused an error in 3.7 but not 3.6, so I think it is worthwhile to test under all versions -- as long as it's not too onerous.",jlowin,153965,closed,False,2018-07-10T16:18:23+00:00,2018-07-14T22:11:27+00:00,2018-07-14T22:11:24+00:00,2018-07-14T22:11:24+00:00,b10cb8660e5a2c27fa51c1dbee8346317bb4cca1,dirty,55,18,1,1,0,4,,,
PrefectHQ/prefect,200454815,52,Remove error that prevents reassigning json codecs,"This error is raised if a user tries to register a `JSONCodec` with a key already registered to another `JSONCodec`. It ends up being more frustrating than helpful, as it is raised any time Prefect is reloaded (common during dev)",jlowin,153965,closed,False,2018-07-10T16:29:07+00:00,2018-07-17T02:37:44+00:00,2018-07-17T02:37:41+00:00,2018-07-17T02:37:41+00:00,94eca451c144cf44cfa3e822824de513ad41230f,dirty,41,29,2,1,0,3,,,
PrefectHQ/prefect,200733135,53,Fix bug in to_dotdict,"`to_dotdict` didn't actually transform `dicts` into `DotDicts`; it only transformed their values. Fixed bug and added unit test.

For example:

```python
d = {'hi': 5}
assert isinstance(to_dotdict(d), DotDict) # this failed  :face_palm:
```",jlowin,153965,closed,False,2018-07-11T15:06:43+00:00,2018-07-11T20:36:31+00:00,2018-07-11T19:48:10+00:00,2018-07-11T19:48:10+00:00,e072733c86a2aff21204d56903a41e62bee961da,dirty,10,4,2,3,0,0,,,
PrefectHQ/prefect,201134483,54,Minor fixes for ci,,jlowin,153965,closed,False,2018-07-12T21:44:46+00:00,2018-07-12T21:45:59+00:00,2018-07-12T21:45:57+00:00,2018-07-12T21:45:57+00:00,7753ec3e463357f35af270b1e2abd6b62a1e489d,dirty,1,3,2,2,0,0,,,
PrefectHQ/prefect,201470827,55,Add Chris to CODEOWNERS,,jlowin,153965,closed,False,2018-07-14T21:58:28+00:00,2018-07-14T22:01:05+00:00,2018-07-14T22:01:00+00:00,2018-07-14T22:01:00+00:00,9e341af0224378a747d0223feea10e95a1d5216b,dirty,1,1,1,1,0,0,,,
PrefectHQ/prefect,202066881,59,State refactor,"Closes #45, #30, #44

Something about how `State` objects are passed around / manipulated feels unsatisfying to me.  For example, in our current setup, when the `State` for a given `Task` is propagated through the code, we almost always ignore the `.data` attribute when the `State` changes type (e.g., `Pending -> Retrying`).  This might prevent us from accruing information (for example, with every subsequent retry we might want to document / log why it couldn't run).  I don't have a constructive suggestion yet for how to change this, but I wanted to throw it out there for discussion.",cicdw,13255838,closed,False,2018-07-17T20:54:53+00:00,2018-07-18T15:06:31+00:00,2018-07-18T15:06:27+00:00,2018-07-18T15:06:26+00:00,4cc8be40b342fbef234f1dd78e10181ac0f673a5,dirty,225,274,10,13,4,1,,,
PrefectHQ/prefect,202124728,60,Greatly simplify Configuration object,"Configuration was a large object inspired by some work I was doing on Airflow at the time. This refactors it to use our new `DotDict` class (only modifying the `repr()`) and removes many magic and unused functions it had, like auto-generating encryption keys.

The majority of the rest of the changes are adding comments / simplifying code, and unit tests",jlowin,153965,closed,False,2018-07-18T02:51:07+00:00,2018-07-18T19:20:37+00:00,2018-07-18T19:20:33+00:00,2018-07-18T19:20:33+00:00,84779279ba6e61fbe48e55a78f3b6725f5800321,dirty,146,223,8,8,7,0,,,
PrefectHQ/prefect,202336385,62,Errors can now bubble up!,"Closes #29 

Tagging @joshmeek as a reviewer too just out of curiosity.",cicdw,13255838,closed,False,2018-07-18T18:10:07+00:00,2018-07-18T18:53:06+00:00,2018-07-18T18:53:02+00:00,2018-07-18T18:53:02+00:00,2fc035f969a8345c59fdfee632d50a75704306df,dirty,111,6,4,5,3,1,joshmeek,,
