repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
PrefectHQ/prefect,dylanbhughes,2325367,2019-01-30T21:10:31+00:00,User,"Washington, DC",@PrefectHQ 
PrefectHQ/prefect,anticorrelator,1688064,2019-01-31T23:18:37+00:00,User,,
PrefectHQ/prefect,lauralorenz,5643703,2019-02-04T18:25:06+00:00,User,"Seattle, WA",
PrefectHQ/prefect,ColCarroll,2295568,2019-02-04T19:05:34+00:00,User,"Somerville, MA",Google
PrefectHQ/prefect,criccomini,167569,2019-02-06T04:19:55+00:00,User,"Sunnyvale, CA",
PrefectHQ/prefect,juliabennett,11369255,2019-02-10T03:36:01+00:00,User,"Mountain View, CA",
PrefectHQ/prefect,svallelian,5570211,2019-02-12T19:29:07+00:00,User,"Atlanta, GA",
PrefectHQ/prefect,ricecooker,1724034,2019-02-13T19:52:56+00:00,User,,
PrefectHQ/prefect,hussainsultan,3936122,2019-02-17T01:54:45+00:00,User,Washington DC,@xorq-labs
PrefectHQ/prefect,akontaxis,9409249,2019-02-18T19:43:03+00:00,User,"Brooklyn, NY",EnergyHub
PrefectHQ/prefect,danielblazevski,10012612,2019-02-23T21:23:00+00:00,User,"New York, NY",@spotify
PrefectHQ/prefect,anutter4,28360807,2019-02-25T13:13:33+00:00,User,New York,
PrefectHQ/prefect,mpancia,7557730,2019-03-01T21:58:47+00:00,User,"San Francisco, CA",
PrefectHQ/prefect,dan-coates,12551901,2019-03-05T21:39:06+00:00,User,"Herndon, VA",SpaceX
PrefectHQ/prefect,bestdan,2766380,2019-03-14T19:10:05+00:00,User,"Manhattan, NY",Betterment
PrefectHQ/prefect,jwdeitch,7282720,2019-03-23T01:00:52+00:00,User,"New York, NY",
PrefectHQ/prefect,karmijo,17804856,2019-03-23T17:51:03+00:00,User,"Half Moon Bay, CA",
PrefectHQ/prefect,bherrup,634937,2019-03-23T17:56:37+00:00,User,"Washington, DC",Amazon Web Services
PrefectHQ/prefect,abigailmaida,48865514,2019-03-23T18:03:14+00:00,User,,
PrefectHQ/prefect,harrisonsuarez,11621747,2019-03-23T18:03:37+00:00,User,"Washington, DC",
PrefectHQ/prefect,Codysheridan,48865579,2019-03-23T18:07:23+00:00,User,,
PrefectHQ/prefect,ddevillier,34698414,2019-03-23T18:07:35+00:00,User,,
PrefectHQ/prefect,rebekahlowin,48865618,2019-03-23T18:08:23+00:00,User,,
PrefectHQ/prefect,babshire,18359287,2019-03-23T18:34:12+00:00,User,,
PrefectHQ/prefect,johnbensnyder,7110081,2019-03-23T18:39:26+00:00,User,"Palo Alto, CA",Amazon Web Services
PrefectHQ/prefect,kgostin,48866520,2019-03-23T19:00:21+00:00,User,,
PrefectHQ/prefect,randomsprint,16920925,2019-03-23T19:37:45+00:00,User,,
PrefectHQ/prefect,braxtonosting,18725151,2019-03-23T19:54:24+00:00,User,"Salt Lake City, UT",University of Utah
PrefectHQ/prefect,brooksandrew,7719483,2019-03-23T20:54:57+00:00,User,Seattle,
PrefectHQ/prefect,akansal1,8511760,2019-03-23T21:21:05+00:00,User,,
PrefectHQ/prefect,mbedanov,11824736,2019-03-23T21:26:18+00:00,User,,
PrefectHQ/prefect,johannahlowin,48869156,2019-03-23T21:44:29+00:00,User,,
PrefectHQ/prefect,deepgrey1,48869252,2019-03-23T21:53:02+00:00,User,,
PrefectHQ/prefect,aarongreenlee,264508,2019-03-24T08:58:27+00:00,User,Florida,
PrefectHQ/prefect,ThomasG77,642120,2019-03-24T14:28:54+00:00,User,"Nantes, France",WebGeoDataVore
PrefectHQ/prefect,tonythell,11388989,2019-03-24T14:34:54+00:00,User,"Minneapolis, MN",
PrefectHQ/prefect,juliaserrao,48888180,2019-03-24T16:46:39+00:00,User,Washington D.C. ,
PrefectHQ/prefect,CompassDevOps,48889902,2019-03-24T18:12:41+00:00,User,,
PrefectHQ/prefect,elenapalesis,13007674,2019-03-24T18:35:53+00:00,User,,
PrefectHQ/prefect,jmorrison1847,12401491,2019-03-24T19:10:32+00:00,User,"Austin, TX",Umbra
PrefectHQ/prefect,tokestermw,4722119,2019-03-24T20:08:01+00:00,User,"San Francisco, CA",Cresta
PrefectHQ/prefect,marquisthunder,326944,2019-03-24T22:27:18+00:00,User,Shanghai,CreditX
PrefectHQ/prefect,matthiasblum,2097501,2019-03-24T22:42:17+00:00,User,"Cambridge, UK",EMBL-EBI
PrefectHQ/prefect,azell,489196,2019-03-25T00:28:17+00:00,User,,
PrefectHQ/prefect,rajagurunath,25167333,2019-03-25T00:58:02+00:00,User,india,
PrefectHQ/prefect,phrohdoh,4861023,2019-03-25T01:06:00+00:00,User,,
PrefectHQ/prefect,max-sixty,5635139,2019-03-25T01:40:45+00:00,User,Los Angeles,
PrefectHQ/prefect,ajbosco,5423676,2019-03-25T02:11:14+00:00,User,"Washington, DC",@DevotedHealth
PrefectHQ/prefect,rch,80840,2019-03-25T02:40:23+00:00,User,"Boulder, CO",Cloudera
PrefectHQ/prefect,jgmize,161718,2019-03-25T02:43:26+00:00,User,"Tulsa, OK",
