repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
academic/awesome-datascience,sakkas45,2562343,2014-07-19T17:36:26+00:00,User,Denizli,
academic/awesome-datascience,necatikartal,5748430,2014-07-22T06:26:31+00:00,User,Dubai,Altayer Digital
academic/awesome-datascience,gwn,1702469,2014-07-26T10:04:40+00:00,User,,
academic/awesome-datascience,musaulker,195523,2014-07-26T10:13:59+00:00,User,,
academic/awesome-datascience,bahattincinic,1684999,2014-07-26T11:15:11+00:00,User,istanbul,@growdashtech
academic/awesome-datascience,mahammad,5662768,2014-07-26T11:27:04+00:00,User,,@iflingo
academic/awesome-datascience,kurtulusahmet,5617209,2014-07-26T11:41:13+00:00,User,Türkiye,Turkcell
academic/awesome-datascience,onuryurtturk,5616467,2014-07-26T11:49:18+00:00,User,Turkey ,
academic/awesome-datascience,nicolasramy,331710,2014-07-26T19:41:32+00:00,User,Paris,
academic/awesome-datascience,garethlewin,532225,2014-07-27T06:10:01+00:00,User,,
academic/awesome-datascience,qs,3451040,2014-07-28T00:15:16+00:00,User,,
academic/awesome-datascience,Jberlinsky,16839,2014-07-28T04:17:59+00:00,User,"New York, NY",@BarefootCoders 
academic/awesome-datascience,jatrost,820464,2014-07-28T13:27:27+00:00,User,"Atlanta, GA","Databricks, Inc."
academic/awesome-datascience,iryndin,627976,2014-07-28T18:29:02+00:00,User,,
academic/awesome-datascience,nmurthy,96111,2014-07-29T00:49:15+00:00,User,SF,SenseHQ
academic/awesome-datascience,preuter,1312581,2014-07-29T02:12:29+00:00,User,Southern California,
academic/awesome-datascience,hnq90,1875666,2014-07-29T03:22:50+00:00,User,"Hanoi, Vietnam",
academic/awesome-datascience,phildini,710999,2014-07-29T06:37:18+00:00,User,SF Bay Area,@burb-co
academic/awesome-datascience,thephilipjones,998858,2014-07-29T14:57:06+00:00,User,NoVA,UPSTACK
academic/awesome-datascience,smithworx,932713,2014-07-29T16:30:59+00:00,User,,
academic/awesome-datascience,4aficiona2,27226,2014-07-30T01:33:03+00:00,User,Bern / Brentjong / wherever,@yokaiteam @satellites-of-love
academic/awesome-datascience,sly01,3527813,2014-07-30T15:23:48+00:00,User,Barcelona,@Sanofi
academic/awesome-datascience,chin7an,721599,2014-07-30T15:51:56+00:00,User,"Seattle, WA",
academic/awesome-datascience,dougvk,401660,2014-07-30T15:52:41+00:00,User,Manhattan,
academic/awesome-datascience,ryanramage,795834,2014-07-30T22:41:01+00:00,User,"Edmonton, AB, Canada",Place
academic/awesome-datascience,idev-bz,915231,2014-07-30T23:10:47+00:00,User,Ukraine,iDev - Innovation Development
academic/awesome-datascience,hkulekci,586318,2014-07-31T05:54:33+00:00,User,"Ankara, Ex-İstanbul, Turkey",motivolog & reformo
academic/awesome-datascience,muraty,817164,2014-07-31T10:23:34+00:00,User,İstanbul,@putdotio 
academic/awesome-datascience,savage69kr,54208,2014-07-31T11:54:45+00:00,User,,
academic/awesome-datascience,enisozgen,5619924,2014-07-31T20:18:39+00:00,User,,Amadeus
academic/awesome-datascience,hamdikavak,1854194,2014-07-31T20:49:16+00:00,User,"Virginia, USA",George Mason University
academic/awesome-datascience,benqian,1421987,2014-08-01T00:27:42+00:00,User,Los Angeles CA,Better
academic/awesome-datascience,checkcheckzz,5798774,2014-08-01T01:27:54+00:00,User,"San Diego, California",
academic/awesome-datascience,chintangatecha,2245680,2014-08-01T06:34:51+00:00,User,,
academic/awesome-datascience,LeoSolaris,236840,2014-08-01T13:20:51+00:00,User,,
academic/awesome-datascience,tonidy,823034,2014-08-01T17:38:51+00:00,User,Indonesia,
academic/awesome-datascience,joshuaecook,923090,2014-08-01T20:48:57+00:00,User,,Emcien
academic/awesome-datascience,stober,492369,2014-08-01T21:33:10+00:00,User,"Austin, TX",@stober
academic/awesome-datascience,ludwigm,471035,2014-08-02T20:28:12+00:00,User,Germany,Netlight Consulting
academic/awesome-datascience,heathmills,4287072,2014-08-03T23:28:17+00:00,User,"Charleston, SC",
academic/awesome-datascience,Archs,4538154,2014-08-05T04:46:04+00:00,User,,
academic/awesome-datascience,scrivna,53125,2014-08-05T10:12:57+00:00,User,Canada,
academic/awesome-datascience,ktaranov,6460726,2014-08-05T13:20:49+00:00,User,Moscow,
academic/awesome-datascience,oxnr,1712926,2014-08-06T14:54:58+00:00,User,,
academic/awesome-datascience,sallyblockchain,1871047,2014-08-06T15:05:38+00:00,User,"Cupertino, CA",
academic/awesome-datascience,datawrangling,60860,2014-08-07T05:59:09+00:00,User,"San Francisco, CA",SkipFlag
academic/awesome-datascience,justinobney,1054188,2014-08-07T14:33:36+00:00,User,,
academic/awesome-datascience,TheDataNerd,7821114,2014-08-08T06:56:59+00:00,User,,
academic/awesome-datascience,flynnwang,1442332,2014-08-12T14:37:36+00:00,User,,
academic/awesome-datascience,jilitheyoda,8027076,2014-08-13T13:05:44+00:00,User,Boston,Yesware
