repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
afshinea/stanford-cs-229-machine-learning,alexlinde,1546353,2018-08-07T16:02:32+00:00,User,,
afshinea/stanford-cs-229-machine-learning,DavidCorn,12479847,2018-08-07T16:31:50+00:00,User,"San Francisco, CA",Uber
afshinea/stanford-cs-229-machine-learning,cdlewis,553949,2018-08-07T16:54:33+00:00,User,"Brooklyn, New York",@Uber
afshinea/stanford-cs-229-machine-learning,yangliu92,11000973,2018-08-07T17:42:20+00:00,User,,
afshinea/stanford-cs-229-machine-learning,monkey570,10096249,2018-08-08T13:01:42+00:00,User,,
afshinea/stanford-cs-229-machine-learning,LalitSinghChauhan,34405593,2018-08-12T11:30:51+00:00,User,,
afshinea/stanford-cs-229-machine-learning,Tiwarim386,30215862,2018-08-12T12:35:50+00:00,User,Bangalore,Treebo Hotels
afshinea/stanford-cs-229-machine-learning,rh314,12065941,2018-08-12T18:10:34+00:00,User,,
afshinea/stanford-cs-229-machine-learning,Taksir,30241683,2018-08-19T23:11:14+00:00,User,,
afshinea/stanford-cs-229-machine-learning,ml874,32149087,2018-08-19T23:30:47+00:00,User,New York,
afshinea/stanford-cs-229-machine-learning,latticetower,108794,2018-08-19T23:33:37+00:00,User,"Saarland, Germany",@kalininalab 
afshinea/stanford-cs-229-machine-learning,stanlee321,7696948,2018-08-19T23:48:29+00:00,User,Bolivia,deepmicrosystems.com
afshinea/stanford-cs-229-machine-learning,RozenAstrayChen,19503080,2018-08-20T00:01:08+00:00,User,Taiwan,
afshinea/stanford-cs-229-machine-learning,DuongTran1708,7487404,2018-08-20T02:21:43+00:00,User,,
afshinea/stanford-cs-229-machine-learning,jsoons,8492083,2018-08-20T04:19:13+00:00,User,,
afshinea/stanford-cs-229-machine-learning,denicaM,30797051,2018-08-20T05:07:59+00:00,User,,
afshinea/stanford-cs-229-machine-learning,eliekawerk,15185325,2018-08-20T05:25:19+00:00,User,,
afshinea/stanford-cs-229-machine-learning,aywengo,800531,2018-08-20T06:09:37+00:00,User,"Poznan, Poland",epo.org
afshinea/stanford-cs-229-machine-learning,sp1thas,8322266,2018-08-20T06:36:14+00:00,User,"Thessaloniki, Greece",@pricehubble
afshinea/stanford-cs-229-machine-learning,tnmygrwl,11278685,2018-08-20T07:08:59+00:00,User,Global Minima,@plixai
afshinea/stanford-cs-229-machine-learning,st2rseeker,7680529,2018-08-20T07:20:42+00:00,User,Israel,Vulcan Cyber
afshinea/stanford-cs-229-machine-learning,AzizCode92,19540527,2018-08-20T07:20:52+00:00,User,,
afshinea/stanford-cs-229-machine-learning,sandoor,4688024,2018-08-20T07:21:17+00:00,User,,
afshinea/stanford-cs-229-machine-learning,vankhoa21991,26940413,2018-08-20T07:45:26+00:00,User,,
afshinea/stanford-cs-229-machine-learning,VincentMatthys,23283496,2018-08-20T08:46:51+00:00,User,Paris ,
