repo_full_name,pr_id,number,title,body,user_login,user_id,state,draft,created_at,updated_at,closed_at,merged_at,merge_commit_sha,mergeable_state,additions,deletions,changed_files,commits_count,review_comments_count,comments_count,requested_reviewers,requested_teams,labels
apache/airflow,33710089,1,Improving the search functionality in the graph view,,mistercrunch,487433,closed,False,2015-04-20T21:52:31+00:00,2016-05-04T19:40:53+00:00,2015-04-20T21:52:33+00:00,2015-04-20T21:52:33+00:00,de39248486caaf079a6a9aad1448c408940a0cc1,dirty,5037,14,2,1,0,0,,,
apache/airflow,33710281,2,Bring in more resolution to hivestats,,mistercrunch,487433,closed,False,2015-04-20T21:54:45+00:00,2016-05-04T19:40:53+00:00,2015-04-20T22:58:48+00:00,2015-04-20T22:58:48+00:00,cfe6a21b2164380dea1dffc3b3d74f7c77922155,dirty,30,8,2,3,0,0,,,
apache/airflow,37054237,5,Misc spelling updates,"I was reading over the code to understand how everything works and ended up making minor spelling changes. None stopped functionality for me except a change in the iPython Notebook. I hope these changes might be useful.

This is an extremely helpful utility and a cool use of DAGs.
",eerwitt,1329385,closed,False,2015-06-05T17:50:46+00:00,2016-05-04T19:41:05+00:00,2015-06-07T07:55:22+00:00,2015-06-07T07:55:22+00:00,be0dba5ab1062fd2dd3799a86302a9d3ec81d2af,dirty,95,92,33,4,2,3,,,
apache/airflow,37109286,10,Bugfix for when authenticate=false and airflow_login is present,"Only attempt to import airflow_login is authenticate is set to true
",mistercrunch,487433,closed,False,2015-06-07T16:29:31+00:00,2016-05-04T19:40:53+00:00,2015-06-07T20:03:26+00:00,2015-06-07T20:03:26+00:00,c52321350fb45a7f23bbb12037d2b2804cc72822,dirty,13,8,1,1,0,0,,,
apache/airflow,37113278,11,Bugfix when airflow.cfg boolean had inline comments would eval to none,,mistercrunch,487433,closed,False,2015-06-07T20:58:28+00:00,2016-05-04T19:40:53+00:00,2015-06-07T20:59:31+00:00,2015-06-07T20:59:31+00:00,17b7fec2fa8f9c304777a625ffb9b81daaab90c3,dirty,2,0,1,1,0,0,,,
apache/airflow,37192446,14,Merge pull request #1 from airbnb/master,"Update to master
",yffud,6361383,closed,False,2015-06-08T20:28:42+00:00,2016-05-04T19:41:17+00:00,2015-06-08T20:28:56+00:00,,0c58dedc4e41d47d38c33bdf6658838f71a60cb7,dirty,0,0,0,1,0,0,,,
apache/airflow,37192577,15,Merge pull request #1 from airbnb/master,"Update to master
",yffud,6361383,closed,False,2015-06-08T20:29:57+00:00,2016-05-04T19:41:17+00:00,2015-06-08T20:30:20+00:00,,0c58dedc4e41d47d38c33bdf6658838f71a60cb7,dirty,0,0,0,1,0,0,,,
apache/airflow,37500820,19,Setting the default queue in BaseOperator,,mistercrunch,487433,closed,False,2015-06-11T19:41:24+00:00,2016-05-04T19:40:53+00:00,2015-06-11T19:41:28+00:00,2015-06-11T19:41:28+00:00,0c59b0019dbd21231920e947801cbd8445db3c79,dirty,1,1,1,1,0,0,,,
apache/airflow,37603447,24,Fix run_unit_tests.sh,"I don't know if it's a mistake, but the airflow/www/static/coverage does not exist. So, if anyone want to try run_unit_tests.sh, he will have an error from rm and he will not able to use it.

Moreover, in https://github.com/airbnb/airflow/blob/master/CONTRIBUTING.md#testing you don't specify to install nose so you can add it to your requierements.txt or specify it in your CONTRIBUTING.md

To finish, are you interested by the output of the test ?
",afarbos,7586111,closed,False,2015-06-12T20:55:38+00:00,2016-05-04T19:41:17+00:00,2015-06-16T03:53:42+00:00,,772308cf7f776e44522367b6059c9132c69e9229,dirty,2,1,2,2,0,4,,,
apache/airflow,37632383,25,Tutorial improvements.,"Various suggested improvements to the tutorial for clarity.
",statwonk,1160090,closed,False,2015-06-13T22:21:57+00:00,2016-05-04T19:41:04+00:00,2015-06-15T16:47:22+00:00,2015-06-15T16:47:22+00:00,b2269c562ffa1a729afccc9523429b76f1bb4525,dirty,24,25,2,7,2,5,,,
