repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
apache/airflow,mistercrunch,487433,2015-06-04T04:04:06+00:00,User,"San Mateo, CA",preset-io
apache/airflow,mathieuripert,128908,2015-06-04T17:23:52+00:00,User,San Francisco,@instacart
apache/airflow,podviaznikov,429706,2015-06-04T17:24:53+00:00,User,New York,
apache/airflow,herb,139780,2015-06-04T17:39:50+00:00,User,,
apache/airflow,nikhilpb,2697942,2015-06-04T17:40:06+00:00,User,,
apache/airflow,treycausey,1719492,2015-06-04T17:45:56+00:00,User,,
apache/airflow,fjcero,1077188,2015-06-04T17:58:54+00:00,User,LATAM + US,Caballero Inc.
apache/airflow,codeactual,57662,2015-06-04T18:06:39+00:00,User,,Found Apparatus
apache/airflow,umhan35,3271612,2015-06-04T18:18:26+00:00,User,"Tampa, FL","@TheRARELab, @University-of-South-Florida"
apache/airflow,sush,439261,2015-06-04T18:30:41+00:00,User,"Paris, France",@heetch
apache/airflow,petro-rudenko,1121987,2015-06-04T18:49:06+00:00,User,,@Nvidia
apache/airflow,adam704a,276936,2015-06-04T19:25:49+00:00,User,"Fort Collins, CO",RTI International
apache/airflow,juggernate,1163103,2015-06-04T19:29:45+00:00,User,"South Jordan, UT",
apache/airflow,choweiyuan,4201614,2015-06-04T19:49:46+00:00,User,London,Accenture
apache/airflow,gurrinder,768782,2015-06-04T20:07:13+00:00,User,,
apache/airflow,vambati,769387,2015-06-04T20:15:32+00:00,User,San Francisco,Predera
apache/airflow,gjreda,921995,2015-06-04T20:15:51+00:00,User,"Chicago, IL",@instacart
apache/airflow,jpellerin,34519,2015-06-04T20:55:37+00:00,User,,Stripe
apache/airflow,sandbreaker,521857,2015-06-04T21:00:33+00:00,User,Bellevue,
apache/airflow,gkze,3131232,2015-06-04T21:54:47+00:00,User,Hilbert Space,
apache/airflow,jtmalinowski,645127,2015-06-04T22:00:14+00:00,User,Poland,@splunk
apache/airflow,xcoderzach,94472,2015-06-04T22:26:53+00:00,User,NYC,
apache/airflow,likewinter,273071,2015-06-04T22:33:20+00:00,User,,
apache/airflow,seannui,5868,2015-06-04T22:34:29+00:00,User,,
apache/airflow,rkho,4451985,2015-06-04T22:35:18+00:00,User,San Francisco,
apache/airflow,tristanz,290978,2015-06-04T22:45:16+00:00,User,"San Francisco, CA",@continual-ai 
apache/airflow,jpredham,122585,2015-06-04T22:47:07+00:00,User,"New York, NY",Google 
apache/airflow,xyc,679275,2015-06-04T22:52:16+00:00,User,San Francisco Bay Area,
apache/airflow,nimajalali,1553599,2015-06-04T22:56:32+00:00,User,,
apache/airflow,akaul,629102,2015-06-04T23:00:32+00:00,User,,
apache/airflow,tdmackey,30935,2015-06-04T23:08:11+00:00,User,"San Francisco, CA",
apache/airflow,MistaTwista,2895309,2015-06-04T23:23:55+00:00,User,Saint-Petersburg,
apache/airflow,spmacdonald,95063,2015-06-04T23:25:49+00:00,User,Canada,
apache/airflow,kgryte,2643044,2015-06-04T23:31:51+00:00,User,San Francisco,@stdlib-js @quansight @data-apis
apache/airflow,michaelhood,359439,2015-06-04T23:33:46+00:00,User,California,
apache/airflow,thongly,1654120,2015-06-04T23:37:42+00:00,User,Toronto,
apache/airflow,davidbenhaim,1037254,2015-06-04T23:45:50+00:00,User,"Miami, FL",Startup
apache/airflow,studiomohawk,28534,2015-06-04T23:48:25+00:00,User,Tokyo,
apache/airflow,AgtLucas,1909761,2015-06-05T00:02:58+00:00,User,Planet Earth,
apache/airflow,jwdeane,19495,2015-06-05T00:03:57+00:00,User,Gold Coast,
apache/airflow,matteosimone,1807623,2015-06-05T00:04:02+00:00,User,"San Diego, CA","Apple, Inc"
apache/airflow,jessedhillon,542223,2015-06-05T00:09:24+00:00,User,"San Francisco, CA",
apache/airflow,bportnoy,8795607,2015-06-05T00:13:51+00:00,User,San Francisco,Asana
apache/airflow,mattuuh7,831105,2015-06-05T00:27:41+00:00,User,"Sunnyvale, CA",Amazon Inc.
apache/airflow,claudiouzelac,3189997,2015-06-05T01:39:19+00:00,User,,
apache/airflow,ratkins7,12578184,2015-06-05T01:50:09+00:00,User,"Orange County, CA",
apache/airflow,wooster,138936,2015-06-05T01:51:52+00:00,User,"San Francisco, CA","Planetary Scale LLC, Apptentive"
apache/airflow,gaurav46,136069,2015-06-05T02:05:33+00:00,User,"Boston, MA",
apache/airflow,htsh-tsyk,6016165,2015-06-05T02:07:07+00:00,User,Tokyo,CTO at MacbbeePlanet inc.
apache/airflow,jeongsd,7903426,2015-06-05T02:16:23+00:00,User,seoul,
