repo_full_name,issue_id,comment_id,user_login,user_id,created_at,updated_at,body,reactions_total,reactions_plus1,reactions_minus1,reactions_laugh,reactions_hooray,reactions_confused,reactions_heart
apache/superset,3054450412,2869082726,dosubot[bot],131922026,2025-05-10T18:38:46+00:00,2025-05-10T18:38:46+00:00,"<!-- Greeting -->
Hello @antonio-andrade! I'm [Dosu](https://dosu.dev), here to help you with bugs, answer your questions, and assist you on your journey as a contributor. While you wait for a human maintainer, feel free to share more about your issue, and I'll do my best to assist you!

<!-- Answer -->
The error ""Invalid SSL Certificate Requirements Flag: CERT_NONE"" suggests that there might be an issue with how SSL certificates are being handled in your DuckDB setup within Superset. This error typically occurs when the SSL configuration is not set correctly or when an unsupported SSL flag is used.

Here are a few steps you can take to troubleshoot and potentially resolve this issue:

1. **SSL Configuration**: Ensure that the SSL settings in your DuckDB connection are correctly configured. The error indicates that `CERT_NONE` is not a valid flag, so you might need to adjust the SSL certificate requirements. Check if there are any specific SSL settings required by DuckDB or Superset that you might have missed.

2. **DuckDB Version**: Verify that the version of DuckDB you are using is compatible with the SSL settings you are trying to apply. Sometimes, newer versions of libraries or engines have different requirements or deprecate certain flags.

3. **Superset Configuration**: Double-check the Superset configuration to ensure that it supports the SSL settings you are trying to use. There might be additional configuration needed in Superset to handle SSL connections properly.

4. **Python Environment**: Since the connection works fine with a standalone Python script, compare the environment and dependencies used in the script with those in the Superset environment. There might be differences in library versions or configurations that could affect SSL handling.

5. **Helm Chart and Kubernetes**: Ensure that the Helm Chart and Kubernetes configurations are correctly set up to support SSL connections. There might be environment variables or configurations that need to be adjusted to allow SSL connections.

If these steps do not resolve the issue, you may need to look into the specific SSL requirements and configurations for DuckDB and how they are integrated with Superset.


<!-- Dosu Comment Footer -->
*To continue talking to [Dosu](https://dosu.dev), mention @dosu.*

---
<sup>Help Dosu learn! Give it feedback: [Great Response](https://app.dosu.dev/response-feedback/f54b40d2-9eee-4382-aba3-2ce715694a84?feedback_type=great_response) | [Irrelevant Answer](https://app.dosu.dev/response-feedback/f54b40d2-9eee-4382-aba3-2ce715694a84?feedback_type=irrelevant_answer) | [Incorrect Sources](https://app.dosu.dev/response-feedback/f54b40d2-9eee-4382-aba3-2ce715694a84?feedback_type=incorrect_sources) | [Too Verbose](https://app.dosu.dev/response-feedback/f54b40d2-9eee-4382-aba3-2ce715694a84?feedback_type=too_verbose) | [Hallucination](https://app.dosu.dev/response-feedback/f54b40d2-9eee-4382-aba3-2ce715694a84?feedback_type=hallucination) | [Bug Report](https://app.dosu.dev/response-feedback/f54b40d2-9eee-4382-aba3-2ce715694a84?feedback_type=bug_report) | [Other](https://app.dosu.dev/response-feedback/f54b40d2-9eee-4382-aba3-2ce715694a84?feedback_type=other)</sup>
",0,0,0,0,0,0,0
apache/superset,3053802239,2868534229,dosubot[bot],131922026,2025-05-10T06:47:58+00:00,2025-05-10T06:47:58+00:00,"<!-- Answer -->
I found some similar threads that might be relevant to your issue:

1. [Installing error](https://github.com/apache/superset/discussions/33017) - This discussion is open and might contain useful insights for installation errors <sup>[[1]](https://github.com/apache/superset/discussions/33017)</sup>.
2. [Issues with NPM run build version 4.1.1](https://github.com/apache/superset/discussions/31923) - This discussion is open and addresses issues with the `npm run build` step, which could be similar to what you're experiencing <sup>[[2]](https://github.com/apache/superset/discussions/31923)</sup>.

To resolve the error during the `npm run build` step for Apache Superset version 4.1.2, you can try the following steps:

1. Ensure you are using the correct versions of Node.js and npm as specified in the project's package.json file. Apache Superset requires Node.js version 20.16.0 and npm version 10.8.1. Update your Dockerfile or environment to use these versions to prevent build freezes.

2. Add npm to the system dependencies in your Dockerfile:
```dockerfile
RUN /app/docker/apt-install.sh build-essential python3 zstd npm
```

3. Configure npm to use a mirror registry:
```bash
npm config set registry http://mirrors.ustc.edu.cn/
```

4. Ensure you have the latest code by pulling from the master branch.

5. Access Superset through port 9000 (http://localhost:9000) instead of port 8088.

6. In docker-compose.yml, set the Superset URL to 'http://superset:8088' instead of 'http://host.docker.internal:8088'.

These changes should help resolve the 'npm run build' failure in the Docker setup by ensuring compatibility with the project's requirements and proper communication between containers <sup>[[3]](https://github.com/apache/superset/issues/31714)</sup><sup>[[4]](https://github.com/apache/superset/issues/33050)</sup>.


<!-- Dosu Comment Footer -->
*To continue talking to [Dosu](https://dosu.dev), mention @dosu.*

---
<sup>Help Dosu learn! Give it feedback: [Great Response](https://app.dosu.dev/response-feedback/dd058f06-6128-4b8d-b024-d5837a786884?feedback_type=great_response) | [Irrelevant Answer](https://app.dosu.dev/response-feedback/dd058f06-6128-4b8d-b024-d5837a786884?feedback_type=irrelevant_answer) | [Incorrect Sources](https://app.dosu.dev/response-feedback/dd058f06-6128-4b8d-b024-d5837a786884?feedback_type=incorrect_sources) | [Too Verbose](https://app.dosu.dev/response-feedback/dd058f06-6128-4b8d-b024-d5837a786884?feedback_type=too_verbose) | [Hallucination](https://app.dosu.dev/response-feedback/dd058f06-6128-4b8d-b024-d5837a786884?feedback_type=hallucination) | [Bug Report](https://app.dosu.dev/response-feedback/dd058f06-6128-4b8d-b024-d5837a786884?feedback_type=bug_report) | [Other](https://app.dosu.dev/response-feedback/dd058f06-6128-4b8d-b024-d5837a786884?feedback_type=other)</sup>
",0,0,0,0,0,0,0
apache/superset,3052960270,2867625844,korbit-ai[bot],131444098,2025-05-09T18:59:04+00:00,2025-05-09T18:59:04+00:00,"Based on your review schedule, I'll hold off on reviewing this PR until it's marked as ready for review. If you'd like me to take a look now, comment `/korbit-review`.

> Your admin can change your review schedule in the [Korbit Console](https://app.korbit.ai/settings)



[](0d5e1250-592e-411a-b7b4-f5a153651e41)",0,0,0,0,0,0,0
apache/superset,3052960270,2867637590,codecov[bot],22429695,2025-05-09T19:03:51+00:00,2025-05-09T19:13:44+00:00,"## [Codecov](https://app.codecov.io/gh/apache/superset/pull/33398?dropdown=coverage&src=pr&el=h1&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=apache) Report
All modified and coverable lines are covered by tests :white_check_mark:
> Project coverage is 83.20%. Comparing base [(`8c94f9c`)](https://app.codecov.io/gh/apache/superset/commit/8c94f9c435f126e3bd30890a61966ee81be0f68f?dropdown=coverage&el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=apache) to head [(`724f012`)](https://app.codecov.io/gh/apache/superset/commit/724f012f8d2a39ce9a7504e99435f154c9d78e10?dropdown=coverage&el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=apache).
> Report is 73 commits behind head on master.

<details><summary>Additional details and impacted files</summary>


```diff
@@             Coverage Diff             @@
##           master   #33398       +/-   ##
===========================================
+ Coverage        0   83.20%   +83.20%     
===========================================
  Files           0      553      +553     
  Lines           0    39983    +39983     
===========================================
+ Hits            0    33266    +33266     
- Misses          0     6717     +6717     
```

| [Flag](https://app.codecov.io/gh/apache/superset/pull/33398/flags?src=pr&el=flags&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=apache) | Coverage Δ | |
|---|---|---|
| [hive](https://app.codecov.io/gh/apache/superset/pull/33398/flags?src=pr&el=flag&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=apache) | `48.24% <100.00%> (?)` | |
| [mysql](https://app.codecov.io/gh/apache/superset/pull/33398/flags?src=pr&el=flag&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=apache) | `75.40% <100.00%> (?)` | |
| [postgres](https://app.codecov.io/gh/apache/superset/pull/33398/flags?src=pr&el=flag&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=apache) | `75.46% <100.00%> (?)` | |
| [presto](https://app.codecov.io/gh/apache/superset/pull/33398/flags?src=pr&el=flag&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=apache) | `52.70% <100.00%> (?)` | |
| [python](https://app.codecov.io/gh/apache/superset/pull/33398/flags?src=pr&el=flag&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=apache) | `83.20% <100.00%> (?)` | |
| [sqlite](https://app.codecov.io/gh/apache/superset/pull/33398/flags?src=pr&el=flag&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=apache) | `74.95% <100.00%> (?)` | |
| [unit](https://app.codecov.io/gh/apache/superset/pull/33398/flags?src=pr&el=flag&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=apache) | `61.33% <100.00%> (?)` | |

Flags with carried forward coverage won't be shown. [Click here](https://docs.codecov.io/docs/carryforward-flags?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=apache#carryforward-flags-in-the-pull-request-comment) to find out more.

</details>

[:umbrella: View full report in Codecov by Sentry](https://app.codecov.io/gh/apache/superset/pull/33398?dropdown=coverage&src=pr&el=continue&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=apache).   
:loudspeaker: Have feedback on the report? [Share it here](https://about.codecov.io/codecov-pr-comment-feedback/?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=apache).

<details><summary> :rocket: New features to boost your workflow: </summary>

- :snowflake: [Test Analytics](https://docs.codecov.com/docs/test-analytics): Detect flaky tests, report on failures, and find test suite problems.
- :package: [JS Bundle Analysis](https://docs.codecov.com/docs/javascript-bundle-analysis): Save yourself from yourself by tracking and limiting bundle sizes in JS merges.
</details>",0,0,0,0,0,0,0
apache/superset,3052446895,2866888032,korbit-ai[bot],131444098,2025-05-09T15:00:48+00:00,2025-05-09T15:00:48+00:00,"Based on your review schedule, I'll hold off on reviewing this PR until it's marked as ready for review. If you'd like me to take a look now, comment `/korbit-review`.

> Your admin can change your review schedule in the [Korbit Console](https://app.korbit.ai/settings)



[](7562c1ca-64c3-479d-86f8-16809d5ba74b)",0,0,0,0,0,0,0
apache/superset,3049690776,2863819878,korbit-ai[bot],131444098,2025-05-08T17:47:30+00:00,2025-05-08T17:47:30+00:00,"Based on your review schedule, I'll hold off on reviewing this PR until it's marked as ready for review. If you'd like me to take a look now, comment `/korbit-review`.

> Your admin can change your review schedule in the [Korbit Console](https://app.korbit.ai/settings)



[](f100494b-427c-406d-a046-2c9d9361d934)",0,0,0,0,0,0,0
apache/superset,3049690776,2863820792,ethan-l-geotab,165913720,2025-05-08T17:47:55+00:00,2025-05-08T17:47:55+00:00,/korbit-review.,0,0,0,0,0,0,0
apache/superset,3049054100,2863124537,korbit-ai[bot],131444098,2025-05-08T13:43:54+00:00,2025-05-08T13:43:54+00:00,"Korbit doesn't automatically review large (3000+ lines changed) pull requests such as this one. If you want me to review anyway, use `/korbit-review`.


[](b2d505d8-be7b-4dc8-9d37-1a432ee471e9)",0,0,0,0,0,0,0
apache/superset,3048227880,2862220347,dosubot[bot],131922026,2025-05-08T08:33:32+00:00,2025-05-08T08:33:32+00:00,"<!-- Answer -->
The issue you're experiencing with the `databricks-sqlalchemy` driver in Superset seems to be related to the pre-fetching of schemas and catalogs. Superset determines which schemas and catalogs to pre-fetch by checking user permissions for catalog access, schema access, and datasource access. This process involves querying the database for accessible catalogs and schemas, which might be causing the repeated `SHOW SCHEMAS` requests you're observing <sup>[[1]](https://github.com/apache/superset/blob/master/superset/security/manager.py)</sup><sup>[[2]](https://github.com/apache/superset/blob/master/superset/db_engine_specs/README.md)</sup>.

To address this, you might want to look into how Superset handles the pre-fetching logic and see if there are configuration options or code modifications that can limit the scope of these queries to only the necessary catalogs and schemas. This could potentially reduce the load and prevent the looping behavior you're encountering.


<!-- Dosu Comment Footer -->
*To continue talking to [Dosu](https://dosu.dev), mention @dosu.*

---
<sup>Help Dosu learn! Give it feedback: [Great Response](https://app.dosu.dev/response-feedback/b84d29aa-593d-4352-a67b-2eae6749b156?feedback_type=great_response) | [Irrelevant Answer](https://app.dosu.dev/response-feedback/b84d29aa-593d-4352-a67b-2eae6749b156?feedback_type=irrelevant_answer) | [Incorrect Sources](https://app.dosu.dev/response-feedback/b84d29aa-593d-4352-a67b-2eae6749b156?feedback_type=incorrect_sources) | [Too Verbose](https://app.dosu.dev/response-feedback/b84d29aa-593d-4352-a67b-2eae6749b156?feedback_type=too_verbose) | [Hallucination](https://app.dosu.dev/response-feedback/b84d29aa-593d-4352-a67b-2eae6749b156?feedback_type=hallucination) | [Bug Report](https://app.dosu.dev/response-feedback/b84d29aa-593d-4352-a67b-2eae6749b156?feedback_type=bug_report) | [Other](https://app.dosu.dev/response-feedback/b84d29aa-593d-4352-a67b-2eae6749b156?feedback_type=other)</sup>
",0,0,0,0,0,0,0
apache/superset,3048227880,2862537570,martimors,41419288,2025-05-08T10:21:59+00:00,2025-05-08T10:21:59+00:00,@dosu Can you point out the specific place in the superset code where this happens?,0,0,0,0,0,0,0
