repo_full_name,issue_id,number,title,body,user_login,user_id,state,locked,comments_count,created_at,updated_at,closed_at,labels,reactions_total,reactions_plus1,reactions_minus1,reactions_laugh,reactions_hooray,reactions_confused,reactions_heart
apache/superset,3054573750,33403,feat: mssql driver added,"<!---
Please write the PR title following the conventions at https://www.conventionalcommits.org/en/v1.0.0/
Example:
fix(dashboard): load charts correctly
-->

### SUMMARY
<!--- Describe the change below, including rationale and design decisions -->

### BEFORE/AFTER SCREENSHOTS OR ANIMATED GIF
<!--- Skip this if not applicable -->

### TESTING INSTRUCTIONS
<!--- Required! What steps can be taken to manually verify the changes? -->

### ADDITIONAL INFORMATION
<!--- Check any relevant boxes with ""x"" -->
<!--- HINT: Include ""Fixes #nnn"" if you are fixing an existing issue -->
- [ ] Has associated issue:
- [ ] Required feature flags:
- [ ] Changes UI
- [ ] Includes DB Migration (follow approval process in [SIP-59](https://github.com/apache/superset/issues/13351))
  - [ ] Migration is atomic, supports rollback & is backwards-compatible
  - [ ] Confirm DB migration upgrade and downgrade tested
  - [ ] Runtime estimates and downtime expectations provided
- [ ] Introduces new feature or API
- [ ] Removes existing feature or API
",sandrociceros-loonar,193523405,closed,False,0,2025-05-10T23:42:10+00:00,2025-05-11T02:58:27+00:00,2025-05-10T23:44:05+00:00,size/L;data:connect:mssql,0,0,0,0,0,0,0
apache/superset,3054450412,33401,DuckDB error Invalid SSL Certificate Requirements Flag: CERT_NONE,"### Bug description

**How to reproduce the bug**

1. Install Superset 4.1.2 on Kubernetes 1.32.3 using the current Helm Chart 0.14.2 with Helm 3.17.3 and the custom value :
```shell
bootstrapScript: |
  #!/bin/bash
  pip install psycopg2-binary==2.9.6 \
    ""duckdb-engine>=0.12.1, <0.13"" &&\
  if [ ! -f ~/bootstrap ]; then echo ""Running Superset with uid {{ .Values.runAsUser }}"" > ~/bootstrap; fi
```
2. Connect to Superset
3. Add new database
4. In the dropdown select DuckDB database and fill in SQL Alchemy URI: duckdb:///:memory:
5. Click `Test connection "" => OK
6. Click `Finish`to register the database
7. Go to SQL Lab
8. Try to install httpfs extension :
```sql
INSTALL httpfs;
```

**Expected results**

The https extension should be installed and one can proceed with the connection to a S3 repository :

```sql
LOAD https;

SET s3_region='fr-par';
SET s3_endpoint='http://s3.fr-par.scw.cloud';
SET s3_access_key_id='xxxxxxx';
SET s3_secret_access_key='xxxx-xxxx-xxxx-xxxx-xxxxxx';
SET s3_url_style = 'vhost';
SET s3_use_ssl=true;

SELECT *
FROM 'https://<bucket>.s3.fr-par.scw.cloud/naiades_analyse_physicochimie.parquet'
LIMIT 10;
```

**Actual results**

The error `DuckDB error  Invalid SSL Certificate Requirements Flag: CERT_NONE` appears



### Screenshots/recordings

![Image](https://github.com/user-attachments/assets/8d02c5e8-95aa-48c6-b7f9-0fb7f879b155)

![Image](https://github.com/user-attachments/assets/6735e955-fe27-4343-8d8d-8db1c57c3531)


### Superset version

4.1.2

### Python version

3.10

### Node version

I don't know

### Browser

Chrome

### Additional context

- Superset python log :

```shell
100.64.0.241 - - [10/May/2025:18:09:30 +0000] ""GET /health HTTP/1.1"" 200 2 ""-"" ""kube-probe/1.32""
172.16.16.5 - - [10/May/2025:18:09:32 +0000] ""POST /tabstateview/ HTTP/1.1"" 400 1319 ""http://51.159.25.29:8088/sqllab/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""
2025-05-10 18:09:33,547:INFO:superset.commands.sql_lab.execute:Triggering query_id: 15
2025-05-10 18:09:33,565:INFO:superset.sql_lab:Query 15: Executing 1 statement(s)
2025-05-10 18:09:33,565:INFO:superset.sql_lab:Query 15: Set query to 'running'
2025-05-10 18:09:33,600:INFO:superset.sql_lab:Query 15: Running statement 1 out of 1
2025-05-10 18:09:33,659:INFO:superset.sql_lab:Query 15: Storing results in results backend, key: 5a7dc232-274e-427b-9cec-b1e2d7146a58
2025-05-10 18:09:33,684:WARNING:superset.views.error_handling:SupersetErrorsException
Traceback (most recent call last):
  File ""/usr/local/lib/python3.10/site-packages/flask/app.py"", line 1484, in full_dispatch_request
    rv = self.dispatch_request()
  File ""/usr/local/lib/python3.10/site-packages/flask/app.py"", line 1469, in dispatch_request
    return self.ensure_sync(self.view_functions[rule.endpoint])(**view_args)
  File ""/usr/local/lib/python3.10/site-packages/flask_appbuilder/security/decorators.py"", line 95, in wraps
    return f(self, *args, **kwargs)
  File ""/app/superset/views/base_api.py"", line 119, in wraps
    duration, response = time_function(f, self, *args, **kwargs)
  File ""/app/superset/utils/core.py"", line 1364, in time_function
    response = func(*args, **kwargs)
  File ""/app/superset/views/base_api.py"", line 91, in wraps
    return f(self, *args, **kwargs)
  File ""/app/superset/utils/log.py"", line 303, in wrapper
    value = f(*args, **kwargs)
  File ""/app/superset/sqllab/api.py"", line 409, in execute_sql_query
    command_result: CommandResult = command.run()
  File ""/app/superset/utils/decorators.py"", line 266, in wrapped
    return on_error(ex)
  File ""/app/superset/utils/decorators.py"", line 236, in on_error
    raise ex
  File ""/app/superset/utils/decorators.py"", line 259, in wrapped
    result = func(*args, **kwargs)
  File ""/app/superset/commands/sql_lab/execute.py"", line 105, in run
    status = self._run_sql_json_exec_from_scratch()
  File ""/app/superset/commands/sql_lab/execute.py"", line 158, in _run_sql_json_exec_from_scratch
    return self._sql_json_executor.execute(
  File ""/app/superset/sqllab/sql_json_executer.py"", line 110, in execute
    raise SupersetErrorsException(
superset.exceptions.SupersetErrorsException: [SupersetError(message='Invalid SSL Certificate Requirements Flag: CERT_NONE', error_type=<SupersetErrorType.GENERIC_DB_ENGINE_ERROR: 'GENERIC_DB_ENGINE_ERROR'>, level=<ErrorLevel.ERROR: 'error'>, extra={'engine_name': 'DuckDB', 'issue_codes': [{'code': 1002, 'message': 'Issue 1002 - The database returned an unexpected error.'}]})]
172.16.16.5 - - [10/May/2025:18:09:33 +0000] ""POST /api/v1/sqllab/execute/ HTTP/1.1"" 500 279 ""http://51.159.25.29:8088/sqllab/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""
172.16.16.5 - - [10/May/2025:18:09:33 +0000] ""GET /api/v1/query/updated_since?q=(last_updated_ms:1746900563101) HTTP/1.1"" 200 540 ""http://51.159.25.29:8088/sqllab/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""
172.16.16.5 - - [10/May/2025:18:09:34 +0000] ""POST /superset/log/?explode=events HTTP/1.1"" 200 20 ""http://51.159.25.29:8088/sqllab/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""
100.64.0.241 - - [10/May/2025:18:09:35 +0000] ""GET /health HTTP/1.1"" 200 2 ""-"" ""kube-probe/1.32""
172.16.16.5 - - [10/May/2025:18:09:37 +0000] ""POST /tabstateview/ HTTP/1.1"" 400 1319 ""http://51.159.25.29:8088/sqllab/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""
172.16.16.5 - - [10/May/2025:18:09:38 +0000] ""PUT /tabstateview/6 HTTP/1.1"" 200 1 ""http://51.159.25.29:8088/sqllab/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""
```

- The connection tested with `superset test-db` works fine

```shell
# Identify superset master pod
kubectl get pods
# Launch shell into the identifed pod
kubectl exec -it superset-7d64cf964f-xqrzt -- bash
# Test DuckDB connection
superset test-db duckdb:///:memory:
# Fill the JSON engine params and validate with CTRL+D
{""connect_args"":{""preload_extensions"":[""httpfs""],""config"":{""s3_region"":""fr-par"",""s3_access_key_id"":""xxxxxxx"",""s3_secret_access_key"":""xxxxxx-xxxx-xxxx-xxxx-xxxxxxxx"",""s3_endpoint"":""https://s3.fr-par.scw.cloud"",""s3_url_style"":""vhost"",""s3_use_ssl"":""True""}}}
```
- The connection with python script works fine

```python
import sqlalchemy

REGION = ""fr-par""
ACCESS_KEY_ID = ""xxxxxxxx""
SECRET_ACCESS_KEY = ""xxxxx-xxxx-xxxx-xxxx-xxxxxxx""
BUCKET = ""xxxxx""
FILE = ""naiades_analyse_physicochimie.parquet""

url = f""https://{BUCKET}.s3.{REGION}.scw.cloud/{FILE}""
endpoint = f""https://s3.{REGION}.scw.cloud""

if __name__ == ""__main__"":
    engine = sqlalchemy.create_engine(
        ""duckdb:///:memory:"",
        connect_args={
            ""config"": {
                ""s3_region"": REGION,
                ""s3_access_key_id"": ACCESS_KEY_ID,
                ""s3_secret_access_key"": SECRET_ACCESS_KEY,
                ""s3_endpoint"": endpoint,
                ""s3_url_style"": ""vhost"",
                ""s3_use_ssl"": True,
            },
        },
    )
    with engine.begin() as conn:
        conn.execute(""INSTALL spatial; LOAD spatial;"")
        conn.execute(""INSTALL https; LOAD https;"")
        result = conn.execute(f""SELECT * FROM '{url}' LIMIT 10;"")
        print(result.fetchall())
```

### Checklist

- [x] I have searched Superset docs and Slack and didn't find a solution to my problem.
- [x] I have searched the GitHub issue tracker and didn't find a similar bug report.
- [x] I have checked Superset's logs for errors and if I found a relevant Python stacktrace, I included it here as text in the ""additional context"" section.",antonio-andrade,63242934,open,False,1,2025-05-10T18:36:51+00:00,2025-05-10T18:39:11+00:00,,sqllab;data:connect:duckdb,0,0,0,0,0,0,0
apache/superset,3053802239,33399,can not install docker compose when use git clone --depth=1 -b 4.1.2 https://github.com/apache/superset.git,"### Bug description

when i use git clone --depth=1 -b 4.1.2 https://github.com/apache/superset.git and
docker compose -f docker-compose-non-dev.yml up -d
it show error about 

### Screenshots/recordings

![Image](https://github.com/user-attachments/assets/3fde60ce-cfe8-408a-8e0e-f3d0935c5443)

### Superset version

4.1.2

### Python version

3.9

### Node version

16

### Browser

Chrome

### Additional context

_No response_

### Checklist

- [ ] I have searched Superset docs and Slack and didn't find a solution to my problem.
- [ ] I have searched the GitHub issue tracker and didn't find a similar bug report.
- [ ] I have checked Superset's logs for errors and if I found a relevant Python stacktrace, I included it here as text in the ""additional context"" section.",psongyoo,22905650,open,False,1,2025-05-10T06:45:46+00:00,2025-05-10T06:48:05+00:00,,install:docker,0,0,0,0,0,0,0
apache/superset,3052960270,33398,feat(dashboard):chart customization/dynamic group by in dashboards.,"feat(dashboard):chart customization/dynamic group by in dashboards.(WIP)

### SUMMARY
WIP

### BEFORE/AFTER SCREENSHOTS OR ANIMATED GIF
<!--- Skip this if not applicable -->

### TESTING INSTRUCTIONS
<!--- Required! What steps can be taken to manually verify the changes? -->

### ADDITIONAL INFORMATION
<!--- Check any relevant boxes with ""x"" -->
<!--- HINT: Include ""Fixes #nnn"" if you are fixing an existing issue -->
- [ ] Has associated issue:
- [ ] Required feature flags:
- [ ] Changes UI
- [ ] Includes DB Migration (follow approval process in [SIP-59](https://github.com/apache/superset/issues/13351))
  - [ ] Migration is atomic, supports rollback & is backwards-compatible
  - [ ] Confirm DB migration upgrade and downgrade tested
  - [ ] Runtime estimates and downtime expectations provided
- [ ] Introduces new feature or API
- [ ] Removes existing feature or API
",LevisNgigi,111055098,open,False,2,2025-05-09T18:59:00+00:00,2025-05-09T19:13:44+00:00,,size/XXL,0,0,0,0,0,0,0
apache/superset,3052953674,33397,Add missing ECharts tags,"
### SUMMARY
The ECharts tag is missing from Big Number, Sankey and Timeseries charts. This PR adds the missing tags.

### ADDITIONAL INFORMATION
<!--- Check any relevant boxes with ""x"" -->
<!--- HINT: Include ""Fixes #nnn"" if you are fixing an existing issue -->
- [ ] Has associated issue:
- [ ] Required feature flags:
- [ ] Changes UI
- [ ] Includes DB Migration (follow approval process in [SIP-59](https://github.com/apache/superset/issues/13351))
  - [ ] Migration is atomic, supports rollback & is backwards-compatible
  - [ ] Confirm DB migration upgrade and downgrade tested
  - [ ] Runtime estimates and downtime expectations provided
- [ ] Introduces new feature or API
- [ ] Removes existing feature or API
",DamianPendrak,10187818,open,False,0,2025-05-09T18:56:41+00:00,2025-05-09T18:57:23+00:00,,size/XS;viz:charts:echarts;viz:charts:timeseries;viz:charts:bignumber;viz:charts:sankey;plugins,0,0,0,0,0,0,0
apache/superset,3052446895,33396,chore(Accessibility): Improve keyboard navigation and screen access,"<!---
Please write the PR title following the conventions at https://www.conventionalcommits.org/en/v1.0.0/
Example:
fix(dashboard): load charts correctly
-->

### SUMMARY
<!--- Describe the change below, including rationale and design decisions -->

### BEFORE/AFTER SCREENSHOTS OR ANIMATED GIF
<!--- Skip this if not applicable -->

### TESTING INSTRUCTIONS
<!--- Required! What steps can be taken to manually verify the changes? -->

### ADDITIONAL INFORMATION
<!--- Check any relevant boxes with ""x"" -->
<!--- HINT: Include ""Fixes #nnn"" if you are fixing an existing issue -->
- [ ] Has associated issue:
- [ ] Required feature flags:
- [ ] Changes UI
- [ ] Includes DB Migration (follow approval process in [SIP-59](https://github.com/apache/superset/issues/13351))
  - [ ] Migration is atomic, supports rollback & is backwards-compatible
  - [ ] Confirm DB migration upgrade and downgrade tested
  - [ ] Runtime estimates and downtime expectations provided
- [ ] Introduces new feature or API
- [ ] Removes existing feature or API
",geido,60598000,open,False,1,2025-05-09T15:00:43+00:00,2025-05-09T15:00:58+00:00,,size/L;packages,0,0,0,0,0,0,0
apache/superset,3049690776,33392,fix(chart list): Facepile shows correct users when saving chart properties,"<!---
Please write the PR title following the conventions at https://www.conventionalcommits.org/en/v1.0.0/
Example:
fix(dashboard): load charts correctly
-->

### SUMMARY
<!--- Describe the change below, including rationale and design decisions -->
Looking to fix: https://github.com/apache/superset/issues/31592.
It's reproducible on all the test-env up environments. Add ""Superset Admin"" as user on a chart and then save shows the undefined undefined.

I just update the redux with the owner list back in it's original ""shape"".

### BEFORE/AFTER SCREENSHOTS OR ANIMATED GIF
<!--- Skip this if not applicable -->
first half is the broken, second half is working
![fix-chart-list](https://github.com/user-attachments/assets/84e1ee05-cd23-448b-98d8-b7f33b5366d5)

### TESTING INSTRUCTIONS
<!--- Required! What steps can be taken to manually verify the changes? -->


### ADDITIONAL INFORMATION
<!--- Check any relevant boxes with ""x"" -->
<!--- HINT: Include ""Fixes #nnn"" if you are fixing an existing issue -->
- [x] Has associated issue: https://github.com/apache/superset/issues/31592
- [ ] Required feature flags:
- [ ] Changes UI
- [ ] Includes DB Migration (follow approval process in [SIP-59](https://github.com/apache/superset/issues/13351))
  - [ ] Migration is atomic, supports rollback & is backwards-compatible
  - [ ] Confirm DB migration upgrade and downgrade tested
  - [ ] Runtime estimates and downtime expectations provided
- [ ] Introduces new feature or API
- [ ] Removes existing feature or API
",ethan-l-geotab,165913720,open,False,2,2025-05-08T17:47:26+00:00,2025-05-09T17:31:26+00:00,,size/S;explore:save;review:checkpoint,0,0,0,0,0,0,0
apache/superset,3049054100,33389,[IPLT-8489] Enable Drag-and-Drop of Individual Custom Components ,Enable Drag-and-Drop of Individual Custom Components ,aridhwan-ikigai,201845794,closed,False,1,2025-05-08T13:43:50+00:00,2025-05-08T13:45:16+00:00,2025-05-08T13:45:16+00:00,i18n;risk:db-migration;size/XXL;change:frontend;i18n:chinese;doc;plugins;dependencies:npm;packages;i18n:dutch,0,0,0,0,0,0,0
apache/superset,3048227880,33388,🐛 Creating `Databricks` datasource using `databricks-sqlalchemy~=1` succeeds but stuck in a loop first,"### Bug description

The `[databricks]` extra of the `apache-superset` package installs the deprecated and archived `sqlalchemy-databricks` package, which does not work with databricks anymore after the introduction of Unity catalog and deprecation (and soon removal) of hive metastore. The specific reason is not being able to ignore hidden partitioning columns from delta tables when running `DESCRIBE ...` queries. The new driver, aptly named `databricks-sqlalchemy` for maximum confusion, is a drop-in replacement for the old one, supported by microsoft and should work out of the box. However, I have found one issue that was not there with the old driver.

The datasource is created successfully, but the webserver never returns and the request times out.

Steps to reproduce:
1. From a stock apache/superset docker image, install the new databricks connector with sqlalchemy 1.x support (not the sqlalchemy 2.x one because it won't work with superset)
    ```sh
    pip install databricks-sqlalchemy~=1
    ```
2. In superset, create a datasource, using the sqlalchemy URI like this:
    ```sh
    databricks://token:XXXXXXXXXX@XXXXXXXXXXX.azuredatabricks.net:443
    ```
    Include the extra engine parameters to identify a compute cluster to use:
    ```sh
    {""connect_args"":{""http_path"":""/sql/1.0/warehouses/XXXXXXXXXXXX""}}
    ```
    Lastly tick the box to allow selecting a catalog.
3. Create the datasource and observe the browser hanging for ever and a spinner in the UI that does not disappear.
4. Refresh the page and observe the datasource was created successfully after all.

I have noticed that while this is going on, the databricks cluster is receiving `SHOW SCHEMAS` requests constantly in a loop:

![Image](https://github.com/user-attachments/assets/5314e4f9-9c3c-4248-8378-12576be283bf)

The server logs are looping until it eventually returns a 201 if the client didn't time out already.

[logs.txt](https://github.com/user-attachments/files/20099380/logs.txt)

I suspect what is happening here is that Superset is pre-fetching all schemas in all catalogs, maybe just for testing od populating some cache?

This is not ideal behavior in our environment because we have hundreds of catalogs and would only like to load what we need when we need it.

### Screenshots/recordings

_No response_

### Superset version

4.1.2

### Python version

3.10

### Node version

Not applicable

### Browser

Not applicable

### Additional context

_No response_

### Checklist

- [x] I have searched Superset docs and Slack and didn't find a solution to my problem.
- [x] I have searched the GitHub issue tracker and didn't find a similar bug report.
- [x] I have checked Superset's logs for errors and if I found a relevant Python stacktrace, I included it here as text in the ""additional context"" section.",martimors,41419288,closed,False,5,2025-05-08T08:30:24+00:00,2025-05-08T18:13:02+00:00,2025-05-08T12:49:07+00:00,data:connect:databricks;review:checkpoint,0,0,0,0,0,0,0
apache/superset,3048162571,33387,Issue with Jinja Filter Variable Not Passing Value in Superset Dashboard,"### Bug description

Subject: Issue with Jinja Filter Variable Not Passing Value in Superset Dashboard

Facing an issue while using Jinja templating for a filter variable in a SQL Lab query and visualizing it in a dashboard. 

I’ve defined the filter as a Jinja variable using:
{{ experience_threshold | int | default(0) }}
The filter is created manually in the dashboard and linked to the chart.
The experience_threshold is not a column in the dataset—it's a dynamic input only used in the query logic.

Expected Behavior:
The value selected from the dashboard filter should replace the Jinja variable and reflect in the query logic and output.

Actual Behavior:
The query always uses the default value from the Jinja template (0), regardless of the dashboard input.

Could someone help confirm:
If dynamic Jinja filters like this are supported in dashboards?
If so, are there additional configuration steps required to ensure the filter value is passed correctly from the dashboard into the query?

Any guidance or references would be greatly appreciated.

### Screenshots/recordings

![Image](https://github.com/user-attachments/assets/06aaa39c-fa27-464c-8ff3-caf3f870232d)

### Superset version

master / latest-dev

### Python version

3.10

### Node version

Not applicable

### Browser

Chrome

### Additional context

_No response_

### Checklist

- [x] I have searched Superset docs and Slack and didn't find a solution to my problem.
- [ ] I have searched the GitHub issue tracker and didn't find a similar bug report.
- [ ] I have checked Superset's logs for errors and if I found a relevant Python stacktrace, I included it here as text in the ""additional context"" section.",Nethaje,81895792,open,False,1,2025-05-08T08:02:25+00:00,2025-05-08T17:02:42+00:00,,global:jinja;dashboard;cherry:checkpoint,0,0,0,0,0,0,0
