repo_full_name,pr_id,comment_id,user_login,user_id,created_at,updated_at,body,is_review_comment,path,position,diff_hunk,reactions_total,reactions_plus1,reactions_minus1,reactions_laugh,reactions_hooray,reactions_confused,reactions_heart
apache/superset,2515147575,2085694841,korbit-ai[bot],131444098,2025-05-12T23:46:05+00:00,2025-05-13T00:20:45+00:00,"### Excessive Base Wait Time in Backoff Strategy <sub>![category Performance](https://img.shields.io/badge/Performance-4f46e5)</sub>

<details>
  <summary>Tell me more</summary>

###### What is the issue?
The base wait time of 60 seconds in the exponential backoff is unnecessarily long for HTTP 429 rate limit retries.

###### Why this matters
With a 60-second base wait time and exponential backoff (2^n), subsequent retries will wait for 60s, 120s, 240s, 480s - leading to extremely long total wait times that could significantly impact performance.

###### Suggested change ∙ *Feature Preview*
Reduce the base wait time to a more reasonable value like 1-5 seconds. This still provides adequate spacing between retries while maintaining responsiveness:
```python
wait_seconds: float = 2.0,
```


###### Provide feedback to improve future suggestions
[![Nice Catch](https://img.shields.io/badge/👍%20Nice%20Catch-71BC78)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/500ea470-02b5-4a35-bf32-1c9520c44f05/upvote) [![Incorrect](https://img.shields.io/badge/👎%20Incorrect-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/500ea470-02b5-4a35-bf32-1c9520c44f05?what_not_true=true)  [![Not in Scope](https://img.shields.io/badge/👎%20Out%20of%20PR%20scope-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/500ea470-02b5-4a35-bf32-1c9520c44f05?what_out_of_scope=true) [![Not in coding standard](https://img.shields.io/badge/👎%20Not%20in%20our%20standards-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/500ea470-02b5-4a35-bf32-1c9520c44f05?what_not_in_standard=true) [![Other](https://img.shields.io/badge/👎%20Other-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/500ea470-02b5-4a35-bf32-1c9520c44f05)
</details>

<sub>

💬 Looking for more details? Reply to this comment to chat with Korbit.
</sub>

<!--- korbi internal id:c8467b9e-04d5-40da-9e56-2a5dcc9530f8 -->


[](c8467b9e-04d5-40da-9e56-2a5dcc9530f8)",False,,,,0,0,0,0,0,0,0
apache/superset,2515147575,2085694846,korbit-ai[bot],131444098,2025-05-12T23:46:05+00:00,2025-05-12T23:46:05+00:00,"### Fragmented string formatting in retry message <sub>![category Readability](https://img.shields.io/badge/Readability-0284c7)</sub>

<details>
  <summary>Tell me more</summary>

###### What is the issue?
Using concatenated print statements makes the retry message harder to read and maintain. The f-strings are split unnecessarily across multiple lines.

###### Why this matters
Split string formatting makes the message structure harder to follow and introduces potential formatting inconsistencies. Single f-string would be clearer.

###### Suggested change ∙ *Feature Preview*
```python
print(f""HTTP 429 received from {url}. Retrying in {sleep_time:.1f}s (attempt {attempt}/{max_attempts})..."")
```


###### Provide feedback to improve future suggestions
[![Nice Catch](https://img.shields.io/badge/👍%20Nice%20Catch-71BC78)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/4c206eb8-4cae-4772-893c-0bcbf25d43b4/upvote) [![Incorrect](https://img.shields.io/badge/👎%20Incorrect-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/4c206eb8-4cae-4772-893c-0bcbf25d43b4?what_not_true=true)  [![Not in Scope](https://img.shields.io/badge/👎%20Out%20of%20PR%20scope-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/4c206eb8-4cae-4772-893c-0bcbf25d43b4?what_out_of_scope=true) [![Not in coding standard](https://img.shields.io/badge/👎%20Not%20in%20our%20standards-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/4c206eb8-4cae-4772-893c-0bcbf25d43b4?what_not_in_standard=true) [![Other](https://img.shields.io/badge/👎%20Other-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/4c206eb8-4cae-4772-893c-0bcbf25d43b4)
</details>

<sub>

💬 Looking for more details? Reply to this comment to chat with Korbit.
</sub>

<!--- korbi internal id:aa4ab7b4-1121-408b-802c-bca06e289402 -->


[](aa4ab7b4-1121-408b-802c-bca06e289402)",False,,,,0,0,0,0,0,0,0
apache/superset,2515147575,2085694848,korbit-ai[bot],131444098,2025-05-12T23:46:05+00:00,2025-05-13T00:36:49+00:00,"### Incorrect Data Source for Airports <sub>![category Functionality](https://img.shields.io/badge/Functionality-0284c7)</sub>

<details>
  <summary>Tell me more</summary>

###### What is the issue?
The airports data is being loaded from the wrong file. It's using 'flight_data.csv.gz' instead of 'airports.csv.gz'.

###### Why this matters
This will cause incorrect data to be loaded for airports, leading to wrong lat/long information when joining with the flights data. The subsequent join operations will produce invalid results.

###### Suggested change ∙ *Feature Preview*
Use the correct file name for loading airports data:
```python
airports = read_example_csv(
    ""airports.csv.gz"", encoding=""latin-1"", compression=""gzip""
)
```


###### Provide feedback to improve future suggestions
[![Nice Catch](https://img.shields.io/badge/👍%20Nice%20Catch-71BC78)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/ab7f23f5-1c2d-4d29-beed-78df10891c0b/upvote) [![Incorrect](https://img.shields.io/badge/👎%20Incorrect-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/ab7f23f5-1c2d-4d29-beed-78df10891c0b?what_not_true=true)  [![Not in Scope](https://img.shields.io/badge/👎%20Out%20of%20PR%20scope-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/ab7f23f5-1c2d-4d29-beed-78df10891c0b?what_out_of_scope=true) [![Not in coding standard](https://img.shields.io/badge/👎%20Not%20in%20our%20standards-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/ab7f23f5-1c2d-4d29-beed-78df10891c0b?what_not_in_standard=true) [![Other](https://img.shields.io/badge/👎%20Other-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/ab7f23f5-1c2d-4d29-beed-78df10891c0b)
</details>

<sub>

💬 Looking for more details? Reply to this comment to chat with Korbit.
</sub>

<!--- korbi internal id:c4aa6c08-587c-4b87-8186-49aa8f45644e -->


[](c4aa6c08-587c-4b87-8186-49aa8f45644e)",False,,,,0,0,0,0,0,0,0
apache/superset,2515147575,2085694841,korbit-ai[bot],131444098,2025-05-12T23:46:05+00:00,2025-05-13T00:20:45+00:00,"### Excessive Base Wait Time in Backoff Strategy <sub>![category Performance](https://img.shields.io/badge/Performance-4f46e5)</sub>

<details>
  <summary>Tell me more</summary>

###### What is the issue?
The base wait time of 60 seconds in the exponential backoff is unnecessarily long for HTTP 429 rate limit retries.

###### Why this matters
With a 60-second base wait time and exponential backoff (2^n), subsequent retries will wait for 60s, 120s, 240s, 480s - leading to extremely long total wait times that could significantly impact performance.

###### Suggested change ∙ *Feature Preview*
Reduce the base wait time to a more reasonable value like 1-5 seconds. This still provides adequate spacing between retries while maintaining responsiveness:
```python
wait_seconds: float = 2.0,
```


###### Provide feedback to improve future suggestions
[![Nice Catch](https://img.shields.io/badge/👍%20Nice%20Catch-71BC78)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/500ea470-02b5-4a35-bf32-1c9520c44f05/upvote) [![Incorrect](https://img.shields.io/badge/👎%20Incorrect-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/500ea470-02b5-4a35-bf32-1c9520c44f05?what_not_true=true)  [![Not in Scope](https://img.shields.io/badge/👎%20Out%20of%20PR%20scope-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/500ea470-02b5-4a35-bf32-1c9520c44f05?what_out_of_scope=true) [![Not in coding standard](https://img.shields.io/badge/👎%20Not%20in%20our%20standards-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/500ea470-02b5-4a35-bf32-1c9520c44f05?what_not_in_standard=true) [![Other](https://img.shields.io/badge/👎%20Other-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/500ea470-02b5-4a35-bf32-1c9520c44f05)
</details>

<sub>

💬 Looking for more details? Reply to this comment to chat with Korbit.
</sub>

<!--- korbi internal id:c8467b9e-04d5-40da-9e56-2a5dcc9530f8 -->


[](c8467b9e-04d5-40da-9e56-2a5dcc9530f8)",True,superset/examples/helpers.py,21.0,"@@ -119,3 +123,41 @@ def get_example_url(filepath: str) -> str:
     paths like ``datasets/examples/slack/messages.csv``.
     """"""
     return f""{BASE_URL}{filepath}""
+
+
+def read_example_csv(
+    filepath: str,
+    max_attempts: int = 5,
+    wait_seconds: float = 60,",0,0,0,0,0,0,0
apache/superset,2515147575,2085694846,korbit-ai[bot],131444098,2025-05-12T23:46:05+00:00,2025-05-12T23:46:05+00:00,"### Fragmented string formatting in retry message <sub>![category Readability](https://img.shields.io/badge/Readability-0284c7)</sub>

<details>
  <summary>Tell me more</summary>

###### What is the issue?
Using concatenated print statements makes the retry message harder to read and maintain. The f-strings are split unnecessarily across multiple lines.

###### Why this matters
Split string formatting makes the message structure harder to follow and introduces potential formatting inconsistencies. Single f-string would be clearer.

###### Suggested change ∙ *Feature Preview*
```python
print(f""HTTP 429 received from {url}. Retrying in {sleep_time:.1f}s (attempt {attempt}/{max_attempts})..."")
```


###### Provide feedback to improve future suggestions
[![Nice Catch](https://img.shields.io/badge/👍%20Nice%20Catch-71BC78)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/4c206eb8-4cae-4772-893c-0bcbf25d43b4/upvote) [![Incorrect](https://img.shields.io/badge/👎%20Incorrect-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/4c206eb8-4cae-4772-893c-0bcbf25d43b4?what_not_true=true)  [![Not in Scope](https://img.shields.io/badge/👎%20Out%20of%20PR%20scope-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/4c206eb8-4cae-4772-893c-0bcbf25d43b4?what_out_of_scope=true) [![Not in coding standard](https://img.shields.io/badge/👎%20Not%20in%20our%20standards-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/4c206eb8-4cae-4772-893c-0bcbf25d43b4?what_not_in_standard=true) [![Other](https://img.shields.io/badge/👎%20Other-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/4c206eb8-4cae-4772-893c-0bcbf25d43b4)
</details>

<sub>

💬 Looking for more details? Reply to this comment to chat with Korbit.
</sub>

<!--- korbi internal id:aa4ab7b4-1121-408b-802c-bca06e289402 -->


[](aa4ab7b4-1121-408b-802c-bca06e289402)",True,superset/examples/helpers.py,,"@@ -119,3 +123,41 @@
     paths like ``datasets/examples/slack/messages.csv``.
     """"""
     return f""{BASE_URL}{filepath}""
+
+
+def read_example_csv(
+    filepath: str,
+    max_attempts: int = 5,
+    wait_seconds: float = 60,
+    **kwargs: Any,
+) -> pd.DataFrame:
+    """"""
+    Load a CSV from the Superset example data mirror with retry/backoff on HTTP 429.
+
+    Args:
+        filepath: Relative path within the examples repo (e.g. ""datasets/foo.csv"").
+        max_attempts: Max number of retry attempts.
+        wait_seconds: Base wait time in seconds, will be multiplied
+          exponentially per attempt.
+        **kwargs: Passed directly to pandas.read_csv().
+
+    Returns:
+        pd.DataFrame
+    """"""
+
+    url = get_example_url(filepath)
+
+    for attempt in range(1, max_attempts + 1):
+        try:
+            return pd.read_csv(url, **kwargs)
+        except HTTPError as e:
+            if e.code == 429 and attempt < max_attempts:
+                sleep_time = wait_seconds * (2 ** (attempt - 1))
+                print(
+                    f""HTTP 429 received from {url}. "",
+                    f""Retrying in {sleep_time:.1f}s "",
+                    ""(attempt {attempt}/{max_attempts})..."",
+                )",0,0,0,0,0,0,0
apache/superset,2515147575,2085694848,korbit-ai[bot],131444098,2025-05-12T23:46:05+00:00,2025-05-13T00:36:49+00:00,"### Incorrect Data Source for Airports <sub>![category Functionality](https://img.shields.io/badge/Functionality-0284c7)</sub>

<details>
  <summary>Tell me more</summary>

###### What is the issue?
The airports data is being loaded from the wrong file. It's using 'flight_data.csv.gz' instead of 'airports.csv.gz'.

###### Why this matters
This will cause incorrect data to be loaded for airports, leading to wrong lat/long information when joining with the flights data. The subsequent join operations will produce invalid results.

###### Suggested change ∙ *Feature Preview*
Use the correct file name for loading airports data:
```python
airports = read_example_csv(
    ""airports.csv.gz"", encoding=""latin-1"", compression=""gzip""
)
```


###### Provide feedback to improve future suggestions
[![Nice Catch](https://img.shields.io/badge/👍%20Nice%20Catch-71BC78)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/ab7f23f5-1c2d-4d29-beed-78df10891c0b/upvote) [![Incorrect](https://img.shields.io/badge/👎%20Incorrect-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/ab7f23f5-1c2d-4d29-beed-78df10891c0b?what_not_true=true)  [![Not in Scope](https://img.shields.io/badge/👎%20Out%20of%20PR%20scope-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/ab7f23f5-1c2d-4d29-beed-78df10891c0b?what_out_of_scope=true) [![Not in coding standard](https://img.shields.io/badge/👎%20Not%20in%20our%20standards-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/ab7f23f5-1c2d-4d29-beed-78df10891c0b?what_not_in_standard=true) [![Other](https://img.shields.io/badge/👎%20Other-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/ab7f23f5-1c2d-4d29-beed-78df10891c0b)
</details>

<sub>

💬 Looking for more details? Reply to this comment to chat with Korbit.
</sub>

<!--- korbi internal id:c4aa6c08-587c-4b87-8186-49aa8f45644e -->


[](c4aa6c08-587c-4b87-8186-49aa8f45644e)",True,superset/examples/flights.py,,"@@ -37,12 +37,14 @@ def load_flights(only_metadata: bool = False, force: bool = False) -> None:
         table_exists = database.has_table(Table(tbl_name, schema))
 
         if not only_metadata and (not table_exists or force):
-            flight_data_url = get_example_url(""flight_data.csv.gz"")
-            pdf = pd.read_csv(flight_data_url, encoding=""latin-1"", compression=""gzip"")
+            pdf = read_example_csv(
+                ""flight_data.csv.gz"", encoding=""latin-1"", compression=""gzip""
+            )
 
             # Loading airports info to join and get lat/long
-            airports_url = get_example_url(""airports.csv.gz"")
-            airports = pd.read_csv(airports_url, encoding=""latin-1"", compression=""gzip"")
+            airports = read_example_csv(
+                ""flight_data.csv.gz"", encoding=""latin-1"", compression=""gzip""
+            )",0,0,0,0,0,0,0
apache/superset,2514517609,2085305712,korbit-ai[bot],131444098,2025-05-12T19:21:13+00:00,2025-05-12T21:03:58+00:00,"### Overly Complex Type Extraction <sub>![category Readability](https://img.shields.io/badge/Readability-0284c7)</sub>

<details>
  <summary>Tell me more</summary>

###### What is the issue?
Complex type extraction using Parameters and NonNullable makes the code harder to read and understand at a glance.

###### Why this matters
The nested type utility operations obscure the actual type being used, making it difficult for developers to quickly understand what type of parameter info should be.

###### Suggested change ∙ *Feature Preview*
```typescript
// Create a dedicated type at the top of the file or in types.ts
type TreeDropInfo = Parameters<NonNullable<TreeProps<FlatLayerDataNode>['onDrop']>>[0];

// Then use it in the function
onDrop = (info: TreeDropInfo) => {
```


###### Provide feedback to improve future suggestions
[![Nice Catch](https://img.shields.io/badge/👍%20Nice%20Catch-71BC78)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/cc90ede1-f3c5-4dcd-a770-eee533cfdbd5/upvote) [![Incorrect](https://img.shields.io/badge/👎%20Incorrect-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/cc90ede1-f3c5-4dcd-a770-eee533cfdbd5?what_not_true=true)  [![Not in Scope](https://img.shields.io/badge/👎%20Out%20of%20PR%20scope-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/cc90ede1-f3c5-4dcd-a770-eee533cfdbd5?what_out_of_scope=true) [![Not in coding standard](https://img.shields.io/badge/👎%20Not%20in%20our%20standards-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/cc90ede1-f3c5-4dcd-a770-eee533cfdbd5?what_not_in_standard=true) [![Other](https://img.shields.io/badge/👎%20Other-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/cc90ede1-f3c5-4dcd-a770-eee533cfdbd5)
</details>

<sub>

💬 Looking for more details? Reply to this comment to chat with Korbit.
</sub>

<!--- korbi internal id:2c3d1e01-582a-429a-b543-781c8ccbb9ff -->


[](2c3d1e01-582a-429a-b543-781c8ccbb9ff)",False,,,,0,0,0,0,0,0,0
apache/superset,2514517609,2085305712,korbit-ai[bot],131444098,2025-05-12T19:21:13+00:00,2025-05-12T21:03:58+00:00,"### Overly Complex Type Extraction <sub>![category Readability](https://img.shields.io/badge/Readability-0284c7)</sub>

<details>
  <summary>Tell me more</summary>

###### What is the issue?
Complex type extraction using Parameters and NonNullable makes the code harder to read and understand at a glance.

###### Why this matters
The nested type utility operations obscure the actual type being used, making it difficult for developers to quickly understand what type of parameter info should be.

###### Suggested change ∙ *Feature Preview*
```typescript
// Create a dedicated type at the top of the file or in types.ts
type TreeDropInfo = Parameters<NonNullable<TreeProps<FlatLayerDataNode>['onDrop']>>[0];

// Then use it in the function
onDrop = (info: TreeDropInfo) => {
```


###### Provide feedback to improve future suggestions
[![Nice Catch](https://img.shields.io/badge/👍%20Nice%20Catch-71BC78)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/cc90ede1-f3c5-4dcd-a770-eee533cfdbd5/upvote) [![Incorrect](https://img.shields.io/badge/👎%20Incorrect-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/cc90ede1-f3c5-4dcd-a770-eee533cfdbd5?what_not_true=true)  [![Not in Scope](https://img.shields.io/badge/👎%20Out%20of%20PR%20scope-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/cc90ede1-f3c5-4dcd-a770-eee533cfdbd5?what_out_of_scope=true) [![Not in coding standard](https://img.shields.io/badge/👎%20Not%20in%20our%20standards-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/cc90ede1-f3c5-4dcd-a770-eee533cfdbd5?what_not_in_standard=true) [![Other](https://img.shields.io/badge/👎%20Other-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/cc90ede1-f3c5-4dcd-a770-eee533cfdbd5)
</details>

<sub>

💬 Looking for more details? Reply to this comment to chat with Korbit.
</sub>

<!--- korbi internal id:2c3d1e01-582a-429a-b543-781c8ccbb9ff -->


[](2c3d1e01-582a-429a-b543-781c8ccbb9ff)",True,superset-frontend/src/explore/components/controls/LayerConfigsControl/FlatLayerTree.tsx,19.0,"@@ -120,7 +118,9 @@ export const FlatLayerTree = forwardRef<HTMLDivElement, FlatLayerTreeProps>(
 
     const treeData = layerConfigsToTreeData(layerConfigs);
 
-    const onDrop: TreeProps['onDrop'] = info => {
+    const onDrop = (
+      info: Parameters<NonNullable<TreeProps<FlatLayerDataNode>['onDrop']>>[0],",0,0,0,0,0,0,0
apache/superset,2513234086,2084224233,korbit-ai[bot],131444098,2025-05-12T09:17:39+00:00,2025-05-12T10:00:33+00:00,"### Incorrect Time Series Flag Logic <sub>![category Functionality](https://img.shields.io/badge/Functionality-0284c7)</sub>

<details>
  <summary>Tell me more</summary>

###### What is the issue?
The is_timeseries flag is incorrectly tied to the presence of aggregation, when it should be based on whether an X-axis is set (as in the first query object).

###### Why this matters
This could cause incorrect data processing for time series data when no aggregation is selected, potentially leading to visualization errors or data misrepresentation.

###### Suggested change ∙ *Feature Preview*
The is_timeseries flag should maintain the same logic as the first query object:
```typescript
      ...(isXAxisSet(formData) ? {} : { is_timeseries: true }),
```


###### Provide feedback to improve future suggestions
[![Nice Catch](https://img.shields.io/badge/👍%20Nice%20Catch-71BC78)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/526a4bc5-4e0c-409a-8916-83a32dae1c19/upvote) [![Incorrect](https://img.shields.io/badge/👎%20Incorrect-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/526a4bc5-4e0c-409a-8916-83a32dae1c19?what_not_true=true)  [![Not in Scope](https://img.shields.io/badge/👎%20Out%20of%20PR%20scope-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/526a4bc5-4e0c-409a-8916-83a32dae1c19?what_out_of_scope=true) [![Not in coding standard](https://img.shields.io/badge/👎%20Not%20in%20our%20standards-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/526a4bc5-4e0c-409a-8916-83a32dae1c19?what_not_in_standard=true) [![Other](https://img.shields.io/badge/👎%20Other-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/526a4bc5-4e0c-409a-8916-83a32dae1c19)
</details>

<sub>

💬 Looking for more details? Reply to this comment to chat with Korbit.
</sub>

<!--- korbi internal id:75dc8d09-d748-4e67-bf96-cce6394a188d -->


[](75dc8d09-d748-4e67-bf96-cce6394a188d)",False,,,,0,0,0,0,0,0,0
apache/superset,2513234086,2084224239,korbit-ai[bot],131444098,2025-05-12T09:17:39+00:00,2025-05-12T09:17:39+00:00,"### Missing Essential Post-Processing <sub>![category Functionality](https://img.shields.io/badge/Functionality-0284c7)</sub>

<details>
  <summary>Tell me more</summary>

###### What is the issue?
When aggregation is disabled, all post-processing operations are skipped, including pivoting which might still be necessary for proper data transformation.

###### Why this matters
This could result in incorrectly structured data when pivoting is required but aggregation is not selected, leading to visualization failures.

###### Suggested change ∙ *Feature Preview*
Separate the pivot operation from the aggregation condition:
```typescript
      post_processing: [
        pivotOperator(formData, baseQueryObject),
        ...(formData.aggregation ? [aggregationOperator(formData, baseQueryObject)] : []),
      ],
```


###### Provide feedback to improve future suggestions
[![Nice Catch](https://img.shields.io/badge/👍%20Nice%20Catch-71BC78)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/6f1fe1b8-933f-4b7d-aad1-60a025293765/upvote) [![Incorrect](https://img.shields.io/badge/👎%20Incorrect-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/6f1fe1b8-933f-4b7d-aad1-60a025293765?what_not_true=true)  [![Not in Scope](https://img.shields.io/badge/👎%20Out%20of%20PR%20scope-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/6f1fe1b8-933f-4b7d-aad1-60a025293765?what_out_of_scope=true) [![Not in coding standard](https://img.shields.io/badge/👎%20Not%20in%20our%20standards-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/6f1fe1b8-933f-4b7d-aad1-60a025293765?what_not_in_standard=true) [![Other](https://img.shields.io/badge/👎%20Other-white)](https://app.korbit.ai/feedback/aa91ff46-6083-4491-9416-b83dd1994b51/6f1fe1b8-933f-4b7d-aad1-60a025293765)
</details>

<sub>

💬 Looking for more details? Reply to this comment to chat with Korbit.
</sub>

<!--- korbi internal id:94b9b312-ed06-4d0d-9c84-4ddc8b957ff8 -->


[](94b9b312-ed06-4d0d-9c84-4ddc8b957ff8)",False,,,,0,0,0,0,0,0,0
