repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
apache/superset,fjy,428325,2015-07-22T00:45:43+00:00,User,San Francisco Bay Area,Imply
apache/superset,vogievetsky,177816,2015-07-22T00:46:36+00:00,User,"San Francisco, CA",Imply Data
apache/superset,gianm,1214075,2015-07-22T00:49:12+00:00,User,"San Francisco, CA",Imply
apache/superset,petro-rudenko,1121987,2015-07-22T15:26:11+00:00,User,,@Nvidia
apache/superset,kalaidin,1937932,2015-07-22T15:47:28+00:00,User,Berlin/Tel-Aviv,
apache/superset,jdanbrown,627486,2015-07-22T17:46:13+00:00,User,Boulder,Taking a break
apache/superset,he0x,11564819,2015-07-22T18:38:54+00:00,User,,
apache/superset,roadahead,5334734,2015-07-23T09:00:17+00:00,User,,
apache/superset,Fleid,8361406,2015-07-23T09:15:57+00:00,User,"Courtenay, BC",@dbt-Labs
apache/superset,gustaveiffel,1273277,2015-07-23T13:10:00+00:00,User,,
apache/superset,sourcedelica,4219652,2015-07-23T14:19:04+00:00,User,"New York, NY",
apache/superset,pjain1,11787983,2015-07-29T04:05:28+00:00,User,,
apache/superset,rudygt,1120692,2015-08-03T19:12:05+00:00,User,Berlin,remind.me
apache/superset,gsantovena,1887603,2015-08-03T19:13:04+00:00,User,Guatemala,
apache/superset,JT5D,391299,2015-08-27T09:13:08+00:00,User,New York City,The IMC Lab + Gallery
apache/superset,yeswescore,5803165,2015-08-29T21:26:55+00:00,User,,
apache/superset,mvreg,616039,2015-09-01T07:24:11+00:00,User,,
apache/superset,gaurav46,136069,2015-09-03T00:48:30+00:00,User,"Boston, MA",
apache/superset,dpgaspar,4025227,2015-09-06T08:50:10+00:00,User,"Lisbon, Portugal",@preset-io @apache
apache/superset,lordoftheflies,4078632,2015-09-07T09:54:17+00:00,User,"Kiskunfélegyháza, Hungary",Cherubits
apache/superset,w0ngda,10620006,2015-09-08T17:30:06+00:00,User,,
apache/superset,byrondover,874361,2015-09-10T11:48:28+00:00,User,"Los Angeles, California",
apache/superset,mcanthony,1610158,2015-09-11T20:13:55+00:00,User,United States,DΞFCONCΞPTS
apache/superset,dogVgod,6386678,2015-09-13T00:58:09+00:00,User,,
apache/superset,HallsHalls,9986416,2015-09-18T02:48:28+00:00,User,,
apache/superset,pyzen,562626,2015-09-27T04:47:14+00:00,User,,
apache/superset,Shimi,218553,2015-09-28T13:55:36+00:00,User,,
apache/superset,mmcgowan,1268585,2015-10-12T18:35:31+00:00,User,,
apache/superset,navneetrastogi,3831589,2015-10-13T12:33:05+00:00,User,Bangalore,MediaIQ
apache/superset,exitNA,5160007,2015-10-14T06:42:13+00:00,User,Shanghai.China,
apache/superset,asherbitter,957611,2015-10-15T06:15:07+00:00,User,,
apache/superset,thetcc,687430,2015-10-15T09:16:36+00:00,User,,
apache/superset,kevintop,1308762,2015-10-15T09:35:24+00:00,User,燕郊  ,Cloudwise
apache/superset,matagus,58519,2015-10-16T00:05:22+00:00,User,"Chicago, IL ",
apache/superset,zlosim,3896837,2015-10-19T15:44:27+00:00,User,,
apache/superset,492066199,7246129,2015-10-20T09:03:58+00:00,User,beijing,baidu
apache/superset,mattallty,178616,2015-10-23T13:26:18+00:00,User,,
apache/superset,yelord,6967520,2015-10-24T08:33:43+00:00,User,,
apache/superset,rogeriomarques,356649,2015-10-24T16:51:35+00:00,User,,
apache/superset,burdges,680126,2015-10-31T18:18:04+00:00,User,"Zurich, Switzerland",@w3f 
apache/superset,daniel-zahariev,263063,2015-11-04T17:10:50+00:00,User,Bulgaria,
apache/superset,adaburrows,102320,2015-11-06T19:29:49+00:00,User,USA,
apache/superset,nimblemachine,4275179,2015-11-07T21:22:30+00:00,User,United States,NimbleMachine
apache/superset,KenjiTakahashi,431488,2015-11-08T03:58:59+00:00,User,Italy,@Bugfender
apache/superset,bcambel,144385,2015-11-09T12:41:28+00:00,User,"Amsterdam, The Netherlands",
apache/superset,AtChina,10083642,2015-11-10T15:31:01+00:00,User,guangzhou china,
apache/superset,jeduden,1117699,2015-11-11T19:58:55+00:00,User,,
apache/superset,jeromeheng,5937080,2015-11-12T09:29:43+00:00,User,ShenZhen,Tencent
apache/superset,akhuraskin,7789783,2015-11-12T20:46:33+00:00,User,,
apache/superset,toxsick,951466,2015-11-14T03:04:05+00:00,User,"Hamburg, Germany",Fröhlich und Frei
