repo_full_name,pr_id,number,title,body,user_login,user_id,state,draft,created_at,updated_at,closed_at,merged_at,merge_commit_sha,mergeable_state,additions,deletions,changed_files,commits_count,review_comments_count,comments_count,requested_reviewers,requested_teams,labels
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,550702283,9,Replaced shortened with original urls,Thanks for the list. I replaced all the shortened URLs in the `README.md` file with their original URLs. There is no real need to have shortened URLs.,wisepythagoras,55108282,closed,False,2021-01-06T22:18:56+00:00,2021-01-07T09:38:20+00:00,2021-01-07T09:38:20+00:00,,adc15dbe596cbc5439a3ea251785b5df8fa79cc8,unknown,71,72,1,1,0,0,,,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,684402740,19,Add Hyperparameter Optimization Code,"May I add a comprehensive Hyperparameter Optimization code link to this awesome list, please?

Thanks!",LiYangHart,24592238,open,False,2021-07-06T13:58:19+00:00,2021-07-06T13:58:19+00:00,,,df0d19bf9ec9045d4f556a92744432e06bc9bdd8,dirty,1,0,1,1,0,0,,,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,951474211,27,json for ai brain,A file for it's ai,rysceaaed,103492308,open,False,2022-05-31T03:50:33+00:00,2022-05-31T03:50:33+00:00,,,9ec6cdd70569310c980f0cfc4c3b36ab9243e009,clean,9,0,1,1,0,0,,,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,1105645909,31,Update README,Added new item to the list ,Rethabile02,61048685,open,False,2022-10-31T17:04:29+00:00,2022-10-31T17:04:29+00:00,,,9fd0450a6210e1edfaf3b9b3091a44725b5cfe45,dirty,1,1,1,2,0,0,,,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,1220867243,36,Added new project link,60+ Machine Learning Project Ideas,1finalyearproject,120992159,open,False,2023-01-30T01:27:49+00:00,2023-01-30T01:27:49+00:00,,,e56ecfa0281cbee88d107f648a428bae576e68cc,dirty,1,1,1,1,0,0,,,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,1229398120,37,UPDATE README,added a new file,akshayamadhuri,76612327,closed,False,2023-02-05T10:05:25+00:00,2023-02-23T07:31:56+00:00,2023-02-23T07:31:56+00:00,,4314898d3400ff8a347e63e46fae198daceab09d,dirty,1,0,1,1,0,0,,,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,1362544818,40,Update README.md,"Added learning material for Deep learning, machine learning, natural language processing and Open CV",Afsah-Hyder,94605943,closed,False,2023-05-24T07:26:50+00:00,2024-01-07T16:58:13+00:00,2024-01-07T16:58:12+00:00,2024-01-07T16:58:12+00:00,3dea412e0af404961aabe052ac39b9fbae3c07dc,unknown,1,1,1,1,0,0,,,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,1723241659,46,Update README.md,,Ashokreddy9550,159878677,open,False,2024-02-13T07:03:45+00:00,2024-02-13T07:03:45+00:00,,,bc24f5b5a43eafd956c90b3622d51c99074c0383,clean,1,1,1,1,0,0,,,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,1800354593,51,Update README.md,"Hi, I have added a resource on machine learning, please merge  If you think that it is a good contribution to your repo. Thank you.",jivan84,118162251,open,False,2024-04-01T12:03:16+00:00,2024-04-01T12:03:16+00:00,,,637b497f6bbf19d6a44ef34845540f38f45d9757,clean,1,0,1,1,0,0,,,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,1927548457,62,add roboflow sponsorship,,gitsponsored,173217521,closed,False,2024-06-19T01:42:14+00:00,2024-06-19T06:18:10+00:00,2024-06-19T06:18:09+00:00,2024-06-19T06:18:09+00:00,0079283712358438bfbad752fa4dbc3e7efc6a0b,unknown,3,0,1,1,0,0,,,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,1936807239,63,Update README.md,,gitsponsored,173217521,open,False,2024-06-25T04:49:39+00:00,2024-06-25T04:54:46+00:00,,,05affef3cb81480b8ea51e39b10407fd500308b9,dirty,3,1,1,2,0,0,,,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,1979188421,69,Add files via upload,"I wanted to contribute Open Source through a project.
This project is Online advertising marketing Analysis, my internshio project.
Kindly go trhough and upload it on your github/ article page for others to view it.
Thank you!",Aniruddhan15,137152187,open,False,2024-07-20T03:58:37+00:00,2024-08-05T18:24:09+00:00,,,7afed9eb2f15db40f48c561b947dbe3bc9131b5b,clean,0,0,1,1,0,0,,,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,1986726045,70,rm sponsor,,gitsponsored,173217521,closed,False,2024-07-25T05:37:01+00:00,2024-07-26T13:06:49+00:00,2024-07-26T13:06:49+00:00,2024-07-26T13:06:49+00:00,dde4cb8963ddd2bd53a4237ed6d94a38488d0955,unknown,0,3,1,1,0,0,,,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,2103234291,72,Update README.md,Its Important to make it clear,HrsFlex,116896176,open,False,2024-10-02T11:11:04+00:00,2024-11-20T15:36:16+00:00,,,768b98123214affffd4507cc6144afcac90a0da4,clean,1,1,1,1,0,1,,,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,2272471716,80,FirstAdd,,Ajitashoka,100071266,closed,False,2025-01-12T10:51:34+00:00,2025-04-07T22:52:54+00:00,2025-04-07T22:52:53+00:00,,c8fb5bd90e8f83208fce3102975b12f1e5ffa90d,clean,0,0,1,1,0,1,,,
