repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,shiladityaroy212,53702952,2021-01-02T12:58:41+00:00,User,HYD,"Accelalpha, an IBM Company"
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,itsmesachee,29009536,2021-01-02T13:29:38+00:00,User,,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,MedAmineGBerry,25053396,2021-01-02T13:41:05+00:00,User,Berlin,TD Reply
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ptyadana,656931,2021-01-02T14:53:15+00:00,User,Singapore,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,mainadwitiya,42941253,2021-01-02T14:55:43+00:00,User,India,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,vivekjoshi5,68012799,2021-01-02T15:21:47+00:00,User,,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,andrewshiva,47001753,2021-01-02T15:24:01+00:00,User,noida india,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,TVSSSRIPAD,49719676,2021-01-02T15:24:41+00:00,User,,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,bhuvanesh3,65654735,2021-01-02T15:42:33+00:00,User,,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,tsnlincredible,70092929,2021-01-02T15:44:38+00:00,User,Bangalore,Teckzeal
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,Sani-varda,59449978,2021-01-02T15:56:59+00:00,User,,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,Revanth-guduru-balaji,66727119,2021-01-02T16:00:47+00:00,User,,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,Midhilesh4890,45859033,2021-01-02T16:06:45+00:00,User,Bangalore,Walmart
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,divyanshuaggarwal,5948016,2021-01-02T18:10:24+00:00,User,,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,MerlinSchaefer,48853130,2021-01-02T18:13:35+00:00,User,Berlin,HMS Analytical Software GmbH
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ajitdange786,71932500,2021-01-02T19:01:28+00:00,User,,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,freAK14,67127097,2021-01-02T19:15:34+00:00,User,"Nagpur, Maharashtra.",
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,dhruvsheth37,652688,2021-01-02T20:35:44+00:00,User,"Ahmedabad,India",
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,RajKparekh,26524654,2021-01-03T05:52:29+00:00,User,,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,diodoe,141563,2021-01-03T07:05:13+00:00,User,Italy,@dedaloai
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,Tanu-R,69448996,2021-01-03T08:16:07+00:00,User,,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,krishnaupadhyay3,48306199,2021-01-03T11:29:13+00:00,User,,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,akkinasrikar,51265375,2021-01-03T11:44:52+00:00,User,"Banglore,India",
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,pritul2,41751718,2021-01-03T11:45:09+00:00,User,United States,University of Texas Dallas
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,Varun0801,54551996,2021-01-03T11:45:09+00:00,User,"Tamil Nadu, India",
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,d-cryptic,52271502,2021-01-03T11:45:20+00:00,User,"Gujarat, India","Institute of Technology, Nirma University"
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,sankar1v,3726699,2021-01-03T11:48:25+00:00,User,,
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ananthasai7893,48092112,2021-01-03T11:48:30+00:00,User,,K L University
