repo_full_name,pr_id,number,title,body,user_login,user_id,state,draft,created_at,updated_at,closed_at,merged_at,merge_commit_sha,mergeable_state,additions,deletions,changed_files,commits_count,review_comments_count,comments_count,requested_reviewers,requested_teams,labels
bharathgs/Awesome-pytorch-list,113766612,1,add practical pytorch,,spro,211613,closed,False,2017-04-01T06:32:10+00:00,2017-04-01T06:39:48+00:00,2017-04-01T06:39:48+00:00,2017-04-01T06:39:48+00:00,5e9eb2b697bc79ea3171171e487e967e1c20017b,unknown,1,0,1,1,0,0,,,
bharathgs/Awesome-pytorch-list,117605243,2,PyTorch Implementation of MSG-Net,Multi-style transfer in real-time using a single network.,zhanghang1989,8041160,closed,False,2017-04-25T23:53:18+00:00,2017-04-26T12:43:03+00:00,2017-04-26T02:45:30+00:00,2017-04-26T02:45:30+00:00,eacda814d848303c06da4aaad2a131c1b5a872f6,unknown,1,0,1,1,0,0,,,
bharathgs/Awesome-pytorch-list,127412205,3,pytorch-classification,,bearpaw,289501,closed,False,2017-06-26T07:25:58+00:00,2017-06-26T07:59:52+00:00,2017-06-26T07:59:52+00:00,2017-06-26T07:59:52+00:00,a8c3b58f9b56ab577b8302698e378afc5e1b3b48,unknown,1,0,1,1,0,0,,,
bharathgs/Awesome-pytorch-list,128736408,4,add tensorboard-pytorch,,lanpa,2005323,closed,False,2017-07-04T06:57:17+00:00,2017-07-05T03:09:04+00:00,2017-07-05T03:09:04+00:00,2017-07-05T03:09:04+00:00,7183c381c0fb8c5cef7643634e11afe1eef11226,unknown,1,1,1,2,0,0,,,
bharathgs/Awesome-pytorch-list,130172725,5,Added pytorch-seq2seq.,,kylegao91,29381998,closed,False,2017-07-12T15:45:45+00:00,2017-07-13T15:06:53+00:00,2017-07-13T15:06:53+00:00,2017-07-13T15:06:53+00:00,b2afb986fa64e8b9c1a57b937afe2fa3e4164f02,unknown,1,0,1,1,0,0,,,
bharathgs/Awesome-pytorch-list,132217147,6,Fix Typo,Fix Typo : deepspeach2 -> deepspeech2,swchoi0102,10369730,closed,False,2017-07-25T07:51:49+00:00,2017-07-26T03:24:36+00:00,2017-07-26T03:24:36+00:00,2017-07-26T03:24:36+00:00,794bb2b04450c1b7bd2967c2ebb45b40f9a2357f,unknown,1,1,1,1,0,0,,,
bharathgs/Awesome-pytorch-list,136165461,7,Update README.md,"sketchnet, A model that takes an image and generates Processing source code to regenerate that image",jtoy,14783,closed,False,2017-08-17T03:19:33+00:00,2017-08-17T04:12:25+00:00,2017-08-17T04:12:25+00:00,2017-08-17T04:12:25+00:00,e69ca6208bfab279128c882489ce757cfb0e36f0,unknown,2,0,1,1,0,0,,,
bharathgs/Awesome-pytorch-list,139005108,8,Added Oriented Response Networks (CVPR2017),,ZhouYanzhao,24974143,closed,False,2017-09-02T08:34:53+00:00,2017-09-05T06:12:40+00:00,2017-09-05T06:12:40+00:00,2017-09-05T06:12:40+00:00,b48e24a420b44009ac4040640a2b1ea973223c8e,unknown,1,0,1,1,0,0,,,
bharathgs/Awesome-pytorch-list,141725927,9,"Added face alignment paper, ICCV 2017",https://arxiv.org/abs/1703.07332,1adrianb,2567045,closed,False,2017-09-18T23:18:21+00:00,2017-09-19T04:58:28+00:00,2017-09-19T04:58:28+00:00,2017-09-19T04:58:28+00:00,b3e8fc641f35720f22c21028ad294f4e9059e7d2,unknown,1,0,1,1,0,0,,,
bharathgs/Awesome-pytorch-list,144061463,10,Add Categorical DQN,,floringogianu,1670348,closed,False,2017-10-01T08:35:00+00:00,2017-10-01T08:42:22+00:00,2017-10-01T08:42:22+00:00,2017-10-01T08:42:22+00:00,5d880517e840cba9d010fb450c5fabe24ba9577d,unknown,1,0,1,1,0,0,,,
