repo_full_name,issue_id,number,title,body,user_login,user_id,state,locked,comments_count,created_at,updated_at,closed_at,labels,reactions_total,reactions_plus1,reactions_minus1,reactions_laugh,reactions_hooray,reactions_confused,reactions_heart
d2l-ai/d2l-en,3048758729,2646,fix expectation for densities,"*Description of changes:*
Current version shows the following:

$E[X] = \int x \;dp(x)$

Updated to:

$E[X] = \int x p(x)\;dx$

By submitting this pull request, I confirm that you can use, modify,
copy, and redistribute this contribution, under the terms of your
choice.
",Mrutyunjay01,53314831,open,False,0,2025-05-08T11:50:52+00:00,2025-05-08T11:50:52+00:00,,,0,0,0,0,0,0,0
d2l-ai/d2l-en,3041548343,2645,Define logit,"I don't think logits are ever formally defined anywhere in the book, they're just suddenly mentioned in 4.1 Softmax Regression.",rdong8,66289396,open,False,0,2025-05-06T05:20:32+00:00,2025-05-06T05:20:32+00:00,,,0,0,0,0,0,0,0
d2l-ai/d2l-en,3021886556,2644,BOOK TRANSLATION,Is there any plan to release an official Russian translation of the book? Im really looking forward to it!,ladan27,190695648,open,False,0,2025-04-26T13:46:11+00:00,2025-04-26T13:46:11+00:00,,,0,0,0,0,0,0,0
d2l-ai/d2l-en,3011381717,2643,Fixed typo in dimensions of bias term,"*Description of changes:*


By submitting this pull request, I confirm that you can use, modify,
copy, and redistribute this contribution, under the terms of your
choice.

In the Vectorization section, 

We have
$\mathbf{X} \in \mathbb{R}^{n \times d}$, $\mathbf{W} \in \mathbb{R}^{d \times q}$.

Now, since:
$$\mathbf{O} = \mathbf{X} \mathbf{W} + \mathbf{b}$$
and
$$\hat{\mathbf{Y}} = \mathrm{softmax}(\mathbf{O}),$$

we require $\mathbf{b} \in \mathbb{R}^{n \times q}$. This ensures that the softmax operation can be computed row-wise on $\mathbf{O}$.

",deepam20050,88540910,open,False,0,2025-04-22T15:08:54+00:00,2025-04-22T15:08:54+00:00,,,0,0,0,0,0,0,0
d2l-ai/d2l-en,3005672971,2642,Mention that Binary Classification is also called Logistic Regression,"Mention that Binary Classification is also called Logistic Regression. And also answer why even if it's called ""regression"", it's actually a classification problem",Gianni1298,53049920,open,False,0,2025-04-18T20:11:55+00:00,2025-04-18T20:11:55+00:00,,,0,0,0,0,0,0,0
d2l-ai/d2l-en,2965979248,2641,Is the English version of colab notebooks more advanced than Chinese version?,"I have seen that the English version of the notebooks and the Chinese version of the notebooks are not the same, which one is more advanced?",Crinstttina,69063540,open,False,1,2025-04-02T10:43:00+00:00,2025-04-04T07:28:08+00:00,,,0,0,0,0,0,0,0
d2l-ai/d2l-en,2959385495,2640,Update auto-parallelism.md ,"*Description of changes:*


By submitting this pull request, I confirm that you can use, modify,
copy, and redistribute this contribution, under the terms of your
choice.
",Zemelee,29793246,open,False,0,2025-03-31T03:35:02+00:00,2025-03-31T03:35:02+00:00,,,0,0,0,0,0,0,0
d2l-ai/d2l-en,2937636735,2639,Please do not talk too much about the broadcast mechanism.,"About Chapter 2.1.4 and 2.3.7, there is too much talk about the broadcast mechanism. It's like the implicit type conversion rule, which is not a good programming style.

About 2.3.7, a good programming style is to call the functions supplied by `torch.nn.functional`:

```python
import torch
import torch.nn.functional as F

# 创建示例张量
data = torch.arange(20, dtype=torch.float32).reshape(5, 4)

# 使用 torch.nn.functional.normalize 进行 L2 归一化
normalized_data_l2 = F.normalize(data, p=2, dim=1)

# 使用 torch.nn.functional.normalize 进行 L1 归一化
normalized_data_l1 = F.normalize(data, p=1, dim=1)

print(""Original data:"")
print(data)
print(""Normalized data (L2 norm):"")
print(normalized_data_l2)
print(""Normalized data (L1 norm):"")
print(normalized_data_l1)
```

If there is really a need to use the broadcast mechanism, recommend first checkout the broadcast output:


```
np.broadcast_arrays(x, y)
```

```
torch.broadcast_tensors(x, y)
```

This helps to check what the internal broadcast mechanism will output. The broadcast mechanism is an internal mechanism in NumPy designed for speeding up computations. However, encouraging the use of this style of code is not a good idea.",a358003542,1977659,open,False,0,2025-03-21T08:10:28+00:00,2025-03-21T08:37:41+00:00,,,0,0,0,0,0,0,0
d2l-ai/d2l-en,2928242273,2638,d2l broken (numpy) in colab with default pytorch 2.6.0,"Colab just updated pytorch to 2.6.0 and it breaks d2l:

```bash
---------------------------------------------------------------------------

ValueError                                Traceback (most recent call last)

[<ipython-input-2-a93af434f2cf>](https://localhost:8080/#) in <cell line: 0>()
      1 get_ipython().run_line_magic('matplotlib', 'inline')
----> 2 from d2l import torch as d2l
      3 import torchvision

14 frames

[/usr/local/lib/python3.11/dist-packages/d2l/torch.py](https://localhost:8080/#) in <module>
      4 import numpy as np
      5 import torch
----> 6 import torchvision
      7 from PIL import Image
      8 from torch import nn

[/usr/local/lib/python3.11/dist-packages/torchvision/__init__.py](https://localhost:8080/#) in <module>
      8 # .extensions) before entering _meta_registrations.
      9 from .extension import _HAS_OPS  # usort:skip
---> 10 from torchvision import _meta_registrations, datasets, io, models, ops, transforms, utils  # usort:skip
     11 
     12 try:

[/usr/local/lib/python3.11/dist-packages/torchvision/models/__init__.py](https://localhost:8080/#) in <module>
      1 from .alexnet import *
----> 2 from .convnext import *
      3 from .densenet import *
      4 from .efficientnet import *
      5 from .googlenet import *

[/usr/local/lib/python3.11/dist-packages/torchvision/models/convnext.py](https://localhost:8080/#) in <module>
      6 from torch.nn import functional as F
      7 
----> 8 from ..ops.misc import Conv2dNormActivation, Permute
      9 from ..ops.stochastic_depth import StochasticDepth
     10 from ..transforms._presets import ImageClassification

[/usr/local/lib/python3.11/dist-packages/torchvision/ops/__init__.py](https://localhost:8080/#) in <module>
     21 from .giou_loss import generalized_box_iou_loss
     22 from .misc import Conv2dNormActivation, Conv3dNormActivation, FrozenBatchNorm2d, MLP, Permute, SqueezeExcitation
---> 23 from .poolers import MultiScaleRoIAlign
     24 from .ps_roi_align import ps_roi_align, PSRoIAlign
     25 from .ps_roi_pool import ps_roi_pool, PSRoIPool

[/usr/local/lib/python3.11/dist-packages/torchvision/ops/poolers.py](https://localhost:8080/#) in <module>
      8 
      9 from ..utils import _log_api_usage_once
---> 10 from .roi_align import roi_align
     11 
     12 

[/usr/local/lib/python3.11/dist-packages/torchvision/ops/roi_align.py](https://localhost:8080/#) in <module>
      5 import torch.fx
      6 from torch import nn, Tensor
----> 7 from torch._dynamo.utils import is_compile_supported
      8 from torch.jit.annotations import BroadcastingList2
      9 from torch.nn.modules.utils import _pair

[/usr/local/lib/python3.11/dist-packages/torch/_dynamo/__init__.py](https://localhost:8080/#) in <module>
      1 import torch
      2 
----> 3 from . import convert_frame, eval_frame, resume_execution
      4 from .backends.registry import list_backends, lookup_backend, register_backend
      5 from .callback import callback_handler, on_compile_end, on_compile_start

[/usr/local/lib/python3.11/dist-packages/torch/_dynamo/convert_frame.py](https://localhost:8080/#) in <module>
     31 from torch._C._dynamo.guards import GlobalStateGuard
     32 from torch._dynamo.distributed import get_compile_pg
---> 33 from torch._dynamo.symbolic_convert import TensorifyState
     34 from torch._guards import compile_context, CompileContext, CompileId, tracing
     35 from torch._logging import structured

[/usr/local/lib/python3.11/dist-packages/torch/_dynamo/symbolic_convert.py](https://localhost:8080/#) in <module>
     25 import torch
     26 import torch._logging
---> 27 from torch._dynamo.exc import TensorifyScalarRestartAnalysis
     28 from torch._guards import tracing, TracingContext
     29 

[/usr/local/lib/python3.11/dist-packages/torch/_dynamo/exc.py](https://localhost:8080/#) in <module>
      9 
     10 from . import config
---> 11 from .utils import counters
     12 
     13 

[/usr/local/lib/python3.11/dist-packages/torch/_dynamo/utils.py](https://localhost:8080/#) in <module>
    109             np.fft,
    110             np.linalg,
--> 111             np.random,
    112         )
    113 

[/usr/local/lib/python3.11/dist-packages/numpy/__init__.py](https://localhost:8080/#) in __getattr__(attr)
    335             if not abs(x.dot(x) - 2.0) < 1e-5:
    336                 raise AssertionError()
--> 337         except AssertionError:
    338             msg = (""The current Numpy installation ({!r}) fails to ""
    339                    ""pass simple sanity checks. This can be caused for example ""

[/usr/local/lib/python3.11/dist-packages/numpy/random/__init__.py](https://localhost:8080/#) in <module>
    178 
    179 # add these for module-freeze analysis (like PyInstaller)
--> 180 from . import _pickle
    181 from . import _common
    182 from . import _bounded_integers

[/usr/local/lib/python3.11/dist-packages/numpy/random/_pickle.py](https://localhost:8080/#) in <module>
----> 1 from .mtrand import RandomState
      2 from ._philox import Philox
      3 from ._pcg64 import PCG64, PCG64DXSM
      4 from ._sfc64 import SFC64
      5 

mtrand.pyx in init numpy.random.mtrand()

ValueError: numpy.dtype size changed, may indicate binary incompatibility. Expected 96 from C header, got 88 from PyObject
```",drapado,45577687,open,False,0,2025-03-18T11:51:11+00:00,2025-03-18T13:02:53+00:00,,,0,0,0,0,0,0,0
d2l-ai/d2l-en,2922425582,2637,Fail to open discussion,"Fail to open the discussion in the book website : discuss.d2l.ai

504 Gateway Time-out",stormwyrmx,76990712,closed,False,5,2025-03-15T18:29:47+00:00,2025-04-11T07:47:29+00:00,2025-04-11T07:47:28+00:00,,3,3,0,0,0,0,0
