repo_full_name,pr_id,number,title,body,user_login,user_id,state,draft,created_at,updated_at,closed_at,merged_at,merge_commit_sha,mergeable_state,additions,deletions,changed_files,commits_count,review_comments_count,comments_count,requested_reviewers,requested_teams,labels
d2l-ai/d2l-en,224037170,1,update ci,,mli,421857,closed,False,2018-10-18T17:27:27+00:00,2018-10-18T18:30:13+00:00,2018-10-18T18:30:09+00:00,2018-10-18T18:30:09+00:00,d90edd7934e4e5cdd751d1df8bb9a6fe092aa95e,unknown,2588,4672,17,4,0,0,,,
d2l-ai/d2l-en,224109154,2,Enable notebook execution,,mli,421857,closed,False,2018-10-18T21:45:11+00:00,2018-10-18T21:46:52+00:00,2018-10-18T21:46:49+00:00,2018-10-18T21:46:49+00:00,9d305e353a40e9296cb3af76bcdebb9715c08156,unknown,7666,1,13,3,0,0,,,
d2l-ai/d2l-en,224118973,3,add pdf build,,mli,421857,closed,False,2018-10-18T22:29:59+00:00,2018-10-18T22:31:49+00:00,2018-10-18T22:31:45+00:00,2018-10-18T22:31:45+00:00,9f3c52fde2f2a20b46b5c5195a614fe284fffb1d,unknown,31,19,11,13,0,0,,,
d2l-ai/d2l-en,224169976,4,fix build pipeline,,mli,421857,closed,False,2018-10-19T04:47:14+00:00,2018-10-19T04:49:54+00:00,2018-10-19T04:49:51+00:00,2018-10-19T04:49:51+00:00,45e77ed4ff0976462f459fc342023297ac2c34aa,unknown,7,10,2,3,0,1,,,
d2l-ai/d2l-en,224170766,5,fix ci,,mli,421857,closed,False,2018-10-19T04:54:35+00:00,2018-10-19T04:57:18+00:00,2018-10-19T04:57:15+00:00,2018-10-19T04:57:15+00:00,49359e2005f4838f766055c4d5fbc37faf2425f9,unknown,0,3114,8,1,0,0,,,
d2l-ai/d2l-en,224172396,6,only publish for the master branch,,mli,421857,closed,False,2018-10-19T05:08:59+00:00,2018-10-19T05:19:17+00:00,2018-10-19T05:19:14+00:00,2018-10-19T05:19:14+00:00,a09589c3dddb552573ddb290a6713d24052fb41e,unknown,3,2,1,2,0,0,,,
d2l-ai/d2l-en,224432412,7,Add chapter 7--8,,astonzhang,22279212,closed,False,2018-10-19T23:16:54+00:00,2018-10-19T23:39:54+00:00,2018-10-19T23:39:54+00:00,2018-10-19T23:39:54+00:00,b92f173e6d4e9789e238e00f833c7be4fe027946,unknown,1916,0,15,3,0,0,,,
d2l-ai/d2l-en,224451080,8,fix math of appendix,,astonzhang,22279212,closed,False,2018-10-20T04:29:23+00:00,2018-10-20T04:38:35+00:00,2018-10-20T04:38:35+00:00,2018-10-20T04:38:35+00:00,f896ca4aeb5da10f02decae8748abbc8671e2538,unknown,17,17,2,1,0,0,,,
d2l-ai/d2l-en,224451911,9,fix math,,astonzhang,22279212,closed,False,2018-10-20T04:49:35+00:00,2018-10-22T01:26:41+00:00,2018-10-20T23:41:35+00:00,2018-10-20T23:41:34+00:00,2b5ae9e425a7dab16769c6ede8fe5396d05a9b4d,unknown,127,164,24,3,0,0,,,
d2l-ai/d2l-en,224755003,10,Add style guide,,astonzhang,22279212,closed,False,2018-10-22T17:35:08+00:00,2018-10-22T18:20:14+00:00,2018-10-22T18:20:13+00:00,2018-10-22T18:20:13+00:00,fb1fa103508a7102a501b1463dabb5d4c2878a05,unknown,152,3,3,10,0,0,,,
d2l-ai/d2l-en,224758811,11,Update sanity_check.sh,,mli,421857,closed,False,2018-10-22T17:48:54+00:00,2018-10-28T00:40:24+00:00,2018-10-22T18:03:44+00:00,2018-10-22T18:03:44+00:00,90759d46b8cfc1eba338da00c9e80a65c08bab54,unknown,1,1,1,1,0,0,,,
d2l-ai/d2l-en,224768858,12,update readme,,astonzhang,22279212,closed,False,2018-10-22T18:24:27+00:00,2018-10-22T18:27:10+00:00,2018-10-22T18:27:10+00:00,2018-10-22T18:27:10+00:00,d61c3d22525c98a4abe3edf54b051cd56ed9ad82,unknown,14,1,1,1,0,0,,,
d2l-ai/d2l-en,224886050,13,test prob,,astonzhang,22279212,closed,False,2018-10-23T03:45:47+00:00,2018-10-23T17:41:54+00:00,2018-10-23T05:52:33+00:00,,4fd54b380d17d94a4d017827d4887590837cd730,unknown,0,0,0,3,0,0,,,
d2l-ai/d2l-en,225137019,14,"sanity check: allow flexible math, handle md output from Jupyter",,astonzhang,22279212,closed,False,2018-10-23T18:14:04+00:00,2018-10-23T18:26:09+00:00,2018-10-23T18:26:08+00:00,2018-10-23T18:26:08+00:00,c05548a9cfb5818face6e0e64a61aec20623ad7b,unknown,20,8,1,3,0,0,,,
d2l-ai/d2l-en,225192692,15,Fix env,,astonzhang,22279212,closed,False,2018-10-23T21:26:06+00:00,2018-10-24T22:25:57+00:00,2018-10-23T21:28:32+00:00,,873c7f9f5c00020f09e80010671fc060307f9667,unknown,24,12,3,4,0,0,,,
d2l-ai/d2l-en,225193861,16,fix env,,astonzhang,22279212,closed,False,2018-10-23T21:30:32+00:00,2018-10-23T23:43:19+00:00,2018-10-23T23:43:18+00:00,2018-10-23T23:43:18+00:00,a3ef9f7d28b8a46d7a2c6b5460c7d2e9a75b5af6,unknown,4,5,3,2,0,0,,,
d2l-ai/d2l-en,225243480,17,add style,,astonzhang,22279212,closed,False,2018-10-24T02:18:01+00:00,2018-10-24T22:26:07+00:00,2018-10-24T02:20:56+00:00,,071c33be14f2fb87e223a8b2e61097cfd49f60e7,unknown,10,11,4,3,0,0,,,
d2l-ai/d2l-en,225243918,18,add style,,astonzhang,22279212,closed,False,2018-10-24T02:21:02+00:00,2018-10-24T22:25:46+00:00,2018-10-24T19:36:58+00:00,2018-10-24T19:36:58+00:00,7ab06a582ee943e47de4d24104811673bb5f916c,unknown,6,6,1,1,0,0,,,
d2l-ai/d2l-en,225451373,19,Merge crash course ,First chapter first pass done. ,smolix,4139355,closed,False,2018-10-24T15:32:22+00:00,2018-10-24T16:56:35+00:00,2018-10-24T16:55:50+00:00,2018-10-24T16:55:50+00:00,6b56e65a7355b45655e7d05694ac5eeb221bc005,unknown,2381,0,38,16,0,0,,,
d2l-ai/d2l-en,225577060,20,revise index page,,astonzhang,22279212,closed,False,2018-10-24T23:04:16+00:00,2018-10-24T23:22:36+00:00,2018-10-24T23:22:36+00:00,2018-10-24T23:22:36+00:00,be0b0ac36df7379766165f82eb6d04dd10fa3bdc,unknown,41,43,1,2,0,0,,,
d2l-ai/d2l-en,225582015,21,Webpage,,astonzhang,22279212,closed,False,2018-10-24T23:34:41+00:00,2018-10-24T23:46:58+00:00,2018-10-24T23:43:10+00:00,,f1baf1eba316b6855b2670a12378dcd55601ee6b,unknown,13,13,1,4,0,0,,,
d2l-ai/d2l-en,225583318,22,update index,,astonzhang,22279212,closed,False,2018-10-24T23:42:54+00:00,2018-10-24T23:46:46+00:00,2018-10-24T23:45:08+00:00,2018-10-24T23:45:08+00:00,82b7ca3e56da917ccb11ae4c9db8e9587b14d686,unknown,13,13,1,1,0,0,,,
d2l-ai/d2l-en,225587809,23,"translate figures, add graffle sources (all but chap 9)",,astonzhang,22279212,closed,False,2018-10-25T00:13:15+00:00,2018-10-28T00:40:29+00:00,2018-10-25T01:18:15+00:00,2018-10-25T01:18:15+00:00,04a324dfdfe6beac9a48ccd15d16b3273b256aaf,unknown,7479,3013,52,2,0,0,,,
d2l-ai/d2l-en,225596403,24,revise index,,astonzhang,22279212,closed,False,2018-10-25T01:19:52+00:00,2018-10-25T01:25:25+00:00,2018-10-25T01:25:25+00:00,2018-10-25T01:25:25+00:00,077bcdadd9e369d0f11c86208eb3f33bc65c2652,unknown,1,1,1,1,0,0,,,
d2l-ai/d2l-en,225597811,25,Index2,,astonzhang,22279212,closed,False,2018-10-25T01:31:30+00:00,2018-10-25T01:36:20+00:00,2018-10-25T01:36:19+00:00,2018-10-25T01:36:19+00:00,baddedf44c3bfde40eb7a8864d30a1e06fb6d43e,unknown,6,6,1,2,0,0,,,
d2l-ai/d2l-en,225599153,26,minor update index,,astonzhang,22279212,closed,False,2018-10-25T01:43:20+00:00,2018-10-28T00:40:22+00:00,2018-10-25T01:49:34+00:00,2018-10-25T01:49:34+00:00,b14a71749b597aeaa4e622b87318197f49cdaf24,unknown,4,4,1,1,0,0,,,
d2l-ai/d2l-en,225902666,27,minor fix,,astonzhang,22279212,closed,False,2018-10-25T21:01:08+00:00,2018-10-28T00:40:21+00:00,2018-10-25T21:03:14+00:00,2018-10-25T21:03:14+00:00,c7cd457f62afa6fb04fe9711a8637d0d72768f7a,unknown,3,3,3,1,0,0,,,
d2l-ai/d2l-en,226152232,28,gif,,astonzhang,22279212,closed,False,2018-10-26T16:14:28+00:00,2018-10-26T16:40:02+00:00,2018-10-26T16:40:02+00:00,2018-10-26T16:40:02+00:00,a6227b3fce5bda7cc0bf7f3f4983a04ced193c52,unknown,1,1,3,1,0,0,,,
d2l-ai/d2l-en,226174831,29,Gif,,astonzhang,22279212,closed,False,2018-10-26T17:41:25+00:00,2018-11-20T22:55:27+00:00,2018-10-26T17:41:51+00:00,,,dirty,1,1,3,2,0,0,,,
d2l-ai/d2l-en,226175294,30,ssd,,astonzhang,22279212,closed,False,2018-10-26T17:43:07+00:00,2018-10-28T00:40:05+00:00,2018-10-26T17:45:28+00:00,2018-10-26T17:45:28+00:00,a497d77f0ffd3d333d0878566b7a3010fd87c446,unknown,0,0,1,1,0,0,,,
d2l-ai/d2l-en,226228016,31,add gif,,astonzhang,22279212,closed,False,2018-10-26T21:14:25+00:00,2018-10-28T00:40:03+00:00,2018-10-26T21:21:31+00:00,2018-10-26T21:21:31+00:00,5393ade8b5899f3851a9e977492978178236de09,unknown,62,65,3,1,0,0,,,
d2l-ai/d2l-en,226236783,32,update toc,,astonzhang,22279212,closed,False,2018-10-26T21:57:45+00:00,2018-11-20T22:55:15+00:00,2018-10-26T22:16:22+00:00,,e89c86195c7faa5bcba67bd2e4aa8f046953e502,unknown,6,5,2,3,0,0,,,
d2l-ai/d2l-en,226334333,33,update sanity check to bypass 2nd level list,,mli,421857,closed,False,2018-10-28T00:33:19+00:00,2018-10-28T00:36:04+00:00,2018-10-28T00:36:00+00:00,2018-10-28T00:36:00+00:00,1f69edf04e7396cda74ff48ba48bb93c7cc9306d,unknown,8,4,1,1,0,0,,,
d2l-ai/d2l-en,226334446,34,update sanity check to bypass 2nd level list (#33),,mli,421857,closed,False,2018-10-28T00:36:55+00:00,2018-10-28T00:39:01+00:00,2018-10-28T00:39:01+00:00,2018-10-28T00:39:01+00:00,fac2c6502c4e8b63a1de79c3d02372a944122137,dirty,8,4,1,1,0,0,,,
d2l-ai/d2l-en,226445082,35,The chapter (DL-basics) is about 60% done. ,,smolix,4139355,closed,False,2018-10-29T05:51:04+00:00,2018-10-29T05:54:36+00:00,2018-10-29T05:54:36+00:00,2018-10-29T05:54:36+00:00,b57b5e4af0eed3874954cb1d2dcb850348dc1c6c,unknown,1485,418,31,19,0,0,astonzhang,,
d2l-ai/d2l-en,226742812,36,Alex local,Fixing the PDF build pipeline.,smolix,4139355,closed,False,2018-10-29T23:10:03+00:00,2018-10-29T23:16:45+00:00,2018-10-29T23:16:45+00:00,2018-10-29T23:16:45+00:00,320ef4123beef72bc5f5b60bcf8df3c0f8ad2ab7,unknown,22,21,6,4,0,0,,,
d2l-ai/d2l-en,226745772,37,busted index.md,,smolix,4139355,closed,False,2018-10-29T23:26:36+00:00,2018-10-29T23:31:10+00:00,2018-10-29T23:31:09+00:00,2018-10-29T23:31:09+00:00,3627e33819a928b1b7c732c96192e5ddf8ddc5ea,unknown,1,1,1,1,0,0,,,
d2l-ai/d2l-en,227125525,38,rm redundant symbol on website,,astonzhang,22279212,closed,False,2018-10-31T00:43:46+00:00,2018-11-12T19:03:32+00:00,2018-10-31T00:45:57+00:00,2018-10-31T00:45:57+00:00,4a0a5d19c98ba72a53668db885fd4ed8c15a38fe,unknown,1,2,1,1,0,0,,,
d2l-ai/d2l-en,228504059,39,"remove preface, not suitable for eng reader",,mli,421857,closed,False,2018-11-05T21:53:31+00:00,2018-11-12T19:03:23+00:00,2018-11-07T19:12:35+00:00,2018-11-07T19:12:35+00:00,40c0dcd9337c4fe7da0e75cdd67d86a1b7b60760,unknown,0,31,2,2,0,0,,,
d2l-ai/d2l-en,229602531,40,Alex local,more about the basic intro chapter,smolix,4139355,closed,False,2018-11-09T06:44:11+00:00,2018-11-09T06:48:13+00:00,2018-11-09T06:48:13+00:00,2018-11-09T06:48:13+00:00,9e4886ad601ff3f8b4f1ee4549dff91cce32c515,unknown,269,177,4,6,0,0,,,
d2l-ai/d2l-en,229911093,41,First two chapters notation and figures reworked,,smolix,4139355,closed,False,2018-11-10T20:19:05+00:00,2018-11-10T20:21:41+00:00,2018-11-10T20:21:41+00:00,2018-11-10T20:21:41+00:00,dbba826d4dfbabffc406f173a452374f150a96e9,unknown,923,92,20,7,0,0,,,
d2l-ai/d2l-en,229924888,42,Exorcised the demons of \mid :-) ,,smolix,4139355,closed,False,2018-11-11T01:35:31+00:00,2018-11-11T01:39:48+00:00,2018-11-11T01:39:48+00:00,2018-11-11T01:39:48+00:00,22fd5ef99d736b8f08e95691b17cacaeabab8a07,unknown,740,223,22,3,0,0,,,
d2l-ai/d2l-en,230004021,43,closing out the chapter,,smolix,4139355,closed,False,2018-11-12T02:54:54+00:00,2018-11-12T19:03:36+00:00,2018-11-12T05:24:53+00:00,2018-11-12T05:24:53+00:00,51e31c0895f0c05ea6c494ba41bedba801b1e7d4,unknown,172,74,4,3,0,0,,,
d2l-ai/d2l-en,230253982,44,change build/env.yml for the new ci server,,mli,421857,closed,False,2018-11-12T20:09:50+00:00,2018-11-12T23:12:34+00:00,2018-11-12T23:12:31+00:00,2018-11-12T23:12:31+00:00,eccfacb47036b8b5f3872ac9764952b7bf3ce503,unknown,2,1,2,6,0,0,,,
d2l-ai/d2l-en,230657189,45,Update env.yml,,mli,421857,closed,False,2018-11-13T23:10:26+00:00,2018-11-14T06:53:31+00:00,2018-11-14T06:53:28+00:00,2018-11-14T06:53:28+00:00,0e49b2b49d9b4e30e592325e5737d3f1ca611e43,unknown,1,0,1,1,0,0,,,
d2l-ai/d2l-en,230727924,46,Update Jenkinsfile,,mli,421857,closed,False,2018-11-14T06:48:28+00:00,2018-11-15T01:48:17+00:00,2018-11-14T06:53:40+00:00,2018-11-14T06:53:40+00:00,aca2bef67b74e98c1395ffa1a4d2aef905375f7c,unknown,1,0,1,1,0,0,,,
d2l-ai/d2l-en,230750514,47,gluonbook 0.8.4,,astonzhang,22279212,closed,False,2018-11-14T08:38:08+00:00,2018-11-20T22:56:27+00:00,2018-11-14T08:38:43+00:00,2018-11-14T08:38:43+00:00,7310facb22fb2e193c699fcb0c08008acc8b3e9c,unknown,2,2,2,1,0,0,,,
d2l-ai/d2l-en,231044081,48,use the new theme,"do a force merge since conf.py is changed, which cause all test to rebuild all notebook",mli,421857,closed,False,2018-11-15T02:03:26+00:00,2018-11-15T02:03:40+00:00,2018-11-15T02:03:33+00:00,2018-11-15T02:03:33+00:00,c4c45d52ac4291522917ddb97522a1d180a5f096,unknown,230,255,10,1,0,0,,,
d2l-ai/d2l-en,231063264,49,fix pdf build,,mli,421857,closed,False,2018-11-15T04:15:59+00:00,2018-11-15T05:09:24+00:00,2018-11-15T05:09:11+00:00,2018-11-15T05:09:11+00:00,c341cac2545291d42f47c11f0c33862bfff3c1ff,unknown,7,2,2,6,0,0,,,
d2l-ai/d2l-en,231076844,50,merge master with the new theme,,mli,421857,closed,False,2018-11-15T05:55:22+00:00,2018-11-15T05:55:29+00:00,2018-11-15T05:55:29+00:00,2018-11-15T05:55:29+00:00,c44914126a3b15fe1cbd2f291e464d560debc8e7,dirty,242,474,17,9,0,0,,,
d2l-ai/d2l-en,231306730,51,First two sections of the computation chapter done,,smolix,4139355,closed,False,2018-11-15T19:23:43+00:00,2018-11-15T19:28:47+00:00,2018-11-15T19:28:47+00:00,2018-11-15T19:28:47+00:00,e9ca481dd448aa842e4e2e2560bcc45e2e324c00,unknown,712,71,4,7,0,0,,,
d2l-ai/d2l-en,231713811,52,Origin/alex local,,smolix,4139355,closed,False,2018-11-17T07:51:17+00:00,2018-11-17T07:58:10+00:00,2018-11-17T07:54:27+00:00,2018-11-17T07:54:27+00:00,bae6cd146640f950ebba6c35b51a5f97525b5a8a,unknown,318,99,7,8,0,0,,,
d2l-ai/d2l-en,231866203,53,Added reason for using convnets.,,smolix,4139355,closed,False,2018-11-19T06:29:05+00:00,2018-11-19T06:46:25+00:00,2018-11-19T06:46:25+00:00,2018-11-19T06:46:25+00:00,16c22504bdc2d5172c71523a33965e3bf8ae2dfd,unknown,117,1,7,4,0,0,,,
d2l-ai/d2l-en,232489521,54,"add crashcourse, add version in env.yml",,astonzhang,22279212,closed,False,2018-11-20T23:14:37+00:00,2018-11-22T02:01:00+00:00,2018-11-21T00:47:29+00:00,,337bec84701cb3a965690f96671afedc5edc1395,unknown,8,12,3,2,0,0,,,
d2l-ai/d2l-en,232814685,55,add nlp chapter,,astonzhang,22279212,closed,False,2018-11-21T22:35:06+00:00,2018-11-22T02:00:42+00:00,2018-11-21T23:27:28+00:00,2018-11-21T23:27:28+00:00,e963ec4ae5a9e52db1fde2465067523b8ed71cfd,unknown,1883,0,13,1,0,0,,,
d2l-ai/d2l-en,232881481,56,convolutions,,smolix,4139355,closed,False,2018-11-22T07:26:15+00:00,2018-11-25T05:48:56+00:00,2018-11-25T05:48:56+00:00,2018-11-25T05:48:56+00:00,1fea33cc552699be5fb312ef97223b67ebf4133b,unknown,882,129,11,3,0,0,,,
d2l-ai/d2l-en,233358259,57,fixing markdown weirdness,,smolix,4139355,closed,False,2018-11-25T06:06:34+00:00,2018-11-25T06:14:58+00:00,2018-11-25T06:14:58+00:00,2018-11-25T06:14:58+00:00,f8132ba7cd58561387df95fa48584c6440b3af6c,unknown,5,5,1,1,0,0,,,
d2l-ai/d2l-en,233410302,58,AlexNet,,smolix,4139355,closed,False,2018-11-25T23:58:08+00:00,2018-11-26T00:23:02+00:00,2018-11-26T00:23:02+00:00,2018-11-26T00:23:02+00:00,8ebd2848822e0178dc0d04f9e72ae522b96fcee3,unknown,536,33,4,4,0,0,,,
d2l-ai/d2l-en,233419651,59,VGG edit pass done,,smolix,4139355,closed,False,2018-11-26T02:03:02+00:00,2018-11-26T02:43:20+00:00,2018-11-26T02:43:20+00:00,2018-11-26T02:43:20+00:00,991e70c97bfa814ca494bad4e34a91e2aa5f03b2,unknown,384,25,4,2,0,0,,,
d2l-ai/d2l-en,233666012,60,NiN done,,smolix,4139355,closed,False,2018-11-26T19:12:43+00:00,2018-11-26T19:24:24+00:00,2018-11-26T19:24:24+00:00,2018-11-26T19:24:24+00:00,f98e2d9f264f4f4cc8a72b2654acd8d2e095d64e,unknown,546,26,9,5,0,0,,,
d2l-ai/d2l-en,233775408,61,Yet another notebook done,,smolix,4139355,closed,False,2018-11-27T04:21:26+00:00,2018-11-27T04:28:06+00:00,2018-11-27T04:28:06+00:00,2018-11-27T04:28:06+00:00,4e2bba4257ff4a7cd14787726a89b2b9b96d88d2,unknown,349,21,3,2,0,0,,,
d2l-ai/d2l-en,234011367,62,Updated misconception of batch-norm.md,"Hi, I have updated a misconception about the functionality of batch normalization as it was presented in the `batch-norm.md`. I've also added the equivalent references for further information if the reader would like to go into more details about the particular topic and misconception.

Thanks!",kirk86,2902390,closed,False,2018-11-27T18:12:53+00:00,2018-11-27T20:52:26+00:00,2018-11-27T20:52:26+00:00,2018-11-27T20:52:26+00:00,4d9b03549a26c1b5131496778d696ac1d32d2d3c,unknown,1,1,1,1,0,0,,,
d2l-ai/d2l-en,234449075,63,Corrections and amendments to the Math Appendix,"I noticed some formula errors, incorrect terminology and some unnatural sounding language in the mathematics appendix likely due to the translation. I went through and corrected the errors and did some slight rewording of the language.

I'm not sure if you're looking for pull requests, but if it helps you can take a look at this diff at least for the mathematical errors.

- Updated incorrect formulas and terminology
- Correct some latex errors
- Translated non-English phrases
- Rewording some unnatural-sounding expressions

I build this chapter with $ python build/md2ipynb.py chapter_appendix/math.md ~/tmp/math.ipynb to verify it build correctly without error, and opened the notebook to verify it looked good in Jupyter.",vishaalkapoor,40836875,closed,False,2018-11-28T22:42:10+00:00,2018-11-28T23:07:17+00:00,2018-11-28T23:03:57+00:00,2018-11-28T23:03:57+00:00,ed048825c47fd7e72fb65e2f6e020b83ab0f29fc,unknown,44,44,1,1,0,3,,,
d2l-ai/d2l-en,234473043,64,Minor appendix corrections.,"- Use $n$th instead of $n$-th to be consistent with rest of the book.
- Correct language in notation section.
- Revert \textit.",vishaalkapoor,40836875,closed,False,2018-11-29T00:47:42+00:00,2018-11-30T23:23:06+00:00,2018-11-30T23:23:06+00:00,2018-11-30T23:23:06+00:00,2b23ed71a80da59a38696f2bb3d2bbf6e866c1bb,unknown,8,8,2,1,4,1,,,
d2l-ai/d2l-en,234791994,65,fix typo in linear-regression.md,This pull request is to fix a typo in linear-regression.md.,astonzhang,22279212,closed,False,2018-11-29T21:27:53+00:00,2018-11-29T21:32:58+00:00,2018-11-29T21:32:58+00:00,,60851dd923148377c2117c94d5ed95ee3404b1c8,unknown,1,1,1,1,0,0,,,
d2l-ai/d2l-en,235211600,66,fixed typo/tense in chapter_natural-language-processing/index.md,This pull request is to fix typo/tense in chapter_natural-language-processing/index.md,sundeepteki,12730349,closed,False,2018-12-01T19:06:54+00:00,2018-12-01T19:28:11+00:00,2018-12-01T19:28:11+00:00,2018-12-01T19:28:11+00:00,28265dcea9f99bc58cfadbcedb449ba18dd46423,unknown,1,1,1,1,0,0,,,
d2l-ai/d2l-en,235278231,67,fix incorrect use of special symbols in chapter_natural-language-processing/seq2seq.md,"PR to fix incorrect use of special symbols in chapter_natural-language-processing/seq2seq.md

",sundeepteki,12730349,closed,False,2018-12-02T19:12:13+00:00,2018-12-03T02:29:45+00:00,2018-12-03T02:29:45+00:00,2018-12-03T02:29:45+00:00,c53ce00ce38fb37f90bac3801097ccac3405e7b7,unknown,4,5,2,5,3,0,,,
d2l-ai/d2l-en,235541455,68,Merging resnet,,smolix,4139355,closed,False,2018-12-03T18:08:10+00:00,2018-12-03T18:15:26+00:00,2018-12-03T18:15:26+00:00,2018-12-03T18:15:26+00:00,647ede3cbec8b006e6bfe2ef39c39955d249cb99,unknown,1379,287,14,10,0,0,,,
d2l-ai/d2l-en,235679389,69,Completing the convnet section,,smolix,4139355,closed,False,2018-12-04T04:51:26+00:00,2018-12-04T04:56:26+00:00,2018-12-04T04:56:26+00:00,2018-12-04T04:56:26+00:00,0b334a643fdc4270be679e660cff23dc0d925dbc,unknown,391,240,8,2,0,0,,,
d2l-ai/d2l-en,236319791,70,Update preface.md,Updated preface.,zackchase,2390222,closed,False,2018-12-05T20:56:17+00:00,2018-12-28T07:28:52+00:00,2018-12-05T22:42:24+00:00,2018-12-05T22:42:24+00:00,a678ac0da313fae71bbc0bf1f929892cb981ce62,unknown,148,77,1,1,0,0,,,
d2l-ai/d2l-en,236628003,71,Revise ref 2 typo & add figure titles in how-to-contribute.md,Revise ref 2 typos in how-to-contribute.md.,bowen0701,10048098,closed,False,2018-12-06T18:28:31+00:00,2019-10-28T20:57:10+00:00,2018-12-07T07:09:00+00:00,2018-12-07T07:09:00+00:00,c8818f3a033c91c3314bf1f2399eb6332fd70961,unknown,9,13,1,5,0,8,,,
d2l-ai/d2l-en,236741768,72,Update conf.py,Fix the broken link for Jupyter Notebook,ChaiBapchya,10992635,closed,False,2018-12-07T03:10:08+00:00,2018-12-07T03:18:34+00:00,2018-12-07T03:11:20+00:00,2018-12-07T03:11:20+00:00,a301ce798cd84054ba712be47e30afac427e2d56,unknown,1,1,1,1,0,1,,,
d2l-ai/d2l-en,236799564,73,Fix some typos in preface.md,Just fixing a few odd sentences in the preface.,muelleme,8862196,closed,False,2018-12-07T09:15:35+00:00,2018-12-07T09:54:59+00:00,2018-12-07T09:54:59+00:00,2018-12-07T09:54:59+00:00,6570efd03127aed57b28ed3068fab275fd4a47e3,unknown,3,3,1,1,0,0,,,
