repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
d2l-ai/d2l-en,rliu054,5742767,2018-10-10T01:29:11+00:00,User,San Francisco,
d2l-ai/d2l-en,mjwall,2342,2018-10-18T13:48:42+00:00,User,,
d2l-ai/d2l-en,smolix,4139355,2018-10-24T17:02:13+00:00,User,Sunnyvale,Boson AI
d2l-ai/d2l-en,zpz,5044408,2018-10-28T05:17:27+00:00,User,,
d2l-ai/d2l-en,yash0307,6428817,2018-11-01T09:32:14+00:00,User,"Prague, Czech Republic","Czech Technical University, Carnegie Mellon University, IIIT Hyderabad"
d2l-ai/d2l-en,liyujiel,14796009,2018-11-06T06:01:01+00:00,User,,
d2l-ai/d2l-en,cboettig,222586,2018-11-15T22:31:15+00:00,User,,UC Berkeley
d2l-ai/d2l-en,noahgift,58792,2018-11-16T01:08:10+00:00,User,Spain,Pragmatic AI Labs
d2l-ai/d2l-en,robsalasco,2642107,2018-11-16T01:45:13+00:00,User,"Santiago, Chile",
d2l-ai/d2l-en,Hulalazz,8839631,2018-11-16T02:45:36+00:00,User,,
d2l-ai/d2l-en,ck37,50770,2018-11-16T07:59:04+00:00,User,"Boston, MA","Harvard Medical School, Mass General Hospital"
d2l-ai/d2l-en,talegari,10041819,2018-11-16T08:02:24+00:00,User,Bengaluru,Games24x7
d2l-ai/d2l-en,Xs55555,34053262,2018-11-19T09:28:33+00:00,User,,
d2l-ai/d2l-en,wpsliu123,3234235,2018-11-26T01:13:03+00:00,User,,
d2l-ai/d2l-en,snowdj,6262856,2018-11-26T20:29:55+00:00,User,,
d2l-ai/d2l-en,debmandal,21250809,2018-11-27T02:30:46+00:00,User,,
d2l-ai/d2l-en,hongliangjie,679051,2018-11-27T03:02:35+00:00,User,"Sunnyvale, CA",LinkedIn
d2l-ai/d2l-en,SubhankarGhosh,15531009,2018-11-27T04:23:27+00:00,User,UΣV',
d2l-ai/d2l-en,ayushidalmia,5400513,2018-11-27T04:43:02+00:00,User,India,
d2l-ai/d2l-en,mfilipav,15267057,2018-11-27T05:17:02+00:00,User,Zürich Switzerland,Telepathy Labs
d2l-ai/d2l-en,dasguptar,1309728,2018-11-27T06:21:27+00:00,User,Seattle,Microsoft AI and Research
d2l-ai/d2l-en,bowen0701,10048098,2018-11-27T06:38:45+00:00,User,"London, UK",Facebook
d2l-ai/d2l-en,cvfish,2631658,2018-11-27T08:36:28+00:00,User,London,
d2l-ai/d2l-en,S1349,6707975,2018-11-27T08:40:08+00:00,User,Saint Petersburg,
d2l-ai/d2l-en,reidfalconer,26482317,2018-11-27T09:57:48+00:00,User,"Barcelona, Spain",@opensc-org
d2l-ai/d2l-en,wangjingyi,341953,2018-11-27T12:49:36+00:00,User,,
d2l-ai/d2l-en,tadodaho,27009683,2018-11-27T13:26:26+00:00,User,"Yekaterinburg, Russia",
d2l-ai/d2l-en,thisray,16775584,2018-11-27T13:41:55+00:00,User,Taiwan,National Tsing Hua University
d2l-ai/d2l-en,HackyRoot,18494493,2018-11-27T13:53:28+00:00,User,India,
d2l-ai/d2l-en,eax,171545,2018-11-27T14:09:01+00:00,User,,
d2l-ai/d2l-en,sukuya,4861350,2018-11-27T14:12:33+00:00,User,Singapore,@rakutentech 
d2l-ai/d2l-en,huckiyang,29204779,2018-11-27T14:30:58+00:00,User,,NVIDIA Research
d2l-ai/d2l-en,NataliaDiaz,2312327,2018-11-27T14:39:58+00:00,User,"Granada, Spain","University of Granada, Spain"
d2l-ai/d2l-en,bikashkarmokar,35331839,2018-11-27T15:03:24+00:00,User,"Hannover, Germany",Leibniz Universität Hannover
d2l-ai/d2l-en,geoffreysteven,301391,2018-11-27T15:23:03+00:00,User,Vancouver,
d2l-ai/d2l-en,cipher813,30627595,2018-11-27T15:37:17+00:00,User,"Seattle, WA",
d2l-ai/d2l-en,quancq,22343093,2018-11-27T15:52:54+00:00,User,,
d2l-ai/d2l-en,eurismarpires,4651627,2018-11-27T15:54:15+00:00,User,,
d2l-ai/d2l-en,artthanan-str,23349626,2018-11-27T15:59:29+00:00,User,"Bangkok, Thailand",Coraline
d2l-ai/d2l-en,m-pedro,6042239,2018-11-27T16:14:10+00:00,User,London,"AI, Machine Learning, AGI"
d2l-ai/d2l-en,ujjwal-9,24938377,2018-11-27T16:42:10+00:00,User,Riemann Space,@qureai
d2l-ai/d2l-en,firebitsbr,1431005,2018-11-27T16:45:52+00:00,User,Universe,Universe
d2l-ai/d2l-en,minsukchang,1142566,2018-11-27T17:04:17+00:00,User,,@google-research
d2l-ai/d2l-en,jysonganan,20729081,2018-11-27T17:16:59+00:00,User,,
d2l-ai/d2l-en,kirk86,2902390,2018-11-27T17:25:11+00:00,User,,jmitros.github.io
d2l-ai/d2l-en,allendoss,28283132,2018-11-27T17:35:30+00:00,User,Canada,
d2l-ai/d2l-en,Rajiv-B,16935461,2018-11-27T18:11:30+00:00,User,France,
d2l-ai/d2l-en,Taksir,30241683,2018-11-27T18:40:49+00:00,User,,
d2l-ai/d2l-en,blgnksy,11997073,2018-11-27T19:05:43+00:00,User,"Berlin, Germany",METU
d2l-ai/d2l-en,chriamue,7541795,2018-11-27T19:19:59+00:00,User,Frankfurt,
