repo_full_name,issue_id,number,title,body,user_login,user_id,state,locked,comments_count,created_at,updated_at,closed_at,labels,reactions_total,reactions_plus1,reactions_minus1,reactions_laugh,reactions_hooray,reactions_confused,reactions_heart
dagster-io/dagster,3057535688,29924,AssetCheck fails to execute when typecasting an input asset for an AssetCheck with a custom object,"### What's the issue?

I created a custom class that I use as the output of my asset, then when typecasting the input of my asset check I got an error saying the asset check failed to load my code location, even though my code location runs just fine. When I removed the typecasting of the input parameters it ran fine.

Here is the error -
```
Caught an unrecoverable error while dequeuing the run. Marking the run as failed and dropping it from the queue
dagster._core.errors.DagsterCodeLocationLoadError: Failure loading my_code_location
```

### What did you expect to happen?

I expected that the asset check would run without issue

### How to reproduce?

External library b_core -
``` python
from pydantic import BaseModel
class CustomBaseModel(BaseModel):
   ...
```

Code location -
``` python
from b_core import CustomBaseModel
# my_model.py
class MyModel(CustomBaseModel):
  foo: str

# my_assets.py
@asset
def my_asset() -> Output[list[MyModel]]:
  ...

# @asset_check(asset=my_asset)
# def check_my_asset(my_asset: list[MyModel]): # this function signature causes the error to be thrown
#   return AssetCheckResult(passed=len(my_asset) > 0)

@asset_check(asset=my_asset)
def check_my_asset(my_asset) # this function signature allows the asset check to function properly when typing was removed
   return AssetCheckResult(passed=len(my_asset) > 0)
```

### Dagster version

1.9.1

### Deployment type

Local

### Deployment details

_No response_

### Additional information

_No response_

### Message from the maintainers

Impacted by this issue? Give it a 👍! We factor engagement into prioritization.",adjit,6991991,open,False,0,2025-05-12T16:38:29+00:00,2025-05-12T16:39:47+00:00,,type: bug,0,0,0,0,0,0,0
dagster-io/dagster,3057502561,29923,"dagster-cloud ci command throws error ""Invalid value for '--loglevel' (env var: 'None')""","### What's the issue?

Try to run `dagster-cloud ci` command results in error: 

```zsh
╭─ Error ──────────────────────────────────────────────────────────────────────╮
│ Invalid value for '--loglevel' (env var: 'None'): <LogLevel.warning:         │
│ 'WARNING'> is not one of 'DEBUG', 'INFO', 'WARNING', 'ERROR'.                │
╰──────────────────────────────────────────────────────────────────────────────╯
```

### What did you expect to happen?

_No response_

### How to reproduce?

_No response_

### Dagster version

1.10.13

### Deployment type

None

### Deployment details

_No response_

### Additional information

_No response_

### Message from the maintainers

Impacted by this issue? Give it a 👍! We factor engagement into prioritization.",garethbrickman,50636644,open,False,1,2025-05-12T16:23:29+00:00,2025-05-12T16:29:59+00:00,,type: bug;Dagster+;area: dagster-cloud-cli,0,0,0,0,0,0,0
dagster-io/dagster,3057423132,29922,Pin click < 8.2 in dagster-cloud-cli,On spot I missed in https://github.com/dagster-io/dagster/pull/29919,jmsanders,10291790,closed,False,0,2025-05-12T15:50:23+00:00,2025-05-12T15:52:11+00:00,2025-05-12T15:52:09+00:00,,0,0,0,0,0,0,0
dagster-io/dagster,3057343304,29921,Fix dagster-cloud-cli log level initialization,"Summary:
This codepath started failing with the click 8.2 upgrade - but it doesn't seem like there was any way to set the underlying loglevel argument before. Source it from an env var instead.

Test Plan:
Run `dagster-cloud ci check` and `DAGSTER_CLOUD_CLI_LOG_LEVEL=DEBUG dagster-cloud-ci check`

## Summary & Motivation

## How I Tested These Changes

## Changelog

> Insert changelog entry or delete this section.
",gibsondan,8451211,open,False,0,2025-05-12T15:22:02+00:00,2025-05-12T15:52:29+00:00,,,0,0,0,0,0,0,0
dagster-io/dagster,3057269266,29920,Aggregation of assets required to reduce asset function head.,"### What's the use case?

Consider you have 10 or more assets and you would like to aggregate those into a single 
`Dataset` class. 

This is convenient, because then you can just pass this dataset asset to other assets that rely on it.
Also the asset graph would look much less like a mess.


I've tried multiple things, but I did not find a solid ""sexy"" solution and instead was bugging with IO-Managers and other things. Using IO-Manager is inconenvient for this purpose due to redundancy. 



### Ideas of implementation

It would be nice, if you could have assets in the UI defined but which are not materializable. They should only be materialized and then passed to other assets on dependency calls.

This way you could define an asset 

```
@asset
def combined(a1,a2,a3,a4,a5,a6 ...):
""""""Is only executed for downstream dependencies""""""
return #Aggregation goes here dict/class, whatever


@asset 
def trained_model(dataset):
# do stuff with dataset here (dataset is not loaded with IO-Manager)
```

This would be nice, because then you wouldn't write the disk storage full of duplicated data but just aggregate those when needed and make em visible in the UI as a custom dataset, the data is always reachable if the upstream assets are materialized.

Maybe there is some very easy solution. But I feel like bugging around with a bunch of IO-Managers etc. is not the best solution it could be so much easier


like a decorator: @aggregated_asset()

### Additional information

Feel free to close this if not relevant enough, but I am quite new to dagster, hence even with chatgpt support I wasn't able to find a solution that suits me best. 

### Message from the maintainers

Impacted by this issue? Give it a 👍! We factor engagement into prioritization.",mathisloevenich,66358633,open,False,0,2025-05-12T14:57:11+00:00,2025-05-12T14:59:24+00:00,,type: feature-request,0,0,0,0,0,0,0
dagster-io/dagster,3057260174,29919,Pin click < 8.2,To get to a healthy build. We'll triage out fixing the broken behavior and relaxing the pin before this week's release.,jmsanders,10291790,closed,False,3,2025-05-12T14:54:07+00:00,2025-05-12T15:48:53+00:00,2025-05-12T15:17:23+00:00,,0,0,0,0,0,0,0
dagster-io/dagster,3057250369,29918,[dagster-dbt] Failure while loading manifest.json in 1.10.14 (in execution),"### What's the issue?

The problem is that Dagster is failing in some way to load the manifest.json and access the key 'nodes' from it in execution, in other words when i launch a asset materialization, the dagster-dbt dbt.cli().stream() is not finding the key 'nodes' as if it isn't loading the manifest.json in execution of dbt assets.
Here's a print

![Image](https://github.com/user-attachments/assets/9fcee0b0-d25c-409d-a2f1-54d8c7f06575)

The project is loading correctly and the assets are loaded just fine, but when we launch a materialization, the error above happens everytime
Also the command executed by the CLI changes from ```dbt run --select models --profiles-dir /path -target tar``` to ```dbt run --profiles-dir /path --target tar```

### What did you expect to happen?

The expected output was that no error should've be thrown and the models should've executed just fine as it happens in 1.10.13

### How to reproduce?

It's easy, you just need to upgrade to version 1.10.14, have a dbt project configured with @dbt_assets or similar, at any point have a dbt.cli().stream() command and materialize a asset after you dagster project loads and it's avaible in localhost:3000.  

### Dagster version

1.10.14

### Deployment type

Other Docker-based deployment

### Deployment details

```CMD dagster-webserver -h 0.0.0.0 -p 8080 & dagster-daemon run``` is the final command from my Dockerfile to make the project get up. 
```

DBT_MANIFEST = Path(
    file_relative_path(__file__, ""../../my-awesome-dbt-project/target/manifest.json"")
)

@dbt_assets(
    manifest=DBT_MANIFEST,
    select=f""{MODELS}{MODELS_}{MODELS_D}"",
    partitions_def=daily_partitions_def,
    dagster_dbt_translator=CustomDagsterDbtTranslator(settings=DagsterDbtTranslatorSettings(enable_asset_checks=True)),
    backfill_policy=BackfillPolicy.single_run(),
)
def dbt_assets(context: OpExecutionContext, dbt_resource: DbtCliResource):
    yield from _process_partitioned_dbt_assets(context=context, dbt=dbt_resource)

def _process_partitioned_dbt_assets(context: OpExecutionContext, dbt: DbtCliResource):
    # map partition key range to dbt vars
    first_partition, last_partition = context.partition_time_window
    context.log.error(context.partition_time_window)
    dbt_vars = {""min_date"": str(first_partition), ""max_date"": str(last_partition)}
    dbt_args = [""build"", ""--vars"", json.dumps(dbt_vars)]

    yield from dbt.cli(dbt_args, context=context).stream()



```

### Additional information

I don't think so, if you have any questions, I'll be looking at this thread daily and eager to answer them

### Message from the maintainers

Impacted by this issue? Give it a 👍! We factor engagement into prioritization.",IsmaelRDeMelo,54531312,open,False,0,2025-05-12T14:50:41+00:00,2025-05-12T14:51:30+00:00,,type: bug;integration: dbt,0,0,0,0,0,0,0
dagster-io/dagster,3057051765,29917,DOC-1142 update docs version dropdown for 1.10.15 release,"## Summary & Motivation

See https://linear.app/dagster-labs/issue/DOC-1142/update-version-dropdown

## How I Tested These Changes

## Changelog

> Insert changelog entry or delete this section.
",neverett,417209,closed,False,1,2025-05-12T13:49:28+00:00,2025-05-12T14:05:47+00:00,2025-05-12T14:05:44+00:00,area: docs,0,0,0,0,0,0,0
dagster-io/dagster,3056885463,29916,Observe UI dogfooding feedback/polish,"## Summary & Motivation

A bunch of polish changes from https://www.notion.so/dagster/Observe-dogfooding-1ed18b92e462809fb98bd1932d0bae7a?showMoveTo=true&saveParent=true

## How I Tested These Changes

locally with app-proxy",salazarm,2286579,open,False,1,2025-05-12T12:57:11+00:00,2025-05-12T14:55:20+00:00,,,0,0,0,0,0,0,0
dagster-io/dagster,3056111042,29914,Allow native integration with Loguru,"### What's the use case?

Dagster does not natively integrate with Loguru. By default, Dagster only captures logs from the standard Python logging module. Log messages from Loguru will not automatically appear in Dagster's event logs or UI unless you explicitly bridge Loguru to the standard logging system.

The recommended workaround, as suggested by Dagster's AI assistant, is to configure a Loguru handler to forward messages to the standard Python logging module's `logging.getLogger()`. This allows Dagster to capture these logs. However, this approach introduces additional overhead and complexity.

### Ideas of implementation

- Env approach: Introduce a config option or environment variable that users can set in their Dagster `dagster.yaml` or via pipeline/job configuration to indicate that Loguru is being used.

- Automatic approach: Or automatically during Dagster initialization, check if the Loguru module is imported and if any Loguru loggers are configured. If detected, automatically set up a bridge handler that forwards Loguru messages to the standard Python logging system (e.g., using `logger.add(...)` to attach a sink that calls `logging.getLogger().handle(...)`).

- Util approach: Provide a utility function (e.g., `dagster.utils.integrate_loguru()`) that users can call early in their pipeline/job startup. This function would create a `logging.Handler`-compatible sink for Loguru as discussed previously.

### Additional information

Optionally suppress Loguru's default handlers to avoid duplicate output.

### Message from the maintainers

Impacted by this issue? Give it a 👍! We factor engagement into prioritization.",obrienciaran,31419980,open,False,0,2025-05-12T08:33:37+00:00,2025-05-12T13:24:08+00:00,,area: integrations;area: logging;type: feature-request,7,7,0,0,0,0,0
