repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
dagster-io/dagster,alejandromarcu,10160443,2018-06-21T17:45:20+00:00,User,San Francisco,Figma
dagster-io/dagster,timwis,761444,2018-07-09T15:11:33+00:00,User,London,@wearebeam
dagster-io/dagster,dgulli,18511834,2018-07-19T04:15:12+00:00,User,"Melbourne, Australia",@google
dagster-io/dagster,Aylr,928247,2018-07-19T23:50:15+00:00,User,,
dagster-io/dagster,marcosfelt,25933639,2018-08-22T03:03:40+00:00,User,NY Area,@Merck
dagster-io/dagster,dcposch,169280,2018-08-23T06:42:48+00:00,User,California,@daimo-eth 
dagster-io/dagster,lennypruss,8459295,2018-08-25T17:51:14+00:00,User,SF,Amplify Partners
dagster-io/dagster,awm33,3846080,2018-09-12T01:14:00+00:00,User,"Philadelphia, PA",
dagster-io/dagster,jubos,41347,2018-09-17T19:26:01+00:00,User,,Electric Capital
dagster-io/dagster,Moocar,495730,2018-09-21T00:28:58+00:00,User,"Sydney, Australia",Kaddy
dagster-io/dagster,leebyron,50130,2018-09-25T19:08:31+00:00,User,San Francisco,@watershed-climate
dagster-io/dagster,PatrickJS,1016365,2018-09-25T21:27:08+00:00,User,California,@kunai-consulting
dagster-io/dagster,larseen,5478280,2018-09-25T23:44:17+00:00,User,"Oslo, Norway",
dagster-io/dagster,marcoacierno,3382153,2018-09-26T12:04:57+00:00,User,"London, UK",DISCO
dagster-io/dagster,calimaborges,607528,2018-09-26T12:27:12+00:00,User,,
dagster-io/dagster,jmenglis,13577271,2018-09-26T13:41:54+00:00,User,"Seattle, WA",AWS
dagster-io/dagster,jdori,3324738,2018-09-26T15:48:36+00:00,User,,
dagster-io/dagster,amcdnl,227909,2018-09-26T19:14:27+00:00,User,"West Palm Beach, FL",Good Code
dagster-io/dagster,mistercrunch,487433,2018-09-26T20:21:27+00:00,User,"San Mateo, CA",preset-io
dagster-io/dagster,stewartpark,388348,2018-09-26T21:12:31+00:00,User,,
dagster-io/dagster,adilkhash,357685,2018-09-27T05:00:30+00:00,User,"Astana, Kazakhstan",KHASH
dagster-io/dagster,peeyush-tm,5212023,2018-09-27T05:00:37+00:00,User,"Gurgaon, India",Airlinq
dagster-io/dagster,mattgiles,4960227,2018-09-27T17:57:19+00:00,User,New York,
dagster-io/dagster,tspannhw,18673814,2018-09-27T18:53:41+00:00,User,"Princeton, New Jersey, USA",Snowflake
dagster-io/dagster,BrunoScheufler,4772980,2018-09-28T07:19:13+00:00,User,"Munich, Germany",@inngest 
dagster-io/dagster,lau32,8844319,2018-09-29T08:46:22+00:00,User,Amsterdam,
dagster-io/dagster,raylene,6245566,2018-09-30T00:09:51+00:00,User,,
dagster-io/dagster,ryanlaws,164690,2018-10-05T00:02:50+00:00,User,Spokane,
dagster-io/dagster,20after4,30934,2018-10-05T06:36:25+00:00,User,USA,
dagster-io/dagster,tomsej,6624716,2018-10-09T20:05:41+00:00,User,Czech Republic,
dagster-io/dagster,mgasner,427016,2018-10-10T18:00:58+00:00,User,,
dagster-io/dagster,squirrelsquirrel78,15334952,2018-10-14T19:53:19+00:00,User,,
dagster-io/dagster,dwallace0723,20053731,2018-10-18T00:30:34+00:00,User,"Bend, OR",@Consensus-NLP
dagster-io/dagster,darcyturk,16271621,2018-10-26T18:58:14+00:00,User,Greater Los Angeles,
dagster-io/dagster,chaor,7034360,2018-10-26T23:01:13+00:00,User,"Sunnyvale, CA",
dagster-io/dagster,nschlemm,948118,2018-11-01T22:51:03+00:00,User,Hamburg,coder nostra GmbH
dagster-io/dagster,AustinGrant,6761013,2018-11-05T18:19:56+00:00,User,,
dagster-io/dagster,jmwilson,655085,2018-11-07T23:17:06+00:00,User,"San Francisco, US",
dagster-io/dagster,cartercsmith,17818944,2018-11-08T00:48:01+00:00,User,San Diego,Mindquake
dagster-io/dagster,gregdingle,28797,2018-11-09T20:08:39+00:00,User,,
dagster-io/dagster,Urigo,1297448,2018-11-20T16:33:43+00:00,User,,@the-guild-org 
dagster-io/dagster,migsk,4830892,2018-11-29T12:41:22+00:00,User,,
dagster-io/dagster,thestude,8247770,2018-12-02T22:02:45+00:00,User,,
dagster-io/dagster,nyl1221,45549811,2018-12-03T18:50:16+00:00,User,,
dagster-io/dagster,thisiswei,1924292,2018-12-07T13:49:48+00:00,User,,
dagster-io/dagster,wdhorton,13503072,2018-12-07T21:48:48+00:00,User,"Washington, DC",@ConsultingMD 
dagster-io/dagster,francis-camillo-ext,42793692,2018-12-13T09:51:43+00:00,User,,
dagster-io/dagster,markosamuli,61325,2018-12-17T01:00:41+00:00,User,"London, UK",
dagster-io/dagster,zol,81672,2018-12-18T17:29:40+00:00,User,San Francisco,Chromatic
dagster-io/dagster,srdjan,61190,2018-12-21T15:55:14+00:00,User,NYC Tri-State Area,timok.com
