repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
datasciencemasters/go,Ashu,253385,2013-09-03T18:37:24+00:00,User,Pune,
datasciencemasters/go,Dawny33,4637008,2013-09-03T18:53:10+00:00,User,Gurgaon,Paisabazaar
datasciencemasters/go,zhanif3,1657111,2013-09-03T20:01:34+00:00,User,,
datasciencemasters/go,Jomtung,2654367,2013-09-03T20:56:01+00:00,User,,
datasciencemasters/go,v15wk,385592,2013-09-03T21:51:20+00:00,User,US,
datasciencemasters/go,kojoman,1743379,2013-09-04T02:11:52+00:00,User,,
datasciencemasters/go,elarson120,168432,2013-09-04T06:42:13+00:00,User,San Francisco,
datasciencemasters/go,lmazzon,1412328,2013-09-04T11:33:59+00:00,User,"Milan, Italy",Italtel SpA
datasciencemasters/go,danwiesenthal,1709607,2013-09-05T22:31:14+00:00,User,San Francisco,@stitchfix
datasciencemasters/go,chadr,187013,2013-09-06T05:30:56+00:00,User,Louisiana,
datasciencemasters/go,nikolaypavlov,2743635,2013-09-06T14:20:31+00:00,User,,
datasciencemasters/go,nullnotfound,2839712,2013-09-07T01:52:48+00:00,User,,
datasciencemasters/go,benuofi,2572803,2013-09-07T04:30:57+00:00,User,,Facebook
datasciencemasters/go,zihaolucky,4514568,2013-09-07T04:33:56+00:00,User,"Hangzhou, China",Alibaba Group
datasciencemasters/go,binfeng,1190554,2013-09-07T04:46:55+00:00,User,Urbana-Champaign,UIUC
datasciencemasters/go,zachguo,3478203,2013-09-07T16:54:26+00:00,User,"San Jose, CA",Unified Patents
datasciencemasters/go,chglu,2021006,2013-09-07T17:06:41+00:00,User,,
datasciencemasters/go,vlsi1217,1733821,2013-09-07T18:26:45+00:00,User,,
datasciencemasters/go,aksarben09,605795,2013-09-07T21:51:54+00:00,User,Aksarben,
datasciencemasters/go,kisabaka,648530,2013-09-09T09:46:37+00:00,User,Sweden,
datasciencemasters/go,developeron29,4932001,2013-09-09T18:24:47+00:00,User,India,
datasciencemasters/go,axitkhurana,667376,2013-09-09T20:38:47+00:00,User,"San Francisco, CA",
datasciencemasters/go,abhshkdz,1156489,2013-09-10T04:33:11+00:00,User,,"FAIR, Meta AI"
datasciencemasters/go,abhikandoi2000,1875434,2013-09-10T08:03:21+00:00,User,"San Diego, CA",UC San Diego
datasciencemasters/go,pravj,3437250,2013-09-10T08:11:24+00:00,User,Bangalore,Product @skit-ai
datasciencemasters/go,zed9,4155117,2013-09-10T08:56:55+00:00,User,,
datasciencemasters/go,shashankkumar,713006,2013-09-11T06:52:57+00:00,User,Bangalore,Razorpay
datasciencemasters/go,manishreddy,1083209,2013-09-12T03:53:54+00:00,User,"Mumbai, India",Student
datasciencemasters/go,MichaelCT,956927,2013-09-12T20:42:59+00:00,User,,
datasciencemasters/go,monofish,719465,2013-09-12T20:46:59+00:00,User,New York City,
datasciencemasters/go,raulmarcosl,906966,2013-09-15T16:29:41+00:00,User,,Carbono
datasciencemasters/go,stevenlordiam,3217051,2013-09-20T19:09:17+00:00,User,"New York, United States",Facebook
datasciencemasters/go,charnugagoo,2348253,2013-09-20T20:14:57+00:00,User,NYC,
datasciencemasters/go,dondecastro,5439826,2013-09-22T14:41:04+00:00,User,,
datasciencemasters/go,illy,796821,2013-09-26T14:55:30+00:00,User,UK,
datasciencemasters/go,kaysush,1897248,2013-10-01T15:46:02+00:00,User,India,
datasciencemasters/go,anilmuppalla,321785,2013-10-05T08:36:27+00:00,User,San Francisco,@Spotify
datasciencemasters/go,dragonszy,1232740,2013-10-05T08:50:33+00:00,User,,
datasciencemasters/go,snow8261,107969,2013-10-08T09:01:31+00:00,User,,
datasciencemasters/go,paulofernando,753828,2013-10-11T01:16:17+00:00,User,"Salvador, Brazil",
datasciencemasters/go,lizuyao2010,788867,2013-10-15T06:47:15+00:00,User,,
datasciencemasters/go,semerj,4423651,2013-10-20T20:02:19+00:00,User,,
datasciencemasters/go,slashpai,5638849,2013-10-23T16:13:58+00:00,User,"Bangalore, India",Red Hat
datasciencemasters/go,tangcongyuan,5770475,2013-10-25T01:54:43+00:00,User,Santa Clara,
datasciencemasters/go,gawbul,321291,2013-11-01T15:58:32+00:00,User,Earth,Dr Stephen P. Moss
datasciencemasters/go,zhouwubai,3355389,2013-11-19T21:56:31+00:00,User,Miami,Florida International U
datasciencemasters/go,rajsandhu,331445,2013-11-20T08:13:05+00:00,User,,
datasciencemasters/go,pixyj,1024349,2013-11-21T02:35:33+00:00,User,Bangalore,
datasciencemasters/go,iiSeymour,4310904,2013-11-23T22:22:38+00:00,User,Oxford,Oxford Nanopore Technologies
datasciencemasters/go,SamStudio8,1105722,2013-11-24T15:00:23+00:00,User,"Birmingham, UK",@nanoporetech
