repo_full_name,pr_id,number,title,body,user_login,user_id,state,draft,created_at,updated_at,closed_at,merged_at,merge_commit_sha,mergeable_state,additions,deletions,changed_files,commits_count,review_comments_count,comments_count,requested_reviewers,requested_teams,labels
donnemartin/data-science-ipython-notebooks,39613076,7,09/07/2015,,JBDien,10913014,closed,False,2015-07-09T18:25:34+00:00,2015-07-09T18:28:12+00:00,2015-07-09T18:28:12+00:00,,60b20f6d3a5546e3885ff6f2b6ecbed4b3558167,unknown,0,0,0,2,0,0,,,
donnemartin/data-science-ipython-notebooks,41402222,14,Fixed a misleading comment in the numpy notebook,,AmaanC,1172631,closed,False,2015-08-01T14:10:14+00:00,2015-08-21T09:33:26+00:00,2015-08-21T09:33:24+00:00,2015-08-21T09:33:24+00:00,7db0744526c64523cdd752561463a762b6881fae,unknown,1,1,1,1,0,1,,,
donnemartin/data-science-ipython-notebooks,43881524,15,Remove *.py~,,38elements,2399132,closed,False,2015-09-01T14:24:16+00:00,2015-09-10T11:01:14+00:00,2015-09-10T11:00:56+00:00,2015-09-10T11:00:56+00:00,bd04a2e92d82fd47b14c2954881d8561e5e14a62,unknown,0,410,3,1,0,2,,,
donnemartin/data-science-ipython-notebooks,54616752,18,Add TensorFlow and DeepDream notebooks,,donnemartin,5458997,closed,False,2015-12-27T12:27:55+00:00,2015-12-27T15:14:08+00:00,2015-12-27T12:28:10+00:00,2015-12-27T12:28:10+00:00,ce6d6758708b37532b7b62a39dcd954c9e1fa3a8,unknown,4692,1,12,10,0,0,,,
donnemartin/data-science-ipython-notebooks,54618447,19,Add Theano notebooks.,,donnemartin,5458997,closed,False,2015-12-27T14:34:38+00:00,2015-12-27T14:34:47+00:00,2015-12-27T14:34:47+00:00,2015-12-27T14:34:47+00:00,b2cb5babdf0df978e666146e0dba2c6b80bc0a1e,unknown,4516,0,18,5,0,0,,,
donnemartin/data-science-ipython-notebooks,54653837,20,Add TensorFlow tutorials notebooks.,,donnemartin,5458997,closed,False,2015-12-28T13:05:44+00:00,2015-12-28T13:05:57+00:00,2015-12-28T13:05:57+00:00,2015-12-28T13:05:57+00:00,9cc0f5468bd87a050f772b6e84fd1e6dad49b061,unknown,3664,11,18,14,0,0,,,
donnemartin/data-science-ipython-notebooks,54792194,22,Add slides to Theano intro notebook.,"- Add associated slides
- Fix typo
",donnemartin,5458997,closed,False,2015-12-30T10:59:36+00:00,2015-12-30T11:04:32+00:00,2015-12-30T10:59:56+00:00,2015-12-30T10:59:56+00:00,237dc45a992579e6570773024ba8b7d307d7b604,unknown,4,2,2,3,0,0,,,
donnemartin/data-science-ipython-notebooks,54926849,23,Change tf.types.int16 to tf.int16,"I was learning Tensorflow using this notebook and got AttributeError while running

```
a = tf.placeholder(tf.types.int16)
```

In [docs](https://www.tensorflow.org/versions/master/api_docs/python/framework.html#DType), it is written as `tf.int16` instead of `tf.types.int16` and it works on my machine too. 
Let me know if I'm missing something?
",AnishShah,3175743,closed,False,2016-01-03T15:39:49+00:00,2016-01-04T23:52:14+00:00,2016-01-04T23:52:12+00:00,2016-01-04T23:52:12+00:00,92e1f23bffbd763740ffc889fc7c981547d7b38b,unknown,44,35,4,2,0,3,,,
donnemartin/data-science-ipython-notebooks,55382351,24,Add Algorithmia IPython Notebook example,"Hey Donne,

Really liked the collection of notebooks. I thought it would be cool to also add Algorithmia to the index.

There's a lot of interesting algorithms on the platform. But I only showcased 4 of them as a simple introduction:
- Face Detection
- Content Summarizer
- Latent Dirichlet Allocation
- Optical Character Recognition

Tried to format the notebook according to your writing style as seen in the other notebooks.

Also, the logo won't show up properly on my fork because I've added the absolute path of your repo. Should render without a problem after you merge it.

Full disclosure: I work @Algorithmiaio

Cheers,
Besir
",besirkurtulmus,5170389,closed,False,2016-01-07T19:56:04+00:00,2016-01-24T11:47:23+00:00,2016-01-24T11:47:21+00:00,2016-01-24T11:47:21+00:00,0a0b037af7e9e4f0907e336c8f63dbb513e3e2cd,unknown,451,0,4,2,0,4,,,
donnemartin/data-science-ipython-notebooks,57767524,26,Add Pelican commands.,,donnemartin,5458997,closed,False,2016-01-31T12:32:10+00:00,2016-02-01T06:04:32+00:00,2016-01-31T12:33:06+00:00,2016-01-31T12:33:06+00:00,f29de3e920efeb107d0c1548727cfc219394e9cd,unknown,58,6,2,1,0,1,,,
