repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
donnemartin/data-science-ipython-notebooks,rodrigoadams5,10486375,2015-01-24T12:12:56+00:00,User,USA,
donnemartin/data-science-ipython-notebooks,sitems,5206919,2015-03-29T09:31:37+00:00,User,Slovakia,
donnemartin/data-science-ipython-notebooks,lila,99220,2015-05-20T00:16:15+00:00,User,,
donnemartin/data-science-ipython-notebooks,boyanangelov,4747808,2015-06-01T10:56:35+00:00,User,"Berlin, Germany",
donnemartin/data-science-ipython-notebooks,eal,430908,2015-06-01T11:49:51+00:00,User,,
donnemartin/data-science-ipython-notebooks,GrantRVD,4311681,2015-06-04T21:38:51+00:00,User,San Diego,ResMed
donnemartin/data-science-ipython-notebooks,Dienofail,5606977,2015-06-06T17:00:18+00:00,User,"Cambridge, MA",
donnemartin/data-science-ipython-notebooks,sarmazav,9354095,2015-06-06T18:21:27+00:00,User,,
donnemartin/data-science-ipython-notebooks,scharmchi,7132429,2015-06-06T18:40:13+00:00,User,"Vancouver, BC",
donnemartin/data-science-ipython-notebooks,aeroevan,44744,2015-06-06T19:34:28+00:00,User,"Chantilly, VA",MITRE
donnemartin/data-science-ipython-notebooks,michalwols,1071969,2015-06-06T19:35:18+00:00,User,New York,
donnemartin/data-science-ipython-notebooks,kurtpayne,1012635,2015-06-06T20:08:26+00:00,User,,
donnemartin/data-science-ipython-notebooks,salomons,616183,2015-06-06T20:48:16+00:00,User,Sweden,
donnemartin/data-science-ipython-notebooks,saketkc,682153,2015-06-06T21:13:16+00:00,User,Mumbai,IIT Bombay
donnemartin/data-science-ipython-notebooks,kietnguyen,1643216,2015-06-06T21:39:18+00:00,User,,
donnemartin/data-science-ipython-notebooks,k-dahl,1502984,2015-06-06T22:02:49+00:00,User,,
donnemartin/data-science-ipython-notebooks,chriscremer,5423770,2015-06-06T22:23:43+00:00,User,"Toronto, Ont.",
donnemartin/data-science-ipython-notebooks,chanelm,214237,2015-06-06T22:42:11+00:00,User,,
donnemartin/data-science-ipython-notebooks,ldirer,4263535,2015-06-06T23:13:04+00:00,User,Paris,
donnemartin/data-science-ipython-notebooks,raresct,3321090,2015-06-06T23:26:57+00:00,User,,
donnemartin/data-science-ipython-notebooks,sumit-bajaj,4347133,2015-06-06T23:27:45+00:00,User,"Mountain View, CA, USA",
donnemartin/data-science-ipython-notebooks,tejaykodali,10409442,2015-06-06T23:35:05+00:00,User,Vancouver,
donnemartin/data-science-ipython-notebooks,DavideFauri,9990499,2015-06-06T23:38:03+00:00,User,,
donnemartin/data-science-ipython-notebooks,nizq,535948,2015-06-07T00:17:06+00:00,User,,
donnemartin/data-science-ipython-notebooks,evanpeck,1865367,2015-06-07T00:20:09+00:00,User,"Boulder, Colorado",CU Boulder
donnemartin/data-science-ipython-notebooks,esafak,3928300,2015-06-07T00:27:51+00:00,User,Silicon Valley,Archipelago AI
donnemartin/data-science-ipython-notebooks,fsodogandji,1413457,2015-06-07T00:51:35+00:00,User,"Paris, France",www.scaleway.com
donnemartin/data-science-ipython-notebooks,markcheno,1900991,2015-06-07T01:16:35+00:00,User,,
donnemartin/data-science-ipython-notebooks,hagopjay,7343285,2015-06-07T01:29:09+00:00,User,,
donnemartin/data-science-ipython-notebooks,yoni,122477,2015-06-07T01:47:49+00:00,User,"Mountain View, California",@google 
donnemartin/data-science-ipython-notebooks,igorbrigadir,1164962,2015-06-07T02:00:32+00:00,User,University College Dublin,Insight Centre for Data Analytics
donnemartin/data-science-ipython-notebooks,gorkemozkaya,6454229,2015-06-07T02:14:24+00:00,User,"San Francisco, CA",@uber 
