repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
eriklindernoren/ML-From-Scratch,m2n037,8148440,2017-02-17T08:19:27+00:00,User,Bangalore,Researcher
eriklindernoren/ML-From-Scratch,mathkann,10529791,2017-02-17T12:05:30+00:00,User,,
eriklindernoren/ML-From-Scratch,abhashkumar,12951931,2017-02-17T14:13:41+00:00,User,Banglore,Availity
eriklindernoren/ML-From-Scratch,eucliss,22156125,2017-02-17T23:36:48+00:00,User,,
eriklindernoren/ML-From-Scratch,raigc,16510382,2017-02-18T00:56:06+00:00,User,,
eriklindernoren/ML-From-Scratch,madhav165,12028265,2017-02-18T07:28:41+00:00,User,,
eriklindernoren/ML-From-Scratch,aovallc,23247205,2017-02-19T14:18:55+00:00,User,,
eriklindernoren/ML-From-Scratch,eigart,7864343,2017-02-20T07:53:25+00:00,User,,
eriklindernoren/ML-From-Scratch,gurusura,89480,2017-02-22T12:55:11+00:00,User,"Chennai, India",Sura Systems Private Limited
eriklindernoren/ML-From-Scratch,rogeriomarques,356649,2017-02-25T16:49:47+00:00,User,,
eriklindernoren/ML-From-Scratch,aespinoza,903483,2017-02-25T17:11:49+00:00,User,"San Diego, CA","Structum, Inc."
eriklindernoren/ML-From-Scratch,piyushsoni,455208,2017-02-25T17:13:48+00:00,User,,
eriklindernoren/ML-From-Scratch,dianjin,7786116,2017-02-25T17:15:18+00:00,User,NYC,
eriklindernoren/ML-From-Scratch,psyduk,859336,2017-02-25T17:15:45+00:00,User,"San Francisco, California",
eriklindernoren/ML-From-Scratch,enixdark,4610828,2017-02-25T17:16:31+00:00,User,,
eriklindernoren/ML-From-Scratch,alaa,13456,2017-02-25T17:17:07+00:00,User,,@lumalabs
eriklindernoren/ML-From-Scratch,merin83,4384466,2017-02-25T17:17:16+00:00,User,"Dhaka, Bangladesh",
eriklindernoren/ML-From-Scratch,m13m,7526000,2017-02-25T17:17:42+00:00,User,"Sharjah, UAE",Balagh FZE LLC 
eriklindernoren/ML-From-Scratch,lamkeewei,3666479,2017-02-25T17:17:48+00:00,User,Singapore,
eriklindernoren/ML-From-Scratch,ocruzv,3529184,2017-02-25T17:17:50+00:00,User,"Guadalajara, Jalisco, México",@getdex
eriklindernoren/ML-From-Scratch,gotoc,13884225,2017-02-25T17:18:15+00:00,User,,
eriklindernoren/ML-From-Scratch,jondeandres,122581,2017-02-25T17:18:21+00:00,User,Barcelona,Uniphore (https://www.uniphore.com)
eriklindernoren/ML-From-Scratch,rtecco,21998,2017-02-25T17:18:35+00:00,User,Philadelphia,
eriklindernoren/ML-From-Scratch,jensecj,1847332,2017-02-25T17:18:40+00:00,User,Denmark,
eriklindernoren/ML-From-Scratch,jjhidalgar,965036,2017-02-25T17:18:58+00:00,User,"Chicago, Illinois (USA)",@notmail 
eriklindernoren/ML-From-Scratch,maksadbek,2093411,2017-02-25T17:19:14+00:00,User,,
eriklindernoren/ML-From-Scratch,zacharyfmarion,9957046,2017-02-25T17:19:17+00:00,User,San Francisco,Coinbase
eriklindernoren/ML-From-Scratch,jheusser,1693496,2017-02-25T17:19:35+00:00,User,,
