repo_full_name,pr_id,number,title,body,user_login,user_id,state,draft,created_at,updated_at,closed_at,merged_at,merge_commit_sha,mergeable_state,additions,deletions,changed_files,commits_count,review_comments_count,comments_count,requested_reviewers,requested_teams,labels
explosion/spaCy,27992996,2,Update index.rst,"Fix two broken links.

Couldn't find link to repo in the [docs](http://honnibal.github.io/spaCy/) => went to check the source, found the spaCy link at the top didn't render.

Similarly, the link to commercial license lead to http://honnibal.github.io/spaCy/license.rst which is a 404.
",piskvorky,610412,closed,False,2015-01-25T14:59:38+00:00,2015-01-25T16:06:18+00:00,2015-01-25T15:29:33+00:00,2015-01-25T15:29:33+00:00,a0b7442df61afb7cb0626842de9236eaf6601ee3,unknown,2,2,1,1,0,1,,,
explosion/spaCy,27994434,3,docs: Added missing cosine declaration,"- Added missing cosine declaration to code listing that already included
  imports for `dot` and `norm` function it uses.

Signed-off-by: mr.Shu mr@shu.io

---

@honnibal Thanks a ton for a great library! 

While reading the index document I kind of skipped the previous declarations of `cosine`. It seemed strange not to find them here since the imports were already in place.
",mrshu,461491,closed,False,2015-01-25T16:55:51+00:00,2015-01-25T17:52:40+00:00,2015-01-25T17:52:40+00:00,2015-01-25T17:52:40+00:00,1587ac933136e80da218126aa7b5426384fefe3c,unknown,1,0,1,1,0,3,,,
explosion/spaCy,27994639,4,docs: Change `postags` to `parts_of_speech`,"- It seems that the docs use `spacy.postags` but the actual module that
  can be found in `spacy/` is `parts_of_speech`.

Signed-off-by: mr.Shu mr@shu.io

---

@honnibal I am sorry if you would like to move `parts_of_speech` to `postags` but the sample code in `index.rst` was not working for me. These changes make it functional.
",mrshu,461491,closed,False,2015-01-25T17:12:13+00:00,2015-01-26T12:33:04+00:00,2015-01-26T12:33:04+00:00,,b24cc31114ecfb9768ad0312b5c4b471907a1cdc,dirty,2,2,1,3,0,3,,,
explosion/spaCy,27995720,5,Bug fix on the documentation,,MatthieuBizien,173090,closed,False,2015-01-25T18:30:57+00:00,2015-01-25T18:32:43+00:00,2015-01-25T18:32:43+00:00,2015-01-25T18:32:43+00:00,5107e7d73261cc44dbf1d368e54d91cd1767c9c3,unknown,2,2,1,1,0,0,,,
explosion/spaCy,27999357,6,Make the accuracy table show up,"It was previously commented out because it wasn't below the `..table` directive.  I'm not sure if this was intentional, but the text ""The table above"" was very confusing without the table.
",dan-blanchard,976345,closed,False,2015-01-25T22:31:59+00:00,2015-01-26T13:55:06+00:00,2015-01-25T23:08:48+00:00,2015-01-25T23:08:48+00:00,8e7ac797490b41a04ad2b4afb98b99dfafb910d4,unknown,2,2,1,1,0,0,,,
explosion/spaCy,28052429,8,fix: it creates file named 'data' but it should be directory,,osmanbaskaya,222624,closed,False,2015-01-26T19:21:34+00:00,2015-08-20T22:55:54+00:00,2015-08-20T22:55:54+00:00,,8178963183d9b36e2d99dc684f3e978071fdcc59,dirty,7,0,1,1,0,0,,,
explosion/spaCy,28856805,21,Add rokenizer test for zero length string,"This tests for what I assume is the correct behaviour for empty strings. Related to Issue #19 
",leofidus,4348296,closed,False,2015-02-07T02:06:11+00:00,2015-02-10T13:19:38+00:00,2015-02-10T13:19:38+00:00,2015-02-10T13:19:38+00:00,21215d1e738ea3dffedaf76bdc020404ea041a5e,unknown,4,0,1,1,0,0,,,
explosion/spaCy,30904319,33,Unicode trouble with lemma_,,rsomeon,11413685,closed,False,2015-03-10T23:50:36+00:00,2015-03-26T10:31:04+00:00,2015-03-26T10:31:04+00:00,,ccbb88951b5166df6645ada75df8ade2296ff9dc,dirty,17,1,2,2,0,0,,,
explosion/spaCy,31073113,34,Fix import typo in docs,"spact -> spacy
",viksit,198669,closed,False,2015-03-12T20:13:54+00:00,2015-06-26T14:14:10+00:00,2015-06-26T14:14:10+00:00,2015-06-26T14:14:10+00:00,1c9e14c8a7c6bdbfe6dd01f7b48dcabe7c4b60bc,unknown,1,1,1,1,0,0,,,
explosion/spaCy,33615895,55,Misc. improvements in style and consistency,,suchow,613981,closed,False,2015-04-19T09:14:39+00:00,2015-04-20T16:14:47+00:00,2015-04-20T16:14:47+00:00,2015-04-20T16:14:47+00:00,ab59cdf68010534e2e5f7074b889b7580d5c50b2,unknown,298,227,94,7,0,0,,,
