repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
explosion/spaCy,ddaniels,285682,2014-07-28T14:16:45+00:00,User,"New York, NY",
explosion/spaCy,Smerity,32325,2014-07-30T22:45:10+00:00,User,"San Francisco, California",
explosion/spaCy,widnyana,937158,2014-11-23T17:56:35+00:00,User,Indonesia,@damarseta @redite
explosion/spaCy,extempore,3125919,2014-12-19T15:22:37+00:00,User,EU,
explosion/spaCy,davidlday,1132144,2014-12-31T02:04:13+00:00,User,,
explosion/spaCy,arne-cl,994109,2015-01-04T14:28:20+00:00,User,Potsdam,
explosion/spaCy,aplanas,645701,2015-01-25T12:58:58+00:00,User,"Málaga, Spain",SUSE Software Solutions Spain SL
explosion/spaCy,nubela,146607,2015-01-25T14:05:23+00:00,User,Singapore,nubela.co
explosion/spaCy,matiskay,203321,2015-01-25T14:33:00+00:00,User,"Arequipa, Perú",
explosion/spaCy,jodaiber,580602,2015-01-25T14:35:05+00:00,User,"San Francisco, United States",
explosion/spaCy,bjoernh,506641,2015-01-25T14:37:15+00:00,User,Augsburg,
explosion/spaCy,denisfitz57,1459124,2015-01-25T14:40:20+00:00,User,,
explosion/spaCy,rhinojosa,198409,2015-01-25T14:41:14+00:00,User,,
explosion/spaCy,piskvorky,610412,2015-01-25T14:53:07+00:00,User,Prague,@pii-tools
explosion/spaCy,ricardocabral,38954,2015-01-25T14:59:33+00:00,User,"São Paulo, SP / Brazil",@digesto 
explosion/spaCy,robbertvanginkel,570934,2015-01-25T15:03:51+00:00,User,Amsterdam,
explosion/spaCy,timothyklim,387270,2015-01-25T15:06:20+00:00,User,,
explosion/spaCy,abdelhai,1752577,2015-01-25T15:11:59+00:00,User,,
explosion/spaCy,felipehummel,21449,2015-01-25T15:15:40+00:00,User,,
explosion/spaCy,nournia,370741,2015-01-25T15:17:39+00:00,User,,Roshan
explosion/spaCy,snormore,182290,2015-01-25T15:17:54+00:00,User,,
explosion/spaCy,monai,1473062,2015-01-25T15:28:03+00:00,User,,
explosion/spaCy,apickering,976037,2015-01-25T15:31:24+00:00,User,,
explosion/spaCy,kingishb,3827393,2015-01-25T15:33:39+00:00,User,MD,
explosion/spaCy,meloncholy,1045692,2015-01-25T15:35:13+00:00,User,London,
explosion/spaCy,aseeon,4739,2015-01-25T15:38:13+00:00,User,Poland,
explosion/spaCy,andrewluetgers,232036,2015-01-25T15:40:20+00:00,User,,
explosion/spaCy,aeneaswiener,4281507,2015-01-25T15:43:08+00:00,User,,
explosion/spaCy,danabauer,751594,2015-01-25T15:46:48+00:00,User,Philadelphia,
explosion/spaCy,bictorman,729447,2015-01-25T15:47:57+00:00,User,Berlin,Ninibe GmbH
explosion/spaCy,Moddus,622187,2015-01-25T15:49:40+00:00,User,,
explosion/spaCy,oztalha,5094153,2015-01-25T15:51:59+00:00,User,"Palo Alto, CA",Amazon
explosion/spaCy,ldmiao,59094,2015-01-25T15:52:20+00:00,User,,
explosion/spaCy,anupamme,667857,2015-01-25T15:55:56+00:00,User,"Edinburgh, UK",University of Edinburgh
explosion/spaCy,valpackett,208340,2015-01-25T16:02:25+00:00,User,Argentina ⭐⭐⭐,
explosion/spaCy,kylepjohnson,1854968,2015-01-25T16:04:08+00:00,User,,
explosion/spaCy,ramnes,835072,2015-01-25T16:07:55+00:00,User,"Paris, France",@formalco
explosion/spaCy,mbatchkarov,937114,2015-01-25T16:11:21+00:00,User,United Kingdom,Teebly
explosion/spaCy,joshthewhite,410466,2015-01-25T16:13:18+00:00,User,"Edmond, OK",
explosion/spaCy,glamp,1409333,2015-01-25T16:13:38+00:00,User,"Boulder, CO",
explosion/spaCy,josephmisiti,246302,2015-01-25T16:13:47+00:00,User,"Miami, FL",Math & Pencil 
explosion/spaCy,avinassh,640792,2015-01-25T16:15:33+00:00,User,"Bangalore, India",@tursodatabase
explosion/spaCy,my-slab,1633115,2015-01-25T16:21:38+00:00,User,"Melbourne, Australia",
explosion/spaCy,alvg,2919444,2015-01-25T16:24:43+00:00,User,,
explosion/spaCy,abhijitiitr,1880441,2015-01-25T16:24:47+00:00,User,,
explosion/spaCy,alexkahn,4401271,2015-01-25T16:25:17+00:00,User,"Chicago, IL, USA",
explosion/spaCy,sthomas-github,3447948,2015-01-25T16:25:46+00:00,User,"Pittsburgh, PA",
explosion/spaCy,bwhitman,76612,2015-01-25T16:30:23+00:00,User,Brooklyn NY & Quadra Island BC,"new thing, was @ourcanopy @spotify @echonest"
explosion/spaCy,CamDavidsonPilon,884032,2015-01-25T16:30:49+00:00,User,"Waterloo, Canada",@Pioreactor
explosion/spaCy,snczl,204218,2015-01-25T16:30:50+00:00,User,,
