repo_full_name,issue_id,number,title,body,user_login,user_id,state,locked,comments_count,created_at,updated_at,closed_at,labels,reactions_total,reactions_plus1,reactions_minus1,reactions_laugh,reactions_hooray,reactions_confused,reactions_heart
fastai/fastbook,3038567411,675,Fix set_categories deprecation in 09_tabular.ipynb and clean/09_tabul…,"original: df['ProductSize'].cat.set_categories(sizes, ordered=True, inplace=True)

after:
df['ProductSize'] = df['ProductSize'].cat.set_categories(sizes, ordered=True)
",OmarElghamry1,85800688,open,False,1,2025-05-05T04:24:09+00:00,2025-05-05T04:24:16+00:00,,,0,0,0,0,0,0,0
fastai/fastbook,3038541926,674,Inplace = True is no longer supported in set_categories in pandas in chapter 9: tabular,"Original: df['ProductSize'].cat.set_categories(sizes, ordered=True, inplace=True) 

should be replaced with

df['ProductSize'] = df['ProductSize'].cat.set_categories(sizes, ordered=True)",OmarElghamry1,85800688,closed,False,0,2025-05-05T03:59:32+00:00,2025-05-05T04:24:25+00:00,2025-05-05T04:24:25+00:00,,0,0,0,0,0,0,0
fastai/fastbook,2958051660,673,Missing ipywidgets package in 02_production.ipynb,Install ipywidgets in order to import fastai.vision.widgets because  Widgets were split in a distinct package since IPython 4,JB314,10923317,open,False,1,2025-03-29T14:27:54+00:00,2025-03-29T14:27:59+00:00,,,0,0,0,0,0,0,0
fastai/fastbook,2922621651,672,Bing Search API is no longer available,"When attempting to create a bing search api resource in azure as a part of [lesson 2](https://github.com/fastai/fastbook/blob/master/02_production.ipynb), I get the following error:

```
{
  ""code"": ""ApiSetDisabledForCreation"",
  ""message"": ""Deployment of new Bing resources is unavailable. If you want to leverage search results with LLMs, refer to the new Grounding with Bing Search product. You can learn more at aka.ms/AgentsBingDoc. For additional questions, please contact BingAPIMS@Microsoft.com.""
}
```

It seems that bing search api resources can no longer be created. Microsoft is [directing folks](https://learn.microsoft.com/en-us/answers/questions/2201920/bing-news-search) to this new _Grounding with Bing Search product_. I'll probably just use duckduckgo_search instead, but wanted to flag it. 

Happy to create a PR and update this section with duckduckgo_search, if that would be helpful. ",clpatterson,28932596,open,False,1,2025-03-15T23:09:50+00:00,2025-04-08T09:34:39+00:00,,,3,3,0,0,0,0,0
fastai/fastbook,2877857707,671,`RuntimeError: The MPS backend is supported on MacOS 12.3+.Current OS version can be queried using sw_vers`,"When running the dataloaders I am getting the following error: `RuntimeError: The MPS backend is supported on MacOS 12.3+.Current OS version can be queried using `sw_vers``, even though my MacOs is `12.7.6`.

The error seems related to torch library. Any idea how it could be fixed from fastai level?",PanGan21,50522617,closed,False,1,2025-02-25T10:06:31+00:00,2025-02-25T10:59:14+00:00,2025-02-25T10:59:13+00:00,,0,0,0,0,0,0,0
fastai/fastbook,2863791558,670,Obsolete `jupyter serverextension` command in book chapter 2,"This is shown in two places in 02_production.ipynb:

```
!jupyter serverextension enable --sys-prefix voila
```

That gives an error. Replace with:

```
!jupyter server extension enable --sys-prefix voila
```
",slinkp,98610,open,False,0,2025-02-19T16:08:03+00:00,2025-02-19T16:08:03+00:00,,,0,0,0,0,0,0,0
fastai/fastbook,2841447070,669,Update 04_mnist_basics.ipynb,typo,KimiaTahvildari,130475904,open,False,1,2025-02-10T06:18:47+00:00,2025-02-10T06:18:52+00:00,,,0,0,0,0,0,0,0
fastai/fastbook,2826996970,668,fixed paragraph in 04_mnist_basics.ipynb,"The paragraph had two incorrect statements, fixed it and made it concise

Fixed #655 ",prajwal-38,176428450,open,False,1,2025-02-03T09:48:44+00:00,2025-02-03T09:48:51+00:00,,,0,0,0,0,0,0,0
fastai/fastbook,2823281614,667,Issues with ipywidgets dependency causing Javascript errors,"This issue is related to the `fastbook` package, not to this repository. But I don't know where else to raise the issue.

Using Jupyter Labs v4.3.4 I am having issues using `fastbook==0.0.29` with the dependency of `ipywidgets<8`. If I use any version below 8, I get Javascript errors trying to render widgets. This happens both locally and on cloud hosted labs.

I can reproduce this as follows. Create a new Jupyter Notebook with the following cells.

```
%pip install ipyfilechooser
```

```python
from ipyfilechooser import FileChooser
from pathlib import Path
path = Path.cwd()
fc = FileChooser(path)
display(fc)

```

Run the cells and this is the output I receive:

```
Open Browser Console for more detailed log - Double click to close this message]
Failed to load model class 'VBoxModel' from module '@jupyter-widgets/controls'
loadClass@https://jupyterlab-01jjbz4k0g5xkb8q9ssshm0eks.studio.lightning.ai/lab/extensions/@jupyter-widgets/jupyterlab-manager/static/446.bf169bd3821a9ba1aa62.js?v=bf169bd3821a9ba1aa62:1:75484
loadModelClass@https://jupyterlab-01jjbz4k0g5xkb8q9ssshm0eks.studio.lightning.ai/lab/extensions/@jupyter-widgets/jupyterlab-manager/static/327.8166aeb81cf1531ca240.js?v=8166aeb81cf1531ca240:1:10579
_make_model@https://jupyterlab-01jjbz4k0g5xkb8q9ssshm0eks.studio.lightning.ai/lab/extensions/@jupyter-widgets/jupyterlab-manager/static/327.8166aeb81cf1531ca240.js?v=8166aeb81cf1531ca240:1:7367
new_model@https://jupyterlab-01jjbz4k0g5xkb8q9ssshm0eks.studio.lightning.ai/lab/extensions/@jupyter-widgets/jupyterlab-manager/static/327.8166aeb81cf1531ca240.js?v=8166aeb81cf1531ca240:1:5136
handle_comm_open@https://jupyterlab-01jjbz4k0g5xkb8q9ssshm0eks.studio.lightning.ai/lab/extensions/@jupyter-widgets/jupyterlab-manager/static/327.8166aeb81cf1531ca240.js?v=8166aeb81cf1531ca240:1:3893
1446/v/this._handleCommOpen@https://jupyterlab-01jjbz4k0g5xkb8q9ssshm0eks.studio.lightning.ai/lab/extensions/@jupyter-widgets/jupyterlab-manager/static/446.bf169bd3821a9ba1aa62.js?v=bf169bd3821a9ba1aa62:1:73900
_handleCommOpen@https://jupyterlab-01jjbz4k0g5xkb8q9ssshm0eks.studio.lightning.ai/static/lab/jlab_core.b207cc5f30e679038452.js?v=b207cc5f30e679038452:1:1369272
```

The browser console outputs this error:
```
Error: Module @jupyter-widgets/controls, version ^1.5.0 is not registered, however, 2.0.0 is
```

I managed to solve it by downloading the source code of `fastbook==0.0.29`, and in the file `settings.ini`, setting the requirements line to have `ipywidgets>=8` instead of `ipywidgets<8`.

Is there any place where this package is maintained so I can make this fix permanent?


",jameskentdev,107423859,open,False,0,2025-01-31T12:20:32+00:00,2025-01-31T12:20:32+00:00,,,0,0,0,0,0,0,0
fastai/fastbook,2795922657,666,dependency conflicts,"When trying to work with the first notebook in the book in colab, [Introduction to Jupyter](https://colab.research.google.com/github/fastai/fastbook/blob/master/app_jupyter.ipynb), the first cell fails with error message:

```
ERROR: pip's dependency resolver does not currently take into account all the packages that are installed. This behaviour is the source of the following dependency conflicts.
gcsfs 2024.10.0 requires fsspec==2024.10.0, but you have fsspec 2024.9.0 which is incompatible.
```

",mbirgi,13731067,open,False,2,2025-01-17T17:04:00+00:00,2025-05-11T09:42:41+00:00,,,1,1,0,0,0,0,0
