repo_full_name,pr_id,number,title,body,user_login,user_id,state,draft,created_at,updated_at,closed_at,merged_at,merge_commit_sha,mergeable_state,additions,deletions,changed_files,commits_count,review_comments_count,comments_count,requested_reviewers,requested_teams,labels
fastai/fastbook,381699770,2,"Add missing ""layer""","Currently:   The gradients of every are calculated for us by PyTorch
Should be: The gradients of every **layer** are calculated for us by PyTorch",somnathrakshit,12930218,closed,False,2020-02-29T02:51:16+00:00,2020-02-29T18:31:27+00:00,2020-02-29T18:31:27+00:00,2020-02-29T18:31:27+00:00,e7b472064774ce7147f99a11a1fcf067a5be27c9,unknown,1,1,1,1,0,1,,,
fastai/fastbook,381775353,3,minor spelling tweaks,,brettkoonce,11281814,closed,False,2020-02-29T06:18:38+00:00,2020-02-29T20:00:33+00:00,2020-02-29T18:31:10+00:00,2020-02-29T18:31:10+00:00,5ca8bf280f5081406078b6c719a7d46a5e08e789,unknown,52,52,17,1,0,3,,,
fastai/fastbook,381845623,7,Hyperlink DOI to preferred resolver,See diff & https://www.doi.org/doi_handbook/3_Resolution.html#3.8 ;-),katrinleinweber,9948149,closed,False,2020-02-29T12:46:04+00:00,2020-02-29T18:30:23+00:00,2020-02-29T18:30:23+00:00,2020-02-29T18:30:23+00:00,32f5baae738317978dcdbd82e705219909ad5bfb,unknown,1,1,1,1,0,1,,,
fastai/fastbook,381853063,8,add requirements.txt,May be helpful for newbies. Just looked at `utils.py` --- did I miss anything?,tzekid,6037154,closed,False,2020-02-29T13:38:33+00:00,2020-02-29T18:30:00+00:00,2020-02-29T18:30:00+00:00,2020-02-29T18:30:00+00:00,27ca0ff04c7048d09863ccd2771b0a6830380abc,unknown,11,0,1,1,0,0,,,
fastai/fastbook,382065098,11,cosmetic fixes 01,"I'll do this one and check in before happily looking at more

it wasn't self evident how readers are already in a jupyter notebook and running import and gpu cells, but the material to select a cloud server GPU and get to the notebook was provided to them already / elsewhere?

I haven't edited some candidates for this, but : can i check if its a significant goal to assist 2nd language readers? If so, we can edit out contractions e.g. We'll changes to we will . I found contractions ridiculously hard when I learnt my other languages. the other guides that help are - really long sentences as a red flag and also try to put active sentences with the important things first. sorry - I know you and Sylvain have written lots and know this - but I'm picturing an overseas high school student, not even a US based grad student from overseas.",bradsaracik,35494318,closed,False,2020-03-01T16:32:45+00:00,2020-03-04T13:58:46+00:00,2020-03-03T14:14:01+00:00,,59acd3fc3c8fa322f5bfeff0eccb6e33c46e21b3,unknown,105,54,150,16,1,8,,,
fastai/fastbook,382067079,12,spelling - The to They,**They** realised that a simplified model of a real neuron could be represented using simple addition and thresholding.,anshuljoshi,5634928,closed,False,2020-03-01T16:50:55+00:00,2020-03-02T20:10:27+00:00,2020-03-02T20:10:27+00:00,2020-03-02T20:10:27+00:00,d5a9996f5a8ca4203e8ad363db6011af804c44dd,unknown,2,2,1,1,0,1,,,
fastai/fastbook,382071659,13,Fix spelling in 21_learner.ipynb,"What we really saying is

now

What we are really saying is",gnyami01,24321616,closed,False,2020-03-01T17:32:55+00:00,2020-03-02T20:10:48+00:00,2020-03-02T20:10:48+00:00,2020-03-02T20:10:48+00:00,e5e21c0f1359f354436f054d71fc3af3151fffcb,unknown,2,2,1,1,0,1,,,
fastai/fastbook,382083455,14,"Spelling, fixing from ""transform twhich will"" to ""transform which will""",,AliceSum,21982975,closed,False,2020-03-01T19:21:32+00:00,2020-03-02T20:11:17+00:00,2020-03-02T20:11:17+00:00,2020-03-02T20:11:17+00:00,2b504ff971d195ae521b0fa4ec196e51ea2c23ed,unknown,1,1,1,1,0,1,,,
fastai/fastbook,382087753,15,"In 01_intro.ipynb: Corrected ""edit"" mode to ""command"" for kernel restart.","Corrected the mode for restarting kernel.
In ""command"" mode, pressing `0` twice will restart the *kernel* instead of In ""edit mode"".",alephthoughts,35725314,closed,False,2020-03-01T20:05:20+00:00,2020-03-02T20:12:00+00:00,2020-03-02T20:12:00+00:00,,4a1a9876657468f63c3bfcd0d2111cecc28d9304,dirty,2,2,1,1,0,2,,,
fastai/fastbook,382410756,16,cosmetic fixes 02,"Notebook 02 proofread. I've had a go at helping bridge the start which wasn't feeling right. hopefully thats in the direction you want

note : contractions not removed as suggested in prev PR",bradsaracik,35494318,closed,False,2020-03-02T14:20:02+00:00,2020-03-04T13:58:46+00:00,2020-03-03T14:19:58+00:00,,354349a8e891c6067eac8b5bad264122929a546a,dirty,31,25,1,1,5,3,,,
fastai/fastbook,382423456,17,lossless PNG compression,"used ImageOptim 1.8.8, Extra to Insane settings.",petecooper,226578,closed,False,2020-03-02T14:43:37+00:00,2020-03-02T19:58:09+00:00,2020-03-02T19:58:09+00:00,2020-03-02T19:58:09+00:00,273aa07b95d54c4136d6bfe73ca6d601e859be0a,unknown,0,0,147,1,0,2,,,
fastai/fastbook,382609107,18,minor copy edits,,pfcrowe,49303905,closed,False,2020-03-02T21:09:30+00:00,2020-03-03T14:35:37+00:00,2020-03-03T14:35:36+00:00,,,dirty,96,48,1,1,1,2,,,
fastai/fastbook,382760486,19,Quick proofread of chapter 14,"Went through and briefly proofread chapter 14 on deeper convnets; all changes are related to grammar.

The final sentence in the chapter, which lies in the **Further research** subsection, doesn't actually have an action item attached to it:
> Batch normalization isn't defined for a batch size of one, since the standard deviation isn't defined for a single item. 

Should there be an invitation to explore alternate ideas, e.g., [Group Normalization](https://arxiv.org/abs/1803.08494)?
",jwuphysics,3582121,closed,False,2020-03-03T06:00:47+00:00,2020-03-03T14:37:01+00:00,2020-03-03T14:29:15+00:00,2020-03-03T14:29:15+00:00,974c693de2afdb82fd46136ddf9dc242d46f1694,unknown,6,6,1,1,0,2,,,
fastai/fastbook,383068033,20,fix minor typo,"replaces ""model model"" with ""model""",Vijayabhaskar96,17958636,closed,False,2020-03-03T17:01:43+00:00,2020-03-03T17:11:01+00:00,2020-03-03T17:11:01+00:00,2020-03-03T17:11:01+00:00,70a0b2d6faa16f238b043965fdfb28a725559009,unknown,1,1,1,1,0,1,,,
fastai/fastbook,383098549,21,proofread and minor changes to tabular,,bradsaracik,35494318,closed,False,2020-03-03T18:08:47+00:00,2020-03-06T12:35:48+00:00,2020-03-03T23:18:33+00:00,,aeb5284f70167fa2712673d23482b0af3ae2c12d,dirty,55,41,1,1,7,4,,,
fastai/fastbook,383101891,22,Fixed Conclusion Ch. typos,,gregbruss,32633343,closed,False,2020-03-03T18:16:37+00:00,2020-03-03T23:19:13+00:00,2020-03-03T23:19:13+00:00,2020-03-03T23:19:13+00:00,83a4b5cedcb3eab4c71a1d9eb5cbdad470dcbf21,unknown,15,3,1,1,0,1,,,
fastai/fastbook,383155387,23,typo,,pfcrowe,49303905,closed,False,2020-03-03T20:21:46+00:00,2020-03-03T23:22:27+00:00,2020-03-03T23:22:27+00:00,2020-03-03T23:22:27+00:00,5e7a4bae9c50e18e6f72ee4df9789175e57c90d7,unknown,1,1,1,3,0,1,,,
fastai/fastbook,383156981,24,Fix typos in 1st half of 01_intro.ipynb,"01_intro.ipynb - minor spelling changes in first half of notebook
people are smarter than today s 
now
people are smarter than today's 

how modern neural networks handle each of these requirement
now
how modern neural networks handle each of these requirements

Pres and chief scientist 
Now 
President and Chief Scientist

place after you got more context from parts
Now 
place after you get more context from parts

trying moving on anyway and make a note to come back to it later.
Now
try moving on anyway and make a note to come back to it later.

we define the `Transform`s 
Now
we define the `Transforms`

many pre-defined `Transform`s
Now 
many pre-defined `Transforms`",gnyami01,24321616,closed,False,2020-03-03T20:25:51+00:00,2020-03-03T23:22:00+00:00,2020-03-03T23:21:59+00:00,,,dirty,6,6,1,1,0,2,,,
fastai/fastbook,383530037,25,"""In order to""","Changed ""other"" for  ""order"" in: ""The program's inputs are values that it processes in other to products its results""",alvarotap,61787129,closed,False,2020-03-04T12:41:29+00:00,2020-03-04T20:07:40+00:00,2020-03-04T20:07:40+00:00,2020-03-04T20:07:40+00:00,60f2d1056c3680401f02d33550ce0792953e1de4,unknown,1,1,1,1,0,1,,,
fastai/fastbook,383599006,26,Some typos,Some typos in chapter 1.,alvarotap,61787129,closed,False,2020-03-04T14:38:05+00:00,2020-03-04T20:05:29+00:00,2020-03-04T20:05:28+00:00,2020-03-04T20:05:28+00:00,bfb7cf584ca6740a298909d64cb160b9dc97985b,unknown,4,4,1,1,0,1,,,
fastai/fastbook,383667540,27,Add missing requirement,,jrdi,67608,closed,False,2020-03-04T16:00:31+00:00,2020-03-04T20:01:48+00:00,2020-03-04T19:58:48+00:00,2020-03-04T19:58:48+00:00,47274faffcae9452bfea9deb2b5de9711bd5ff32,unknown,1,0,1,1,0,0,,,
fastai/fastbook,383667984,28,Fix nlp minor typo,,jrdi,67608,closed,False,2020-03-04T16:01:12+00:00,2020-03-04T20:01:39+00:00,2020-03-04T19:58:23+00:00,2020-03-04T19:58:23+00:00,3eba99d9c0261f493d8793433caaffcf9ba737cb,unknown,1,1,1,1,0,1,,,
fastai/fastbook,383884030,29,fix the OR operator,"This is to define the training index as described in the book:
""So we will define a narrower training dataset which consists only of the Kaggle training data from before November 2011 ...""

I think the correct operator might be & instead of | below:
cond = (df.saleYear<2011) | (df.saleMonth<10)",DavidykZhao,37813116,closed,False,2020-03-04T21:15:23+00:00,2020-03-05T21:37:39+00:00,2020-03-05T20:06:03+00:00,,7215e03400ec9990f9c1638528aa8108af45dcff,unknown,2,2,1,1,0,2,,,
fastai/fastbook,384380218,30,proofread ethics,"Other note on the content:

In the section on Representational Bias : the quote from the paper says ""may compound these imbalances""  - I wondered if this is then feedback or some other mechanism. The next lines are such that I think it is distinct - but I've not understood whats happening? I think the y axis is such that a 45degree slope would mean balanced predictions - is that right?


positive examples on increasing diversity are always great- here's one in the software industry : https://research.curtin.edu.au/projects-expertise/institutes-centres/autism/",bradsaracik,35494318,closed,False,2020-03-05T16:35:27+00:00,2020-03-07T11:45:53+00:00,2020-03-05T20:11:17+00:00,2020-03-05T20:11:17+00:00,1d091931b55724d4b3e427ed166409c9a0b56a5e,unknown,30,55,1,1,0,2,,,
fastai/fastbook,384526178,31,A small typo in 09_tabular,,DavidykZhao,37813116,closed,False,2020-03-05T22:10:58+00:00,2020-03-06T02:23:15+00:00,2020-03-06T02:23:15+00:00,2020-03-06T02:23:15+00:00,7de2389531b0314f76b8336511e6272f26ae27a6,unknown,2,2,1,1,0,1,,,
fastai/fastbook,384567549,32,Small typo in 01_intro.ipynb,"And by the way, is this the right way to correct typos in notebooks?",lawwu,9869041,closed,False,2020-03-06T00:23:27+00:00,2020-03-06T02:22:52+00:00,2020-03-06T02:22:42+00:00,,24ac7d5a6064852fe28486c2d9dcb39d2f0290fc,unknown,1,1,1,1,0,2,,,
fastai/fastbook,384877803,33,proofread convolutions,"I'm sleepy for this one, so sure I missed stuff.

Is it an accident that left_edge is [-1,1,0] not [-1,0,1] rows like top_edge'? I considered changing it, or even leaving both (maybe even a 3rd case with -2,0,2 in the middle) for reader to play - so thats an idea for you to consider

I gotta ask - I think some of these are using color others colour. math and maths etc go Aussie :)

The final further research item #4 reads as a statement - there's no variance for a batch size 1. what was the intended research?",bradsaracik,35494318,closed,False,2020-03-06T15:22:26+00:00,2020-03-15T19:10:10+00:00,2020-03-15T19:09:36+00:00,2020-03-15T19:09:36+00:00,57c5dad7c094607afc2fec5bc355ff1d47492e22,unknown,16,16,1,1,0,2,,,
fastai/fastbook,385007545,34,copy edit,some minor corrections to ch2,pfcrowe,49303905,closed,False,2020-03-06T20:28:11+00:00,2020-03-06T20:35:39+00:00,2020-03-06T20:35:39+00:00,,1e046f64b8c0aff04a4aac02c4af1042f7e8456a,unknown,24,24,1,2,0,1,,,
fastai/fastbook,385010987,35,copy edit,"minor corrections ch2, 3, 4",pfcrowe,49303905,closed,False,2020-03-06T20:37:16+00:00,2020-03-16T18:39:26+00:00,2020-03-16T18:39:25+00:00,,21b99ffb9dcc2ae8b4d064043aabb86685276d86,dirty,70,70,3,7,0,7,,,
fastai/fastbook,385150499,36,proofread ResNet,"query on the questionaire - is adaptive pooling covered in the text? My reading was more - we want to do average pooling and there's some pytorch thing to handle different sizes that we're not too worried about it. then i saw the question - so maybe I'm missing something there

the 1x1 convolution - I think the approach here would work great in a course - but not sure in the book. If someone doesnt try it out or know what a dot product is, I think they'll just skim by and not really understand the question at the end of chapter. 

another exercise that might be nice - suggest the reader print out what you have created and said is a resnet 18 and a resnet 50 and they can try count the layers...",bradsaracik,35494318,closed,False,2020-03-07T14:35:44+00:00,2020-03-15T19:08:21+00:00,2020-03-15T19:08:21+00:00,2020-03-15T19:08:21+00:00,b7a23bddc4acc7898a33f3151458de61d56c0365,unknown,20,34,1,1,0,1,,,
fastai/fastbook,385196434,37,s/malignent/malignant,,rahimnathwani,891558,closed,False,2020-03-07T21:43:32+00:00,2020-03-15T19:07:52+00:00,2020-03-15T19:07:52+00:00,2020-03-15T19:07:52+00:00,2d242fef1e1fe02c242ea7b382f1311b0ea33b67,unknown,1,1,1,1,0,1,,,
fastai/fastbook,385269820,38,Fixed minor typos,Corrected 2 spellings and updated learning rate value in prose to match with code.,alephthoughts,35725314,closed,False,2020-03-08T13:59:29+00:00,2020-03-15T19:07:42+00:00,2020-03-15T19:07:41+00:00,2020-03-15T19:07:41+00:00,9e21e87fd10732974234b60463227f737051792e,unknown,3,3,1,1,0,2,,,
fastai/fastbook,385273145,39,Merge pull request #1 from fastai/master,pr,rbunn80110,7494507,closed,False,2020-03-08T14:31:19+00:00,2020-03-09T16:12:47+00:00,2020-03-09T16:12:47+00:00,,20c5f267c6d34e0875977a5de65219c408d09219,unknown,0,0,0,1,0,0,,,
fastai/fastbook,385281764,40,proofread mnist,"I havent touched them - but I'll mention the mix of math/maths, color/colour, check/cheque which are in here. US/Intl to be handled later?

an option under broadcasting is to mention if the reader ever used Matlab, they likely are familiar with it.

unless i missed it, I don't think this notebook set a seed?

the quadratic function solver used LR 1E-5. there was a previous line that suggested 1E-3 is a common lower bound. not sure if you want to mention it. I see anything larger explodes. maybe a further research option at the end of the chapter to test other values on that example?

def batch_accuracy(xb, yb) uses sigmoid. the above cell doesn't and the reader who understood the difference between metric and loss may be confused why you transformed this here. it won't affect the result, but something to review if its worth making consistent

Q1 - I don't think colo(u)r was touched on in this notebook. leave the second part here anyway? ",bradsaracik,35494318,closed,False,2020-03-08T15:50:10+00:00,2020-03-17T12:56:10+00:00,2020-03-17T12:56:10+00:00,2020-03-17T12:56:10+00:00,ffd80923f9242cc6d4b7d085e9f5443464a4ffaa,unknown,22,22,2,3,0,2,,,
fastai/fastbook,385291760,41,Minor Typos Chp 1,Fixed minor typos in Chp 1,jekriske-lilly,16085156,closed,False,2020-03-08T17:28:13+00:00,2020-03-15T19:05:36+00:00,2020-03-15T19:05:35+00:00,2020-03-15T19:05:35+00:00,0c79ec6c06317021b937b241cbd6ae76e6cfdaa9,unknown,7,7,1,1,0,1,,,
fastai/fastbook,385294160,42,proofreading ch5,,AliceSum,21982975,closed,False,2020-03-08T17:54:32+00:00,2020-03-15T19:05:23+00:00,2020-03-15T19:05:22+00:00,2020-03-15T19:05:22+00:00,64a82f6cc889a09dfc2fea2b0f867619237d6b1d,unknown,1,1,1,1,0,1,,,
