repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
fastai/fastbook,rishistyping,55334249,2020-02-28T19:31:12+00:00,User,"Paris, FR",
fastai/fastbook,tathaghosh,39359528,2020-02-28T20:02:03+00:00,User,Hyderabad,
fastai/fastbook,RamanHacks,17014540,2020-02-28T20:02:10+00:00,User,,IIT Delhi
fastai/fastbook,apolmig,15841147,2020-02-28T20:02:11+00:00,User,,
fastai/fastbook,WillJStone,16854044,2020-02-28T20:03:16+00:00,User,,
fastai/fastbook,poglesbyg,1579439,2020-02-28T20:03:20+00:00,User,"Asheville, NC",
fastai/fastbook,ChrisTorresLugo,7763583,2020-02-28T20:03:26+00:00,User,"Chicago, IL",
fastai/fastbook,RaitoBezarius,314564,2020-02-28T20:03:31+00:00,User,France,Independent Contributor
fastai/fastbook,anujdutt9,11924142,2020-02-28T20:03:34+00:00,User,"Cupertino, CA",
fastai/fastbook,JayThibs,19174440,2020-02-28T20:03:35+00:00,User,"London, UK",
fastai/fastbook,zazo,564050,2020-02-28T20:03:38+00:00,User,San Diego,
fastai/fastbook,celis,6080715,2020-02-28T20:04:17+00:00,User,Munich,
fastai/fastbook,sarguido,3422080,2020-02-28T20:04:19+00:00,User,PHL,
fastai/fastbook,pgergis,3202155,2020-02-28T20:04:55+00:00,User,New York,
fastai/fastbook,hectormz,23343812,2020-02-28T20:05:00+00:00,User,"Los Angeles, CA",
fastai/fastbook,dersteppenwolf,110606,2020-02-28T20:05:07+00:00,User,"Bogotá, Colombia",@gkudos 
fastai/fastbook,rekil156,20045967,2020-02-28T20:05:12+00:00,User,,
fastai/fastbook,IamAdiSri,9818842,2020-02-28T20:05:25+00:00,User,"Seattle, WA",AWS
fastai/fastbook,ahouseholder,2594236,2020-02-28T20:06:36+00:00,User,"Pittsburgh, PA",@CERTCC 
fastai/fastbook,vaibhavk97,25553082,2020-02-28T20:06:38+00:00,User,"New Delhi , India",
fastai/fastbook,tshields44,17089490,2020-02-28T20:07:04+00:00,User,,
fastai/fastbook,akileshbadrinaaraayanan,10592960,2020-02-28T20:07:06+00:00,User,Pittsburgh,
fastai/fastbook,akashmat,50025511,2020-02-28T20:07:17+00:00,User,,
fastai/fastbook,oliverproud,23120916,2020-02-28T20:10:25+00:00,User,"San Francisco, CA",
fastai/fastbook,sanealytics,1840180,2020-02-28T20:10:33+00:00,User,"Manhattan, NY",Bohita
fastai/fastbook,ianblu1,960517,2020-02-28T20:10:55+00:00,User,,
fastai/fastbook,bousejin,1103081,2020-02-28T20:11:24+00:00,User,,
fastai/fastbook,kranthikumar,303983,2020-02-28T20:12:14+00:00,User,norman,University of oklahoma
fastai/fastbook,pabloppp,4237014,2020-02-28T20:15:22+00:00,User,"Alicante, Spain",Disney Research
fastai/fastbook,godfreyduke,1940645,2020-02-28T20:16:13+00:00,User,"San Diego, CA",UC San Diego Extended Studies
fastai/fastbook,mpettis,3605793,2020-02-28T20:16:41+00:00,User,"Minneapolis, MN",Personal
fastai/fastbook,AriMKatz,44276225,2020-02-28T20:17:29+00:00,User,,
fastai/fastbook,bhive01,394973,2020-02-28T20:17:45+00:00,User,,
fastai/fastbook,bs,68,2020-02-28T20:17:47+00:00,User,"San Fransico, CA",
fastai/fastbook,akshaypansari,33014480,2020-02-28T20:21:19+00:00,User,,
fastai/fastbook,senon,190279,2020-02-28T20:21:57+00:00,User,,
fastai/fastbook,tmabraham,37097934,2020-02-28T20:21:59+00:00,User,,
fastai/fastbook,cs224,681072,2020-02-28T20:22:31+00:00,User,Germany/Frankfurt,
fastai/fastbook,omarsar,7049564,2020-02-28T20:22:33+00:00,User,,DAIR.AI
fastai/fastbook,josrzn,48049,2020-02-28T20:23:10+00:00,User,"Grenoble, France",
fastai/fastbook,cmschmtt,28992706,2020-02-28T20:23:58+00:00,User,"Atlanta, GA",
fastai/fastbook,DanIronsTR,59620873,2020-02-28T20:24:27+00:00,User,,
fastai/fastbook,t27,2003371,2020-02-28T20:25:09+00:00,User,"Pittsburgh, PA, USA",Carnegie Mellon University
fastai/fastbook,dauparas,28592482,2020-02-28T20:26:17+00:00,User,"Seattle, WA",
fastai/fastbook,DrHB,21233657,2020-02-28T20:26:21+00:00,User,,
fastai/fastbook,khursani8,5404903,2020-02-28T20:26:50+00:00,User,Kuala Lumpur,
fastai/fastbook,mavropalias,862852,2020-02-28T20:28:27+00:00,User,"Dublin, Ireland",@glg
fastai/fastbook,abodacs,554032,2020-02-28T20:28:40+00:00,User,,OpenCoast
fastai/fastbook,thepurplingpoet,44533738,2020-02-28T20:29:39+00:00,User,India,
fastai/fastbook,BSCowboy,8884757,2020-02-28T20:29:49+00:00,User,"Austin, TX",DoD
