repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
gradio-app/gradio,yaoyang33,13449586,2019-03-06T22:38:24+00:00,User,san francisco,
gradio-app/gradio,panushri25,13175299,2019-04-17T18:59:23+00:00,User,,Stanford University
gradio-app/gradio,songchengwei,21306385,2019-04-19T23:47:35+00:00,User,,
gradio-app/gradio,alfozan,979984,2019-04-22T23:36:02+00:00,User,"Bay Area, CA",
gradio-app/gradio,ColasGael,24507878,2019-04-23T04:57:44+00:00,User,Stanford,
gradio-app/gradio,wilkice,35746578,2019-04-25T15:44:40+00:00,User,Earth,
gradio-app/gradio,MicPie,36303596,2019-05-01T04:02:33+00:00,User,"Vienna, Austria",
gradio-app/gradio,micah5,40206415,2019-05-06T06:41:02+00:00,User,cape town,
gradio-app/gradio,sooheang-hutom,40751558,2019-05-27T06:18:02+00:00,User,"Seoul, Republic of Korea",HuToM
gradio-app/gradio,oeway,478667,2019-06-01T08:03:00+00:00,User,Stockholm,Science For Life Laboratory
gradio-app/gradio,marvis,679954,2019-06-02T14:10:17+00:00,User,,
gradio-app/gradio,xuqingquan789,29515584,2019-06-03T01:33:43+00:00,User,,
gradio-app/gradio,sooheang,13776322,2019-06-03T14:04:52+00:00,User,"Seoul, South Korea",CryptoLab
gradio-app/gradio,oopsno,13579667,2019-06-04T07:43:05+00:00,User,"Beijing, China",University of Unknown
gradio-app/gradio,hayesall,11916674,2019-06-14T15:16:09+00:00,User,"Bloomington, IN, USA",Indiana University
gradio-app/gradio,kmader,116120,2019-06-14T18:21:04+00:00,User,"Zurich, Switzerland",
gradio-app/gradio,gragtah,978669,2019-06-18T20:11:52+00:00,User,"San Francisco, CA, USA",CatalyzeX
gradio-app/gradio,AgoloAhmedElhady,33596061,2019-07-03T09:46:50+00:00,User,"Cairo, EG",@agolo
gradio-app/gradio,tliutony,6021834,2019-07-06T14:53:20+00:00,User,"South Hadley, MA",
gradio-app/gradio,AdamYuCheng,16807842,2019-07-07T07:48:45+00:00,User,Taipei,SKL
gradio-app/gradio,UpwardTrajectory,44875366,2019-07-10T05:41:08+00:00,User,"Seattle, WA",
gradio-app/gradio,snbhanja,3896278,2019-07-10T06:59:52+00:00,User,Bangalore,
gradio-app/gradio,ThomasWollmann,6473917,2019-07-10T07:39:06+00:00,User,Berlin (Germany),Merantix & PW-Solutions
gradio-app/gradio,d-behl,29687502,2019-07-10T08:16:15+00:00,User,,
gradio-app/gradio,BM2304,37930998,2019-07-10T08:51:36+00:00,User,,
gradio-app/gradio,LooseDaMoose,49482452,2019-07-10T09:24:08+00:00,User,"Milano, Italy",Free Agent
gradio-app/gradio,system123,91509,2019-07-10T11:49:36+00:00,User,Cape Town ,Consultant 
gradio-app/gradio,janezkranjc,1880981,2019-07-10T12:22:55+00:00,User,,
gradio-app/gradio,slizb,16827906,2019-07-10T12:27:13+00:00,User,Illinois,
gradio-app/gradio,radao,2007531,2019-07-10T14:32:16+00:00,User,Amsterdam / Philadelphia,@scythe-robotics
gradio-app/gradio,stjordanis,4212985,2019-07-10T14:58:37+00:00,User,Greece,
gradio-app/gradio,stasulam,33603728,2019-07-10T18:17:37+00:00,User,Warszawa,
gradio-app/gradio,aymericdamien,10386605,2019-07-10T18:40:19+00:00,User,"San Francisco, CA",@Snapchat
gradio-app/gradio,matEhickey,3912578,2019-07-10T20:47:57+00:00,User,France,@siitapp 
gradio-app/gradio,minuJeong,4566012,2019-07-11T00:06:55+00:00,User,"Seoul, Korea",Kong Studios
gradio-app/gradio,vic4key,5672864,2019-07-11T04:33:12+00:00,User,Việt Nam,VN Open Source
gradio-app/gradio,cheekyshibe,21091736,2019-07-11T05:19:42+00:00,User,,
gradio-app/gradio,LeeKLTW,13507805,2019-07-11T05:20:22+00:00,User,"Taipei, Taiwan",
gradio-app/gradio,boenxu2,36530608,2019-07-11T05:24:13+00:00,User,,
gradio-app/gradio,HanGuo97,18187806,2019-07-11T05:26:53+00:00,User,,
gradio-app/gradio,ShaldonHe,22088957,2019-07-11T05:28:55+00:00,User,,
gradio-app/gradio,desperadoola,30496727,2019-07-11T05:38:43+00:00,User,,
gradio-app/gradio,souo,7521916,2019-07-11T05:39:16+00:00,User,"Beijing, China",
gradio-app/gradio,amadeuzou,1501246,2019-07-11T05:43:04+00:00,User,,
gradio-app/gradio,quqixun,3949332,2019-07-11T05:50:09+00:00,User,"Chengdu,China",
gradio-app/gradio,xuanli19,26037672,2019-07-11T05:53:43+00:00,User,,Fudan University 
gradio-app/gradio,redaready,116800,2019-07-11T05:54:56+00:00,User,"Aix en provence, France <-> Tokyo, Japan",
gradio-app/gradio,EVIG-ZJU,49648938,2019-07-11T05:54:59+00:00,User,,
gradio-app/gradio,ZVin-Chen,5541088,2019-07-11T06:05:05+00:00,User,GuangZhou,
gradio-app/gradio,1667,5113570,2019-07-11T06:10:01+00:00,User,,
