repo_full_name,pr_id,number,title,body,user_login,user_id,state,draft,created_at,updated_at,closed_at,merged_at,merge_commit_sha,mergeable_state,additions,deletions,changed_files,commits_count,review_comments_count,comments_count,requested_reviewers,requested_teams,labels
ipython/ipython,6007,149,Simple bug-fix,"The result_display hook was removed from the list of available hooks. My beautiful pretty extension was broken. It made me sad.
",rkern,46135,closed,False,2010-09-17T22:40:51+00:00,2014-06-26T09:08:28+00:00,2010-09-21T00:54:28+00:00,,,dirty,368,100,9,5,0,12,,,
ipython/ipython,6694,151,mk_object_info -> object_info,"This one was missed.
",rkern,46135,closed,False,2010-09-20T17:51:53+00:00,2014-06-23T07:49:33+00:00,2010-09-22T06:48:57+00:00,2010-09-21T23:48:57+00:00,,dirty,2,3,1,1,0,1,,,
ipython/ipython,7539,152,0.10.1 sge,"ssh now supports sending local environment variables over with the sshx.sh script. this may or may not be useful in all situations, but one thing we should try to determine while testing is whether this generates any security loopholes.
",satra,184063,closed,False,2010-09-22T17:41:27+00:00,2014-06-19T02:15:24+00:00,2010-09-25T05:22:09+00:00,2010-09-24T22:22:09+00:00,,dirty,368,70,2,15,0,1,,,
ipython/ipython,9806,155,Ready startup fix,"Is IPython.frontend.terminal.scripts.ipython just not yet written or would it be ok, to import the local IPython a bit differently?

This commit does it differently, so starting the local ipython will work again
",tomspur,303559,closed,False,2010-09-29T08:30:11+00:00,2014-06-26T01:02:10+00:00,2010-09-29T17:13:21+00:00,,aaf7a3f21af150c5fa88df5dee4619831ad98eb3,dirty,0,0,0,0,0,1,,,
ipython/ipython,11920,158,Ready for merge,"This branch contains the following:
- unbundling of external modules
- removing of unneeded imports
- adding of SHA1 and branch names to the version variable
- updating tools section to be used by git
- a fix for RH bug #628742: pycolor could crash

Next time, I'll put them in different branches, and not put more than one topic into one branch...
",tomspur,303559,closed,False,2010-10-05T08:20:04+00:00,2014-06-13T19:01:05+00:00,2010-10-26T22:28:42+00:00,,,dirty,207,113,33,6,0,6,,,
ipython/ipython,11939,159,Ipy3 preparation,"This is my Python 2 branch to tidy up code for simpler automatic conversion to Python 3. It passes the test suite on my machine, although of course you may want to test it further.

Most of the changes shouldn't affect how the code works. They consist largely of dropping compatibility with older versions of Python. Fernando indicated that we can target Python 2.6 for IPython 0.11. The exception is the import_item function, which I rewrote using __import__. I don't know if there's a case in which that wouldn't work.

Thanks,
Thomas
",takluyver,327925,closed,False,2010-10-05T09:44:34+00:00,2014-06-23T12:04:39+00:00,2010-10-10T20:13:56+00:00,,6dd7f6d28d6b8ea94627386025424f44f4b0811c,dirty,0,0,0,0,0,5,,,
ipython/ipython,13237,163,Execution refactor,"OK, this big puppy is ready for review so we can merge it!

It's a ton of work in some of the ugliest parts of the code, but so far it looks good.  I tested the merge into trunk and all tests pass, and in all usage I haven't found any regressions.

A few highlights:
- logger does no history management
- new history object
- much cleaner run_cell

much more...

I think it's good progress on one of our worst parts.
",fperez,57394,closed,False,2010-10-08T06:42:43+00:00,2014-06-19T15:14:52+00:00,2010-10-11T05:08:54+00:00,2010-10-10T22:08:54+00:00,,dirty,589,480,17,9,0,13,,,
ipython/ipython,13579,164,Qt frontend shutdown behavior fixes and enhancements,"Ready for review.

) fixed error when resetting pykernel (it still reset, but printed an error)
2) fixed issue where closing a frontend, even secondary ones, always shutdown the kernel
3) shutdown_reply now goes out on the pub socket, so all clients are notified
   3.a) this means that all clients can (and do) refresh the screen when a reset is called, just like the master frontend
4) kernel can stay alive after consoles are shutdown, and can be shutdown by any frontend at any point 
   4.a) this means that a shutdown request from any frontend can close all open frontends and the kernel, even if the kernel is detached, leaving no processes zombified.
   4.b) 4.a required that a 'reset' element be added to shutdown_request/reply messages to identify the difference between a real shutdown message and stage 1 of a reset.
",minrk,151929,closed,False,2010-10-08T23:07:34+00:00,2014-06-17T18:08:22+00:00,2010-10-21T01:10:58+00:00,2010-10-10T06:55:24+00:00,,dirty,178,54,9,11,0,17,,,
ipython/ipython,14058,167,Added HTML export,"This is my first pass at adding HTML export to ipython.  Here's the description that I'm
sending to ipython-dev:

I tried three approaches (available as three context menu options):

1) Export HTML (external PNGs):
   This mimics Firefox's ""Save as Web Page, complete"" behavior.
   Saving ""mypath/test.htm"" gives an HTML file with links to PNGs in
   ""mypath/test_files/"".  The PNGs are named relative to format.name()
   to avoid collisions.

   Works in Firefox 3.6.10, Konqueror 4.4.2/KHTML, and Konqueror 4.4.2/WebKit

2) Export HTML (inline PNGs):
   Saves a single HTML file with images as inline base64 PNGs
   (c.f. http://en.wikipedia.org/wiki/Data_URI_scheme#HTML)

   Works in Firefox 3.6.10, Konqueror 4.4.2/KHTML, and Konqueror 4.4.2/WebKit

3) Export XHTML (inline SVGs):
   Saves a single XHTML file with images as inline SVG.  The ""XML"" is generated
   by overwriting the Qt-generated document header, so it is not guaranteed to
   be valid XML (but Firefox does validate my test case).

   Works in Firefox 3.6.10 and Konqueror 4.4.2/WebKit.
   Image placement is incorrect for Konqueror 4.4.2/KHTML.

(all tests run on a Dell Latitude D630 w/ Kubuntu Lucid:
mvoorhie@virgil:~$ uname -a
Linux virgil 2.6.32-24-generic #43-Ubuntu SMP Thu Sep 16 14:17:33 UTC 2010 i686 GNU/Linux)

It may be possible to link external SVG images via an <embed> or <object> tag,
but I couldn't find a clean/portable way to do this.

Current issues:
- I'm doing lots of string coercion in order to use re.sub on Qt's HTML.  I mostly
  get away with it, but we wind up with a few bad character encodings in the
  output (e.g., the tabs for multi-line inputs).  Would be good for someone who
  knows more about unicode to take a look at this...
- The file name generation for ""Export HTML (external PNGs)"" is a bit hacky.  Should
  probably be rewritten to use os.path.
- Haven't tested with anything other than the Qt front end.  In theory, other front
  ends will export HTML with the images stripped, unless they implement their own
  version of imagetag().

Feel free to take/hack what you like and ditch the rest.

Happy hacking,

--Mark
",markvoorhies,433907,closed,False,2010-10-11T03:30:16+00:00,2014-06-16T15:52:47+00:00,2010-10-14T07:01:54+00:00,,f48f1ea0473c161460be5191836216cf445fd4f9,dirty,208,1,2,5,0,5,,,
ipython/ipython,15778,170,HTML Fixes,"Some small issues in the HTML code I noticed when I started playing with it.
- only rich backends support toHtml, so the html/xhtml exports failed
- modules were imported inside functions
- relpath in image_tag was determined in platform-dependent way
- save dialog strictly enforced non-standard '.htm' file extension
- when selecting external PNG, the _files dir was always created, regardless of whether there were any images

Fixes in this commit:
- export options do not appear in non-rich widgets
- module imports all at the top
- relpath uses platform independent os.path
- dialog uses standard '.html' by default, but allows any extension
- no _files dir is created if no images are to be exported

-MinRK
",minrk,151929,closed,False,2010-10-15T00:18:58+00:00,2014-06-19T10:25:43+00:00,2010-10-22T14:48:02+00:00,,a13e00783122dfe71301c6c39ea06be7756ba8e3,dirty,172,87,2,6,0,8,,,
