repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
ipython/ipython,kanzure,101238,2010-05-10T04:46:06+00:00,User,"Austin, Texas",
ipython/ipython,ludwig,1056,2010-05-10T04:46:06+00:00,User,,
ipython/ipython,zirpu,1279,2010-05-10T04:46:06+00:00,User,"Seattle, WA",
ipython/ipython,charlenopires,1365,2010-05-10T04:46:06+00:00,User,Amarante | PI | Brazil,
ipython/ipython,ask,1558,2010-05-10T04:46:06+00:00,User,"Palo Alto, CA",@robinhoodmarkets 
ipython/ipython,cw,1692,2010-05-10T04:46:06+00:00,User,"Evansville, WI",
ipython/ipython,jiahao,1732,2010-05-10T04:46:06+00:00,User,New York,@rai-llc
ipython/ipython,bmabey,1837,2010-05-10T04:46:06+00:00,User,"Salt Lake City, Utah",
ipython/ipython,abisani,1954,2010-05-10T04:46:06+00:00,User,London,
ipython/ipython,alfakini,4171,2010-05-10T04:46:06+00:00,User,"Joinville, Brazil",
ipython/ipython,tswicegood,4328,2010-05-10T04:46:06+00:00,User,"Fort Collins, Colorado",
ipython/ipython,yeliu84,4915,2010-05-10T04:46:06+00:00,User,"Toronto, ON, Canada",BaseCase Inc.
ipython/ipython,lebigot,5793,2010-05-10T04:46:06+00:00,User,"Paris, France",Bertin Technologies
ipython/ipython,mmkassem,6854,2010-05-10T04:46:06+00:00,User,Germany,
ipython/ipython,kirubakaran,7503,2010-05-10T04:46:06+00:00,User,"San Francisco, CA",
ipython/ipython,shiva,7524,2010-05-10T04:46:06+00:00,User,"Vancouver, Canada",
ipython/ipython,lmacken,9980,2010-05-10T04:46:06+00:00,User,Colorado,
ipython/ipython,madhusudancs,10183,2010-05-10T04:46:06+00:00,User,,
ipython/ipython,cbess,10981,2010-05-10T04:46:06+00:00,User,,Quantum Quinn
ipython/ipython,jpwatts,11224,2010-05-10T04:46:06+00:00,User,"Houston, TX, USA",
ipython/ipython,kozo2,12192,2010-05-10T04:46:06+00:00,User,"Kobe, Japan",
ipython/ipython,jonbaer,13155,2010-05-10T04:46:06+00:00,User,"Brooklyn, NY",
ipython/ipython,ggtr1138,13363,2010-05-10T04:46:06+00:00,User,,
ipython/ipython,ejs,13847,2010-05-10T04:46:06+00:00,User,UK,
ipython/ipython,tylerw,14808,2010-05-10T04:46:06+00:00,User,,Capital Rx
ipython/ipython,hammer,15233,2010-05-10T04:46:06+00:00,User,,
ipython/ipython,takano32,16088,2010-05-10T04:46:06+00:00,User,"Sakura, Chiba, Japan",
ipython/ipython,epitron,16409,2010-05-10T04:46:06+00:00,User,Toronto,
ipython/ipython,griffordson,16569,2010-05-10T04:46:06+00:00,User,"Omaha, NE",
ipython/ipython,eddyxu,17097,2010-05-10T04:46:06+00:00,User,"San Francisco, CA",@lancedb
ipython/ipython,arvindcg,17212,2010-05-10T04:46:06+00:00,User,India,JustProblem
ipython/ipython,kodybrown,18938,2010-05-10T04:46:06+00:00,User,"Salt Lake City, Utah, USA",Terra Vista Software
ipython/ipython,thejoecarroll,19154,2010-05-10T04:46:06+00:00,User,"Tampere, Finland","@morrowx, @fixably, @mcarepro"
ipython/ipython,lifeeth,19370,2010-05-10T04:46:06+00:00,User,Earth,
ipython/ipython,jcchurch,19561,2010-05-10T04:46:06+00:00,User,"Clarksville, TN",@AustinPeayStateUniversity
ipython/ipython,andrelaszlo,21381,2010-05-10T04:46:06+00:00,User,"Stockholm, Sweden",Itavi
ipython/ipython,danmackinlay,21740,2010-05-10T04:46:06+00:00,User,Sydney,"@synestize, @csiro-mlai "
ipython/ipython,jamesgao,22802,2010-05-10T04:46:06+00:00,User,"Berkeley, CA",
ipython/ipython,ruiyiz,23571,2010-05-10T04:46:06+00:00,User,,
ipython/ipython,jgrevich,24955,2010-05-10T04:46:06+00:00,User,"Seattle, WA",login.gov + personal projects
ipython/ipython,cournape,25111,2010-05-10T04:46:06+00:00,User,"Tokyo, Japan",AMAZON JP
ipython/ipython,timo,25167,2010-05-10T04:46:06+00:00,User,Karlsruhe,
ipython/ipython,eyvoro,25727,2010-05-10T04:46:06+00:00,User,,
ipython/ipython,haraball,25930,2010-05-10T04:46:06+00:00,User,"Offenbach am Main, Germany",
ipython/ipython,seletz,26406,2010-05-10T04:46:06+00:00,User,Germany,nexiles GmbH
ipython/ipython,mattpap,27475,2010-05-10T04:46:06+00:00,User,"Wrocław, Poland","Anaconda, Inc."
ipython/ipython,lidaobing,27529,2010-05-10T04:46:06+00:00,User,"Burnaby, BC, Canada",
ipython/ipython,ellisonbg,27600,2010-05-10T04:46:06+00:00,User,,Amazon Web Services
ipython/ipython,temporaer,27792,2010-05-10T04:46:06+00:00,User,"Karlsruhe, Germany",@Microsoft
ipython/ipython,swinton,27806,2010-05-10T04:46:06+00:00,User,"Franklin, TN",
