repo_full_name,issue_id,number,title,body,user_login,user_id,state,locked,comments_count,created_at,updated_at,closed_at,labels,reactions_total,reactions_plus1,reactions_minus1,reactions_laugh,reactions_hooray,reactions_confused,reactions_heart
iterative/dvc,3057444492,10744,exp run --run-all: checks on templated input data can't pass since folder is not copied in tmp/exps,"# Bug Report

## Description

Hi, first of all, thanks to all your team for the amazing tool you've provided to the community !

While working on multiple versions of one dataset, I've tried to get metrics for both versions and I've stumbled upon an issue specific to my setup : when I execute  `dvc repro` on each value of my templated `dataset_dirpath`, all my checks pass since it execution space is my workspace ; however, when I use `dvc exp run --queue`, since my workspace is copied in `tmp/exps` WITHOUT the gitignored files (including data tracked with `dvc`), the pipeline breaks.

### Reproduce

I've created a minimal repository to reproduce the issue :

```bash
git clone https://github.com/Gwenn-LR/dvc_exp_run_with_templated_input_dataset.git
cd dvc_exp_run_with_templated_input_dataset

dvc init

mkdir data/dataset_1 data/dataset_2
dvc get https://github.com/iterative/dataset-registry get-started/data.xml -o data/dataset_1/data.xml
cp data/dataset_1 data/dataset_2

dvc add data/dataset_1 data/dataset_2

dvc repro pipelines/default/dvc.yaml
# Works.

dvc exp run --queue -S ""pipelines/default/params.yaml:dataset_dirpath=dataset_1, dataset_2"" pipelines/default/dvc.yaml
dvc exp run --run-all
# Does not work !
```

### Expected

After what I've found on multiple discussions on this repository, I know that those gitignored files are not copied since it could interfere with the Git status of the associated experiment. However, I think that this behavior should not be ignored and integrated or clearly mentioned in the docs.

I know that the linked repository is not the simplest one, but its structure is meant to reproduce a more complex one which I am working on. So my structure might be improved and I also think that composition with `hydra` might be a solution, but I would like a quick solution focusing on the specific point of my issue.

It could ""only"" be an environment variable that might help me introduce a different behavior between an execution with `dvc repro` and another with `dvc exp run --queue` or even an answer like ""It is not possible as it is"". I'll be really glad to discuss all those improvements after a clear answer to this specific issue !

Thank you for your consideration.

### Environment information

**Output of `dvc doctor`:**

```console
$ dvc doctor
DVC version: 3.59.1 (pip)
-------------------------
Platform: Python 3.10.16 on Linux-6.11.0-25-generic-x86_64-with-glibc2.39
Subprojects:
        dvc_data = 3.16.10
        dvc_objects = 5.1.0
        dvc_render = 1.0.2
        dvc_task = 0.40.2
        scmrepo = 3.3.11
Supports:
        http (aiohttp = 3.11.18, aiohttp-retry = 2.9.1),
        https (aiohttp = 3.11.18, aiohttp-retry = 2.9.1)
Config:
        Global: /home/leroch/.config/dvc
        System: /etc/xdg/xdg-ubuntu/dvc
Cache types: hardlink, symlink
Cache directory: ext4 on /dev/mapper/ubuntu--vg-ubuntu--lv
Caches: local
Remotes: None
Workspace directory: ext4 on /dev/mapper/ubuntu--vg-ubuntu--lv
Repo: dvc, git
Repo.site_cache_dir: /var/tmp/dvc/repo/30f0eb604189e8e37e4eb38ec5c8d890
```

**Additional Information (if any):**

<!--
Please check https://github.com/iterative/dvc/wiki/Debugging-DVC on ways to gather more information regarding the issue.

If applicable, please also provide a `--verbose` output of the command, eg: `dvc add --verbose`.
If the issue is regarding the performance, please attach the profiling information and the benchmark comparisons.
-->
",Gwenn-LR,95341944,open,False,0,2025-05-12T15:58:36+00:00,2025-05-12T15:58:36+00:00,,,0,0,0,0,0,0,0
iterative/dvc,3053248985,10743,"add: can't set the cache type to ""copy"" if the filesystem supports reflinks","# Bug Report

## Description

When the underlying filesystem (for instance ZFS 2.3) supports reflinks, DVC will always use them, even if you set the cache type to ""copy"".

### Reproduce

1. Set the DVC cache type to ""copy""
2. Do a dvc add
3. Observe that the reflink() function in dvc_objects/fs/local.py is called

### Expected

DVC should use the copy strategy

### Environment information

<!--
This is required to ensure that we can reproduce the bug.
-->

**Output of `dvc doctor`:**

```console
$ dvc doctor
DVC version: 3.59.2 (pip)
-------------------------
Platform: Python 3.11.6 on Linux-6.8.0-59-generic-x86_64-with-glibc2.35
Subprojects:
        dvc_data = 3.16.10
        dvc_objects = 5.1.0
        dvc_render = 1.0.2
        dvc_task = 0.40.2
        scmrepo = 3.3.11
Supports:
        http (aiohttp = 3.11.18, aiohttp-retry = 2.9.1),
        https (aiohttp = 3.11.18, aiohttp-retry = 2.9.1),
        s3 (s3fs = 2025.3.0, boto3 = 1.37.3)
Config:
        Global: /home/mermerico/.config/dvc
        System: /etc/xdg/dvc
Cache types: reflink
Cache directory: zfs on tank
Caches: local
Remotes: s3
Workspace directory: zfs on tank
Repo: dvc, git
Repo.site_cache_dir: /home/mermerico/dvc_site_cache/repo/54ea0ca1cd8a6432245cbe79e3f79d2f
```

**Additional Information (if any):**

There's some bug in the reflink strategy where I get ""resource not available"" errors (using ZFS 2.3.2) I'd like to collect more information about that bug and submit a report but I'm using a cache that's shared with others on this machine. I need to enable reflinks on the FS level and then have all the other users use the ""copy"" strategy so they aren't blocked while I'm debugging.",mermerico,3631507,open,False,2,2025-05-09T21:39:07+00:00,2025-05-10T15:48:47+00:00,,,0,0,0,0,0,0,0
iterative/dvc,3053001378,10742,Add .toml support,"Right now DVC uses files such as params.yaml. Meanwhile .toml files are becoming an integral part of the python ecosystem through pyproject.toml being the standard project information file and even the tomllib library becoming part of the standard library.

It would be amazing to support the equivalent versions of the .yaml files but in .toml.",jrr96,92081722,open,False,2,2025-05-09T19:18:43+00:00,2025-05-10T13:29:58+00:00,,,0,0,0,0,0,0,0
iterative/dvc,3052314563,10741,`dvc exp show` remove workspace row,"I am using the `dvc` tool to track experiments in my repo. When I run `dvc exp show` I see a table with multiple rows, each corresponding to an experimental commit based off the HEAD commit. However, I also see a ""workspace"" row which includes information from HEAD itself. Since this does not correspond to an experiment, I'm wondering if there is a way to use `dvc exp show` but exclude this workspace row? The options in the `dvc` documentation seem to only exclude based on columns.",timgianitsos,14189758,open,False,0,2025-05-09T14:15:34+00:00,2025-05-09T14:15:34+00:00,,,0,0,0,0,0,0,0
iterative/dvc,3045214268,10740,drop inputs passed to codecov-action,"It can already search and find these coverage files, there's no need to specify them explicitly. On `v5`, they also deprecated the `file` option and renamed to `files`, which adds noisy warnings in CI.",skshetry,18718008,closed,False,1,2025-05-07T08:49:19+00:00,2025-05-07T08:58:05+00:00,2025-05-07T08:49:28+00:00,,0,0,0,0,0,0,0
iterative/dvc,3044906794,10739,tests: fix flaky test in test_get_used_objs,"Clear logs before assertions so that logs from other tests do not interfere with the test. Some destructors may also run in between due to GC, so hopefully this will fix that issue too, or reduce the chances of it happening.

See
https://github.com/iterative/dvc/actions/runs/14873217814/job/41775314725#step:6:97.

```console
>       assert first(caplog.messages) == expected_message
E       assert 'RC: discarding all clients' == ""Output 'path... 'stage.dvc'.""
E
E         + RC: discarding all clients
E         - Output 'path'(stage: 'stage.dvc') is missing version info. Cache for it will not be collected. Use `dvc repro` to get your pipeline up to date.
E         - You can also use `dvc commit stage.dvc` to associate existing 'path' with stage: 'stage.dvc'.
```

* [x] ❗ I have followed the [Contributing to DVC](https://dvc.org/doc/user-guide/contributing/core) checklist.

* [x] 📖 If this PR requires [documentation](https://dvc.org/doc) updates, I have created a separate PR (or issue, at least) in [dvc.org](https://github.com/iterative/dvc.org) and linked it here.

Thank you for the contribution - we'll try to review it as soon as possible. 🙏
",skshetry,18718008,closed,False,0,2025-05-07T06:55:34+00:00,2025-05-07T07:01:49+00:00,2025-05-07T06:55:51+00:00,,0,0,0,0,0,0,0
iterative/dvc,3042316871,10738,"dvc push: webdav redirect error, missing trailing slash. Link after redirect is not allowed.","# Bug Report

<!--
## Issue name

-->

## Description

Hey there. I am facing an issue with DVC I can't figure out myself: whenever I try to push to our remote (webdav server) I hit this 301 moved permanently because a trailing forward slash is absent from the path the underlying library seems to query to. Then after the redirect I'm hitting a 405 method not allowed, but I'm pretty sure the server is configured for me to use webdav on those directories. 

I have also tried http as method instead of webdav. Not quite sure what the difference between the two methods is. With http DVC does try to upload the files, but the credentials I set do not get added to the requests, and so they are denied.

### Reproduce

reproduce:
1. dvc remote add nas ""webdav://your-url/BlobStoreData/test/""
2. set credentials to config.local using dvc remote modify --local
3. dvc push 


output:
```bash
2025-05-06 09:55:17,044 DEBUG: v3.59.1 (pip), CPython 3.12.9 on Linux-6.8.0-57-generic-x86_64-with-glibc2.36
2025-05-06 09:55:17,044 DEBUG: command: /home/apr/.conda/envs/dvc-env/bin/dvc push -vv
2025-05-06 09:55:17,044 TRACE: Namespace(quiet=0, verbose=2, cprofile=False, cprofile_dump=None, yappi=False, yappi_separate_threads=False, viztracer=False, viztracer_depth=None, viztracer_async=False, pdb=False, instrument=False, instrument_open=False, show_stack=False, cd='.', cmd='push', jobs=None, targets=[], remote=None, all_branches=False, all_tags=False, all_commits=False, with_deps=False, recursive=False, run_cache=False, glob=False, func=<class 'dvc.commands.data_sync.CmdDataPush'>, parser=DvcParser(prog='dvc', usage=None, description='Data Version Control', formatter_class=<class 'dvc.cli.formatter.RawTextHelpFormatter'>, conflict_handler='error', add_help=False))
2025-05-06 09:55:50,519 TRACE:     9.53 ms in collecting stages from /workspace/dvc-test/example-versioning
2025-05-06 09:55:50,559 DEBUG: Preparing to transfer data from '/workspace/dvc-test/example-versioning/.dvc/cache/files/md5' to 'http://192.168.87.77/BlobStoreData/test/files/md5'
2025-05-06 09:55:50,559 DEBUG: Preparing to collect status from 'files/md5'
2025-05-06 09:55:50,560 DEBUG: Collecting status from 'files/md5'
2025-05-06 09:55:50,560 DEBUG: Querying 1 oids via object_exists
2025-05-06 09:55:50,871 DEBUG: Estimated remote size: 256 files
2025-05-06 09:55:50,871 DEBUG: Querying 1801 oids via traverse
2025-05-06 09:55:51,365 DEBUG: Preparing to collect status from '/workspace/dvc-test/example-versioning/.dvc/cache/files/md5'
2025-05-06 09:55:51,366 DEBUG: Collecting status from '/workspace/dvc-test/example-versioning/.dvc/cache/files/md5'
2025-05-06 09:55:51,398 DEBUG: transfer dir: md5: b8f4d5a78e55e88906d5f4aeaf43802e.dir with 1800 files
2025-05-06 09:55:51,715 ERROR: unexpected error - received 301 (Moved Permanently): Redirect response '301 Moved Permanently' for url 'http://192.168.87.77/BlobStoreData/test/files'
Redirect location: 'http://192.168.87.77/BlobStoreData/test/files/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/301
Traceback (most recent call last):
  File ""/home/apr/.conda/envs/dvc-env/lib/python3.12/site-packages/webdav4/client.py"", line 365, in _request
    http_resp.raise_for_status()
  File ""/home/apr/.conda/envs/dvc-env/lib/python3.12/site-packages/httpx/_models.py"", line 829, in raise_for_status
    raise HTTPStatusError(message, request=request, response=self)
httpx.HTTPStatusError: Client error '405 Method Not Allowed' for url 'http://192.168.87.77/BlobStoreData/test/files/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/405

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File ""/home/apr/.conda/envs/dvc-env/lib/python3.12/site-packages/webdav4/client.py"", line 453, in mkdir
    http_resp = self.with_retry(call)
                ^^^^^^^^^^^^^^^^^^^^^
  File ""/home/apr/.conda/envs/dvc-env/lib/python3.12/site-packages/webdav4/func_utils.py"", line 47, in wrapped_function
    return func()
           ^^^^^^
  File ""/home/apr/.conda/envs/dvc-env/lib/python3.12/site-packages/webdav4/func_utils.py"", line 70, in wrapped
    return func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^
  File ""/home/apr/.conda/envs/dvc-env/lib/python3.12/site-packages/webdav4/client.py"", line 376, in request
    http_resp = self._request(method, path, **kwargs)
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/apr/.conda/envs/dvc-env/lib/python3.12/site-packages/webdav4/client.py"", line 367, in _request
    raise HTTPError(http_resp) from exc
webdav4.client.HTTPError: received 405 (Method Not Allowed)
```

### Expected
I expected dvc to synch my local cache to the remote. 

### Environment information
```
DVC version: 3.59.1 (pip)
-------------------------
Platform: Python 3.12.9 on Linux-6.8.0-57-generic-x86_64-with-glibc2.36
Subprojects:
        dvc_data = 3.16.10
        dvc_objects = 5.1.0
        dvc_render = 1.0.2
        dvc_task = 0.40.2
        scmrepo = 3.3.11
Supports:
        http (aiohttp = 3.11.18, aiohttp-retry = 2.9.1),
        https (aiohttp = 3.11.18, aiohttp-retry = 2.9.1),
        webdav (webdav4 = 0.10.0),
        webdavs (webdav4 = 0.10.0)
Config:
        Global: /home/apr/.config/dvc
        System: /etc/xdg/dvc
Cache types: hardlink, symlink
Cache directory: ext4 on /dev/nvme0n1p2
Caches: local
Remotes: webdav
Workspace directory: ext4 on /dev/nvme0n1p2
Repo: dvc, git
Repo.site_cache_dir: /var/tmp/dvc/repo/2a5bcb24ccfea51add80147566f5eab9
```
**Additional Information (if any):**

<!--
Please check https://github.com/iterative/dvc/wiki/Debugging-DVC on ways to gather more information regarding the issue.

If applicable, please also provide a `--verbose` output of the command, eg: `dvc add --verbose`.
If the issue is regarding the performance, please attach the profiling information and the benchmark comparisons.
-->
",JHeuverRiwo,131459607,open,False,0,2025-05-06T10:18:56+00:00,2025-05-06T21:36:18+00:00,,,0,0,0,0,0,0,0
iterative/dvc,3042056031,10737,Unable to get artifact from git submodule,"# Bug Report

<!--
Issue names must follow the pattern `command: description` where the command is the dvc command that you are trying to run. The description should describe the consequences of the bug.

Example: `repro: doesn't detect input changes`
-->

## Description

<!--
A clear and concise description of what the bug is.
-->
I am trying to have a global model registry, but instead of having a monorepo with multiple models, I want to have them in a git submodule.

When i use `dvc artifacts get . <GIT_SUBMODULE_PATH>:<ARTIFACT_NAME>` i get `DVC remote: directory '<GIT_SUBMODULE_PATH>' does not exist`

Everything works if I remove the `<GIT_SUBMODULE_PATH>` in the commands and do register and get directly in the submodule folder. But it creates a model registry only in the submodule.

### Reproduce

<!--
Step list of how to reproduce the bug
-->
1. Create a git repo with a submodule inside.
2. Init DVC in the repo root and in the submodule
3. Add the DVC pipeline with an artifact in the submodule
4. Register the artifact in the model registry from the repo root using:
 `gto register <GIT_SUBMODULE_PATH>:<ARTIFACT_NAME> --version v0.0.1`
5. Try to get the artifact from the repo root with DVC using:
 `dvc artifacts get . <GIT_SUBMODULE_PATH>:<ARTIFACT_NAME> --rev v0.0.1`


### Expected
The artifact is registered successfully in the repo, and the tag is created. When running the get command, the artifact is gathered from DVC.

<!--
A clear and concise description of what you expect to happen.
-->

### Environment information
Python 3.10
<!--
This is required to ensure that we can reproduce the bug.
-->

**Output of `dvc doctor`:**
```console
$ dvc doctor
DVC version: 3.59.1 (pip)
-------------------------
Platform: Python 3.10.12 on Linux-6.8.0-58-generic-x86_64-with-glibc2.35
Subprojects:
        dvc_data = 3.16.9
        dvc_objects = 5.1.0
        dvc_render = 1.0.2
        dvc_task = 0.40.2
        scmrepo = 3.3.10
Supports:
        http (aiohttp = 3.11.4, aiohttp-retry = 2.9.1),
        https (aiohttp = 3.11.4, aiohttp-retry = 2.9.1),
        ssh (sshfs = 2024.9.0)
Config:
        Global: /home/<USER>/.config/dvc
        System: /etc/xdg/dvc
Cache types: <https://error.dvc.org/no-dvc-cache>
Caches: local
Remotes: None
Workspace directory: btrfs on /dev/loop30
Repo: dvc, git
Repo.site_cache_dir: /var/tmp/dvc/repo/86493e7a4d5134bc7fb89474a308f91e
```

**Additional Information (if any):**
```
Traceback (most recent call last):
  File ""/home/<USER>/.local/lib/python3.10/site-packages/dvc/repo/artifacts.py"", line 368, in get
    return repo.artifacts.download(
  File ""/home/<USER>/.local/lib/python3.10/site-packages/dvc/repo/artifacts.py"", line 205, in download
    rev = self.get_rev(name, version=version, stage=stage)
  File ""/home/<USER>/.local/lib/python3.10/site-packages/dvc/repo/artifacts.py"", line 142, in get_rev
    raise ArtifactNotFoundError(name, version=version, stage=stage)
dvc.exceptions.ArtifactNotFoundError: Unable to find artifact '<GIT_SUBMODULE_PATH>:<ARTIFACT_NAME>@VERSION'

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File ""/home/<USER>/.local/lib/python3.10/site-packages/dvc/commands/artifacts.py"", line 20, in run
    count, out = Artifacts.get(
  File ""/home/<USER>/.local/lib/python3.10/site-packages/dvc/repo/artifacts.py"", line 381, in get
    raise DvcException(
dvc.exceptions.DvcException: Failed to download artifact '<GIT_SUBMODULE_PATH>:<ARTIFACT_NAME>' via DVC remote
```
<!--
Please check https://github.com/iterative/dvc/wiki/Debugging-DVC on ways to gather more information regarding the issue.

If applicable, please also provide a `--verbose` output of the command, eg: `dvc add --verbose`.
If the issue is regarding the performance, please attach the profiling information and the benchmark comparisons.
-->
",Ileal16,145340765,open,False,0,2025-05-06T08:56:46+00:00,2025-05-07T02:25:04+00:00,,,0,0,0,0,0,0,0
iterative/dvc,3041942842,10736,repo: try to support opening uninitialized/broken repositories,"This `_get_remote_config()` should use `uninitialized=True` so that it supports more broader kinds of broken/partially-initialized repositories, including some that have `.dvc` directory missing, or `.git` directory missing.

This partially reverts #10719. #10608 is also fixed, and no longer requires `core.no_scm` to be passed. This was already supported by `dvc.api.get_url()` as it uses `uninitialized=True`, but this was not respected in `_get_remote_config()` where it would fail before.

That said, this whole `open_repo`/`_get_remote_config` is terribly broken. For one, it is opening a local repository, and forcing it's remote config to a repository opened with `Repo(rev=...)`, where the config may be different.

",skshetry,18718008,closed,False,0,2025-05-06T08:15:52+00:00,2025-05-06T08:39:24+00:00,2025-05-06T08:39:23+00:00,,0,0,0,0,0,0,0
iterative/dvc,3040424267,10735,[pre-commit.ci] pre-commit autoupdate,"<!--pre-commit.ci start-->
updates:
- [github.com/astral-sh/ruff-pre-commit: v0.11.7 → v0.11.8](https://github.com/astral-sh/ruff-pre-commit/compare/v0.11.7...v0.11.8)
<!--pre-commit.ci end-->",pre-commit-ci[bot],66853113,closed,False,0,2025-05-05T18:10:05+00:00,2025-05-06T01:20:13+00:00,2025-05-06T01:20:11+00:00,,0,0,0,0,0,0,0
