repo_full_name,issue_id,number,title,body,user_login,user_id,state,locked,comments_count,created_at,updated_at,closed_at,labels,reactions_total,reactions_plus1,reactions_minus1,reactions_laugh,reactions_hooray,reactions_confused,reactions_heart
jakevdp/PythonDataScienceHandbook,3040788442,424,Update README.md,"docs: adicionar badge “Launch Binder” apontando para meu fork
",Theitzmann,175157520,open,False,0,2025-05-05T20:47:11+00:00,2025-05-05T20:47:11+00:00,,,0,0,0,0,0,0,0
jakevdp/PythonDataScienceHandbook,3040480839,423,docs: add Binder launch badge,This PR adds a Binder badge to the top of the README so that readers can launch the notebooks interactively,Theitzmann,175157520,open,False,0,2025-05-05T18:33:29+00:00,2025-05-05T18:33:29+00:00,,,0,0,0,0,0,0,0
jakevdp/PythonDataScienceHandbook,2921723034,421,Update 02.08-Sorting.ipynb,corrected syntax.,taurus05,41040631,open,False,0,2025-03-15T04:41:19+00:00,2025-03-15T04:41:19+00:00,,,0,0,0,0,0,0,0
jakevdp/PythonDataScienceHandbook,2840061860,420,Please Add an Index.ipynb File with updated Links for effecient learninng,,afzalasar7,111232340,open,False,0,2025-02-08T15:05:02+00:00,2025-02-08T15:05:02+00:00,,,2,2,0,0,0,0,0
jakevdp/PythonDataScienceHandbook,2840061502,419,Please Add an Index.ipynb File with updated Links for effecient learninng,,afzalasar7,111232340,closed,False,0,2025-02-08T15:04:53+00:00,2025-02-08T15:05:42+00:00,2025-02-08T15:05:41+00:00,,0,0,0,0,0,0,0
jakevdp/PythonDataScienceHandbook,2825150633,418,Environment Setup Fails Due to Python 3.5 Deprecation and Library Dependencies,"While setting up the environment using the provided ``` environment.yml ``` file, the installation fails due to Python 3.5 being deprecated. Additionally, some libraries in ``` requirements.txt ``` have outdated dependencies, causing compatibility issues

### Current Environment File (``` environment.yml ```)
```
name: data-science-handbook
channels:
  - conda-forge
dependencies:
  - python=3.5
  - pip:
    - -r requirements.txt
```

### Current Dependencies (  ``` requirements.txt ```)
```
numpy==1.11.1
pandas==0.18.1
scipy==0.17.1
scikit-learn==0.17.1
scikit-image==0.12.3
pillow==3.4.2
matplotlib==1.5.1
seaborn==0.7.0
jupyter
notebook
line_profiler
memory_profiler
numexpr
pandas-datareader
netcdf4
```

### Proposed Fix

- Upgrade Python version: Modify environment.yml to use Python 3.8 or higher.

- Update outdated dependencies: Use newer versions of numpy, pandas, scipy, etc., to resolve conflicts

### Expected Outcome

- A functional environment setup with updated dependencies.

",muhammadalmaskhan,89722109,open,False,0,2025-02-01T11:14:40+00:00,2025-02-01T11:14:40+00:00,,,1,1,0,0,0,0,0
jakevdp/PythonDataScienceHandbook,2797760435,417,pythonBasic,,Vivekmagar1665,175552448,open,False,0,2025-01-19T18:16:41+00:00,2025-01-19T18:16:41+00:00,,,1,1,0,0,0,0,0
jakevdp/PythonDataScienceHandbook,2791662604,416,Colaboração,"Olá, pessoal!

Gostaria de sugerir algumas melhorias para otimizar a performance das consultas SQL no banco de dados do projeto. Com o aumento do volume de dados, algumas consultas estão apresentando lentidão. Aqui estão algumas sugestões que acredito que podem ajudar:

Criação de índices: Adicionar índices em colunas frequentemente consultadas pode melhorar significativamente o tempo de resposta nas buscas.
Melhorias no uso de joins: Algumas consultas podem ser otimizadas, substituindo joins complexos por versões mais eficientes, ou até usando subconsultas quando necessário.
Divisão de tabelas: Considerar a normalização ou a divisão de tabelas muito grandes pode melhorar o desempenho, além de facilitar a manutenção do banco de dados.
Essas são algumas ideias que podem ajudar a melhorar a performance das consultas. Fico à disposição para fornecer mais detalhes ou até colaborar com a implementação dessas mudanças.

Aguardo feedback de vocês!",Teteeu,195258013,open,False,0,2025-01-16T04:27:31+00:00,2025-01-16T04:27:31+00:00,,,1,1,0,0,0,0,0
jakevdp/PythonDataScienceHandbook,2656200255,414,Missing data file: california cities,"Notebook 04.06 doesn't run because the file

https://raw.githubusercontent.com/jakevdp/PythonDataScienceHandbook/master/notebooks/data/california_cities.csv

isn't in the repository.",PeterDrake,889193,closed,False,2,2024-11-13T17:12:47+00:00,2024-11-13T19:02:01+00:00,2024-11-13T17:47:29+00:00,,0,0,0,0,0,0,0
jakevdp/PythonDataScienceHandbook,2609103833,413,Hhjjh,,dmitrijiks,178684166,open,False,0,2024-10-23T15:55:38+00:00,2024-10-23T15:55:38+00:00,,,1,1,0,0,0,0,0
