repo_full_name,pr_id,number,title,body,user_login,user_id,state,draft,created_at,updated_at,closed_at,merged_at,merge_commit_sha,mergeable_state,additions,deletions,changed_files,commits_count,review_comments_count,comments_count,requested_reviewers,requested_teams,labels
jakevdp/PythonDataScienceHandbook,97442289,22,Typo,,aaronvanderlip,537370,closed,False,2016-12-10T23:38:50+00:00,2016-12-11T17:02:13+00:00,2016-12-11T17:02:13+00:00,2016-12-11T17:02:13+00:00,2b4b785774720e04591670839579c3b079cdac3d,unknown,1,1,1,1,0,1,,,
jakevdp/PythonDataScienceHandbook,97917057,23,Update 05.03-Hyperparameters-and-Model-Validation.ipynb,misprint fix,vfdev-5,2459423,closed,False,2016-12-14T09:40:40+00:00,2016-12-14T23:55:26+00:00,2016-12-14T14:56:44+00:00,2016-12-14T14:56:44+00:00,36e9bd6d0e1b5956e909fbcb1b2e71709cf34cf2,unknown,1,1,1,1,0,1,,,
jakevdp/PythonDataScienceHandbook,97922135,24,Update 05.05-Naive-Bayes.ipynb,formula misprint fix,vfdev-5,2459423,closed,False,2016-12-14T10:12:26+00:00,2016-12-14T14:55:50+00:00,2016-12-14T14:55:50+00:00,2016-12-14T14:55:50+00:00,bfed5080b498a7e4bddfe3304b322b8fb8c3a8b3,unknown,1,1,1,1,0,1,,,
jakevdp/PythonDataScienceHandbook,99944579,30,Fix a small typo in section 1.6,,fuglede,6169306,closed,False,2017-01-03T12:02:23+00:00,2017-01-03T16:39:03+00:00,2017-01-03T16:39:03+00:00,2017-01-03T16:39:03+00:00,950f26c904c99f4dc67a47504c08555c234f0500,unknown,1,1,1,1,0,1,,,
jakevdp/PythonDataScienceHandbook,100347997,32,Fixing typo in Fixed-Type Arrays in Python section,"Changing one occurrence of ""obnject"" to ""object""",jackboot7,493975,closed,False,2017-01-05T19:23:46+00:00,2017-01-05T20:01:34+00:00,2017-01-05T20:01:34+00:00,2017-01-05T20:01:34+00:00,470e8f2414bd272cc8a7ba3d65cd98e1f28a3875,unknown,1,1,1,1,0,1,,,
jakevdp/PythonDataScienceHandbook,100573448,33,Minor consistency fix for OCD-inclined readers,,evolvah,4317129,closed,False,2017-01-07T16:14:48+00:00,2017-01-11T18:31:05+00:00,2017-01-11T18:31:05+00:00,2017-01-11T18:31:05+00:00,482a9140282578f71551077a3f94b0a1845a5fce,unknown,5,5,1,1,0,1,,,
jakevdp/PythonDataScienceHandbook,101040003,35,Fixed typo,,pkitslaar,362051,closed,False,2017-01-11T10:32:53+00:00,2017-01-11T18:47:10+00:00,2017-01-11T18:30:29+00:00,2017-01-11T18:30:29+00:00,76ca20e120b684fa78c49e954c57ed6c37986f35,unknown,1,1,1,1,0,2,,,
jakevdp/PythonDataScienceHandbook,102610649,39,"plt.axes args are [left, bottom, width, height]","Previously was written as [bottom, left, width, height].",henrystokeley,7350567,closed,False,2017-01-22T07:06:22+00:00,2017-01-27T17:59:51+00:00,2017-01-27T17:59:51+00:00,2017-01-27T17:59:51+00:00,1c7875da5777eae8b667775d867cceabd4ab9b00,unknown,1,1,1,1,0,1,,,
jakevdp/PythonDataScienceHandbook,102799934,40,Fix a small typo,,fuglede,6169306,closed,False,2017-01-23T21:02:48+00:00,2017-01-24T02:23:15+00:00,2017-01-24T02:23:15+00:00,2017-01-24T02:23:15+00:00,0bf1526af95ac7de0ded3022575221c0307a07af,unknown,1,1,1,1,0,1,,,
jakevdp/PythonDataScienceHandbook,103453757,41,Typo?,"I'm no native English speaker, but the 'the' seems missing to me...",habi,1651235,closed,False,2017-01-27T08:34:27+00:00,2017-01-27T15:16:45+00:00,2017-01-27T15:16:45+00:00,2017-01-27T15:16:44+00:00,a2cf70a622aa59aa7fca82322b1b102920acfd33,unknown,1,1,1,1,0,1,,,
