repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
jakevdp/PythonDataScienceHandbook,karthikraman,1312659,2016-08-10T17:15:20+00:00,User,"Chennai, India",IIT Madras
jakevdp/PythonDataScienceHandbook,mpastell,430863,2016-08-10T20:21:38+00:00,User,Finland,Natural Resources Institute Finland (Luke)
jakevdp/PythonDataScienceHandbook,abhinav-upadhyay,328300,2016-08-11T05:51:25+00:00,User,Hyderabad (India),
jakevdp/PythonDataScienceHandbook,Naereen,11994719,2016-08-11T06:19:23+00:00,User,"Strasbourg, France",Lycée Kléber | Éducation Nationale
jakevdp/PythonDataScienceHandbook,janpipek,92804,2016-08-11T07:04:17+00:00,User,"Prague, Czech Republic",
jakevdp/PythonDataScienceHandbook,erichson,12964143,2016-08-11T20:35:20+00:00,User,Berkeley,UC Berkeley
jakevdp/PythonDataScienceHandbook,stephenLee,1144508,2016-08-12T02:10:01+00:00,User,Beijing,
jakevdp/PythonDataScienceHandbook,kjam,333528,2016-08-12T19:26:01+00:00,User,"Berlin, Germany",kjamistan
jakevdp/PythonDataScienceHandbook,omerbenamram,2467993,2016-08-14T18:24:31+00:00,User,Israel,
jakevdp/PythonDataScienceHandbook,balzer82,3329893,2016-08-15T08:53:35+00:00,User,Dresden,
jakevdp/PythonDataScienceHandbook,bolorkhuu,2176739,2016-08-15T14:30:10+00:00,User,Earth,
jakevdp/PythonDataScienceHandbook,paultopia,11756255,2016-08-15T16:43:39+00:00,User,All over.  ,
jakevdp/PythonDataScienceHandbook,puneethmishra,3896584,2016-08-15T16:48:40+00:00,User,,
jakevdp/PythonDataScienceHandbook,gbrock16,8951977,2016-08-15T16:58:36+00:00,User,Arizona,
jakevdp/PythonDataScienceHandbook,bclifton,2024889,2016-08-15T16:58:37+00:00,User,"Brooklyn, NY",
jakevdp/PythonDataScienceHandbook,GeorgeMcIntire,2880834,2016-08-15T17:03:41+00:00,User,Berkeley,
jakevdp/PythonDataScienceHandbook,rachel872,5930210,2016-08-15T17:13:15+00:00,User,,
jakevdp/PythonDataScienceHandbook,amandrycky,2133629,2016-08-15T17:20:00+00:00,User,"Seattle, WA",
jakevdp/PythonDataScienceHandbook,JimHendrickson,3869126,2016-08-15T17:27:51+00:00,User,,
jakevdp/PythonDataScienceHandbook,denisfitz57,1459124,2016-08-15T17:28:16+00:00,User,,
jakevdp/PythonDataScienceHandbook,lchsk,383507,2016-08-15T17:37:05+00:00,User,London,
jakevdp/PythonDataScienceHandbook,gileno,223948,2016-08-15T17:47:07+00:00,User,"Recife, PE - Brazil",Gileno Filho
jakevdp/PythonDataScienceHandbook,theofanislekkas,916081,2016-08-15T18:29:09+00:00,User,U.S.,
jakevdp/PythonDataScienceHandbook,1234jc4321,8091887,2016-08-15T18:31:42+00:00,User,Quebec City,Laval University
jakevdp/PythonDataScienceHandbook,kbrugh,8302643,2016-08-15T19:12:07+00:00,User,,
jakevdp/PythonDataScienceHandbook,bidhya,6469101,2016-08-15T19:21:42+00:00,User,"Columbus, OH",The Ohio State University
jakevdp/PythonDataScienceHandbook,jbwhit,105829,2016-08-15T20:43:42+00:00,User,"Los Altos, CA",Data Scientist 
jakevdp/PythonDataScienceHandbook,cindithompson,4392054,2016-08-15T20:45:05+00:00,User,,
jakevdp/PythonDataScienceHandbook,patrickallo,4992327,2016-08-15T20:45:45+00:00,User,,
jakevdp/PythonDataScienceHandbook,nicolasfauchereau,2539828,2016-08-15T20:59:15+00:00,User,"Hamilton, Aotearoa (New Zealand)",NIWA
jakevdp/PythonDataScienceHandbook,relopezbriega,3825737,2016-08-15T21:00:14+00:00,User,"Buenos Aires, Argentina",
jakevdp/PythonDataScienceHandbook,ScatteredInk,7060780,2016-08-15T21:04:49+00:00,User,United Kingdom,@OpenDataServices 
jakevdp/PythonDataScienceHandbook,denisgarci,5141673,2016-08-15T21:56:55+00:00,User,,
jakevdp/PythonDataScienceHandbook,muxuezi,5152516,2016-08-15T22:34:50+00:00,User,Beijing,BJTU
jakevdp/PythonDataScienceHandbook,cfperez,2013379,2016-08-15T23:00:02+00:00,User,,@google
jakevdp/PythonDataScienceHandbook,kuangchecheng,10953249,2016-08-15T23:00:07+00:00,User,,
jakevdp/PythonDataScienceHandbook,warmlogic,887096,2016-08-15T23:02:07+00:00,User,"Somerville, MA",@BranchIntl 
jakevdp/PythonDataScienceHandbook,kprybol,10142795,2016-08-15T23:38:42+00:00,User,"Raleigh, NC/ Los Angeles, CA",The Wound Pros
jakevdp/PythonDataScienceHandbook,fly51fly,128885,2016-08-16T00:07:29+00:00,User,BeiJing,PRIS
jakevdp/PythonDataScienceHandbook,dankein,18049199,2016-08-16T00:23:53+00:00,User,,
jakevdp/PythonDataScienceHandbook,blaiszik,4753182,2016-08-16T00:43:09+00:00,User,,
jakevdp/PythonDataScienceHandbook,wp-lai,6768582,2016-08-16T01:40:03+00:00,User,"Hangzhou, Zhejiang, China",
jakevdp/PythonDataScienceHandbook,fibala,4699145,2016-08-16T02:00:27+00:00,User,,
jakevdp/PythonDataScienceHandbook,leotywy,3433105,2016-08-16T02:10:14+00:00,User,,
jakevdp/PythonDataScienceHandbook,tensortalk,17097538,2016-08-16T02:12:08+00:00,User,,You're on TensorTalk.com!
