repo_full_name,pr_id,number,title,body,user_login,user_id,state,draft,created_at,updated_at,closed_at,merged_at,merge_commit_sha,mergeable_state,additions,deletions,changed_files,commits_count,review_comments_count,comments_count,requested_reviewers,requested_teams,labels
keras-team/keras,32157449,1,Update README.md,"Typo fix.
",vasili-zolotov,468223,closed,False,2015-03-28T02:02:41+00:00,2015-03-28T02:05:16+00:00,2015-03-28T02:05:16+00:00,2015-03-28T02:05:16+00:00,29b2b99f43e4137c6a3ba2f7c5b89916bd54ba45,unknown,1,1,1,1,0,0,,,
keras-team/keras,32163355,2,Typo fixes,,cosmith,1194749,closed,False,2015-03-28T11:48:41+00:00,2015-03-28T17:39:28+00:00,2015-03-28T17:04:56+00:00,2015-03-28T17:04:56+00:00,2886b967142132cf0bf9b3558bc929008131e817,unknown,2,2,1,1,0,0,,,
keras-team/keras,32172889,5,Fix untar,"data_utils did not untar.
",nagadomi,287255,closed,False,2015-03-28T22:55:10+00:00,2015-03-29T00:59:16+00:00,2015-03-29T00:37:02+00:00,2015-03-29T00:37:02+00:00,a5f075b7309497cb805a1c46e33ae4f846a28d2e,unknown,1,1,1,1,0,0,,,
keras-team/keras,32175202,6,Various typo fixes,"Thanks for the awesome library! This pull request is just for minor typo fixes.
",vinhkhuc,914887,closed,False,2015-03-29T02:20:17+00:00,2015-03-29T02:27:29+00:00,2015-03-29T02:27:29+00:00,2015-03-29T02:27:29+00:00,50523edb519a3d16b23daf736b6effce9e0bf1d0,unknown,5,7,3,1,0,0,,,
keras-team/keras,32192335,9,Fix categorical_crossentropy/binary_crossentropy with NaN value,"`T.nnet.categorical_crossentropy(np.zeros(N), np.ones(N))` returns `inf`.
I got this issue in `examples/cifar10_cnn.py`.
",nagadomi,287255,closed,False,2015-03-30T01:09:54+00:00,2015-03-30T04:29:20+00:00,2015-03-30T03:46:35+00:00,2015-03-30T03:46:35+00:00,b93d7c84ead99d351d04b0ac30286335afade918,unknown,5,1,1,1,0,1,,,
keras-team/keras,32196600,10,"Added PReLU activation, with a constant coefficient of .25","The coefficient should be learned, and not set as a constant.
",patyork,1304633,closed,False,2015-03-30T03:54:15+00:00,2015-03-30T04:00:32+00:00,2015-03-30T04:00:32+00:00,,ca8924fa1ea84022754785e1011e912d307a52f3,dirty,4,1,1,2,0,1,,,
keras-team/keras,32197021,11,Added Leaky ReLU and Parametric ReLU (with a fixed coefficient of .25),"The coefficient for PReLU should become a learnable parameter in the future.
",patyork,1304633,closed,False,2015-03-30T04:09:55+00:00,2015-04-04T19:16:31+00:00,2015-03-30T04:49:01+00:00,,0cb2be8fa3566e49c57b9f2deb59c0465a769422,dirty,7,1,1,1,0,2,,,
keras-team/keras,32206918,13,Improved setup.py,"- using setuptools if available
- specified required and optional dependencies, as listed in read me. `scipy` could probably be made optional because all of its usages in `np_utils.py` can be replaced with `numpy`, and the remaining usages are all image-related.
",mbatchkarov,937114,closed,False,2015-03-30T08:37:56+00:00,2015-03-31T05:21:42+00:00,2015-03-31T05:21:42+00:00,2015-03-31T05:21:42+00:00,a9c3ddca4cd7c12deda06d9f496da2c103d4f50a,unknown,14,7,1,3,0,0,,,
keras-team/keras,32292284,19,"Revert ""Improved setup.py""","Data directory permission issue. Revert until figured out
",fchollet,710255,closed,False,2015-03-31T05:32:19+00:00,2015-04-15T22:19:17+00:00,2015-03-31T05:32:26+00:00,2015-03-31T05:32:26+00:00,02ebd819d4947fd4ba61cf1dccc82a30e3a16262,unknown,7,14,1,1,0,2,,,
keras-team/keras,32292724,20,Add the shuffle option to Sequential.fit,"When `fit(shuffle=True)`, shuffle data before each epoch. `True` by default.
",nagadomi,287255,closed,False,2015-03-31T05:44:50+00:00,2015-03-31T06:44:14+00:00,2015-03-31T05:56:19+00:00,2015-03-31T05:56:19+00:00,31afaba9b6babf829477b6b782a5f68db35a84a6,unknown,8,4,1,1,0,0,,,
keras-team/keras,32338888,22,Simple BRNN,"Added a layer in the style of SimpleRNN called SimpleBRNN. This is a fully connected Bidirectional recurrent layer.

My only issue with this implementation is that the initialization looks like so:

``` python
model.add(SimpleBRNN(5, output_dim=2*10, activation='sigmoid', return_sequences=True))
```

The `output_dim=2*10` is meant to imply that the forward recurrence has 10 outputs and the backwards recurrence has 10 outputs. These are concatenated, and the output of the SimpleBRNN layer would be 2x10=20 outputs at each time step, for each sample (batch_size, time_steps, 20).
",patyork,1304633,closed,False,2015-03-31T16:17:01+00:00,2015-04-01T13:57:22+00:00,2015-04-01T03:30:43+00:00,,46302bc1c0b43d49ccb96ae87529ff7c30a1af1c,dirty,70,0,1,2,6,5,,,
keras-team/keras,32349075,23,Python3 compatibility changes,"This PR makes Keras work under Python3. Essentially I just ran the whole codebase through [python-modernize](https://github.com/mitsuhiko/python-modernize), and tuned a few things by hand. All examples run through under both Python2 and Python3, so I assume everything is in working order.
",untom,3627551,closed,False,2015-03-31T18:06:08+00:00,2015-04-16T21:14:40+00:00,2015-04-02T17:33:22+00:00,,db49138d116c2fa258d0169bcef133d40381a535,dirty,147,108,21,2,0,6,,,
keras-team/keras,32368176,24,"List Index fix, validation split in fit() and fit_chunked() for large datasets","Hi,
I made a few changes to your code, maybe you want to reuse them.
They are:
1) Fixed an error ""List indices must be integers, not list."" that appeared whenever a list was called with a list of integers as the index. Google indicated that only Scipy seems to support that...? It required quite some changes to model.py. My tests indicated that everything still works.
2) I added a validation_split option to fit() in models.py to easily split of a part of the dataset for validation (e. g. validation_loss=0.2 to split of 20%). At the end of each epoch it calculates the loss on the validation set and prints it next to the loss on the training set, e. g.:
    Epoch 0
    2500000/2500000 [==============================] - 612s - loss: 0.1012 - val. loss: 0.1213
    Epoch 1
    2500000/2500000 [==============================] - 602s - loss: 0.0549 - val. loss: 0.0702
3) I added fit_chunked() to models.py which is designed to perform more easily a fit() on datasets that are too big for the GPU RAM or main memory. Basically instead of a dataset you provide a function that can be called to create a new generator for the dataset. That function is called at the start of each epoch to create a new generator and then the data is loaded from the generator in chunks that are small enough for the RAM. Then essentially the normal fit() is run on the chunk. That is repeated until all chunks from the dataset have been processed. Then the next epoch starts and the generator is ""reset"" by creating a new one.
",aleju,11698516,closed,False,2015-03-31T21:32:19+00:00,2015-04-02T16:24:54+00:00,2015-04-01T22:15:06+00:00,,9ce43575c4bbaf7b84813e8b9eafe466140da4b1,dirty,178,22,1,4,0,4,,,
keras-team/keras,32377309,25,Added support for Activation layers over tensor3 inputs,"Added a check in the Activation layer for a tensor3 input. If so, the tensor is reshaped into a matrix.

Assumed shape transformation: `(nb_samples, time, nb_outputs)` --> `(nb_samples * time, nb_outputs)`

The activation (including softmax) can then be done correctly.
",patyork,1304633,closed,False,2015-03-31T23:46:53+00:00,2015-04-04T19:11:59+00:00,2015-04-04T18:26:15+00:00,,ac518d29731f7e8d23e61307e1ac619ea6cc57dc,dirty,4,0,1,1,0,11,,,
keras-team/keras,32418077,27,Change the learning rate annealing schedule in SGD,"The new formula is compatible with torch.
and might be fix  https://github.com/fchollet/keras/issues/21
",nagadomi,287255,closed,False,2015-04-01T13:23:36+00:00,2015-04-01T14:15:52+00:00,2015-04-01T13:35:31+00:00,2015-04-01T13:35:31+00:00,4bab5c76375396131b89498193e7f179c5e86077,unknown,3,4,2,1,0,0,,,
