repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
keras-team/keras,psrikhanta,575012,2015-03-28T01:25:36+00:00,User,,
keras-team/keras,escherba,474486,2015-03-28T01:54:05+00:00,User,"San Francisco, CA",Stovell AI Systems
keras-team/keras,matpalm,21549,2015-03-28T02:16:45+00:00,User,,
keras-team/keras,evancasey,1900535,2015-03-28T02:31:43+00:00,User,"Brookyn, NY",
keras-team/keras,dan-blanchard,976345,2015-03-28T02:47:53+00:00,User,"Durham, NC",@coiled 
keras-team/keras,tshauck,421839,2015-03-28T07:06:36+00:00,User,Seattle,WHERE TRUE Technologies
keras-team/keras,benanne,43829,2015-03-28T09:23:13+00:00,User,"London, UK",
keras-team/keras,louissmit,805673,2015-03-28T09:32:46+00:00,User,"Amsterdam, the Netherlands",
keras-team/keras,shrugs,1535001,2015-03-28T09:55:12+00:00,User,,
keras-team/keras,erfannoury,1921165,2015-03-28T10:51:09+00:00,User,"Cupertino, CA",
keras-team/keras,skaae,2623134,2015-03-28T11:39:46+00:00,User,Copenhagen,
keras-team/keras,cosmith,1194749,2015-03-28T11:45:53+00:00,User,Nantes,Dashdoc
keras-team/keras,charlesollion,10595147,2015-03-28T12:28:50+00:00,User,Paris,"Independent, Naia Science"
keras-team/keras,lpigou,3671037,2015-03-28T12:32:38+00:00,User,,
keras-team/keras,srepho,2404627,2015-03-28T13:09:25+00:00,User,Australia,Allianz
keras-team/keras,lucktroy,997318,2015-03-28T13:30:16+00:00,User,Beijing,MSRA
keras-team/keras,rhydomako,2955572,2015-03-28T13:53:29+00:00,User,,
keras-team/keras,igorbrigadir,1164962,2015-03-28T14:04:01+00:00,User,University College Dublin,Insight Centre for Data Analytics
keras-team/keras,visionnet,1253786,2015-03-28T14:07:55+00:00,User,,
keras-team/keras,jonsondag,654819,2015-03-28T14:08:46+00:00,User,SF Bay Area,Google
keras-team/keras,StreakyCobra,1587877,2015-03-28T14:32:19+00:00,User,Switzerland,FAIRTIQ
keras-team/keras,jeresig,1615,2015-03-28T14:32:51+00:00,User,"Hudson Valley, NY",@Khan 
keras-team/keras,jorenvs,725737,2015-03-28T14:35:14+00:00,User,"Antwerp, Belgium",Reprise Digital
keras-team/keras,jiangfeng1124,795114,2015-03-28T14:39:30+00:00,User,,AWS AI Lab; MIT-CSAIL
keras-team/keras,pushkardakle,1102608,2015-03-28T14:41:17+00:00,User,Singapore,
keras-team/keras,erikbern,1027979,2015-03-28T14:42:41+00:00,User,New York City,Modal Labs
keras-team/keras,grantbrown,1713575,2015-03-28T14:43:37+00:00,User,"Iowa City, Iowa",
keras-team/keras,googya,118465,2015-03-28T14:54:52+00:00,User,,
keras-team/keras,dnouri,56370,2015-03-28T15:01:03+00:00,User,Sweden,
keras-team/keras,joaoroque,1643521,2015-03-28T15:16:13+00:00,User,,
keras-team/keras,nagadomi,287255,2015-03-28T15:16:45+00:00,User,"Tokyo, Japan",
keras-team/keras,mgolovnia,739020,2015-03-28T15:18:24+00:00,User,Ukraine,
keras-team/keras,cwharland,3237895,2015-03-28T15:19:31+00:00,User,,@textioHQ 
keras-team/keras,lisitsyn,424629,2015-03-28T15:26:18+00:00,User,,
keras-team/keras,SantoshSrinivas79,1036163,2015-03-28T15:26:26+00:00,User,,
keras-team/keras,TELSER1,5139614,2015-03-28T15:27:54+00:00,User,,
keras-team/keras,scharmchi,7132429,2015-03-28T15:42:16+00:00,User,"Vancouver, BC",
keras-team/keras,manugarri,3670355,2015-03-28T15:52:58+00:00,User,The Interwebs,
keras-team/keras,jecyrd,6316285,2015-03-28T16:25:57+00:00,User,,
keras-team/keras,barapa,653637,2015-03-28T16:37:42+00:00,User,,
keras-team/keras,worldveil,1045250,2015-03-28T16:41:59+00:00,User,,
keras-team/keras,lepisma,2487306,2015-03-28T16:55:33+00:00,User,"Bangalore, India",
keras-team/keras,awlange,4308328,2015-03-28T17:10:35+00:00,User,"Chicago, IL",@A-Alpha Bio
keras-team/keras,yashprit,448511,2015-03-28T17:16:27+00:00,User,"Bangalore, India",JFrog
keras-team/keras,EdwardRaff,2008786,2015-03-28T17:18:09+00:00,User,"Columbia, MD",Booz Allen Hamilton 
keras-team/keras,a20r,2995274,2015-03-28T17:20:33+00:00,User,"Somerville, MA",@theroutingcompany
keras-team/keras,gwulfs,5108745,2015-03-28T17:23:56+00:00,User,,
keras-team/keras,simonhughes22,2167017,2015-03-28T17:25:08+00:00,User,Chicago,Vectara
keras-team/keras,temerick,3578724,2015-03-28T17:31:34+00:00,User,"Charlottesville, VA",CCRi
keras-team/keras,jsouza,2300711,2015-03-28T17:32:13+00:00,User,Lisbon,Unbabel 
