repo_full_name,issue_id,number,title,body,user_login,user_id,state,locked,comments_count,created_at,updated_at,closed_at,labels,reactions_total,reactions_plus1,reactions_minus1,reactions_laugh,reactions_hooray,reactions_confused,reactions_heart
marimo-team/marimo,3057453508,4883,UUID: Unsupported UTF-8 sequence length when encoding string,"### Describe the bug

Run simple cell with query like ```select
    id,
    name
from
    public.clients```

When my ID column is UUID.

I will get the `Unsupported UTF-8 sequence length when encoding string` error

### Will you submit a PR?

- [ ] Yes

### Environment

<details>

```
{
  ""marimo"": ""0.13.6"",
  ""OS"": ""Darwin"",
  ""OS Version"": ""24.4.0"",
  ""Processor"": ""arm"",
  ""Python Version"": ""3.12.2"",
  ""Binaries"": {
    ""Browser"": ""136.0.7103.93"",
    ""Node"": ""v22.14.0""
  },
  ""Dependencies"": {
    ""click"": ""8.1.7"",
    ""docutils"": ""0.18.1"",
    ""itsdangerous"": ""2.2.0"",
    ""jedi"": ""0.19.1"",
    ""markdown"": ""3.7"",
    ""narwhals"": ""1.19.0"",
    ""packaging"": ""23.2"",
    ""psutil"": ""5.9.0"",
    ""pygments"": ""2.15.1"",
    ""pymdown-extensions"": ""10.11.2"",
    ""pyyaml"": ""6.0.1"",
    ""starlette"": ""0.46.2"",
    ""tomlkit"": ""0.13.2"",
    ""typing-extensions"": ""4.12.2"",
    ""uvicorn"": ""0.30.6"",
    ""websockets"": ""14.1""
  },
  ""Optional Dependencies"": {
    ""altair"": ""5.0.1"",
    ""anywidget"": ""0.9.13"",
    ""duckdb"": ""1.1.3"",
    ""nbformat"": ""5.10.4"",
    ""openai"": ""1.60.0"",
    ""pandas"": ""2.2.3"",
    ""polars"": ""1.26.0"",
    ""pyarrow"": ""16.1.0"",
    ""pycrdt"": ""0.11.1"",
    ""pytest"": ""8.3.4"",
    ""python-lsp-server"": ""1.10.0"",
    ""ruff"": ""0.11.2"",
    ""sqlglot"": ""26.12.1""
  },
  ""Experimental Flags"": {}
}

```

</details>


### Code to reproduce

```python
@app.cell
def _():
    import os
    import sqlalchemy

    _password = os.environ.get(""POSTGRES_PASSWORD"", ""YO_MY_GREAT_PASSWORD"")
    DATABASE_URL = f""postgresql://xxx:{_password}@localhost/defaultdb""
    engine_pg = sqlalchemy.create_engine(DATABASE_URL, connect_args={'sslmode': 'require'})
    return (engine_pg,)

@app.cell
def _(engine_pg, mo, public):
    clients = mo.sql(
        f""""""
        select
            id,
            name
        from
            public.clients
        """""",
        engine=engine_pg
    )
    return (clients,)
```",jasonrepath,185041605,open,False,1,2025-05-12T16:02:16+00:00,2025-05-12T16:20:07+00:00,,bug,0,0,0,0,0,0,0
marimo-team/marimo,3057362674,4882,fix: start charts tab open if any configured for table,,mscolnick,2753772,closed,False,1,2025-05-12T15:28:53+00:00,2025-05-12T16:13:02+00:00,2025-05-12T16:13:00+00:00,,0,0,0,0,0,0,0
marimo-team/marimo,3057322272,4881,fix: use keys in fe storage api,"- Use `key` in FE storage API
- Change charts storage to use `NotebookLocalStorage`",mscolnick,2753772,closed,False,2,2025-05-12T15:14:34+00:00,2025-05-12T15:30:39+00:00,2025-05-12T15:28:02+00:00,,0,0,0,0,0,0,0
marimo-team/marimo,3057128725,4880,Problem with multiselect of mo.ui.file_browser.value and DataFrames with Path objects,"### Describe the bug

Create a `mo.ui.file_browser` to select some files (`multiple=True`). 

My objective is to retrieve all selected filepaths (absolute full path) into a DataFrame column. `file_browser.path(index)` seems for single file only. I couldn't find yet an officially straightforward way to acquire in batch.

My current method to make do is plain old looping, like `polar.Series([str(file.path) for file in file_browser.value])` or similar.

Mind the explicit `str()` because Marimo and/or Polars aren't happy with directly handling cells with path objects. Without explicit `str()` they'll err and complain ""csv writer does not support object dtype"" if I call `write_csv()`.

So please enlighten me if there are better ways to do this.

### Will you submit a PR?

- [ ] Yes

### Environment

<details>

```
{
  ""marimo"": ""0.13.6"",
  ""OS"": ""Windows"",
  ""OS Version"": ""11"",
  ""Processor"": ""AMD64 Family 25 Model 116 Stepping 1, AuthenticAMD"",
  ""Python Version"": ""3.13.3"",
  ""Binaries"": {
    ""Browser"": ""--"",
    ""Node"": ""--""
  },
  ""Dependencies"": {
    ""click"": ""8.2.0"",
    ""docutils"": ""0.21.2"",
    ""itsdangerous"": ""2.2.0"",
    ""jedi"": ""0.19.2"",
    ""markdown"": ""3.8"",
    ""narwhals"": ""1.39.0"",
    ""packaging"": ""25.0"",
    ""psutil"": ""7.0.0"",
    ""pygments"": ""2.19.1"",
    ""pymdown-extensions"": ""10.15"",
    ""pyyaml"": ""6.0.2"",
    ""starlette"": ""0.46.2"",
    ""tomlkit"": ""0.13.2"",
    ""typing-extensions"": ""4.13.2"",
    ""uvicorn"": ""0.34.2"",
    ""websockets"": ""15.0.1""
  },
  ""Optional Dependencies"": {
    ""altair"": ""5.5.0"",
    ""polars"": ""1.29.0"",
    ""pycrdt"": ""0.11.1""
  },
  ""Experimental Flags"": {
    ""chat_sidebar"": true,
    ""tracing"": true
  }
}
```

</details>


### Code to reproduce

_No response_",Vrantheo,132968157,closed,False,1,2025-05-12T14:12:46+00:00,2025-05-12T14:22:51+00:00,2025-05-12T14:22:49+00:00,bug,0,0,0,0,0,0,0
marimo-team/marimo,3057085948,4879,chore: test snapshots,,mscolnick,2753772,closed,False,2,2025-05-12T13:59:49+00:00,2025-05-12T14:30:04+00:00,2025-05-12T14:27:10+00:00,,0,0,0,0,0,0,0
marimo-team/marimo,3056962485,4878,Docs for mounted apps,"### Documentation is

- [x] Missing
- [ ] Outdated
- [ ] Confusing
- [ ] Not sure?

### Explain in Detail

This isn't exactly about marimo documentation, but rather about marimo potentially taking advantage of auto-documenting available in FastAPI.  Feel free to convert to feature request if appropriate.

It would be great to auto-document marimo apps that take query parameters the way that FastAPI does that, using [pydantic query models](https://fastapi.tiangolo.com/tutorial/query-param-models/) and [OpenAPI](https://fastapi.tiangolo.com/tutorial/metadata).




### Your Suggestion for Changes

As marimo are Starlette, not FastAPI apps, they don't take the `docs_url` parameters that build the OpenAPI schemas and the `/docs` endpoints.   [This ](https://fastapi.tiangolo.com/how-to/extending-openapi/#modify-the-openapi-schema) also doesn't work:

```
from fastapi.openapi.utils import get_openapi

openapi_schema = get_openapi(
    title=""Custom title"",
    version=""2.5.0"",
    summary=""This is a very custom OpenAPI schema"",
    description=""Here's a longer description of the custom **OpenAPI** schema"",
    routes=app.routes,  # mounted Marimo routes do not show up here
)
```

If it is possible to build OpenAPI docs, would you please suggest how?
I can then add PR on docs about docs :)

### Will you submit a PR?

- [x] Yes",liquidcarbon,47034358,open,False,2,2025-05-12T13:21:42+00:00,2025-05-12T14:08:23+00:00,,documentation,0,0,0,0,0,0,0
marimo-team/marimo,3056719585,4876,Comment annotation to import via micropip,"### Description

I use the pyodide notebooks extensively for demos.  I go through gymnastics to have a hidden cell that `await micropip.installs` packages, but I don't want to clutter simple tutorials with that.

### Suggested solution

I would like to be able to write code like
```
import buckaroo # micropip.install
```
and have it installed with micropip in the pyodide environment.  Obviously the comment would do nothing in regular python because it's a comment.

Would you be open to a PR that did this?

### Will you submit a PR?

- [ ] Yes

### Alternative

_No response_

### Additional context

_No response_",paddymul,40453,open,False,1,2025-05-12T12:00:10+00:00,2025-05-12T13:53:25+00:00,,enhancement,0,0,0,0,0,0,0
marimo-team/marimo,3056585986,4875,Optionnaly make Slider/RangeSlider text-boxed,"### Description

I'd like to have in marimo a ""TextSlider"", that is a slider where the displayed value is actually a text area : the text is updated if the slider is moved to represent the appropriate value, but the text can also be edited and when validated, the slider's position updates accordingly.
This is because sometimes I like just moving the slider left and right to see of my system evolves, but sometimes I know exactly the value I want to try - and writing that value is way faster and intuitive than fine-tunning the slider's position.

One approach to do so is to create a bidrectionnaly link between a Slider and a Number, but it requires using the `state` approach which seems un-recommended, and not very satisfying for many reasons (need to declare several widgets in separte cellc, use mo.state):

```python
# put those 4 different cells
get_y, set_y = mo.state(0)

y_slider = mo.ui.slider(
    start=vmin,
    stop=vmax,
    value=get_y(),
    on_change=set_y,
    label=""y from slider:"",
)

y_number = mo.ui.number(
    start=vmin,
    stop=vmax,
    value=get_y(),
    on_change=set_y,
    label=""y from number:"",
)

y_slider, y_number
```

Back in ipython/ipywidgets, I was able to create a `QuantityTextSlider`, which was a pure python ipywidget that provided this feature (as well as a parsing to convert the actual value into a Quantity object, not just a float). See [example](https://github.com/mocquin/physipy-widgets/blob/main/notebooks/Physipy%20widgets%20for%20ipython.ipynb) and [code](https://github.com/mocquin/physipy-widgets/blob/94e42370d9f29dea0ae04f9ae0429580cfeaafd5/physipywidgets/qipywidgets.py#L326)

Another example of use is using a slider to browse images using the image component where the index of the image displayed is given by the slider : one could either browse left-to-right the images by sliding the slider, or go directly to a specific image given its index

Also applies to RangeSlider

### Suggested solution

Some kwarg using : `mo.ui.slider(include_text_box=bool)`

### Will you submit a PR?

- [ ] Yes

### Alternative

_No response_

### Additional context

_No response_",mocquin,36188368,closed,False,1,2025-05-12T11:09:01+00:00,2025-05-12T13:54:13+00:00,2025-05-12T13:54:12+00:00,enhancement,0,0,0,0,0,0,0
marimo-team/marimo,3056266620,4874,fix: `typos` failing on pre-commit CI,"## 📝 Summary

Fixes pre-commit failures following recommendation to set `pass_filenames: false` from https://github.com/crate-ci/typos/issues/926

## 🔍 Description of Changes

- [x] add the `pass_filenames: false` workaround
- [ ] fix typos in codebase which were smuggled through while the `typos` check was malfunctioning; :confused: while it passes on CI, it fails locally for me on:
   ```
    typos....................................................................Failed
    - hook id: typos
    - exit code: 2
    
    error: `fo` should be `of`, `for`, `do`, `go`, `to`
      --> ./codemirror-languageserver-marimo/src/utils.test.ts:117:35
        |
    117 |         expect(createMockContext(""fo"").matchBefore(pattern)).toEqual({
        |                                   ^^
        |
    error: `fo` should be `of`, `for`, `do`, `go`, `to`
      --> ./codemirror-languageserver-marimo/src/utils.test.ts:120:20
        |
    120 |             text: ""fo"",
        |                    ^^
        |
    ```

## 📋 Checklist

- [x] I have read the [contributor guidelines](https://github.com/marimo-team/marimo/blob/main/CONTRIBUTING.md).
- [x] I have run the code and verified that it works as expected.

## 📜 Reviewers

@mscolnick
",krassowski,5832902,closed,False,2,2025-05-12T09:16:34+00:00,2025-05-12T14:21:40+00:00,2025-05-12T14:18:03+00:00,,0,0,0,0,0,0,0
marimo-team/marimo,3055263231,4873,fix: drop internal row id in `table.value`,Fixes #4868,mscolnick,2753772,closed,False,4,2025-05-11T22:33:06+00:00,2025-05-12T14:02:51+00:00,2025-05-12T13:58:08+00:00,,0,0,0,0,0,0,0
