repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
marimo-team/marimo,najork,5108954,2023-08-14T21:30:17+00:00,User,Palo Alto,Nominal
marimo-team/marimo,delennc,29712687,2023-08-14T22:29:53+00:00,User,,
marimo-team/marimo,andreale28,35947304,2023-08-15T09:14:47+00:00,User,,
marimo-team/marimo,sopoforic,78205,2023-08-15T14:35:26+00:00,User,,
marimo-team/marimo,phschiele,44360364,2023-08-15T17:11:03+00:00,User,"Stanford, CA",
marimo-team/marimo,SteveDiamond,520736,2023-08-15T17:53:04+00:00,User,San Jose,Gridmatic
marimo-team/marimo,rileyjmurray,10662932,2023-08-15T21:11:23+00:00,User,"Livermore, CA",Sandia National Laboratories
marimo-team/marimo,husisy,17511292,2023-08-16T01:59:13+00:00,User,,
marimo-team/marimo,GalPerelman,53649764,2023-08-16T05:18:47+00:00,User,Tel Aviv,
marimo-team/marimo,clintval,4634699,2023-08-16T21:17:24+00:00,User,Seattle or Boston,@fulcrumgenomics
marimo-team/marimo,dsinghvi,10870189,2023-08-17T14:26:27+00:00,User,NYC,@fern-api
marimo-team/marimo,phvpavankumar,42317249,2023-08-17T23:15:40+00:00,User,Coimbatore,Amrita School of Engineering
marimo-team/marimo,faraza,6088888,2023-08-18T22:14:31+00:00,User,,
marimo-team/marimo,DavidFernandezBonet,77409031,2023-08-21T11:02:03+00:00,User,,
marimo-team/marimo,antgoldbloom,279027,2023-08-21T16:54:46+00:00,User,San Francisco,Sumble
marimo-team/marimo,watchsteve,34846343,2023-08-21T22:49:44+00:00,User,,
marimo-team/marimo,svishnu88,3419879,2023-08-22T04:51:17+00:00,User,Bengaluru,
marimo-team/marimo,HideruCorp,30341698,2023-08-22T05:18:23+00:00,User,"Tashkent, Uzbekistan",
marimo-team/marimo,dnth,6821286,2023-08-22T07:42:26+00:00,User,"Kuala Lumpur, Malaysia",
marimo-team/marimo,timnlupo,9003282,2023-08-22T16:31:26+00:00,User,"New York, NY",Deeptune
marimo-team/marimo,bamos,707462,2023-08-23T00:53:04+00:00,User,NYC,Meta (FAIR)
marimo-team/marimo,bstellato,5514200,2023-08-23T02:17:27+00:00,User,"Princeton, NJ",Princeton University
marimo-team/marimo,moskomule,11806234,2023-08-23T04:03:41+00:00,User,Tokyo,
marimo-team/marimo,mmhamdy,62081584,2023-08-23T04:15:30+00:00,User,"Cairo, Egypt",
marimo-team/marimo,rejuvyesh,1785175,2023-08-23T05:26:37+00:00,User,"Kirkland, WA",
marimo-team/marimo,fly51fly,128885,2023-08-23T06:01:14+00:00,User,BeiJing,PRIS
marimo-team/marimo,nipunbatra,60985,2023-08-23T06:07:22+00:00,User,Gandhinagar,IIT Gandhinagar
marimo-team/marimo,xiahaoyun,16172717,2023-08-23T06:26:28+00:00,User,Beijing China,"ICT, CAS"
marimo-team/marimo,gdahia,13017652,2023-08-23T11:11:01+00:00,User,,
marimo-team/marimo,nasheqlbrm,2651887,2023-08-23T11:31:23+00:00,User,,
marimo-team/marimo,putixiaozi,49516092,2023-08-23T12:50:47+00:00,User,shandong  china,shandong university
marimo-team/marimo,Sandalots,59518103,2023-08-23T13:18:46+00:00,User,,
marimo-team/marimo,chuanmingliu,1910024,2023-08-23T13:45:07+00:00,User,"Mars, Solar",Westeros
marimo-team/marimo,krzjoa,17183113,2023-08-23T13:48:36+00:00,User,"Poznań, Poland",CEVA Logistics
marimo-team/marimo,sanglinwei,29777197,2023-08-23T14:30:54+00:00,User,Nanjing,Southeast University
marimo-team/marimo,TheMemoryDealer,32904619,2023-08-23T14:41:47+00:00,User,United Kingdom,
marimo-team/marimo,YannicP,36176538,2023-08-23T14:58:21+00:00,User,"Munich, Germany",
marimo-team/marimo,llhbadboy,1784401,2023-08-23T15:08:57+00:00,User,Chengdu,dice7
marimo-team/marimo,windeye,2719628,2023-08-23T15:47:42+00:00,User,,
marimo-team/marimo,mwhittaker,3654277,2023-08-24T00:27:05+00:00,User,,@google
marimo-team/marimo,noghartt,47952043,2023-08-24T00:42:14+00:00,User,127.0.0.1,@firefliesai
marimo-team/marimo,dsx-ai,5644636,2023-08-24T03:02:27+00:00,User,shanghai,
marimo-team/marimo,XpChen79,82960238,2023-08-24T07:21:20+00:00,User,,
marimo-team/marimo,Antony-Jia,58219593,2023-08-24T09:51:38+00:00,User,,
marimo-team/marimo,FeiSun,982873,2023-08-24T10:27:32+00:00,User,Beijing,"Institute of Computing Technology, Chinese Academy of Sciences"
marimo-team/marimo,radao,2007531,2023-08-24T16:16:29+00:00,User,Amsterdam / Philadelphia,@scythe-robotics
marimo-team/marimo,meetps,6251729,2023-08-24T18:21:05+00:00,User,"Mountain View, CA",
marimo-team/marimo,T-tssxuan,6768813,2023-08-25T01:48:50+00:00,User,,
marimo-team/marimo,shamy1997,20695820,2023-08-25T08:47:28+00:00,User,Harbin,
marimo-team/marimo,lassepe,10076790,2023-08-25T12:39:56+00:00,User,,Delft University of Technology
