repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
matplotlib/matplotlib,ludwig,1056,2011-02-19T03:17:12+00:00,User,,
matplotlib/matplotlib,charlenopires,1365,2011-02-19T03:17:12+00:00,User,Amarante | PI | Brazil,
matplotlib/matplotlib,mrluanma,3856,2011-02-19T03:17:12+00:00,User,"Shanghai, China",
matplotlib/matplotlib,shelling,4980,2011-02-19T03:17:12+00:00,User,San Francisco,
matplotlib/matplotlib,mmkassem,6854,2011-02-19T03:17:12+00:00,User,Germany,
matplotlib/matplotlib,delonnewman,10404,2011-02-19T03:17:12+00:00,User,Northern Maine,Self
matplotlib/matplotlib,Bengt,11575,2011-02-19T03:17:12+00:00,User,"Oldenburg (Oldb), Lower-Saxony, Germany",
matplotlib/matplotlib,jbeisser,15849,2011-02-19T03:17:12+00:00,User,Sam's Clam Disco,
matplotlib/matplotlib,eddyxu,17097,2011-02-19T03:17:12+00:00,User,"San Francisco, CA",@lancedb
matplotlib/matplotlib,dfleischhacker,19403,2011-02-19T03:17:12+00:00,User,"Frankfurt am Main, Germany",DB Investment Services
matplotlib/matplotlib,wgrose,20191,2011-02-19T03:17:12+00:00,User,,
matplotlib/matplotlib,cournape,25111,2011-02-19T03:17:12+00:00,User,"Tokyo, Japan",AMAZON JP
matplotlib/matplotlib,shenker,27533,2011-02-19T03:17:12+00:00,User,"Cambridge, MA",
matplotlib/matplotlib,crimeminister,29072,2011-02-19T03:17:12+00:00,User,"Toronto, Canada",
matplotlib/matplotlib,tkf,29282,2011-02-19T03:17:12+00:00,User,,
matplotlib/matplotlib,astraw,30176,2011-02-19T03:17:12+00:00,User,"Freiburg, Germany",
matplotlib/matplotlib,janrito,31504,2011-02-19T03:17:12+00:00,User,London,@Beauhurst  
matplotlib/matplotlib,trwhitcomb,33401,2011-02-19T03:17:12+00:00,User,,
matplotlib/matplotlib,i3enhamin,34091,2011-02-19T03:17:12+00:00,User,"Seattle, WA",
matplotlib/matplotlib,malcolmreynolds,36041,2011-02-19T03:17:12+00:00,User,London,
matplotlib/matplotlib,mdboom,38294,2011-02-19T03:17:12+00:00,User,"Maryland, USA",Microsoft
matplotlib/matplotlib,jdh2358,38334,2011-02-19T03:17:12+00:00,User,"Chicago, IL",
matplotlib/matplotlib,nlhepler,38372,2011-02-19T03:17:12+00:00,User,,
matplotlib/matplotlib,goriccardo,41048,2011-02-19T03:17:12+00:00,User,Italy,
matplotlib/matplotlib,veeks,41502,2011-02-19T03:17:12+00:00,User,,
matplotlib/matplotlib,stefanv,45071,2011-02-19T03:17:12+00:00,User,"Berkeley, CA","University of California, Berkeley"
matplotlib/matplotlib,nrdufour,49407,2011-02-19T03:17:12+00:00,User,,Nav Technologies
matplotlib/matplotlib,sebleier,50522,2011-02-19T03:17:12+00:00,User,"San Luis Obispo, Ca",Myriad Genetics
matplotlib/matplotlib,jbuckner,51138,2011-02-19T03:17:12+00:00,User,"San Francisco, CA",
matplotlib/matplotlib,askielboe,52106,2011-02-19T03:17:12+00:00,User,"Copenhagen, Denmark",Motosumo @mO2tion
matplotlib/matplotlib,shiloa,52377,2011-02-19T03:17:12+00:00,User,Israel,
matplotlib/matplotlib,dcartoon,53167,2011-02-19T03:17:12+00:00,User,,
matplotlib/matplotlib,cwiz,55592,2011-02-19T03:17:12+00:00,User,"Moscow, Russia",
matplotlib/matplotlib,radford,55631,2011-02-19T03:17:12+00:00,User,,
matplotlib/matplotlib,shurik,56950,2011-02-19T03:17:12+00:00,User,"San Francisco, CA",@Sonato
matplotlib/matplotlib,fperez,57394,2011-02-19T03:17:12+00:00,User,"Berkeley, CA","University of California, Berkeley."
matplotlib/matplotlib,endolith,58611,2011-02-19T03:17:12+00:00,User,"New York, NY",
matplotlib/matplotlib,BioGeek,59344,2011-02-19T03:17:12+00:00,User,"Cape Town, South Africa",@instadeepai
matplotlib/matplotlib,seberg,61977,2011-02-19T03:17:12+00:00,User,,Nvidia
matplotlib/matplotlib,gzahl,65501,2011-02-19T03:17:12+00:00,User,Hamburg,
matplotlib/matplotlib,muraj,66276,2011-02-19T03:17:12+00:00,User,"San Jose, CA",NVIDIA Corp.
matplotlib/matplotlib,matthew-brett,67612,2011-02-19T03:17:12+00:00,User,"Birmingham, UK",
matplotlib/matplotlib,michaelaye,69774,2011-02-19T03:17:12+00:00,User,"Berlin, Germany",Freie Uni Berlin
matplotlib/matplotlib,satonaoya,71085,2011-02-19T03:17:12+00:00,User,,
matplotlib/matplotlib,jun9,71697,2011-02-19T03:17:12+00:00,User,,
matplotlib/matplotlib,chachra,73096,2011-02-19T03:17:12+00:00,User,"San Francisco, CA 94115",CapeZero
matplotlib/matplotlib,senyai,76137,2011-02-19T03:17:12+00:00,User,"Moscow, Russia",
matplotlib/matplotlib,eluttner,77336,2011-02-19T03:17:12+00:00,User,,
matplotlib/matplotlib,efiring,85125,2011-02-19T03:17:12+00:00,User,"Honolulu, Hawaii",University of Hawaii
matplotlib/matplotlib,ido,85574,2011-02-19T03:17:12+00:00,User,"Palo Alto, CA",
