repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
microsoft/Data-Science-For-Beginners,paladique,1414307,2021-06-14T21:18:43+00:00,User,"Brooklyn, NY",@Microsoft 
microsoft/Data-Science-For-Beginners,icbdubey,76098054,2021-09-11T19:00:23+00:00,User,,
microsoft/Data-Science-For-Beginners,TechDPi,89943228,2021-09-28T22:46:24+00:00,User,Denmark,
microsoft/Data-Science-For-Beginners,konabuta,3815677,2021-09-29T00:13:12+00:00,User,Tokyo,Microsoft
microsoft/Data-Science-For-Beginners,woxip0,1747572,2021-09-29T01:53:20+00:00,User,Venezuela,
microsoft/Data-Science-For-Beginners,punitvara,9531144,2021-09-29T06:36:48+00:00,User,"Bangalore, India",Machine Learning Engineer - III at Moneyview
microsoft/Data-Science-For-Beginners,thetalmid,68828851,2021-09-29T07:08:15+00:00,User,,
microsoft/Data-Science-For-Beginners,sfoteini,65664664,2021-09-29T17:03:22+00:00,User,Greece,NET2GRID
microsoft/Data-Science-For-Beginners,Diganta-droid,57372132,2021-09-29T17:05:50+00:00,User,"Pocketgate,Fulbarigate,KUET,Khulna-9203",Khulna University Of Engineering & Technology (KUET)
microsoft/Data-Science-For-Beginners,KalEl1938,25681390,2021-09-29T17:46:38+00:00,User,,
microsoft/Data-Science-For-Beginners,yurtseveronr,67547860,2021-09-29T17:53:22+00:00,User,"İstanbul,Turkey",@Commencis
microsoft/Data-Science-For-Beginners,AlexC84,25059737,2021-09-29T18:06:47+00:00,User,,
microsoft/Data-Science-For-Beginners,algustionesa,5170612,2021-09-29T18:31:51+00:00,User,Overseas,
microsoft/Data-Science-For-Beginners,jlord,1305617,2021-09-29T18:38:27+00:00,User,"London, England",
microsoft/Data-Science-For-Beginners,Abdul-Hafeez-Galib,77202232,2021-09-29T18:41:02+00:00,User,Kannur,
microsoft/Data-Science-For-Beginners,RohitY24,35281343,2021-09-29T19:06:40+00:00,User,India,
microsoft/Data-Science-For-Beginners,jimbobbennett,1710385,2021-09-29T19:21:26+00:00,User,"Redmond, USA",Galileo
