repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
microsoft/ML-For-Beginners,abhi-bhatra,63901956,2021-06-04T09:25:31+00:00,User,JAIPUR,@github
microsoft/ML-For-Beginners,paladique,1414307,2021-06-29T18:46:36+00:00,User,"Brooklyn, NY",@Microsoft 
microsoft/ML-For-Beginners,changhefirst,9982233,2021-06-30T00:23:38+00:00,User,,
microsoft/ML-For-Beginners,mrsmiles9,75179483,2021-06-30T04:36:04+00:00,User,Folscom,JB&A
microsoft/ML-For-Beginners,tagazok,2637742,2021-06-30T05:55:15+00:00,User,"Paris, France",@aws
microsoft/ML-For-Beginners,MohammedEsafi,47392041,2021-06-30T12:28:08+00:00,User,Morocco,
microsoft/ML-For-Beginners,maud-lv,18214541,2021-06-30T12:46:45+00:00,User,Paris,
microsoft/ML-For-Beginners,mrksbnc,23279421,2021-06-30T12:56:16+00:00,User,Berlin,Valarian
microsoft/ML-For-Beginners,softchris,4598064,2021-06-30T12:58:05+00:00,User,London,Microsoft
microsoft/ML-For-Beginners,padshea,5366219,2021-06-30T13:17:47+00:00,User,,
microsoft/ML-For-Beginners,Neo42,22409868,2021-06-30T13:27:38+00:00,User,"Adelaide, SA",
microsoft/ML-For-Beginners,sfoteini,65664664,2021-06-30T13:30:44+00:00,User,Greece,NET2GRID
microsoft/ML-For-Beginners,JustJordanT,38886930,2021-06-30T13:45:03+00:00,User,@TX,
microsoft/ML-For-Beginners,Ken21235,84397298,2021-06-30T14:01:15+00:00,User,,
microsoft/ML-For-Beginners,anieshak,20052332,2021-06-30T14:08:25+00:00,User,Bangalore,AK&Co
microsoft/ML-For-Beginners,kevball2,22545150,2021-06-30T14:13:02+00:00,User,"North Carolina, USA",Leidos
microsoft/ML-For-Beginners,Regalian,1615657,2021-06-30T14:20:50+00:00,User,Alcester,
microsoft/ML-For-Beginners,gokhanbas,5337005,2021-06-30T14:32:05+00:00,User,,
microsoft/ML-For-Beginners,henrywallace,2768233,2021-06-30T14:41:01+00:00,User,localhost,@salesforce
microsoft/ML-For-Beginners,betulunver,30605842,2021-06-30T14:45:58+00:00,User,Istanbul,
microsoft/ML-For-Beginners,federicozanardo,32157511,2021-06-30T14:56:18+00:00,User,,
microsoft/ML-For-Beginners,sangam14,21982562,2021-06-30T15:16:55+00:00,User,,
microsoft/ML-For-Beginners,canilloa,79288641,2021-06-30T15:21:27+00:00,User,Toronto,
microsoft/ML-For-Beginners,madebygps,6733686,2021-06-30T15:26:55+00:00,User,NYC,Microsoft
microsoft/ML-For-Beginners,azizoglu,9085450,2021-06-30T15:42:50+00:00,User,Turkey,
microsoft/ML-For-Beginners,RayWP,54213470,2021-06-30T15:46:15+00:00,User,Taiwan,National Cheng Kung University
microsoft/ML-For-Beginners,lykelly19,40868256,2021-06-30T15:51:26+00:00,User,,
microsoft/ML-For-Beginners,ramanaditya,32497523,2021-06-30T15:53:47+00:00,User,"Bangalore, India",@Dextego
microsoft/ML-For-Beginners,skinan,46783803,2021-06-30T15:53:55+00:00,User,Australia,@TechLearnersInc
microsoft/ML-For-Beginners,samilamti,1975185,2021-06-30T16:04:36+00:00,User,Behind you,
microsoft/ML-For-Beginners,florianwachs,2216547,2021-06-30T16:11:50+00:00,User,,
microsoft/ML-For-Beginners,Majd223,76471403,2021-06-30T17:02:16+00:00,User,,
microsoft/ML-For-Beginners,sinedied,593151,2021-06-30T17:37:47+00:00,User,France,@Microsoft
microsoft/ML-For-Beginners,vuon9,3168632,2021-06-30T17:41:49+00:00,User,Vietnam,
microsoft/ML-For-Beginners,ialrumaih,26921179,2021-06-30T17:42:15+00:00,User,"Riyadh, Saudi Arabia",
microsoft/ML-For-Beginners,ivansekularac,48685566,2021-06-30T17:43:51+00:00,User,"Belgrade, Serbia",
microsoft/ML-For-Beginners,mabodofutk,32256767,2021-06-30T17:44:03+00:00,User,,
microsoft/ML-For-Beginners,rkuma18,18090087,2021-06-30T17:46:27+00:00,User,Pune ,
microsoft/ML-For-Beginners,uniyalabhishek,56363630,2021-06-30T17:48:19+00:00,User,orion arm,
microsoft/ML-For-Beginners,peeweetje,19653954,2021-06-30T17:49:50+00:00,User,Nederland, @infinitaslearning 
microsoft/ML-For-Beginners,rytina,3081779,2021-06-30T17:56:33+00:00,User,"Stuttgart, Germany",
microsoft/ML-For-Beginners,raphaellsmoraes,6207119,2021-06-30T17:59:48+00:00,User,,
microsoft/ML-For-Beginners,giolvani,2387872,2021-06-30T18:02:09+00:00,User,Foz do Iguacu - PR,
microsoft/ML-For-Beginners,andytktsai,7195181,2021-06-30T18:02:49+00:00,User,,
microsoft/ML-For-Beginners,ajayku19,50428623,2021-06-30T18:07:36+00:00,User,USA,
microsoft/ML-For-Beginners,g-cast,13857265,2021-06-30T18:08:28+00:00,User,Brazil,
microsoft/ML-For-Beginners,hchoroomi,338,2021-06-30T18:18:53+00:00,User,,
microsoft/ML-For-Beginners,JoshDSommer,1486275,2021-06-30T18:34:05+00:00,User,,
microsoft/ML-For-Beginners,tnek213,13382024,2021-06-30T18:47:43+00:00,User,Sweden,@c8se
microsoft/ML-For-Beginners,M-Sayer,64862596,2021-06-30T18:54:53+00:00,User,USA,
