repo_full_name,pr_id,number,title,body,user_login,user_id,state,draft,created_at,updated_at,closed_at,merged_at,merge_commit_sha,mergeable_state,additions,deletions,changed_files,commits_count,review_comments_count,comments_count,requested_reviewers,requested_teams,labels
microsoft/nni,210320950,1,Add IC and build status support,,goooxu,22703054,closed,False,2018-08-23T03:29:46+00:00,2018-08-23T03:39:59+00:00,2018-08-23T03:39:59+00:00,2018-08-23T03:39:59+00:00,34f6858c9de6d4a5a73d78f3cb4da5adca5731d7,unknown,30,8,3,1,0,0,QuanluZhang;yds05;chicm-ms,,
microsoft/nni,210355527,2,Fixed CI build issues,,goooxu,22703054,closed,False,2018-08-23T07:32:00+00:00,2018-08-23T07:47:48+00:00,2018-08-23T07:47:48+00:00,2018-08-23T07:47:48+00:00,f1f6f880a0ef96979efcae83d6510a21f75a3958,unknown,43,45,13,1,0,0,,,
microsoft/nni,210471703,3,Modify experiment config for CI test,"- the python ran by exec in typescript is not the python in the venv of travis
- since our sdk is installed in venv
- this causes some import error",Crysple,20517842,closed,False,2018-08-23T14:39:19+00:00,2018-08-31T03:36:11+00:00,2018-08-31T03:36:11+00:00,2018-08-31T03:36:11+00:00,745f2520bf16c4c0f65063084401ba0a19618b74,unknown,28,28,1,33,0,2,,,
microsoft/nni,210720512,4,[Code merge] Merge code from dogfood-v1 branch,Merge code from dogfood-v1 branch. Most of the commits are bug fixes.,yds05,1079650,closed,False,2018-08-24T12:00:45+00:00,2018-09-13T09:51:23+00:00,2018-08-24T12:03:52+00:00,2018-08-24T12:03:52+00:00,87ed70cd5fc0e88551899d07a2614def1964a84a,unknown,589,274,43,1,0,0,chicm-ms;QuanluZhang;Crysple,,
microsoft/nni,213883592,5,Merge from dogfood branch to master,"1. code refactor(Tuner/Assessor)
2. improve installation experiment
3. bugs fix",yds05,1079650,closed,False,2018-09-07T10:23:42+00:00,2018-09-13T09:51:28+00:00,2018-09-07T11:49:23+00:00,2018-09-07T11:49:23+00:00,a2b2c56d93e1c65ba540fb0667e53a3f6cdc412c,unknown,3375,2419,124,3,0,0,goooxu;scarlett2018;xuehui1991,,
microsoft/nni,213906204,6,Update README.md,trail -> trial,QuanluZhang,16907603,closed,False,2018-09-07T12:01:04+00:00,2018-09-09T07:52:48+00:00,2018-09-07T12:08:01+00:00,2018-09-07T12:08:01+00:00,adebc77639e30a987f9fe6e0a9e64627e0280858,unknown,1,1,1,1,0,0,chicm-ms,,
microsoft/nni,213909137,7,Update README.md,update nni github repo url,QuanluZhang,16907603,closed,False,2018-09-07T12:14:06+00:00,2018-09-09T07:52:25+00:00,2018-09-07T12:28:58+00:00,2018-09-07T12:28:58+00:00,4177f713408d0a8c82cb7ecc270b5b21de92d8ef,unknown,1,1,1,1,0,0,yds05;chicm-ms;xuehui1991,,
microsoft/nni,213909848,8,Update GetStarted.md,,QuanluZhang,16907603,closed,False,2018-09-07T12:17:14+00:00,2018-09-09T07:52:23+00:00,2018-09-07T12:29:19+00:00,2018-09-07T12:29:19+00:00,335a0a89126f784fbb03eae713ee0f04cab34033,unknown,2,2,1,1,0,0,yds05;chicm-ms;xuehui1991,,
microsoft/nni,213912496,9,Update README.md,minor changes for Readme,scarlett2018,39592018,closed,False,2018-09-07T12:28:27+00:00,2018-09-11T05:48:39+00:00,2018-09-07T12:31:55+00:00,2018-09-07T12:31:55+00:00,7f260be2df75982dcd30ca33929f648eb0640640,unknown,9,8,1,1,0,0,yds05,,
microsoft/nni,213916255,10,Update setup.py,update setup.py,QuanluZhang,16907603,closed,False,2018-09-07T12:43:21+00:00,2018-09-09T07:52:17+00:00,2018-09-07T12:59:50+00:00,2018-09-07T12:59:50+00:00,18c75949174ccf93ebc0f151c112389aa86e7265,unknown,1,1,1,1,0,0,scarlett2018;yds05;chicm-ms;goooxu,,
