repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
microsoft/nni,QuanluZhang,16907603,2018-08-21T02:11:21+00:00,User,,
microsoft/nni,kitstar,9545003,2018-08-23T08:04:53+00:00,User,Beijing,Microsoft
microsoft/nni,hwuu,7257612,2018-08-30T09:01:43+00:00,User,,@Microsoft 
microsoft/nni,lvybriage,35484733,2018-08-31T02:59:48+00:00,User,,Inspur
microsoft/nni,yds05,1079650,2018-09-07T12:02:42+00:00,User,China,
microsoft/nni,SparkSnail,22682999,2018-09-07T12:42:26+00:00,User,,
microsoft/nni,gongwuji,10485726,2018-09-07T12:56:39+00:00,User,,
microsoft/nni,chicm,8074137,2018-09-07T13:42:55+00:00,User,,
microsoft/nni,intoraw,1302872,2018-09-11T07:03:25+00:00,User,,
microsoft/nni,hao1939,1547343,2018-09-11T07:41:50+00:00,User,,Microsoft
microsoft/nni,Imagist-Shuo,15102787,2018-09-11T07:42:03+00:00,User,"Beijing, China",Beihang University
microsoft/nni,hitercs,13469054,2018-09-11T07:42:18+00:00,User,"Haidian, Beijing",Harbin Institute of Technology
microsoft/nni,Turlan,12882509,2018-09-11T07:42:53+00:00,User,,
microsoft/nni,ydye,8675883,2018-09-11T07:53:52+00:00,User,Suzhou,Microsoft
microsoft/nni,yrchen92,23690398,2018-09-11T07:59:01+00:00,User,,
microsoft/nni,xysmlx,7117752,2018-09-11T07:59:20+00:00,User,"Beijing, China",Microsoft Research Asia
microsoft/nni,countif,8124386,2018-09-11T08:07:07+00:00,User,"Beijing, China",Peking University
microsoft/nni,yiylin,15103725,2018-09-11T09:06:05+00:00,User,,Microsoft
microsoft/nni,OdinLin,1776954,2018-09-11T10:32:57+00:00,User,,
microsoft/nni,Andy0731,13774935,2018-09-11T10:35:28+00:00,User,,
microsoft/nni,chylvina,886818,2018-09-11T10:55:29+00:00,User,"Beijing, China",
microsoft/nni,yukang2017,24690867,2018-09-11T10:57:42+00:00,User,,NVIDIA
microsoft/nni,zhuimin,31024491,2018-09-11T11:01:02+00:00,User,,
microsoft/nni,yangzw,1572701,2018-09-11T11:05:08+00:00,User,,
microsoft/nni,JeffreySu,2281927,2018-09-11T11:16:23+00:00,User,"Suzhou, China",Senparc
microsoft/nni,Albanbrooke,7025002,2018-09-11T11:45:18+00:00,User,,
microsoft/nni,1452712,13314613,2018-09-11T12:06:11+00:00,User,,
microsoft/nni,tkezyo,11564410,2018-09-11T12:26:00+00:00,User,WeiFang,
microsoft/nni,ahong007007,22077027,2018-09-11T12:51:34+00:00,User,,
microsoft/nni,LinXiyao,6965860,2018-09-11T12:58:04+00:00,User,,
microsoft/nni,Frenda,5487442,2018-09-11T13:01:10+00:00,User,北高文艺部,
microsoft/nni,ctolib,19563593,2018-09-11T13:22:05+00:00,User,,
microsoft/nni,enduringstack,25880133,2018-09-11T13:24:52+00:00,User,,
microsoft/nni,aarondancer,6971336,2018-09-11T13:49:49+00:00,User,"Houston, Texas",
microsoft/nni,SeriaWei,6006218,2018-09-11T14:16:01+00:00,User,ShenZhen,ZKEASOFT
microsoft/nni,umbriel47,4360597,2018-09-11T15:45:17+00:00,User,Beijing,XtalPi
microsoft/nni,artem-v-shamsutdinov,8131229,2018-09-12T00:40:53+00:00,User,"Castle Rock, CO","Deltek, Inc"
microsoft/nni,kyokagong,12095247,2018-09-12T00:55:02+00:00,User,Shenzhen,Tencent
microsoft/nni,hrwhisper,10042217,2018-09-12T00:57:44+00:00,User,"Beijing, China.",Baidu Apollo
microsoft/nni,qiaohaijun,1198833,2018-09-12T01:50:46+00:00,User,"Beijing,China",
microsoft/nni,cxyin,5427585,2018-09-12T01:53:08+00:00,User,,
microsoft/nni,utwodownson,1954505,2018-09-12T02:06:30+00:00,User,Beijing,NULL
microsoft/nni,xxg1413,1381803,2018-09-12T02:11:26+00:00,User,China,
microsoft/nni,crownpku,2224389,2018-09-12T02:19:38+00:00,User,Singapore,Manulife
microsoft/nni,huafengw,5011399,2018-09-12T02:24:02+00:00,User,china shanghai,Alibaba
microsoft/nni,itsliupeng,680843,2018-09-12T02:28:42+00:00,User,Beijing,
microsoft/nni,KeyKy,2967075,2018-09-12T02:42:26+00:00,User,,
microsoft/nni,yangxingpping,2830738,2018-09-12T02:53:40+00:00,User,guangzhou guangdong province,ggyy
microsoft/nni,YitongFeng,11583225,2018-09-12T02:59:13+00:00,User,"IA, CAS, Beijing",@Microsoft 
microsoft/nni,lifulong,450539,2018-09-12T03:12:55+00:00,User,Beijing,XXXX
