repo_full_name,issue_id,number,title,body,user_login,user_id,state,locked,comments_count,created_at,updated_at,closed_at,labels,reactions_total,reactions_plus1,reactions_minus1,reactions_laugh,reactions_hooray,reactions_confused,reactions_heart
ml-tooling/best-of-ml-python,3049323899,379,Best-of update: 2025.05.08,"To finish this update: Select <code>Merge pull request</code> below and <code>Confirm merge</code>. Also, make sure to publish the created draft release in the [releases section](../releases) as well.",github-actions[bot],41898282,closed,False,0,2025-05-08T15:13:13+00:00,2025-05-08T15:46:14+00:00,2025-05-08T15:46:12+00:00,,0,0,0,0,0,0,0
ml-tooling/best-of-ml-python,3034070385,377,Best-of update: 2025.05.01,"To finish this update: Select <code>Merge pull request</code> below and <code>Confirm merge</code>. Also, make sure to publish the created draft release in the [releases section](../releases) as well.",github-actions[bot],41898282,open,False,0,2025-05-01T15:10:05+00:00,2025-05-01T15:10:05+00:00,,,0,0,0,0,0,0,0
ml-tooling/best-of-ml-python,3027687378,376,Add project: skrub,"**What kind of change does this PR introduce?**
<!-- (Update ""[ ]"" to ""[x]"" to check a box) -->

- [x] Add a project
- [ ] Update a project
- [ ] Remove a project
- [ ] Add or update a category
- [ ] Change configuration
- [ ] Documentation
- [ ] Other, please describe:

**Description:**
<!--- Use this section to describe your changes. We recommend only to add, update, or remove one project per pull request. If your PR adds a new project, just put the project name and a short description of the project here.-->
Adding [skrub](https://github.com/skrub-data/skrub), a package that eases preprocessing and feature engineering for tabular machine learning. 

**Checklist:**
<!--- Before you submit the PR, go over this checklist and make sure you can
tick off all the boxes. [] -> [x] -->

- [x] I have read the [CONTRIBUTING](https://github.com/ml-tooling/best-of-ml-python/blob/main/CONTRIBUTING.md) guidelines.
- [x] I have not modified the `README.md` file. Projects are only supposed to be added or updated within the `projects.yaml` file since the `README.md` file is automatically generated.
",rcap107,7548232,closed,False,0,2025-04-29T09:36:49+00:00,2025-04-29T18:41:42+00:00,2025-04-29T18:41:42+00:00,,0,0,0,0,0,0,0
ml-tooling/best-of-ml-python,3017625875,375,Best-of update: 2025.04.24,"To finish this update: Select <code>Merge pull request</code> below and <code>Confirm merge</code>. Also, make sure to publish the created draft release in the [releases section](../releases) as well.",github-actions[bot],41898282,closed,False,0,2025-04-24T15:14:50+00:00,2025-04-24T18:00:59+00:00,2025-04-24T18:00:57+00:00,,0,0,0,0,0,0,0
ml-tooling/best-of-ml-python,3002802674,374,Best-of update: 2025.04.17,"To finish this update: Select <code>Merge pull request</code> below and <code>Confirm merge</code>. Also, make sure to publish the created draft release in the [releases section](../releases) as well.",github-actions[bot],41898282,closed,False,0,2025-04-17T15:18:31+00:00,2025-04-18T14:39:47+00:00,2025-04-18T14:39:46+00:00,,0,0,0,0,0,0,0
ml-tooling/best-of-ml-python,2986038523,373,Best-of update: 2025.04.10,"To finish this update: Select <code>Merge pull request</code> below and <code>Confirm merge</code>. Also, make sure to publish the created draft release in the [releases section](../releases) as well.",github-actions[bot],41898282,closed,False,0,2025-04-10T15:16:04+00:00,2025-04-10T19:48:35+00:00,2025-04-10T19:48:34+00:00,,0,0,0,0,0,0,0
ml-tooling/best-of-ml-python,2969945109,372,Best-of update: 2025.04.03,"To finish this update: Select <code>Merge pull request</code> below and <code>Confirm merge</code>. Also, make sure to publish the created draft release in the [releases section](../releases) as well.",github-actions[bot],41898282,closed,False,0,2025-04-03T15:13:11+00:00,2025-04-03T15:24:22+00:00,2025-04-03T15:24:20+00:00,,0,0,0,0,0,0,0
ml-tooling/best-of-ml-python,2953391190,371,Best-of update: 2025.03.27,"To finish this update: Select <code>Merge pull request</code> below and <code>Confirm merge</code>. Also, make sure to publish the created draft release in the [releases section](../releases) as well.",github-actions[bot],41898282,closed,False,0,2025-03-27T15:14:47+00:00,2025-03-27T15:40:03+00:00,2025-03-27T15:40:01+00:00,,0,0,0,0,0,0,0
ml-tooling/best-of-ml-python,2935849195,370,Best-of update: 2025.03.20,"To finish this update: Select <code>Merge pull request</code> below and <code>Confirm merge</code>. Also, make sure to publish the created draft release in the [releases section](../releases) as well.",github-actions[bot],41898282,closed,False,0,2025-03-20T15:19:51+00:00,2025-03-20T15:23:55+00:00,2025-03-20T15:23:53+00:00,,0,0,0,0,0,0,0
ml-tooling/best-of-ml-python,2934246835,369,Added Dynamo,"**What kind of change does this PR introduce?**
<!-- (Update ""[ ]"" to ""[x]"" to check a box) -->

- [x] Add a project
- [ ] Update a project
- [ ] Remove a project
- [x] Add or update a category
- [ ] Change configuration
- [ ] Documentation
- [ ] Other, please describe:

**Description:**
- Added new category ""inference""
- Added new project Dynamo

**Checklist:**
<!--- Before you submit the PR, go over this checklist and make sure you can
tick off all the boxes. [] -> [x] -->

- [x] I have read the [CONTRIBUTING](https://github.com/ml-tooling/best-of-ml-python/blob/main/CONTRIBUTING.md) guidelines.
- [x] I have not modified the `README.md` file. Projects are only supposed to be added or updated within the `projects.yaml` file since the `README.md` file is automatically generated.
",dmitrytokarev,7370035,open,False,0,2025-03-20T06:26:13+00:00,2025-03-20T06:26:13+00:00,,,0,0,0,0,0,0,0
ml-tooling/best-of-ml-python,2917557797,368,Best-of update: 2025.03.13,"To finish this update: Select <code>Merge pull request</code> below and <code>Confirm merge</code>. Also, make sure to publish the created draft release in the [releases section](../releases) as well.",github-actions[bot],41898282,closed,False,0,2025-03-13T15:22:22+00:00,2025-03-13T18:39:15+00:00,2025-03-13T18:39:13+00:00,,0,0,0,0,0,0,0
ml-tooling/best-of-ml-python,2904893955,367,Add project: effector,"Add project: effector

**What kind of change does this PR introduce?**
<!-- (Update ""[ ]"" to ""[x]"" to check a box) -->

- [x] Add a project
- [ ] Update a project
- [ ] Remove a project
- [ ] Add or update a category
- [ ] Change configuration
- [ ] Documentation
- [ ] Other, please describe:

**Description:**
add project: effector.
effector is a python package that explains black box models that are trained on tabular data, using global and regional effect plots

**Checklist:**
<!--- Before you submit the PR, go over this checklist and make sure you can
tick off all the boxes. [] -> [x] -->

- [x] I have read the [CONTRIBUTING](https://github.com/ml-tooling/best-of-ml-python/blob/main/CONTRIBUTING.md) guidelines.
-  I have not modified the `README.md` file. Projects are only supposed to be added or updated within the `projects.yaml` file since the `README.md` file is automatically generated.
",givasile,20007837,closed,False,0,2025-03-08T16:34:10+00:00,2025-03-08T19:38:20+00:00,2025-03-08T19:38:20+00:00,,0,0,0,0,0,0,0
ml-tooling/best-of-ml-python,2900674279,366,Best-of update: 2025.03.06,"To finish this update: Select <code>Merge pull request</code> below and <code>Confirm merge</code>. Also, make sure to publish the created draft release in the [releases section](../releases) as well.",github-actions[bot],41898282,closed,False,0,2025-03-06T15:07:19+00:00,2025-03-06T15:26:29+00:00,2025-03-06T15:26:27+00:00,,0,0,0,0,0,0,0
ml-tooling/best-of-ml-python,2884827787,365,Best-of update: 2025.02.27,"To finish this update: Select <code>Merge pull request</code> below and <code>Confirm merge</code>. Also, make sure to publish the created draft release in the [releases section](../releases) as well.",github-actions[bot],41898282,closed,False,0,2025-02-27T15:16:24+00:00,2025-02-27T15:19:24+00:00,2025-02-27T15:19:22+00:00,,0,0,0,0,0,0,0
ml-tooling/best-of-ml-python,2866447404,364,Best-of update: 2025.02.20,"To finish this update: Select <code>Merge pull request</code> below and <code>Confirm merge</code>. Also, make sure to publish the created draft release in the [releases section](../releases) as well.",github-actions[bot],41898282,closed,False,0,2025-02-20T15:08:17+00:00,2025-02-20T15:38:47+00:00,2025-02-20T15:38:45+00:00,,0,0,0,0,0,0,0
