repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
mwaskom/seaborn,swederik,607793,2013-06-11T11:39:19+00:00,User,"Rotterdam, The Netherlands",Yunu
mwaskom/seaborn,Gilles86,1112270,2013-09-17T13:20:14+00:00,User,Amsterdam,Vrije Universiteit
mwaskom/seaborn,ihrke,1140241,2013-09-17T18:43:14+00:00,User,"Tromsø, Norway",University of Tromsø
mwaskom/seaborn,jmcarp,1633460,2013-10-15T03:47:03+00:00,User,,
mwaskom/seaborn,tsubame959,510355,2013-10-28T14:38:42+00:00,User,,
mwaskom/seaborn,huashuai,256761,2013-10-28T14:45:44+00:00,User,,
mwaskom/seaborn,zaxtax,8529,2013-10-28T20:23:56+00:00,User,,
mwaskom/seaborn,haraball,25930,2013-10-28T20:24:31+00:00,User,"Offenbach am Main, Germany",
mwaskom/seaborn,ethanwhite,744427,2013-10-28T20:31:18+00:00,User,"Gainesville, FL","@weecology, Univ of Florida "
mwaskom/seaborn,jquacinella,137634,2013-10-28T20:35:03+00:00,User,,
mwaskom/seaborn,daler,115406,2013-10-28T21:11:44+00:00,User,"Bethesda, MD",
mwaskom/seaborn,fdeheeger,473756,2013-10-28T21:17:40+00:00,User,,
mwaskom/seaborn,rainforest-of-code,682552,2013-10-28T21:43:56+00:00,User,,
mwaskom/seaborn,flashus,415021,2013-10-28T22:23:54+00:00,User,,
mwaskom/seaborn,clayheaton,205364,2013-10-28T23:01:41+00:00,User,"Raleigh, NC",
mwaskom/seaborn,mpelko,263400,2013-10-28T23:05:00+00:00,User,,
mwaskom/seaborn,culturedbun,641780,2013-10-29T00:05:00+00:00,User,Jakarta ,
mwaskom/seaborn,talevy,388837,2013-10-29T01:16:19+00:00,User,,
mwaskom/seaborn,johnymontana,1222454,2013-10-29T02:35:35+00:00,User,Yay Area!,@hypermodeinc
mwaskom/seaborn,XiaoJianfeng,3390600,2013-10-29T05:26:37+00:00,User,,
mwaskom/seaborn,enriquefernandez,709535,2013-10-29T05:31:20+00:00,User,"Cambridge, Massachusetts",
mwaskom/seaborn,juanu,654772,2013-10-29T07:21:53+00:00,User,"Santiago, Chile",
mwaskom/seaborn,martijnvermaat,623509,2013-10-29T07:41:00+00:00,User,Amsterdam,
mwaskom/seaborn,yoavram,1288133,2013-10-29T08:11:29+00:00,User,Israel,Tel Aviv University
mwaskom/seaborn,riivo,66665,2013-10-29T08:41:01+00:00,User,"Tartu, Estonia",
mwaskom/seaborn,craigcitro,468559,2013-10-29T08:45:02+00:00,User,"Lopez Island, WA",Anthropic
mwaskom/seaborn,theofilis,475517,2013-10-29T09:18:14+00:00,User,"Athens, Greece",Software Engineer at Kaizen Gaming (Stoiximan/Betano)
mwaskom/seaborn,oceanio,2815280,2013-10-29T09:44:16+00:00,User,,
mwaskom/seaborn,chapmanb,39391,2013-10-29T10:41:51+00:00,User,"Boston, MA",Ginkgo Bioworks
mwaskom/seaborn,jankatins,890156,2013-10-29T14:15:59+00:00,User,"Berlin, Germany",
mwaskom/seaborn,eriknw,2058401,2013-10-29T15:28:00+00:00,User,"Austin, TX",
mwaskom/seaborn,brwnj,786366,2013-10-29T20:34:43+00:00,User,"Portland, OR",Labcorp
mwaskom/seaborn,ekianjo,2460824,2013-10-30T07:40:24+00:00,User,,
mwaskom/seaborn,hammer,15233,2013-10-31T05:41:37+00:00,User,,
mwaskom/seaborn,pzwang,543576,2013-11-04T03:53:07+00:00,User,,"Anaconda, Inc. (formerly Continuum Analytics)"
mwaskom/seaborn,joferkington,906803,2013-11-04T14:34:00+00:00,User,"Houston, TX, USA",@planetlabs 
mwaskom/seaborn,paulgb,46173,2013-11-04T14:41:41+00:00,User,"Brooklyn, NY",Jamsocket
mwaskom/seaborn,mattharrison,119405,2013-11-04T15:19:20+00:00,User,Utah,MetaSnake
mwaskom/seaborn,markkernke,1764870,2013-11-04T17:23:06+00:00,User,,
mwaskom/seaborn,offero,4681330,2013-11-04T19:07:54+00:00,User,,
mwaskom/seaborn,laprice,72018,2013-11-04T21:49:21+00:00,User,"Eugene, Oregon",Industrial Intellect
mwaskom/seaborn,metakermit,1818628,2013-11-04T23:12:56+00:00,User,Zagreb / Vienna,@punkrockdev 
mwaskom/seaborn,mgaitan,2355719,2013-11-05T04:01:30+00:00,User,"Córdoba, Argentina",
mwaskom/seaborn,mmazaheri,3961460,2013-11-05T05:51:06+00:00,User,,
mwaskom/seaborn,timmie,11860,2013-11-05T08:54:45+00:00,User,,
mwaskom/seaborn,mdagost,1334817,2013-11-05T22:34:58+00:00,User,Chi-town,Tegus
mwaskom/seaborn,daleroberts,582436,2013-11-05T23:05:35+00:00,User,,
mwaskom/seaborn,kyzyl,1373353,2013-11-05T23:26:24+00:00,User,"Vancouver, BC",
mwaskom/seaborn,kitelife,834231,2013-11-06T01:43:23+00:00,User,Shanghai,
mwaskom/seaborn,khughitt,125001,2013-11-06T03:04:11+00:00,User,"Bethesda, MD",National Institutes of Health
