repo_full_name,issue_id,number,title,body,user_login,user_id,state,locked,comments_count,created_at,updated_at,closed_at,labels,reactions_total,reactions_plus1,reactions_minus1,reactions_laugh,reactions_hooray,reactions_confused,reactions_heart
ossu/data-science,3037979659,138,My os contribution,"Hey you can ignore this PR
i did this just to teach my students how to raise PR",ghost,10137,closed,False,1,2025-05-04T12:29:18+00:00,2025-05-04T14:18:38+00:00,2025-05-04T14:18:08+00:00,,0,0,0,0,0,0,0
ossu/data-science,3027792742,137,fix: Updated broken link for Statistical Learning with Python,Fix: Update broken link for Statistical Learning with Python EdX course,sugaulee,86834637,closed,False,0,2025-04-29T10:15:17+00:00,2025-04-30T05:07:39+00:00,2025-04-30T05:07:39+00:00,,0,0,0,0,0,0,0
ossu/data-science,2991783831,136,Replace link to FAQ with Pre-College Math,Update resource for High School Math prerequisites.,Flomza,83545712,open,False,0,2025-04-14T03:33:40+00:00,2025-04-14T03:33:40+00:00,,,0,0,0,0,0,0,0
ossu/data-science,2600808404,135,"Correction the link of the course ""MongoDB for Developers Learning Path""","Correct the link of the course **MongoDB for Developers Learning Path**
Link: https://learn.mongodb.com/pages/mongodb-developer-learning-paths
",TinhToQuang,12286785,closed,False,0,2024-10-20T19:27:01+00:00,2024-10-21T05:54:34+00:00,2024-10-21T05:54:34+00:00,,0,0,0,0,0,0,0
ossu/data-science,2600794225,134,RFC: Replace the hyperlink of the course MongoDB for Developers Learning Path,"**Problem:**
Need to replace the hyperlink of the course **MongoDB for Developers Learning Path**

**Duration:**
November 21st, 2024

**Background:**
The link to the course [MongoDB for Developers Learning Path](https://university.mongodb.com/learning_paths/developer) is already obsoleted as it has the new link access for this learning path with various programming languages as below:
https://learn.mongodb.com/pages/mongodb-developer-learning-paths

**Proposal:**

- We need to replace the link of the course **MongoDB for Developers Learning Path** as Pull Request #135 
- Besides that, please separate this learning path with many programming languages.

**Alternatives:**
N/A
",TinhToQuang,12286785,closed,False,1,2024-10-20T19:05:26+00:00,2024-10-21T07:09:00+00:00,2024-10-21T05:54:35+00:00,,0,0,0,0,0,0,0
ossu/data-science,2469621873,132,Fix link to Statistics & Probability,,FantasqueX,46747123,closed,False,0,2024-08-16T06:50:56+00:00,2024-08-25T10:36:29+00:00,2024-08-25T10:36:29+00:00,,1,1,0,0,0,0,0
ossu/data-science,2462042522,131,RFC: Update Math Course Links from OpenLearningLibrary to MITx Online,"**Problem:**
OSSU currently lists math courses on OpenLearningLibrary, but the same courses are available on MITx Online, which includes problem sets that enhance the learning experience. This issue means the current links do not fully leverage the available resources that better align with OSSU's curricular guidelines, especially in providing rigorous and comprehensive course material.

It is important to note that the problem sets on MITx Online are not graded since the due date for the courses has passed. However, they still serve as valuable practice for students looking to deepen their understanding of the material.

**Proposal:**
- Update the link for **Calculus 1A: Differentiation** to [MITx Online](https://mitxonline.mit.edu/courses/course-v1:MITxT+18.01.1x/).
- Update the link for **Calculus 1B: Integration** to [MITx Online](https://courses.mitxonline.mit.edu/learn/course/course-v1:MITxT+18.01.2x+3T2023/home).
- Update the link for **Calculus 1C: Coordinate Systems & Infinite Series** to [MITx Online](https://mitxonline.mit.edu/courses/course-v1:MITxT+18.01.3x/).
- The necessary changes have been proposed in [Pull Request #130](https://github.com/ossu/data-science/pull/130).

**Alternatives:**
- Continue using the OpenLearningLibrary links without the problem sets.
- Offer both links and allow students to choose between the OpenLearningLibrary and MITx Online versions.",Ad7amstein,102502789,closed,False,2,2024-08-12T23:12:52+00:00,2024-09-30T09:20:21+00:00,2024-09-30T09:20:21+00:00,,0,0,0,0,0,0,0
ossu/data-science,2462039376,130,Update Math Course Links from OpenLearningLibrary to MITx Online,"OSSU currently lists math courses on OpenLearningLibrary, but the same courses are available on MITx Online, which includes problem sets that enhance the learning experience. This issue means the current links do not fully leverage the available resources that better align with OSSU's curricular guidelines, especially in providing rigorous and comprehensive course material.",Ad7amstein,102502789,closed,False,1,2024-08-12T23:09:24+00:00,2024-09-30T09:20:20+00:00,2024-09-30T09:20:20+00:00,,0,0,0,0,0,0,0
ossu/data-science,2382404559,129,Added one useful resource,"Added the Career Transition to Data Science: A Complete Guide  URL to the Introduction to Data Science section, providing useful insights to aspiring tech professionals.

Please let me know if further changes are required.

Thank you",Paras-96,169983983,closed,False,2,2024-06-30T19:54:53+00:00,2024-08-11T17:32:21+00:00,2024-08-11T17:32:21+00:00,,0,0,0,0,0,0,0
ossu/data-science,2369081394,128,Add links to other courses from DeepLearning.AI specialization,"According to discussion here https://discord.com/channels/744385009028431943/744388942635204610/1254522570661822504, all three courses of the DeepLearning.AI specialization on Coursera are part of the curriculum, but only link to the first course was given in this repo. This PR adds the links of the rest of the courses.",pulkitkrishna00,72264063,closed,False,2,2024-06-24T02:49:25+00:00,2024-07-06T09:10:29+00:00,2024-07-06T09:10:24+00:00,,0,0,0,0,0,0,0
