repo_full_name,pr_id,number,title,body,user_login,user_id,state,draft,created_at,updated_at,closed_at,merged_at,merge_commit_sha,mergeable_state,additions,deletions,changed_files,commits_count,review_comments_count,comments_count,requested_reviewers,requested_teams,labels
piskvorky/gensim,73894,1,BleiCorpus with an index,,Dieterbe,20774,closed,False,2011-02-15T17:11:05+00:00,2016-06-16T08:02:10+00:00,2011-02-17T00:50:12+00:00,,d300fc6202763930c16379b27380b30fbe2bde1c,unknown,75,0,1,1,0,3,,,
piskvorky/gensim,78447,4,avoid expensive iteration in corpi where length is not explicit,"as requested
",Dieterbe,20774,closed,False,2011-02-22T15:39:01+00:00,2016-06-16T08:02:10+00:00,2011-02-23T02:08:35+00:00,2011-02-23T02:08:35+00:00,,unknown,6,0,2,1,0,0,,,
piskvorky/gensim,82415,6,big trailing whitespace cleanup,"this change cleans up all trailing whitespace.

you can automatically keep it clean with something like this in your .vimrc:
autocmd BufWritePre *.py  :%s/\s+$//e

the ^M's, I'm not sure where those come from, maybe when you edit the files on a Windows machine? I've never seen any unix editor add them.
",Dieterbe,20774,closed,False,2011-02-28T10:07:01+00:00,2016-06-16T08:02:10+00:00,2011-03-01T23:21:36+00:00,2011-03-01T15:21:36+00:00,,unknown,3289,3291,101,1,0,7,,,
piskvorky/gensim,85776,11,rename all occurrences of `docFreq` to `dfs` for consistency,,Dieterbe,20774,closed,False,2011-03-04T13:33:12+00:00,2016-06-16T08:02:10+00:00,2011-03-05T17:02:48+00:00,,,dirty,19,19,6,1,0,1,,,
piskvorky/gensim,90011,14,Log entropy model,"Hello Radim,

I implemented a model for normalizing with the log entropy and also added some tests for it. 

The second commit in the pull request changes the file properties of your old tests so that they will be discovered by nosetests.
",dedan,196905,closed,False,2011-03-10T10:27:14+00:00,2016-06-16T08:02:12+00:00,2011-03-15T13:36:37+00:00,,,dirty,577,244,53,8,0,10,,,
piskvorky/gensim,101990,18,Solution for issue 17,"Only in the master branch, thus far. What I have done:
- introduced hierarchical logger names (package.file_name);
- added a NullHandler class to gensim/**init**.py (for python versions < 2.7);
- initialized the root gensim logger in gensim/**init**.py and attached a NullHandler to it.
",DavidNemeskey,690386,closed,False,2011-03-26T14:56:00+00:00,2016-06-16T08:02:18+00:00,2011-03-27T15:07:30+00:00,,,dirty,111,70,21,5,0,2,,,
piskvorky/gensim,108869,23,Fix a bug in the log_entropy_model ,"The previous implementation had the mistake that it divided by the context diversity of a term instead of the total number of documents. It happened because I read it from a paper where the notation was misleading. Of course it could not be like this because then all terms with a context diversity of 1 would lead to a division by zero. 

For reference of the normalization see: 
Pincombe, B. (2004). Comparison of human and LSA judgements of pairwise document similarities for a news corpus. dspace.dsto.defence.gov.au.

also the tests are changed to fit the new implementation
",dedan,196905,closed,False,2011-04-04T14:03:59+00:00,2016-06-16T08:02:12+00:00,2011-04-04T19:16:39+00:00,2011-04-04T19:16:39+00:00,,unknown,11,27,2,1,0,1,,,
piskvorky/gensim,109168,24,Automated test to reproduce the results of Lee et al. (2005),"Lee et al. (2005) compares different models for semantic
similarity and verifies the results with similarity judgements from humans.
The main result is that semantic similarites modelled by LSA have a correlation
of 0.6 with human similarity judgements.
As a validation of the gensim implementation we reproduced the results
of  Lee et al. (2005) in this test.

Many thanks to Michael D. Lee (michael.lee@adelaide.edu.au) who provideded us
with his corpus and similarity data.

If you need to reference this dataset, please cite:

Lee, M., Pincombe, B., & Welsh, M. (2005).
An empirical evaluation of models of text document similarity.
Proceedings of the 27th Annual Conference of the Cognitive Science Society
",dedan,196905,closed,False,2011-04-04T19:45:15+00:00,2016-06-16T08:02:12+00:00,2011-04-24T22:12:28+00:00,,,dirty,520,1,5,1,0,2,,,
piskvorky/gensim,136662,29,make the root gensim directory a module and add lower dim functionlity,"Hello Radim,

sorry that I did not split this two things in two different branches with independent pull requests. I had this on a local branch and accidentally pushed it already and removing things on a public branch creates only more chaos. 

So what I added in this two commits are all things we already discussed in emails. One thing is to make the top gensim directory a valid module. This is useful when one wants to link this file in the site-packages directory and not the src/gensim directory because the top directory can be checked for version control. 
I checked this new **init** file. It does not break any tests nor the setup.py file

The other thing is that numTopics can be set now to a value lower then the original one in order to evaluate a lower dimensional model. What I did is just a very simple implementation. Is this ok or do you think I should ad getter and setter stuff for numTopics with proper exception handling?

let me know.
",dedan,196905,closed,False,2011-05-05T07:51:44+00:00,2016-06-16T08:02:12+00:00,2011-05-20T14:06:13+00:00,,3e17927c00a374b8ba67cee7321c68a6a476ef4a,dirty,6,3,2,2,0,4,,,
piskvorky/gensim,153858,32,removed the utf8 conversion in the wikicorpus parsing,"I had problems when I already had utf8 strings and I think this 
should be done outside of the corpus
",dedan,196905,closed,False,2011-05-20T12:31:52+00:00,2016-06-16T08:02:12+00:00,2011-05-20T13:47:08+00:00,,f6f9264fc838e36d176536ca61602812cc76aa8b,dirty,1,2,1,1,0,2,,,
piskvorky/gensim,166708,35,bugfix: len(SimilarityABC) should not break when corpus is merely an iterable,"bugfix: len(SimilarityABC) should not break when corpus is merely an iterable

The only requirements of a corpus is that is iterable.  Hence the
attribute shape may not exist.
",Dieterbe,20774,closed,False,2011-06-01T09:11:11+00:00,2016-06-16T08:02:10+00:00,2011-06-05T18:43:07+00:00,,1a3b2a7400992f864811af0ac3a7eb1bbf5dd814,dirty,1,1,1,1,0,4,,,
piskvorky/gensim,193445,40,"Rename variable ""chunks"" to more sensible ""chunksize""","- all testcases return OK
- I did not update documentation. I assume most of the documentation is generated from the source code?
",Dieterbe,20774,closed,False,2011-06-22T15:55:53+00:00,2016-06-16T08:02:10+00:00,2011-06-22T16:10:26+00:00,2011-06-22T16:10:26+00:00,3d4eb5f5597788daec189e56ff9beb94ef581ee5,unknown,155,155,8,1,0,1,,,
piskvorky/gensim,196602,42,Fix len() on [Sparse]MatrixSimilarity objects initialized without corpus,"The constructor of [Sparse]MatrixSimilarity allows creating objects without specifying a corpus.
however, calling len() on these objects will abort with an AttributeError, this patch fixes that
",Dieterbe,20774,closed,False,2011-06-24T14:42:28+00:00,2016-06-16T08:02:10+00:00,2011-08-03T18:26:51+00:00,,79d30aace6dca6bd6a7a4128d57169a15ac0989f,dirty,8,3,1,1,0,8,,,
piskvorky/gensim,196897,43,Pyro -> Pyro4,"I changed references to ""Pyro""  to be ""Pyro4""  instead.

I removed these lines:  ""Pyro.config.HOST = utils.get_my_ip()""   They seemed unnecessary.  

I tested by running both distributed algos on the 9 document deerwester corpus with two workers on my local box.
",josh-levy-dm,873603,closed,False,2011-06-24T18:41:39+00:00,2016-06-16T08:02:19+00:00,2011-08-03T18:23:07+00:00,,4132957607ccaf62946695204547d4c087d6686e,dirty,28,39,7,6,0,4,,,
piskvorky/gensim,198729,44,fix the module import when linking to the git root instead of module,"for some application I need to link to the gensim folder which is also the root of the repository. This script helps python to find the actual sourcecode of the module and had to be changed because radim moved the source within the repo
",dedan,196905,closed,False,2011-06-27T08:43:15+00:00,2016-06-16T08:02:13+00:00,2011-06-27T11:06:07+00:00,2011-06-27T11:06:07+00:00,4aec2c0609c93a80fe99faffbea233ff725bc51d,unknown,2,2,1,1,0,0,,,
