repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
piskvorky/gensim,brunojm,5225,2011-02-10T07:43:04+00:00,User,Brazil,
piskvorky/gensim,yrcjaya,5592,2011-02-10T07:43:04+00:00,User,Malaysia,@ServiceRocket 
piskvorky/gensim,jackscott,5823,2011-02-10T07:43:04+00:00,User,here,
piskvorky/gensim,zaxtax,8529,2011-02-10T07:43:04+00:00,User,,
piskvorky/gensim,m040601,8886,2011-02-10T07:43:04+00:00,User,somelocation2,somecompany1
piskvorky/gensim,bkkbrad,9021,2011-02-10T07:43:04+00:00,User,,
piskvorky/gensim,arnaudsj,9855,2011-02-10T07:43:04+00:00,User,Greater Atlanta (GA),
piskvorky/gensim,tomdyson,15543,2011-02-10T07:43:04+00:00,User,UK,@torchbox @wagtail 
piskvorky/gensim,blackwinter,20381,2011-02-10T07:43:04+00:00,User,"Cologne, Germany",@hbz
piskvorky/gensim,bpartridge,20748,2011-02-10T07:43:04+00:00,User,"New York, NY",@hvntravel & @belstone 
piskvorky/gensim,andreypopp,30594,2011-02-10T07:43:04+00:00,User,"Tbilisi, Georgia",@mechanize-systems 
piskvorky/gensim,elangch,37174,2011-02-10T07:43:04+00:00,User,,
piskvorky/gensim,jwr,38015,2011-02-10T07:43:04+00:00,User,,PartsBox
piskvorky/gensim,chrishamant,39461,2011-02-10T07:43:04+00:00,User,,Milewide
piskvorky/gensim,mlzboy,42778,2011-02-10T07:43:04+00:00,User,,
piskvorky/gensim,brentpayne,49027,2011-02-10T07:43:04+00:00,User,,
piskvorky/gensim,AlexMikhalev,50685,2011-02-10T07:43:04+00:00,User,United Kingdom,@applied-knowledge-systems 
piskvorky/gensim,DataJunkie,52624,2011-02-10T07:43:04+00:00,User,"Mountain View, CA",Facebook
piskvorky/gensim,syhw,57564,2011-02-10T07:43:04+00:00,User,New York,Facebook AI Research
piskvorky/gensim,hjanime,60989,2011-02-10T07:43:04+00:00,User,"Peking,China",Peking University
piskvorky/gensim,phelrine,61105,2011-02-10T07:43:04+00:00,User,Tokyo,
piskvorky/gensim,marsam,65531,2011-02-10T07:43:04+00:00,User,Peru,
piskvorky/gensim,volker48,69447,2011-02-10T07:43:04+00:00,User,"Philadelphia, PA",@obsidian-security 
piskvorky/gensim,KyleAMathews,71047,2011-02-10T07:43:04+00:00,User,Salt Lake City,@electricsql
piskvorky/gensim,kljensen,73154,2011-02-10T07:43:04+00:00,User,"New Haven, CT",Yale School of Management
piskvorky/gensim,senyai,76137,2011-02-10T07:43:04+00:00,User,"Moscow, Russia",
piskvorky/gensim,tibbon,82880,2011-02-10T07:43:04+00:00,User,"Providence, Rhode Island",@awesomefoundation @actblue
piskvorky/gensim,rimenes,84035,2011-02-10T07:43:04+00:00,User,"Joao Pessoa, Brazil",
piskvorky/gensim,ido,85574,2011-02-10T07:43:04+00:00,User,"Palo Alto, CA",
piskvorky/gensim,ogrisel,89061,2011-02-10T07:43:04+00:00,User,"Paris, France",probabl.ai
piskvorky/gensim,denimboy,89675,2011-02-10T07:43:04+00:00,User,San Francisco,Craigslist
piskvorky/gensim,dedene,90413,2011-02-10T07:43:04+00:00,User,Belgium,Zenjoy
piskvorky/gensim,agravitis,93792,2011-02-10T07:43:04+00:00,User,Toronto,
piskvorky/gensim,kmlawson,103096,2011-02-10T07:43:04+00:00,User,,
piskvorky/gensim,intellecat,103502,2011-02-10T07:43:04+00:00,User,NZ,CatЯun
piskvorky/gensim,kmike,107893,2011-02-10T07:43:04+00:00,User,"Russia, Ekaterinburg","@zytedata, @ScrapingHub"
piskvorky/gensim,pprett,111730,2011-02-10T07:43:04+00:00,User,"Vienna, Austria",
piskvorky/gensim,blamh,114339,2011-02-10T07:43:04+00:00,User,"Copenhagen, DK",
piskvorky/gensim,felixmiddendorf,115792,2011-02-10T07:43:04+00:00,User,Germany,
piskvorky/gensim,lucadealfaro,118022,2011-02-10T07:43:04+00:00,User,"Santa Cruz, CA, USA",UC Santa Cruz
piskvorky/gensim,teloon,120500,2011-02-10T07:43:04+00:00,User,,
piskvorky/gensim,dannguyen,121520,2011-02-10T07:43:04+00:00,User,Chicago,data scientist wrangler/engineer
piskvorky/gensim,sethwoodworth,123998,2011-02-10T07:43:04+00:00,User,Boston,"Me, Myself, I"
piskvorky/gensim,meyercr,125065,2011-02-10T07:43:04+00:00,User,,
piskvorky/gensim,romaindeveaud,128623,2011-02-10T07:43:04+00:00,User,"Pionnat, France",
piskvorky/gensim,aht,129813,2011-02-10T07:43:04+00:00,User,California,grammarly.com
piskvorky/gensim,jbilcke,136294,2011-02-10T07:43:04+00:00,User,"Paris, France",
piskvorky/gensim,fccoelho,140123,2011-02-10T07:43:04+00:00,User,Rio de Janeiro,Fundação Getulio Vargas
piskvorky/gensim,bilalaslam,141781,2011-02-10T07:43:04+00:00,User,Redmond,Appuri Inc.
piskvorky/gensim,svieira,143435,2011-02-10T07:43:04+00:00,User,VA,
