repo_full_name,pr_id,number,title,body,user_login,user_id,state,draft,created_at,updated_at,closed_at,merged_at,merge_commit_sha,mergeable_state,additions,deletions,changed_files,commits_count,review_comments_count,comments_count,requested_reviewers,requested_teams,labels
plotly/dash,35483389,1,Refactor,,chriddyp,1280389,closed,False,2015-05-15T04:08:07+00:00,2019-07-17T18:39:28+00:00,2015-05-15T04:08:12+00:00,2015-05-15T04:08:12+00:00,f22a42f7c642813fbf4f1db2d2ddb541de11eb66,unknown,3603,436,35,5,0,0,,,
plotly/dash,35554868,2,Adding pandas,"Handles exception with timestamps
",msund,5034604,closed,False,2015-05-15T22:01:15+00:00,2015-05-15T22:02:00+00:00,2015-05-15T22:02:00+00:00,2015-05-15T22:02:00+00:00,ea89f69ea86b6390a6e6f40755222a1d3d7a704e,unknown,1,0,1,1,0,1,,,
plotly/dash,52714373,4,minor bugfixes,"Examples now work, and checkboxes return the correct name.
",rthompsonj,543053,closed,False,2015-12-04T20:02:08+00:00,2015-12-06T16:39:48+00:00,2015-12-06T16:39:48+00:00,2015-12-06T16:39:48+00:00,a9ce4acffa5effd3c3ba15d4e456a407ff9f7aab,unknown,2,2,2,1,0,1,,,
plotly/dash,56983035,5,Python 3 compatibility,,mariusvniekerk,73973,closed,False,2016-01-23T18:36:43+00:00,2017-05-05T03:27:27+00:00,2017-05-05T03:27:27+00:00,,8fbb67289a167da4f3e0d97dfe31ebbb8653caf2,dirty,14,5,4,1,0,1,,,
plotly/dash,57238675,6,make dash examples work w/ python 3,"@chriddyp little change to `components.py` and the `print` s in 2 examples so these work with python 3
",cldougl,2789078,closed,False,2016-01-26T16:56:12+00:00,2019-09-25T10:02:39+00:00,2016-01-27T18:09:43+00:00,2016-01-27T18:09:43+00:00,38c96787c75e0b5959a9862146560c217b193cb4,unknown,5,5,3,1,0,0,,,
plotly/dash,67056342,9,[WIP] [DO NOT MERGE] React,"This PR refactors Dash to use React under the hood.  It will also change the API to be more symmetric to the DOM structure it represents. i.e.

``` python
div([
    h2('hello dash')
])
```

would be represented by something roughly resembling

``` html
<div>
  <h2>hello dash</h2>
</div>
```

@chriddyp I pulled your commits from https://github.com/chriddyp/messin.git because I think there's a lot of good work there!  Also, I need to give credit where credit is due.  I'm opening this PR so you can keep track of what I'm doing as I go along and interject along the way if you need to.

cc @jackparmer 
",jdfreder,3292874,closed,False,2016-04-19T17:18:01+00:00,2016-04-20T01:31:15+00:00,2016-04-20T01:31:15+00:00,,3bda2cf9c7984fa2c5d481e5f099b503e87faf77,dirty,2012,4695,58,71,0,2,,,
plotly/dash,67132151,10,Dash 2.0 Announcement ,"FYI @jdfreder, @jackparmer @cldougl - updating the README to announce the next phase of development and the future of dash!
",chriddyp,1280389,closed,False,2016-04-20T05:56:21+00:00,2016-04-20T20:21:46+00:00,2016-04-20T20:21:44+00:00,2016-04-20T20:21:44+00:00,baa6f295f53ecef66711b6e7af553fb896307394,unknown,144,2,1,3,0,0,,,
plotly/dash,126777251,13,Dash 2.0,fixes #11 😉 ,chriddyp,1280389,closed,False,2017-06-21T14:25:05+00:00,2017-06-21T14:25:28+00:00,2017-06-21T14:25:20+00:00,2017-06-21T14:25:20+00:00,d2ebc837aaf20b8b63b2cb4e844b56fe1cd7b118,unknown,3956,4825,63,294,0,0,,,
plotly/dash,126820744,17,Default to `debug=False`,"Require users to explicitly set `debug=True` so that they are better aware of the security implications.

Partially fixes #16. ",chriddyp,1280389,closed,False,2017-06-21T17:38:51+00:00,2017-06-22T21:00:25+00:00,2017-06-22T21:00:22+00:00,2017-06-22T21:00:22+00:00,a8fc53ba880d26e3c131f7849795d173596405ec,unknown,1,1,1,1,0,0,,,
plotly/dash,126824661,18,Updated requirements.txt for development,"> ## Heads up! Edited on October 24, 2018
> This issue comes up on google searches when folks haven't installed the necessary packages to run Dash.
> If you find yourself here, then **please visit the official installation instructions here:** https://dash.plot.ly/installation
> Thank you 🙇 

Should work for both 2.x and 3.x",jackluo,11511652,closed,False,2017-06-21T17:59:12+00:00,2018-10-24T19:09:42+00:00,2017-06-22T21:30:03+00:00,,addf87dc44410b3843c5e84a1c1f9228b96482f1,unknown,14,34,1,2,0,2,chriddyp,,
