repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
plotly/dash,theengineear,6611546,2015-04-10T02:52:35+00:00,User,"Truckee, CA",Netflix
plotly/dash,msund,5034604,2015-04-10T18:13:06+00:00,User,San Francisco ,@burningmantech 
plotly/dash,adamhajari,1072820,2015-04-12T19:33:46+00:00,User,"Seattle, WA",Block
plotly/dash,ripstick,4709723,2015-04-24T03:55:12+00:00,User,Dallas,
plotly/dash,sebdevine,4612855,2015-05-01T14:35:26+00:00,User,Paris,
plotly/dash,oztalha,5094153,2015-05-04T19:11:34+00:00,User,"Palo Alto, CA",Amazon
plotly/dash,juaneschutte,5451645,2015-05-11T08:13:45+00:00,User,South Africa,
plotly/dash,bastula,61406,2015-05-19T17:05:04+00:00,User,,@RadOncAI
plotly/dash,wurbanski,5413680,2015-05-21T18:22:48+00:00,User,"Gdańsk, Poland",
plotly/dash,vdimarco,1159959,2015-05-29T19:21:38+00:00,User,Montreal,
plotly/dash,twiecki,674200,2015-06-13T10:11:46+00:00,User,,@pymc-labs 
plotly/dash,justinlent,6541022,2015-06-13T13:32:28+00:00,User,"San Francisco, CA",
plotly/dash,josephmisiti,246302,2015-06-13T16:46:41+00:00,User,"Miami, FL",Math & Pencil 
plotly/dash,hanksudo,467745,2015-06-13T17:28:07+00:00,User,"Taipei, Taiwan & Tokyo, Japan",
plotly/dash,datnamer,8646471,2015-06-14T02:33:07+00:00,User,,
plotly/dash,Code-Slave,1482374,2015-07-07T12:03:43+00:00,User,,
plotly/dash,cpsievert,1365941,2015-07-14T17:19:05+00:00,User,,@rstudio
plotly/dash,aalpern,784846,2015-07-23T15:53:56+00:00,User,San Francisco,
plotly/dash,stefanjf,3771652,2015-07-23T17:06:15+00:00,User,,
plotly/dash,lueo,950423,2015-08-08T06:25:32+00:00,User,"Taipei, Taiwan",RedCypress
plotly/dash,nimblemachine,4275179,2015-08-09T07:08:20+00:00,User,United States,NimbleMachine
plotly/dash,rhzs,5300674,2015-08-10T06:48:27+00:00,User,,
plotly/dash,johncoldtrain,7613466,2015-08-14T04:54:36+00:00,User,,
plotly/dash,kingice,4256391,2015-08-16T07:14:52+00:00,User,,
plotly/dash,mrtns,137808,2015-08-25T05:35:26+00:00,User,"Victoria, Canada",
plotly/dash,anmolgarg,6287864,2015-09-05T22:18:21+00:00,User,,
plotly/dash,quevedin,1595899,2015-09-06T10:39:55+00:00,User,Oviedo,
plotly/dash,kareniel,419946,2015-09-14T14:44:08+00:00,User,Canada,
plotly/dash,erkidhoxholli,7354959,2015-09-19T20:36:43+00:00,User,"Gdansk, Poland",24Nettbutikk
plotly/dash,dbudaghyan,2231299,2015-09-21T11:01:00+00:00,User,,
plotly/dash,tristanz,290978,2015-09-25T01:06:26+00:00,User,"San Francisco, CA",@continual-ai 
plotly/dash,kgryte,2643044,2015-09-25T08:10:30+00:00,User,San Francisco,@stdlib-js @quansight @data-apis
plotly/dash,mikebirdgeneau,4763142,2015-09-30T13:29:16+00:00,User,"Alberta, Canada",
plotly/dash,gabrielelanaro,239875,2015-10-02T00:29:27+00:00,User,"Berlin, DE",Comtravo
plotly/dash,matagus,58519,2015-10-02T18:47:35+00:00,User,"Chicago, IL ",
plotly/dash,tanglingfung,8526,2015-10-04T16:12:23+00:00,User,USA,startup
plotly/dash,pkt,83314,2015-10-06T16:52:09+00:00,User,,
plotly/dash,AyeCaptn,8019337,2015-10-12T09:37:38+00:00,User,,
plotly/dash,poorboy44,3418169,2015-10-12T23:25:46+00:00,User,"Louisville, CO",Zephr.xyz
plotly/dash,ddbs,5085142,2015-10-19T01:16:21+00:00,User,"Lisbon, Portugal",
plotly/dash,yalove,6695882,2015-10-25T15:27:57+00:00,User,,
plotly/dash,hballard,8618009,2015-10-25T19:27:30+00:00,User,"Houston, TX",
plotly/dash,gglanzani,630284,2015-10-26T21:22:50+00:00,User,The Netherlands,@xebia @godatadriven 
plotly/dash,fgmacedo,281007,2015-10-27T12:30:37+00:00,User,"São Paulo, Brazil",
plotly/dash,hmelberg,3296311,2015-10-27T13:57:34+00:00,User,"Tromsø, Norway",The Arctic University of Norway
plotly/dash,romainx,7131913,2015-10-28T13:34:55+00:00,User,"Toulouse, France",
plotly/dash,philsheard,817070,2015-11-03T10:47:40+00:00,User,,
plotly/dash,danielhauagge,1358818,2015-11-03T14:55:01+00:00,User,San Francisco,Apple
plotly/dash,nzjrs,41891,2015-11-09T08:44:20+00:00,User,,
plotly/dash,kindy,50860,2015-11-10T12:30:57+00:00,User,"Beijing, China",
