repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
qax-os/excelize,yunlong,892625,2016-08-30T05:04:36+00:00,User,Beijing,
qax-os/excelize,liuliuhappy,473590,2016-08-30T05:11:33+00:00,User,,
qax-os/excelize,zhoujianhe,6696407,2016-08-31T00:17:48+00:00,User,,
qax-os/excelize,ljyf5593,960459,2016-08-31T01:27:39+00:00,User,中国武汉,
qax-os/excelize,raylee,715888,2016-08-31T02:59:17+00:00,User,"San Luis Obispo, CA",
qax-os/excelize,cd1,169839,2016-08-31T03:18:12+00:00,User,"Cologne, Germany",Eurowings Digital GmbH
qax-os/excelize,Epanum,4999378,2016-08-31T03:59:28+00:00,User,,
qax-os/excelize,thoratou,1295414,2016-08-31T05:08:40+00:00,User,,
qax-os/excelize,bom-d-van,459505,2016-08-31T05:12:38+00:00,User,China,
qax-os/excelize,xuhuanxxx,4946617,2016-08-31T05:46:59+00:00,User,shanghai,uuzu
qax-os/excelize,nightlyone,1767118,2016-08-31T05:47:11+00:00,User,"Hamburg, Germany",@freiheit-com
qax-os/excelize,scbizu,8732481,2016-08-31T05:47:29+00:00,User,Nanxun,@ezbuy
qax-os/excelize,wayn3h0,2099553,2016-08-31T05:49:37+00:00,User,China,
qax-os/excelize,quietcoolwu,11589421,2016-08-31T06:00:19+00:00,User,Shanghai,@FREE
qax-os/excelize,SCys,158339,2016-08-31T06:00:25+00:00,User,Shenzhen,Geartech
qax-os/excelize,zqqf16,655326,2016-08-31T06:01:40+00:00,User,"Beijing, China",
qax-os/excelize,julor,5569850,2016-08-31T06:04:37+00:00,User,,
qax-os/excelize,disintegration,2706839,2016-08-31T06:35:52+00:00,User,"Moscow, Russia",@ozonru
qax-os/excelize,yoCruzer,8610143,2016-08-31T06:52:02+00:00,User,,
qax-os/excelize,martingallagher,1955636,2016-08-31T07:28:51+00:00,User,"Manchester / London, UK",
qax-os/excelize,struCoder,6498477,2016-08-31T08:04:17+00:00,User,Shanghai China,
qax-os/excelize,NMZXYCDRL,2172735,2016-08-31T08:31:34+00:00,User,,
qax-os/excelize,rusco,91183,2016-08-31T09:07:25+00:00,User,Portugal,
qax-os/excelize,jujusharp,1283452,2016-08-31T09:21:02+00:00,User,usa,yitao soft
qax-os/excelize,kamilchm,1621930,2016-08-31T09:25:34+00:00,User,"Warsaw, Poland",
qax-os/excelize,se77en,1468284,2016-08-31T10:06:27+00:00,User,Beijing China,Douban Inc.
qax-os/excelize,beppler,66092,2016-08-31T10:57:18+00:00,User,"Curitiba, Paraná, Brasil",
qax-os/excelize,blaubaer,298984,2016-08-31T11:11:02+00:00,User,"Berlin, Germany",Engity GmbH
qax-os/excelize,gilliek,4227586,2016-08-31T11:21:42+00:00,User,Switzerland,@e-XpertSolutions
qax-os/excelize,ikaros,24005,2016-08-31T11:24:37+00:00,User,"Munich, Germany",deepc
qax-os/excelize,samora,2126634,2016-08-31T11:51:41+00:00,User,"Accra, Ghana",@nuanom
qax-os/excelize,danielvestergaard,1223190,2016-08-31T12:02:58+00:00,User,,@reflective-tech 
qax-os/excelize,todashuta,1555633,2016-08-31T12:28:09+00:00,User,"Osaka, Japan",
qax-os/excelize,antham,4854264,2016-08-31T12:29:50+00:00,User,,
qax-os/excelize,HcySunYang,14146560,2016-08-31T12:37:05+00:00,User,"Beijing, China",Microsoft
qax-os/excelize,andrewrgoss,1461386,2016-08-31T13:37:21+00:00,User,"Greater Boston, MA, USA",Elsevier
qax-os/excelize,matejb,386688,2016-08-31T13:51:08+00:00,User,Croatia,
qax-os/excelize,gregzuro,235511,2016-08-31T13:55:48+00:00,User,"Portland, OR",
qax-os/excelize,roktas,47842,2016-08-31T14:09:30+00:00,User,Türkiye,Alaturka
qax-os/excelize,pasali,630249,2016-08-31T14:12:04+00:00,User,,@MigrosOne
qax-os/excelize,jfcalcerrada,1140864,2016-08-31T14:25:26+00:00,User,United Kingdom,
qax-os/excelize,linexjlin,3595733,2016-08-31T14:29:58+00:00,User,Shanghai,
qax-os/excelize,jwilder,219935,2016-08-31T14:38:54+00:00,User,Colorado,@Azure 
qax-os/excelize,mre,175809,2016-08-31T15:01:39+00:00,User,"Düsseldorf, Germany",@corrode
qax-os/excelize,shenwei356,2655946,2016-08-31T15:10:02+00:00,User,"Chongqing, China","Chongqing Medical University, China"
qax-os/excelize,oikomi,1720962,2016-08-31T15:10:58+00:00,User,"Shanghai, China",bytedance.com
qax-os/excelize,msoap,844117,2016-08-31T15:17:51+00:00,User,"Kyiv, Ukraine",
qax-os/excelize,dairdev,1166441,2016-08-31T15:44:37+00:00,User,Peru,
qax-os/excelize,bwmarrin,7683654,2016-08-31T15:57:03+00:00,User,,
qax-os/excelize,binocarlos,1676629,2016-08-31T16:16:01+00:00,User,Bristol UK,
