repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
rasbt/python-machine-learning-book,svisser,723226,2015-08-07T22:32:01+00:00,User,"London, United Kingdom",
rasbt/python-machine-learning-book,eyadsibai,935729,2015-08-07T23:31:16+00:00,User,,
rasbt/python-machine-learning-book,rldw,11777541,2015-08-08T18:18:09+00:00,User,"Düsseldorf, Germany",@cloudlines-de 
rasbt/python-machine-learning-book,mlh14,6254462,2015-08-09T01:14:31+00:00,User,shanghai,
rasbt/python-machine-learning-book,saketkc,682153,2015-08-09T01:27:55+00:00,User,Mumbai,IIT Bombay
rasbt/python-machine-learning-book,atelierhide,5714274,2015-08-09T01:40:08+00:00,User,"Yokohama, Japan",
rasbt/python-machine-learning-book,graysonarts,94549,2015-08-09T02:08:58+00:00,User,"Seattle, WA",
rasbt/python-machine-learning-book,akansal1,8511760,2015-08-09T16:57:05+00:00,User,,
rasbt/python-machine-learning-book,vdmitriyev,2291074,2015-08-09T19:20:45+00:00,User,,
rasbt/python-machine-learning-book,abursuc,286077,2015-08-09T19:52:20+00:00,User,"Paris, France",valeo.ai
rasbt/python-machine-learning-book,sl0,992958,2015-08-09T21:27:01+00:00,User,ccaa,
rasbt/python-machine-learning-book,Endika,568585,2015-08-09T21:36:07+00:00,User,Madrid,
rasbt/python-machine-learning-book,walterreade,4512793,2015-08-09T22:08:56+00:00,User,"Neenah, WI",
rasbt/python-machine-learning-book,jaymzcd,208301,2015-08-09T23:00:22+00:00,User,London,@AdjacencyLtd 
rasbt/python-machine-learning-book,picobird,459049,2015-08-09T23:32:18+00:00,User,,
rasbt/python-machine-learning-book,weijia,225029,2015-08-10T00:29:58+00:00,User,,
rasbt/python-machine-learning-book,dsapandora,392807,2015-08-10T00:50:32+00:00,User,"Madrid, Spain",APARAVI
rasbt/python-machine-learning-book,xirdneh,4007280,2015-08-10T01:05:09+00:00,User,,@rmcomplexity  
rasbt/python-machine-learning-book,KartikKannapur,2961049,2015-08-10T01:18:35+00:00,User,New York,Amazon Web Services
rasbt/python-machine-learning-book,183amir,5738695,2015-08-10T02:35:49+00:00,User,CH,Idiap
rasbt/python-machine-learning-book,chrish42,632858,2015-08-10T03:38:10+00:00,User,,ServiceNow
rasbt/python-machine-learning-book,chaosmail,2969388,2015-08-10T06:29:53+00:00,User,"Dublin, Ireland",
rasbt/python-machine-learning-book,WebberHuang,3171146,2015-08-10T10:27:52+00:00,User,"London, UK",
rasbt/python-machine-learning-book,rhythm92,5300331,2015-08-10T10:37:45+00:00,User,Japan,
rasbt/python-machine-learning-book,kuchaale,6815953,2015-08-10T11:15:00+00:00,User,Austria,
rasbt/python-machine-learning-book,johnowennixon,5586485,2015-08-10T13:27:39+00:00,User,"Bristol, UK",DevOps Engineer @candide-com
rasbt/python-machine-learning-book,maowen,3698411,2015-08-10T13:43:17+00:00,User,"Orem, Utah",
rasbt/python-machine-learning-book,smagellan,1594938,2015-08-10T13:54:18+00:00,User,,
rasbt/python-machine-learning-book,bbouille,7263924,2015-08-10T22:31:00+00:00,User,Paris,
rasbt/python-machine-learning-book,AnimeshShaw,4423388,2015-08-11T11:56:25+00:00,User,India,Atlassian
rasbt/python-machine-learning-book,cmltaWt0,877401,2015-08-12T09:31:00+00:00,User,"Ukraine, Kharkiv",Raccoon Gang
rasbt/python-machine-learning-book,sravan953,6049061,2015-08-14T14:26:14+00:00,User,New York,
rasbt/python-machine-learning-book,Nilson,113509,2015-08-14T18:44:35+00:00,User,"San Diego, CA",
rasbt/python-machine-learning-book,jorgeacf,1125032,2015-08-14T18:50:57+00:00,User,"London, United Kingdom",
rasbt/python-machine-learning-book,blavoie,6325555,2015-08-14T19:04:41+00:00,User,"Quebec, Canada",@ulaval
rasbt/python-machine-learning-book,tap,109637,2015-08-14T20:26:55+00:00,User,"Kansas City, MO","Cycling' 74, Jamoma, 74 Objects, (Electrotap)"
rasbt/python-machine-learning-book,techgaun,1886670,2015-08-15T23:08:29+00:00,User,"Kansas City, United States of America","CTO @ @docucare, also OSS with @techgaun-np @build-for-nepal and @nepalihackers "
rasbt/python-machine-learning-book,dawnmy,497428,2015-08-16T21:51:57+00:00,User,Germany,
rasbt/python-machine-learning-book,aadeshnpn,1760420,2015-08-17T06:56:47+00:00,User,"Provo, UT",@InspiringLab 
rasbt/python-machine-learning-book,vicne,74994,2015-08-18T03:36:02+00:00,User,,
rasbt/python-machine-learning-book,mlgill,1757241,2015-08-18T20:59:09+00:00,User,"New York, NY",@NVIDIA
rasbt/python-machine-learning-book,ScenicVerve,6266663,2015-08-19T15:52:06+00:00,User,"San Francisco, California USA",Scenic Verve - Audio & Visual Arts
rasbt/python-machine-learning-book,matthewfeickert,5142394,2015-08-20T04:18:30+00:00,User,"Lafayette, Colorado",University of Wisconsin-Madison
rasbt/python-machine-learning-book,afbholly72,1427268,2015-08-20T05:00:12+00:00,User,,
rasbt/python-machine-learning-book,tejaskhot,6690052,2015-08-20T05:30:59+00:00,User,"New York City, USA",Abnormal Security
rasbt/python-machine-learning-book,MLWave,6892725,2015-08-20T06:03:53+00:00,User,,@nubank 
rasbt/python-machine-learning-book,timothyman,5877464,2015-08-20T06:44:31+00:00,User,"Zürich, Switzerland",
rasbt/python-machine-learning-book,garaud,98194,2015-08-20T06:52:53+00:00,User,France / Bordeaux,@opendatasoft
rasbt/python-machine-learning-book,schmelling,6538990,2015-08-20T08:31:44+00:00,User,"Düsseldorf, Germany",Heinrich-Heine University Düsseldorf
rasbt/python-machine-learning-book,psycharo-zz,78526,2015-08-20T09:03:54+00:00,User,"Lausanne, Switzerland",EPFL
