repo_full_name,pr_id,number,title,body,user_login,user_id,state,draft,created_at,updated_at,closed_at,merged_at,merge_commit_sha,mergeable_state,additions,deletions,changed_files,commits_count,review_comments_count,comments_count,requested_reviewers,requested_teams,labels
ray-project/ray,90895976,1,"Move plasma, common, and photon into the Ray repository.",,robertnishihara,249517,closed,False,2016-10-25T21:31:59+00:00,2016-10-25T21:33:55+00:00,2016-10-25T21:33:51+00:00,2016-10-25T21:33:51+00:00,ed550ea8afbebdab5c19aaad174fe666adb76a7b,unknown,20798,3981,92,111,0,0,,,
ray-project/ray,90905374,2,Fixes to make Travis pass.,,robertnishihara,249517,closed,False,2016-10-25T22:36:48+00:00,2016-10-26T05:30:00+00:00,2016-10-26T05:29:58+00:00,2016-10-26T05:29:58+00:00,9235c791773d3c8c01f49e57303245c6823d87d9,unknown,8740,185,59,7,0,0,,,
ray-project/ray,90939137,3,Changes to make tests pass on Travis.,,robertnishihara,249517,closed,False,2016-10-26T05:33:57+00:00,2016-10-26T05:39:22+00:00,2016-10-26T05:39:21+00:00,2016-10-26T05:39:21+00:00,f83a98d71a2a63d2fb8bb8edd50e9ebda7ae4e5c,unknown,8740,185,59,7,0,0,,,
ray-project/ray,90940149,4,Remove unnecessary files.,,robertnishihara,249517,closed,False,2016-10-26T05:47:18+00:00,2016-10-27T06:24:42+00:00,2016-10-27T06:24:40+00:00,2016-10-27T06:24:40+00:00,6ed641177dd71015548dbddad076fbea0e616109,unknown,0,605,6,1,0,0,,,
ray-project/ray,90946188,5,[WIP] Fix valgrind tests.,,robertnishihara,249517,closed,False,2016-10-26T06:56:19+00:00,2016-10-27T06:23:48+00:00,2016-10-27T06:23:46+00:00,2016-10-27T06:23:46+00:00,6f75c738b5ca48f0c9a1d6bed6f18b59fb4241f1,unknown,21,10,4,3,0,0,,,
ray-project/ray,91273470,6,[Plasma] Subscribe without polling,"This registers the file descriptor we write subscription events to only with the event loop if there is data to be written. Without this fix, the plasma store will invoke send_notifications whenever the socket is writable, which will lead to 100% cpu utilization.
",pcmoritz,113316,closed,False,2016-10-27T20:22:11+00:00,2016-10-28T00:56:17+00:00,2016-10-28T00:56:16+00:00,2016-10-28T00:56:16+00:00,43aca17b5920f26ef1e7a070604cf6c364b5677e,unknown,15,4,2,3,0,0,,,
ray-project/ray,91421179,7,Update .gitignore file.,,robertnishihara,249517,closed,False,2016-10-28T17:36:34+00:00,2016-10-31T18:37:28+00:00,2016-10-28T18:40:08+00:00,2016-10-28T18:40:08+00:00,5c50d9767075bae06c4dc0cf63d96cff1dead94c,unknown,14,2,1,1,0,0,,,
ray-project/ray,91430917,8,Pip install numbuf.,,robertnishihara,249517,closed,False,2016-10-28T18:41:20+00:00,2016-10-31T18:37:27+00:00,2016-10-28T21:30:20+00:00,2016-10-28T21:30:20+00:00,09a3ff717377e3c11bf2fe8a0fdfd10116490682,unknown,12,11,4,1,0,0,,,
ray-project/ray,91433319,9,Unit testing for the plasma manager.,,stephanie-wang,2560516,closed,False,2016-10-28T18:56:43+00:00,2016-10-28T19:42:47+00:00,2016-10-28T19:42:45+00:00,2016-10-28T19:42:45+00:00,c94f9613663e95765f8ae2b4a163b76b30a44fc5,unknown,609,110,9,1,0,0,,,
ray-project/ray,91464686,10,Ion and Philipp's table retries,"Doing the pull request in the new repository.
",istoica,1149505,closed,False,2016-10-28T22:48:58+00:00,2016-10-29T22:22:35+00:00,2016-10-29T22:22:33+00:00,2016-10-29T22:22:33+00:00,ee3718c80cd5e487418f6f3c6deb6b315a2586c9,unknown,1914,240,23,11,0,0,,,
ray-project/ray,91473887,11,Let local clients connect with local manager via unix domain sockets,,pcmoritz,113316,closed,False,2016-10-29T01:20:21+00:00,2016-10-29T04:27:01+00:00,2016-10-29T04:26:55+00:00,2016-10-29T04:26:55+00:00,84c581cf475fbee72470cd5634dcd15c0bc562b6,unknown,108,68,8,4,0,0,,,
ray-project/ray,91478364,12,Implement plasma.wait,,pcmoritz,113316,closed,False,2016-10-29T04:17:53+00:00,2016-10-30T00:30:36+00:00,2016-10-30T00:30:34+00:00,2016-10-30T00:30:34+00:00,e6319986ece3562c5daee33a6ea25bdd4a4409cf,unknown,355,46,8,6,0,0,,,
